R_0,ACS_0,K_0,D_0,A_0,K-D_0,KAST_0,ADR_0,HS%_0,FK_0,FD_0,FK-FD_0,Game differential,resultado
-0.014200000000000036,-5.099999999999994,2.1999999999999984,5.459999999999999,2.16,-3.2599999999999993,-0.009200000000000031,1.480000000000004,0.030999999999999993,0.05999999999999996,0.9199999999999999,-0.86,0,1
0.016581818181818298,4.136363636363643,3.4290909090909105,2.689090909090909,2.1272727272727274,0.7400000000000002,-0.0015636363636363005,3.492727272727282,-0.009454545454545455,0.20727272727272733,0.47636363636363654,-0.2690909090909091,1,1
0.11753333333333334,14.6,5.243333333333334,1.393333333333335,2.1400000000000006,3.85,0.04493333333333334,9.770000000000001,-0.0028666666666666727,0.5566666666666668,0.22666666666666657,0.32999999999999996,2,1
0.02650349650349635,-0.05174825174825628,3.1020979020979014,4.3202797202797205,2.2307692307692313,-1.2181818181818183,0.00043356643356642357,3.5090909090909066,0.028937062937062948,0.1538461538461539,0.8195804195804197,-0.6657342657342656,2,0
-0.024499999999999876,-3.7566666666666664,-0.17666666666666514,-0.13666666666666744,0.08999999999999933,-0.04000000000000039,-0.0031999999999999364,-3.8966666666666696,-0.020900000000000002,0.2233333333333336,-0.24333333333333318,0.4666666666666668,2,1
-0.10360000000000003,-9.52000000000001,4.38,9.38,2.04,-5.0,-0.050000000000000044,-1.8200000000000016,-0.013800000000000002,0.5000000000000001,1.18,-0.6799999999999998,0,0
-0.034600000000000006,-1.8199999999999932,3.2599999999999993,3.900000000000001,-0.1800000000000006,-0.6399999999999998,-0.020600000000000042,-2.2799999999999954,0.014000000000000018,0.9199999999999999,0.2,0.72,0,1
-0.036600000000000056,-3.380000000000007,2.560000000000001,2.7800000000000002,0.9600000000000002,-0.21999999999999992,-0.0036000000000000255,-1.219999999999996,0.025599999999999973,0.68,0.4800000000000001,0.20000000000000004,0,0
0.06276363636363631,10.945454545454533,7.996363636363638,6.352727272727272,3.792727272727272,1.6436363636363633,0.029363636363636435,5.418181818181813,0.017327272727272712,0.8072727272727276,1.0636363636363637,-0.2563636363636363,-1,1
0.11539999999999995,4.740000000000004,-4.9,-6.7,-1.7599999999999993,1.8,0.013399999999999902,3.9000000000000057,-0.020799999999999985,-0.42000000000000004,-0.9800000000000001,0.56,0,1
0.14600000000000019,18.063076923076927,1.7292307692307696,-4.316923076923076,-0.25846153846153863,6.046153846153847,0.06256923076923075,5.64307692307693,-0.03683076923076926,0.6292307692307694,-1.073846153846154,1.7030769230769232,3,1
-0.06120000000000005,-0.9400000000000034,0.879999999999999,2.4400000000000013,1.1400000000000001,-1.56,-0.0017999999999999794,3.0600000000000023,0.00019999999999998353,0.23999999999999994,0.039999999999999855,0.1999999999999999,0,1
0.11323636363636362,12.354545454545462,1.3454545454545452,-2.089090909090909,-0.7127272727272725,3.4345454545454546,0.04136363636363636,8.02181818181818,0.035527272727272734,0.009090909090908993,-0.056363636363636525,0.06545454545454543,-1,0
0.16097619047619047,17.29047619047619,8.23095238095238,3.3500000000000005,2.64047619047619,4.880952380952381,0.053642857142857193,9.452380952380953,0.009833333333333328,0.4309523809523809,1.147619047619047,-0.7166666666666667,2,1
0.02976190476190461,1.6314285714285746,1.2323809523809544,1.9523809523809532,0.993333333333333,-0.7199999999999995,0.01031428571428572,4.525714285714278,0.033590476190476184,-0.16571428571428592,0.4942857142857144,-0.66,1,1
-0.08792727272727274,-4.685454545454547,2.5599999999999996,6.498181818181817,2.296363636363637,-3.9381818181818176,-0.022490909090909006,-3.8363636363636346,-0.043381818181818174,-0.10909090909090899,1.1363636363636362,-1.2454545454545456,-1,1
0.10679999999999992,14.319999999999999,1.7600000000000002,-2.9200000000000017,1.1199999999999997,4.680000000000001,0.04160000000000008,8.400000000000002,0.006800000000000012,-0.09999999999999983,-0.16000000000000006,0.06000000000000001,0,0
0.139090909090909,9.654545454545461,-4.090909090909091,-8.90909090909091,-2.636363636363637,4.818181818181818,0.031636363636363615,5.236363636363632,0.01527272727272731,-0.18181818181818166,-1.781818181818182,1.6,0,1
-0.04761818181818189,-0.9090909090909065,3.5799999999999996,4.865454545454545,1.3781818181818182,-1.2854545454545456,-0.011999999999999988,-1.478181818181818,-0.01985454545454545,0.20545454545454503,0.7654545454545454,-0.5599999999999999,-1,1
0.019045454545454678,5.475757575757575,-5.4772727272727275,-5.187878787878786,-1.239393939393939,-0.28939393939393926,0.01875757575757573,4.254545454545453,0.01899999999999999,-0.9166666666666667,-0.7121212121212122,-0.2045454545454545,1,0
0.014399999999999923,5.258181818181811,-0.4509090909090922,-2.6872727272727275,-2.6745454545454543,2.236363636363636,0.0077272727272727606,2.4054545454545404,0.010600000000000009,0.3636363636363635,-0.8272727272727275,1.190909090909091,1,1
0.12600000000000017,11.966666666666669,-9.416666666666668,-13.083333333333334,-4.033333333333333,3.666666666666667,0.042166666666666706,8.816666666666666,0.036333333333333356,-1.15,-2.25,1.1,0,1
0.04001818181818184,9.20363636363636,-1.5399999999999998,-2.6472727272727274,-1.4836363636363639,1.1072727272727272,0.010799999999999966,7.314545454545458,-0.0006181818181818233,-0.009090909090908993,-0.6818181818181819,0.6727272727272727,-1,0
-0.005200000000000071,0.36000000000000226,-1.8599999999999994,-1.1999999999999993,-1.1800000000000002,-0.6600000000000001,0.027000000000000045,-2.3400000000000034,0.011200000000000005,-0.21999999999999992,-0.20000000000000004,-0.019999999999999928,0,1
