,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,BerserX BME,,1.75  2.01  1.32,261  245  278,33  16  17,/  9  2  7  /,4  2  2,+24  +14  +10,87%  100%  73%,178  165  191,26%  33%  22%,3  2  1,1  0  1,+2  +2  0,2.0,0.0,Famouz BME,,1.84  2.07  0.94,302  311  270,19  17  2,/  6  3  3  /,3  1  2,+13  +14  -1,93%  92%  100%,199  193  226,23%  25%  17%,2  1  1,0  0  0,+2  +1  +1,BerserX BME,,2.04  2.36  1.96,330  327  331,21  5  16,/  5  0  5  /,2  0  2,+16  +5  +11,87%  100%  83%,216  195  222,24%  50%  21%,1  0  1,0  0  0,+1  0  +1
1,Famouz BME,,1.43  1.72  0.93,222  295  150,28  20  8,/  13  4  9  /,5  1  4,+15  +16  -1,83%  93%  73%,153  184  122,25%  24%  29%,5  2  3,2  0  2,+3  +2  +1,13.0,2.0,m0rea BME,,1.53  1.65  1.06,300  300  302,16  13  3,/  9  6  3  /,6  5  1,+7  +7  0,100%  100%  100%,192  199  167,36%  34%  43%,4  4  0,2  1  1,+2  +3  -1,Shiro BME,,1.44  0.94  1.57,224  93  257,11  1  10,/  8  2  6  /,7  2  5,+3  -1  +4,87%  100%  83%,158  57  184,15%  0%  16%,2  0  2,1  0  1,+1  0  +1
2,m0rea BME,,1.34  1.75  1.02,268  281  255,29  15  14,/  18  7  11  /,16  12  4,+11  +8  +3,87%  100%  73%,164  182  146,33%  38%  28%,6  4  2,3  1  2,+3  +3  0,13.0,2.0,BerserX BME,,1.47  1.66  0.68,192  224  67,12  11  1,/  4  2  2  /,2  2  0,+8  +9  -1,87%  100%  33%,140  158  67,31%  29%  50%,2  2  0,1  0  1,+1  +2  -1,m0rea BME,,1.15  1.84  0.98,236  207  244,13  2  11,/  9  1  8  /,10  7  3,+4  +1  +3,73%  100%  67%,136  116  141,29%  60%  24%,2  0  2,1  0  1,+1  0  +1
3,Shiro BME,,1.33  1.01  1.65,224  174  274,23  9  14,/  17  9  8  /,11  6  5,+6  0  +6,83%  87%  80%,149  109  188,23%  30%  20%,4  2  2,2  1  1,+2  +1  +1,,,Shiro BME,,1.21  1.08  1.72,224  194  345,12  8  4,/  9  7  2  /,4  4  0,+3  +1  +2,80%  83%  67%,139  122  206,35%  33%  40%,2  2  0,1  1  0,+1  +1  0,NcSlasher BME,,1.11  1.78  0.95,245  356  218,13  4  9,/  10  2  8  /,5  1  4,+3  +2  +1,93%  100%  92%,143  201  128,36%  25%  43%,2  2  0,1  0  1,+1  +2  -1
4,NcSlasher BME,,0.97  1.38  0.54,201  225  178,21  12  9,/  20  9  11  /,9  5  4,+1  +3  -2,90%  100%  80%,126  146  106,27%  21%  39%,3  3  0,1  0  1,+2  +3  -1,,,NcSlasher BME,,0.82  0.99  0.14,157  193  17,8  8  0,/  10  7  3  /,4  4  0,-2  +1  -3,87%  100%  33%,109  132  17,17%  19%  0%,1  1  0,0  0  0,+1  +1  0,Famouz BME,,1.02  1.38  0.93,142  232  120,9  3  6,/  7  1  6  /,2  0  2,+2  +2  0,73%  100%  67%,106  148  95,30%  18%  42%,3  1  2,2  0  2,+1  +1  0
5,Juicy TOB,,0.94  1.59  0.40,249  310  189,25  17  8,/  27  12  15  /,3  2  1,-2  +5  -7,53%  67%  40%,169  214  125,32%  35%  28%,5  4  1,2  2  0,+3  +2  +1,,,Juicy TOB,,1.05  2.11  0.78,259  370  232,13  5  8,/  13  1  12  /,2  1  1,0  +4  -4,60%  100%  50%,176  275  152,26%  20%  29%,1  0  1,0  0  0,+1  0  +1,Juicy TOB,,0.83  1.07  0.02,239  295  18,12  12  0,/  14  11  3  /,1  1  0,-2  +1  -3,47%  58%,162  198  18,42%  44%  0%,4  4  0,2  2  0,+2  +2  0
6,STYRON TOB,,0.66  0.61  0.66,168  173  163,15  7  8,/  26  11  15  /,8  2  6,-11  -4  -7,67%  73%  60%,116  115  118,22%  13%  31%,0  0  0,4  0  4,-4  0  -4,,,nephh TOB,,0.67  1.09  0.56,165  152  169,9  2  7,/  13  2  11  /,3  2  1,-4  0  -4,67%  67%  67%,111  103  113,23%  25%  23%,0  0  0,2  0  2,-2  0  -2,STYRON TOB,,0.78  0.79  0.75,212  193  288,9  6  3,/  12  9  3  /,2  2  0,-3  -3  0,67%  67%  67%,138  128  178,20%  10%  75%,0  0  0,0  0  0,0  0  0
7,nephh TOB,,0.65  0.92  0.36,161  155  168,18  9  9,/  27  13  14  /,10  8  2,-9  -4  -5,70%  73%  67%,108  109  108,33%  40%  29%,0  0  0,4  1  3,-4  -1  -3,,,STYRON TOB,,0.54  0.42  0.57,123  92  131,6  1  5,/  14  2  12  /,6  0  6,-8  -1  -7,67%  100%  58%,95  62  103,25%  50%  23%,0  0  0,4  0  4,-4  0  -4,Retla TOB,,0.69  0.80  0.26,126  155  10,6  6  0,/  13  10  3  /,2  2  0,-7  -4  -3,47%  50%  33%,91  112  10,27%  35%  0%,1  1  0,3  2  1,-2  -1  -1
8,Retla TOB,,0.52  0.67  0.29,110  152  69,11  8  3,/  26  12  14  /,2  2  0,-15  -4  -11,47%  53%  40%,76  105  47,22%  26%  16%,3  2  1,5  2  3,-2  0  -2,,,Xan TOB,,0.39  1.11  0.21,117  314  68,5  3  2,/  14  3  11  /,3  2  1,-9  0  -9,40%  100%  25%,93  261  51,31%  38%  23%,1  1  0,3  1  2,-2  0  -2,nephh TOB,,0.63  0.75  0.17,157  155  166,9  7  2,/  14  11  3  /,7  6  1,-5  -4  -1,73%  75%  67%,106  110  87,50%  44%  100%,0  0  0,2  1  1,-2  -1  -1
9,Xan TOB,,0.30  0.65  0.26,91  102  80,8  5  3,/  28  14  14  /,3  2  1,-20  -9  -11,37%  47%  27%,67  78  57,22%  29%  15%,1  1  0,6  3  3,-5  -2  -3,,,Retla TOB,,0.36  0.55  0.31,94  141  83,5  2  3,/  13  2  11  /,0  0  0,-8  0  -8,47%  67%  42%,61  79  56,17%  10%  21%,2  1  1,2  0  2,0  +1  -1,Xan TOB,,0.21  0.19  0.31,64  49  126,3  2  1,/  14  11  3  /,0  0  0,-11  -9  -2,33%  33%  33%,42  32  83,7%  13%  0%,0  0  0,3  2  1,-3  -2  -1
