,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,Laz NKT,,1.47  1.60  1.60,243  215  255,34  10  24,/  16  8  8  /,3  2  1,+18  +2  +16,86%  77%  92%,153  154  152,16%  24%  13%,5  1  4,3  2  1,+2  -1  +3,2.0,0.0,socools0da NKT,,1.35  1.14  1.55,238  203  270,23  8  15,/  13  7  6  /,8  7  1,+10  +1  +9,74%  82%  67%,143  129  156,49%  53%  45%,2  1  1,2  2  0,0  -1  +1,Laz NKT,,1.90  2.55  1.80,253  383  232,15  3  12,/  2  0  2  /,1  1  0,+13  +3  +10,100%  100%  100%,141  261  122,12%  33%  9%,3  1  2,0  0  0,+3  +1  +2
1,socools0da NKT,,1.43  0.80  1.62,258  174  296,37  8  29,/  20  9  11  /,15  8  7,+17  -1  +18,81%  85%  79%,162  109  190,51%  53%  50%,4  1  3,4  3  1,0  -2  +2,13.0,10.0,qq NKT,,1.14  1.09  1.19,202  200  205,15  8  7,/  15  7  8  /,17  6  11,0  +1  -1,91%  91%  92%,124  97  148,17%  21%  14%,1  1  0,3  1  2,-2  0  -2,Teerapong NKT,,1.72  2.17  1.65,344  329  347,18  3  15,/  5  0  5  /,6  0  6,+13  +3  +10,93%  100%  92%,219  165  229,22%  0%  29%,0  0  0,1  0  1,-1  0  -1
2,Teerapong NKT,,1.37  1.63  1.31,283  273  266,34  12  22,/  21  9  12  /,14  6  8,+13  +3  +10,78%  77%  79%,179  179  179,21%  10%  29%,3  1  2,4  2  2,-1  -1  0,13.0,1.0,Laz NKT,,1.04  0.64  1.41,233  185  279,19  7  12,/  14  8  6  /,2  1  1,+5  -1  +6,78%  73%  83%,160  134  183,17%  21%  16%,2  0  2,3  2  1,-1  -2  +1,PoomOneLove NKT,,1.62  0.85  1.75,242  132  261,13  1  12,/  3  1  2  /,8  2  6,+10  0  +10,93%  50%  100%,174  67  192,18%  33%  16%,1  0  1,1  0  1,0  0  0
3,PoomOneLove NKT,,1.33  1.00  1.34,233  244  224,31  11  20,/  17  8  9  /,17  7  10,+14  +3  +11,81%  77%  83%,158  158  158,28%  29%  26%,4  1  3,2  0  2,+2  +1  +1,,,PoomOneLove NKT,,1.04  1.15  0.93,223  264  187,18  10  8,/  14  7  7  /,9  5  4,+4  +3  +1,74%  82%  67%,149  175  125,36%  29%  50%,3  1  2,1  0  1,+2  +1  +1,socools0da NKT,,1.51  0.46  1.69,277  13  321,14  0  14,/  7  2  5  /,7  1  6,+7  -2  +9,93%  100%  92%,191  0  223,54%  54%,2  0  2,2  1  1,0  -1  +1
4,qq NKT,,1.09  1.66  1.01,196  235  178,24  11  13,/  22  7  15  /,21  6  15,+2  +4  -2,89%  92%  88%,121  122  121,16%  22%  12%,2  1  1,6  1  5,-4  0  -4,,,Teerapong NKT,,1.02  1.09  0.97,221  263  184,16  9  7,/  16  9  7  /,8  6  2,0  0  0,70%  73%  67%,154  181  129,20%  14%  29%,3  1  2,3  2  1,0  -1  +1,qq NKT,,1.03  2.22  0.83,190  429  151,9  3  6,/  7  0  7  /,4  0  4,+2  +3  -1,86%  100%  83%,117  260  94,14%  25%  10%,1  0  1,3  0  3,-2  0  -2
5,Georgebest FSA,,0.81  0.75  0.96,185  172  268,27  14  13,/  32  21  11  /,3  0  3,-5  -7  +2,65%  54%  85%,140  120  178,28%  37%  21%,6  4  2,5  5  0,+1  -1  +2,,,Georgebest FSA,,1.26  1.18  1.35,266  238  298,22  10  12,/  18  9  9  /,3  0  3,+4  +1  +3,78%  67%  91%,174  153  196,27%  35%  23%,5  3  2,2  2  0,+3  +1  +2,R4ve FSA,,0.74  0.83  0.18,198  205  163,8  7  1,/  14  12  2  /,4  4  0,-6  -5  -1,50%  50%  50%,121  126  92,39%  39%  40%,2  2  0,1  1  0,+1  +1  0
6,R4ve FSA,,0.80  0.85  0.51,186  207  138,21  16  5,/  31  22  9  /,11  7  4,-10  -6  -4,62%  63%  62%,120  131  101,31%  32%  30%,2  2  0,3  2  1,-1  0  -1,,,PooJoGod FSA,,0.87  0.64  1.11,160  105  220,12  4  8,/  18  10  8  /,9  3  6,-6  -6  0,61%  50%  73%,105  69  146,17%  19%  16%,4  1  3,2  1  1,+2  0  +2,PooJoGod FSA,,0.47  0.47  0.47,120  126  90,5  5  0,/  14  12  2  /,3  1  2,-9  -7  -2,43%  33%  100%,77  75  90,12%  13%  0%,2  2  0,1  1  0,+1  +1  0
7,PooJoGod FSA,,0.67  0.56  0.79,140  116  200,17  9  8,/  32  22  10  /,12  4  8,-15  -13  -2,54%  42%  77%,95  72  137,15%  15%  14%,6  3  3,3  2  1,+3  +1  +2,,,R4ve FSA,,0.86  0.87  0.85,173  210  133,13  9  4,/  17  10  7  /,7  3  4,-4  -1  -3,70%  75%  64%,120  136  102,27%  27%  27%,0  0  0,2  1  1,-2  -1  -1,ZuoKew FSA,,0.40  0.44  0.15,95  89  138,4  3  1,/  13  11  2  /,1  1  0,-9  -8  -1,50%  50%  50%,70  68  80,36%  30%  100%,2  1  1,2  1  1,0  0  0
8,ZuoKew FSA,,0.60  0.44  0.67,144  114  234,20  9  11,/  34  22  12  /,3  2  1,-14  -13  -1,57%  46%  77%,107  82  154,57%  53%  61%,5  2  3,5  4  1,0  -2  +2,,,Saveby FSA,,0.81  0.75  0.87,125  142  109,9  6  3,/  17  9  8  /,15  6  9,-8  -3  -5,48%  42%  55%,94  98  89,15%  17%  13%,0  0  0,2  0  2,-2  0  -2,Georgebest FSA,,0.36  0.32  0.57,104  105  103,5  4  1,/  14  12  2  /,0  0  0,-9  -8  -1,43%  42%  50%,85  86  77,33%  42%  0%,1  1  0,3  3  0,-2  -2  0
9,Saveby FSA,,0.54  0.52  0.51,109  117  107,11  8  3,/  31  21  10  /,17  8  9,-20  -13  -7,43%  42%  46%,86  85  90,14%  16%  10%,0  0  0,2  0  2,-2  0  -2,,,ZuoKew FSA,,0.80  0.44  1.18,192  139  251,16  6  10,/  21  11  10  /,2  1  1,-5  -5  0,61%  42%  82%,130  96  168,65%  78%  59%,3  1  2,3  3  0,0  -2  +2,Saveby FSA,,0.27  0.29  0.14,92  92  96,2  2  0,/  14  12  2  /,2  2  0,-12  -10  -2,36%  42%,74  71  96,12%  15%  0%,0  0  0,0  0  0,0  0  0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BossShi SPE,,1.23  1.23  1.23,264  267  261,39  22  17,/  30  16  14  /,25  14  11,+9  +6  +3,79%  83%  72%,163  166  160,34%  37%  30%,3  1  2,4  0  4,-1  +1  -2,0.0,2.0,BossShi SPE,,1.47  1.47  1.46,300  298  304,22  12  10,/  13  6  7  /,12  7  5,+9  +6  +3,81%  83%  78%,183  186  179,36%  29%  47%,2  1  1,2  0  2,0  +1  -1,BossShi SPE,,1.00  0.99  1.00,227  236  217,17  10  7,/  17  10  7  /,13  7  6,0  0  0,76%  83%  67%,144  146  141,32%  50%  17%,1  0  1,2  0  2,-1  0  -1
12,Jele SPE,,0.92  0.94  0.88,239  236  244,33  18  15,/  33  18  15  /,5  3  2,0  0  0,60%  63%  56%,149  154  143,21%  21%  22%,8  5  3,10  7  3,-2  -2  0,8.0,13.0,PinOcchiOs SPE,,1.04  1.22  0.81,215  263  151,14  9  5,/  16  9  7  /,13  8  5,-2  0  -2,71%  75%  67%,148  190  92,22%  23%  21%,2  2  0,1  1  0,+1  +1  0,Jele SPE,,0.98  1.28  0.58,268  338  175,18  13  5,/  17  9  8  /,1  1  0,+1  +4  -3,62%  67%  56%,166  216  99,19%  20%  17%,5  3  2,3  2  1,+2  +1  +1
