,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,rawfiul OGS,,1.83  1.79  1.94,413  403  439,26  17  9,/  10  7  3  /,3  3  0,+16  +10  +6,82%  83%  80%,244  239  255,42%  38%  55%,8  7  1,0  0  0,+8  +7  +1,1.0,0.0,rawfiul OGS,,1.83  1.79  1.94,413  403  439,26  17  9,/  10  7  3  /,3  3  0,+16  +10  +6,82%  83%  80%,244  239  255,42%  38%  55%,8  7  1,0  0  0,+8  +7  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Antidote OGS,,1.14  1.20  0.99,154  165  129,9  7  2,/  9  6  3  /,6  5  1,0  +1  -1,76%  75%  80%,102  107  91,30%  29%  33%,0  0  0,1  1  0,-1  -1  0,13.0,4.0,Antidote OGS,,1.14  1.20  0.99,154  165  129,9  7  2,/  9  6  3  /,6  5  1,0  +1  -1,76%  75%  80%,102  107  91,30%  29%  33%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Excali OGS,,1.03  0.92  1.30,176  135  275,11  6  5,/  9  6  3  /,3  2  1,+2  0  +2,82%  83%  80%,116  95  168,34%  38%  31%,1  0  1,2  2  0,-1  -2  +1,,,Excali OGS,,1.03  0.92  1.30,176  135  275,11  6  5,/  9  6  3  /,3  2  1,+2  0  +2,82%  83%  80%,116  95  168,34%  38%  31%,1  0  1,2  2  0,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,azys OGS,,1.01  1.22  0.50,234  291  98,15  13  2,/  11  8  3  /,1  1  0,+4  +5  -1,76%  83%  60%,145  183  53,20%  17%  100%,1  0  1,3  1  2,-2  -1  -1,,,azys OGS,,1.01  1.22  0.50,234  291  98,15  13  2,/  11  8  3  /,1  1  0,+4  +5  -1,76%  83%  60%,145  183  53,20%  17%  100%,1  0  1,3  1  2,-2  -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,frostmind OGS,,0.95  1.07  0.67,164  187  111,10  8  2,/  11  8  3  /,4  4  0,-1  0  -1,65%  75%  40%,98  104  84,41%  47%  20%,1  1  0,0  0  0,+1  +1  0,,,frostmind OGS,,0.95  1.07  0.67,164  187  111,10  8  2,/  11  8  3  /,4  4  0,-1  0  -1,65%  75%  40%,98  104  84,41%  47%  20%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Amaterasu TS,,1.11  0.78  1.24,247  113  303,15  2  13,/  14  4  10  /,5  3  2,+1  -2  +3,65%  80%  58%,147  66  180,57%  33%  64%,0  0  0,1  0  1,-1  0  -1,,,Amaterasu TS,,1.11  0.78  1.24,247  113  303,15  2  13,/  14  4  10  /,5  3  2,+1  -2  +3,65%  80%  58%,147  66  180,57%  33%  64%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Marzil TS,,0.86  0.78  0.90,179  195  174,10  3  7,/  13  4  9  /,3  1  2,-3  -1  -2,71%  60%  75%,124  113  128,31%  50%  26%,1  1  0,0  0  0,+1  +1  0,,,Marzil TS,,0.86  0.78  0.90,179  195  174,10  3  7,/  13  4  9  /,3  1  2,-3  -1  -2,71%  60%  75%,124  113  128,31%  50%  26%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,rite2ace TS,,0.70  0.99  0.57,146  168  137,7  3  4,/  15  4  11  /,8  1  7,-8  -1  -7,71%  80%  67%,92  98  90,33%  22%  40%,1  0  1,0  0  0,+1  0  +1,,,rite2ace TS,,0.70  0.99  0.57,146  168  137,7  3  4,/  15  4  11  /,8  1  7,-8  -1  -7,71%  80%  67%,92  98  90,33%  22%  40%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tricky TS,,0.66  0.89  0.56,171  224  150,10  4  6,/  14  4  10  /,2  1  1,-4  0  -4,65%  60%  67%,121  150  109,38%  57%  32%,2  1  1,2  0  2,0  +1  -1,,,tricky TS,,0.66  0.89  0.56,171  224  150,10  4  6,/  14  4  10  /,2  1  1,-4  0  -4,65%  60%  67%,121  150  109,38%  57%  32%,2  1  1,2  0  2,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Deadly10 TS,,0.47  0.74  0.35,150  179  138,8  3  5,/  15  4  11  /,1  1  0,-7  -1  -6,41%  60%  33%,104  147  87,14%  17%  13%,2  0  2,8  3  5,-6  -3  -3,,,Deadly10 TS,,0.47  0.74  0.35,150  179  138,8  3  5,/  15  4  11  /,1  1  0,-7  -1  -6,41%  60%  33%,104  147  87,14%  17%  13%,2  0  2,8  3  5,-6  -3  -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Venka MiBH,,1.11  1.04  1.18,271  195  348,24  9  15,/  18  9  9  /,0  0  0,+6  0  +6,58%  42%  75%,180  147  213,40%  43%  39%,4  1  3,2  2  0,+2  -1  +3,0.0,1.0,Venka MiBH,,1.11  1.04  1.18,271  195  348,24  9  15,/  18  9  9  /,0  0  0,+6  0  +6,58%  42%  75%,180  147  213,40%  43%  39%,4  1  3,2  2  0,+2  -1  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Hoax MiBH,,1.01  0.92  1.10,149  151  148,12  5  7,/  13  8  5  /,6  6  0,-1  -3  +2,67%  67%  67%,100  100  100,23%  24%  21%,0  0  0,1  0  1,-1  0  -1,11.0,13.0,Hoax MiBH,,1.01  0.92  1.10,149  151  148,12  5  7,/  13  8  5  /,6  6  0,-1  -3  +2,67%  67%  67%,100  100  100,23%  24%  21%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,vibhoRR MiBH,,0.92  1.17  0.68,168  209  127,13  8  5,/  17  8  9  /,9  6  3,-4  0  -4,54%  58%  50%,110  127  93,32%  35%  27%,0  0  0,2  0  2,-2  0  -2,,,vibhoRR MiBH,,0.92  1.17  0.68,168  209  127,13  8  5,/  17  8  9  /,9  6  3,-4  0  -4,54%  58%  50%,110  127  93,32%  35%  27%,0  0  0,2  0  2,-2  0  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,shooterR MiBH,,0.90  1.08  0.72,196  239  155,16  10  6,/  17  8  9  /,3  1  2,-1  +2  -3,58%  50%  67%,130  156  105,36%  40%  29%,5  3  2,3  2  1,+2  +1  +1,,,shooterR MiBH,,0.90  1.08  0.72,196  239  155,16  10  6,/  17  8  9  /,3  1  2,-1  +2  -3,58%  50%  67%,130  156  105,36%  40%  29%,5  3  2,3  2  1,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,RvK MiBH,,0.44  0.12  0.75,112  71  154,10  4  6,/  18  10  8  /,3  0  3,-8  -6  -2,50%  33%  67%,82  45  120,41%  50%  38%,2  0  2,5  4  1,-3  -4  +1,,,RvK MiBH,,0.44  0.12  0.75,112  71  154,10  4  6,/  18  10  8  /,3  0  3,-8  -6  -2,50%  33%  67%,82  45  120,41%  50%  38%,2  0  2,5  4  1,-3  -4  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,d1srupt TR,,1.33  1.42  1.24,244  277  213,19  10  9,/  15  8  7  /,7  4  3,+4  +2  +2,83%  92%  75%,182  214  151,22%  23%  21%,3  1  2,0  0  0,+3  +1  +2,,,d1srupt TR,,1.33  1.42  1.24,244  277  213,19  10  9,/  15  8  7  /,7  4  3,+4  +2  +2,83%  92%  75%,182  214  151,22%  23%  21%,3  1  2,0  0  0,+3  +1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,hellff TR,,1.32  1.17  1.47,199  163  235,16  7  9,/  14  7  7  /,14  6  8,+2  0  +2,75%  67%  83%,135  102  169,28%  21%  32%,4  2  2,3  2  1,+1  0  +1,,,hellff TR,,1.32  1.17  1.47,199  163  235,16  7  9,/  14  7  7  /,14  6  8,+2  0  +2,75%  67%  83%,135  102  169,28%  21%  32%,4  2  2,3  2  1,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DEATHMAKER TR,,1.16  1.01  1.31,231  207  255,18  8  10,/  15  8  7  /,6  2  4,+3  0  +3,63%  50%  75%,171  144  199,36%  36%  35%,3  1  2,3  2  1,0  -1  +1,,,DEATHMAKER TR,,1.16  1.01  1.31,231  207  255,18  8  10,/  15  8  7  /,6  2  4,+3  0  +3,63%  50%  75%,171  144  199,36%  36%  35%,3  1  2,3  2  1,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aryu TR,,1.01  1.11  0.90,168  159  177,15  7  8,/  15  7  8  /,5  2  3,0  0  0,71%  67%  75%,128  126  130,32%  32%  32%,1  1  0,2  0  2,-1  +1  -2,,,Aryu TR,,1.01  1.11  0.90,168  159  177,15  7  8,/  15  7  8  /,5  2  3,0  0  0,71%  67%  75%,128  126  130,32%  32%  32%,1  1  0,2  0  2,-1  +1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Techno TR,,0.96  0.82  1.11,189  183  196,15  9  6,/  16  9  7  /,6  1  5,-1  0  -1,67%  67%  67%,124  109  139,27%  15%  42%,2  0  2,3  3  0,-1  -3  +2,,,Techno TR,,0.96  0.82  1.11,189  183  196,15  9  6,/  16  9  7  /,6  1  5,-1  0  -1,67%  67%  67%,124  109  139,27%  15%  42%,2  0  2,3  3  0,-1  -3  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,traNz MLT,,1.02  1.95  0.49,267  466  152,19  13  6,/  15  4  11  /,2  2  0,+4  +9  -5,47%  71%  33%,162  285  90,33%  48%  14%,2  1  1,2  1  1,0  0  0,0.0,1.0,traNz MLT,,1.02  1.95  0.49,267  466  152,19  13  6,/  15  4  11  /,2  2  0,+4  +9  -5,47%  71%  33%,162  285  90,33%  48%  14%,2  1  1,2  1  1,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Kasper MLT,,0.90  1.19  0.73,183  273  132,13  7  6,/  15  5  10  /,0  0  0,-2  +2  -4,63%  71%  58%,127  184  94,42%  38%  50%,2  0  2,1  1  0,+1  -1  +2,6.0,13.0,Kasper MLT,,0.90  1.19  0.73,183  273  132,13  7  6,/  15  5  10  /,0  0  0,-2  +2  -4,63%  71%  58%,127  184  94,42%  38%  50%,2  0  2,1  1  0,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ShuvHoe MLT,,0.66  0.62  0.68,155  122  176,9  3  6,/  16  4  12  /,4  2  2,-7  -1  -6,63%  86%  50%,117  75  142,22%  25%  21%,1  1  0,2  0  2,-1  +1  -2,,,ShuvHoe MLT,,0.66  0.62  0.68,155  122  176,9  3  6,/  16  4  12  /,4  2  2,-7  -1  -6,63%  86%  50%,117  75  142,22%  25%  21%,1  1  0,2  0  2,-1  +1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Judgement MLT,,0.57  0.56  0.58,140  128  149,9  3  6,/  16  5  11  /,3  2  1,-7  -2  -5,63%  86%  50%,115  104  122,15%  25%  12%,1  0  1,4  1  3,-3  -1  -2,,,Judgement MLT,,0.57  0.56  0.58,140  128  149,9  3  6,/  16  5  11  /,3  2  1,-7  -2  -5,63%  86%  50%,115  104  122,15%  25%  12%,1  0  1,4  1  3,-3  -1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,arrogant MLT,,0.54  0.22  0.72,177  105  220,11  2  9,/  17  6  11  /,1  0  1,-6  -4  -2,58%  43%  67%,126  96  144,22%  33%  19%,1  1  0,3  1  2,-2  0  -2,,,arrogant MLT,,0.54  0.22  0.72,177  105  220,11  2  9,/  17  6  11  /,1  0  1,-6  -4  -2,58%  43%  67%,126  96  144,22%  33%  19%,1  1  0,3  1  2,-2  0  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,LeVi ASTR,,1.81  1.74  1.94,342  325  373,25  15  10,/  9  5  4  /,5  4  1,+16  +10  +6,79%  83%  71%,213  206  226,49%  46%  52%,2  1  1,0  0  0,+2  +1  +1,,,LeVi ASTR,,1.81  1.74  1.94,342  325  373,25  15  10,/  9  5  4  /,5  4  1,+16  +10  +6,79%  83%  71%,213  206  226,49%  46%  52%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Kohliii ASTR,,1.36  1.35  1.39,240  240  241,15  10  5,/  13  8  5  /,7  4  3,+2  +2  0,79%  92%  57%,167  163  174,39%  31%  50%,2  1  1,1  1  0,+1  0  +1,,,Kohliii ASTR,,1.36  1.35  1.39,240  240  241,15  10  5,/  13  8  5  /,7  4  3,+2  +2  0,79%  92%  57%,167  163  174,39%  31%  50%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
