,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,something PRX,,1.06  1.08  1.03,207  220  197,66  39  27,/  66  38  28  /,18  15  3,0  +1  -1,70%  77%  63%,137  148  125,25%  25%  26%,13  5  8,7  3  4,+6  +2  +4,1.0,3.0,d4v41 PRX,,1.08  1.54  0.58,197  269  120,15  11  4,/  15  6  9  /,7  5  2,0  +5  -5,78%  100%  55%,133  181  81,22%  28%  13%,0  0  0,2  0  2,-2  0  -2,something PRX,,1.49  1.19  1.79,275  224  327,25  11  14,/  15  9  6  /,2  2  0,+10  +2  +8,79%  75%  83%,180  146  214,37%  36%  37%,4  0  4,0  0  0,+4  0  +4,something PRX,,0.95  0.96  0.92,178  183  171,11  8  3,/  15  10  5  /,8  6  2,-4  -2  -2,61%  75%  33%,119  129  99,11%  21%  0%,2  1  1,0  0  0,+2  +1  +1,Jinggg PRX,,1.20  1.40  0.98,268  272  264,19  10  9,/  18  8  10  /,5  4  1,+1  +2  -1,70%  67%  73%,187  180  196,18%  17%  21%,3  1  2,3  1  2,0  0  0
1,d4v41 PRX,,1.03  1.22  0.79,186  212  164,61  37  24,/  58  28  30  /,33  21  12,+3  +9  -6,74%  85%  60%,129  142  114,28%  28%  27%,0  0  0,4  1  3,-4  -1  -3,10.0,13.0,something PRX,,0.99  1.02  0.96,197  179  217,16  8  8,/  18  9  9  /,4  3  1,-2  -1  -1,74%  67%  82%,131  131  130,29%  24%  38%,4  1  3,4  2  2,0  -1  +1,d4v41 PRX,,1.42  1.30  1.53,254  229  279,24  10  14,/  14  7  7  /,13  6  7,+10  +3  +7,79%  75%  83%,172  140  204,31%  22%  41%,0  0  0,0  0  0,0  0  0,mindfreak PRX,,0.86  0.84  0.92,172  180  156,10  7  3,/  14  10  4  /,9  5  4,-4  -3  -1,61%  67%  50%,99  109  77,39%  50%  22%,0  0  0,0  0  0,0  0  0,f0rsakeN PRX,,0.91  1.00  0.81,197  223  171,16  10  6,/  18  9  9  /,7  5  2,-2  +1  -3,57%  58%  55%,143  162  122,36%  45%  27%,5  2  3,6  4  2,-1  -2  +1
2,Jinggg PRX,,0.92  0.94  0.90,234  219  260,63  32  31,/  77  40  37  /,20  14  6,-14  -8  -6,65%  65%  65%,158  141  179,20%  22%  17%,19  13  6,11  8  3,+8  +5  +3,13.0,11.0,f0rsakeN PRX,,0.98  1.41  0.52,223  275  167,17  12  5,/  18  7  11  /,10  8  2,-1  +5  -6,78%  92%  64%,161  191  128,24%  22%  27%,4  3  1,4  2  2,0  +1  -1,Jinggg PRX,,0.98  0.96  1.00,272  224  321,20  8  12,/  22  11  11  /,3  2  1,-2  -3  +1,75%  67%  83%,180  147  213,21%  26%  17%,10  6  4,2  2  0,+8  +4  +4,f0rsakeN PRX,,0.72  1.07  0.04,160  215  51,9  8  1,/  15  9  6  /,6  5  1,-6  -1  -5,56%  75%  17%,97  131  29,22%  21%  50%,3  2  1,3  1  2,0  +1  -1,d4v41 PRX,,0.90  1.19  0.57,156  189  120,14  10  4,/  15  6  9  /,4  2  2,-1  +4  -5,70%  83%  55%,99  118  79,31%  26%  42%,0  0  0,0  0  0,0  0  0
3,f0rsakeN PRX,,0.88  1.15  0.51,181  222  133,54  38  16,/  67  32  35  /,31  22  9,-13  +6  -19,63%  71%  53%,124  147  96,26%  30%  21%,13  7  6,15  8  7,-2  -1  -1,5.0,13.0,mindfreak PRX,,0.94  1.17  0.69,171  214  124,16  12  4,/  17  7  10  /,5  2  3,-1  +5  -6,70%  83%  55%,109  137  79,36%  35%  38%,0  0  0,1  0  1,-1  0  -1,f0rsakeN PRX,,0.89  1.11  0.67,142  176  108,12  8  4,/  16  7  9  /,8  4  4,-4  +1  -5,58%  58%  58%,91  105  78,23%  43%  11%,1  0  1,2  1  1,-1  -1  0,d4v41 PRX,,0.71  0.83  0.49,138  162  92,8  6  2,/  14  9  5  /,9  8  1,-6  -3  -3,67%  83%  33%,106  129  59,29%  42%  8%,0  0  0,2  1  1,-2  -1  -1,something PRX,,0.80  1.13  0.44,177  297  48,14  12  2,/  18  10  8  /,4  4  0,-4  +2  -6,65%  92%  36%,114  185  36,26%  23%  50%,3  3  0,3  1  2,0  +2  -2
4,mindfreak PRX,,0.79  0.80  0.79,152  153  148,46  27  19,/  67  35  32  /,29  16  13,-21  -8  -13,63%  67%  58%,99  99  100,32%  33%  31%,0  0  0,6  3  3,-6  -3  -3,10.0,13.0,Jinggg PRX,,0.79  0.75  0.82,208  200  218,13  7  6,/  20  10  10  /,6  4  2,-7  -3  -4,57%  67%  45%,138  130  148,22%  33%  14%,2  2  0,2  2  0,0  0  0,mindfreak PRX,,0.60  0.65  0.55,84  100  70,6  4  2,/  18  9  9  /,8  4  4,-12  -5  -7,58%  58%  58%,66  73  59,24%  31%  17%,0  0  0,5  3  2,-5  -3  -2,Jinggg PRX,,0.70  0.65  0.80,188  180  205,11  7  4,/  17  11  6  /,6  4  2,-6  -4  -2,56%  58%  50%,118  109  136,18%  18%  17%,4  4  0,4  3  1,0  +1  -1,mindfreak PRX,,0.77  0.55  1.01,182  118  253,14  4  10,/  18  9  9  /,7  5  2,-4  -5  +1,61%  58%  64%,124  76  177,29%  19%  36%,0  0  0,0  0  0,0  0  0
5,Demon1 EG,,1.31  1.68  0.99,230  292  183,79  47  32,/  48  19  29  /,17  10  7,+31  +28  +3,75%  78%  73%,163  201  131,41%  44%  36%,12  5  7,6  4  2,+6  +1  +5,,,Demon1 EG,,1.49  2.03  0.99,303  400  215,27  18  9,/  14  5  9  /,1  0  1,+13  +13  0,70%  73%  67%,211  285  144,41%  48%  30%,6  3  3,1  1  0,+5  +2  +3,Ethan EG,,1.05  1.37  0.73,192  269  116,18  14  4,/  16  7  9  /,15  7  8,+2  +7  -5,71%  83%  58%,122  163  81,24%  24%  22%,0  0  0,4  2  2,-4  -2  -2,jawgemo EG,,1.56  1.88  1.40,360  417  332,23  9  14,/  12  3  9  /,4  1  3,+11  +6  +5,78%  67%  83%,219  243  207,13%  11%  14%,5  3  2,3  1  2,+2  +2  0,Demon1 EG,,1.43  2.22  0.71,244  349  149,23  17  6,/  13  4  9  /,10  5  5,+10  +13  -3,83%  91%  75%,162  226  104,46%  54%  33%,0  0  0,1  0  1,-1  0  -1
6,jawgemo EG,,1.22  1.26  1.22,281  242  304,85  35  50,/  62  26  36  /,25  11  14,+23  +9  +14,76%  73%  79%,179  159  195,16%  17%  16%,17  10  7,11  3  8,+6  +7  -1,,,jawgemo EG,,1.28  1.07  1.48,287  156  408,25  8  17,/  15  5  10  /,5  2  3,+10  +3  +7,83%  82%  83%,186  92  273,15%  20%  14%,4  2  2,2  0  2,+2  +2  0,Boostio EG,,1.04  0.99  1.10,246  241  253,19  9  10,/  19  11  8  /,8  5  3,0  -2  +2,71%  67%  75%,167  168  166,17%  26%  11%,2  1  1,5  3  2,-3  -2  -1,C0M EG,,1.50  1.19  1.65,246  135  303,18  3  15,/  7  2  5  /,4  2  2,+11  +1  +10,78%  83%  75%,145  91  172,26%  60%  21%,1  0  1,1  0  1,0  0  0,jawgemo EG,,1.26  1.55  0.99,338  405  279,26  15  11,/  18  8  10  /,5  3  2,+8  +7  +1,78%  91%  67%,225  273  180,18%  20%  15%,7  5  2,3  1  2,+4  +4  0
7,Boostio EG,,1.01  1.06  0.98,209  218  206,62  30  32,/  67  29  38  /,28  11  17,-5  +1  -6,76%  80%  73%,144  140  147,24%  28%  22%,6  3  3,11  6  5,-5  -3  -2,,,Boostio EG,,1.01  1.48  0.58,212  315  120,16  12  4,/  17  7  10  /,10  4  6,-1  +5  -6,83%  100%  67%,145  211  85,29%  32%  24%,2  1  1,2  0  2,0  +1  -1,C0M EG,,1.03  0.90  1.16,249  225  273,21  10  11,/  19  10  9  /,5  3  2,+2  0  +2,75%  75%  75%,156  143  169,16%  21%  13%,3  1  2,0  0  0,+3  +1  +2,Demon1 EG,,1.38  1.55  1.30,183  263  144,13  6  7,/  5  2  3  /,2  1  1,+8  +4  +4,83%  83%  83%,138  171  122,48%  45%  50%,3  1  2,1  0  1,+2  +1  +1,Boostio EG,,1.09  0.68  1.47,198  94  294,16  4  12,/  16  7  9  /,1  0  1,0  -3  +3,65%  64%  67%,131  51  203,36%  11%  43%,2  1  1,2  2  0,0  -1  +1
8,C0M EG,,1.00  0.98  1.00,181  164  191,56  22  34,/  54  23  31  /,22  14  8,+2  -1  +3,73%  80%  67%,116  115  117,17%  21%  14%,5  1  4,6  3  3,-1  -2  +1,,,Ethan EG,,0.90  0.99  0.82,154  174  136,12  7  5,/  16  7  9  /,16  7  9,-4  0  -4,83%  91%  75%,100  113  89,22%  33%  15%,1  1  0,2  1  1,-1  0  -1,Demon1 EG,,0.92  0.91  0.93,189  156  224,16  6  10,/  16  8  8  /,4  4  0,0  -2  +2,67%  67%  67%,136  116  155,32%  25%  38%,3  1  2,3  3  0,0  -2  +2,Ethan EG,,0.93  1.15  0.82,145  120  158,10  3  7,/  10  2  8  /,5  3  2,0  +1  -1,72%  83%  67%,105  109  103,19%  22%  17%,0  0  0,2  0  2,-2  0  -2,Ethan EG,,0.86  0.97  0.75,180  147  212,13  4  9,/  17  7  10  /,15  13  2,-4  -3  -1,74%  82%  67%,108  78  135,29%  21%  36%,2  0  2,3  1  2,-1  -1  0
9,Ethan EG,,0.93  1.12  0.78,168  187  156,53  28  25,/  59  23  36  /,51  30  21,-6  +5  -11,75%  85%  67%,109  118  102,24%  25%  22%,3  1  2,11  4  7,-8  -3  -5,,,C0M EG,,0.62  0.83  0.43,111  120  104,8  4  4,/  15  5  10  /,5  3  2,-7  -1  -6,65%  73%  58%,85  93  77,5%  7%  3%,0  0  0,3  2  1,-3  -2  -1,jawgemo EG,,0.78  0.55  1.00,140  84  197,11  3  8,/  17  10  7  /,11  5  6,-6  -7  +1,67%  50%  83%,97  73  120,20%  11%  25%,1  0  1,3  1  2,-2  -1  -1,Boostio EG,,0.89  1.10  0.78,179  218  159,11  5  6,/  15  4  11  /,9  2  7,-4  +1  -5,89%  100%  83%,128  119  132,22%  38%  18%,0  0  0,2  1  1,-2  -1  -1,C0M EG,,0.86  0.99  0.74,118  157  83,9  5  4,/  13  6  7  /,8  6  2,-4  -1  -3,74%  91%  58%,82  119  48,30%  33%  25%,1  0  1,2  1  1,-1  -1  0
