,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Filu DSY,,1.90  1.80  2.10,399  404  390,26  18  8,/  9  7  2  /,7  3  4,+17  +11  +6,83%  83%  83%,254  253  255,17%  26%  5%,6  4  2,2  2  0,+4  +2  +2,1.0,0.0,Filu DSY,,1.90  1.80  2.10,399  404  390,26  18  8,/  9  7  2  /,7  3  4,+17  +11  +6,83%  83%  83%,254  253  255,17%  26%  5%,6  4  2,2  2  0,+4  +2  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,waddle DSY,,1.47  1.67  1.07,226  287  105,15  13  2,/  7  5  2  /,10  5  5,+8  +8  0,94%  100%  83%,136  167  75,27%  30%  18%,1  1  0,1  0  1,0  +1  -1,13.0,5.0,waddle DSY,,1.47  1.67  1.07,226  287  105,15  13  2,/  7  5  2  /,10  5  5,+8  +8  0,94%  100%  83%,136  167  75,27%  30%  18%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,caydeN DSY,,1.21  1.03  1.58,163  144  201,10  6  4,/  8  6  2  /,8  4  4,+2  0  +2,89%  83%  100%,119  98  161,23%  20%  27%,1  0  1,1  1  0,0  -1  +1,,,caydeN DSY,,1.21  1.03  1.58,163  144  201,10  6  4,/  8  6  2  /,8  4  4,+2  0  +2,89%  83%  100%,119  98  161,23%  20%  27%,1  0  1,1  1  0,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,wackie DSY,,1.20  1.04  1.53,150  111  230,11  4  7,/  9  7  2  /,11  9  2,+2  -3  +5,94%  92%  100%,96  70  149,25%  20%  31%,1  1  0,2  1  1,-1  0  -1,,,wackie DSY,,1.20  1.04  1.53,150  111  230,11  4  7,/  9  7  2  /,11  9  2,+2  -3  +5,94%  92%  100%,96  70  149,25%  20%  31%,1  1  0,2  1  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tag DSY,,1.16  0.84  1.82,209  169  289,13  7  6,/  9  7  2  /,6  2  4,+4  0  +4,78%  67%  100%,131  112  170,21%  21%  22%,2  1  1,1  1  0,+1  0  +1,,,Tag DSY,,1.16  0.84  1.82,209  169  289,13  7  6,/  9  7  2  /,6  2  4,+4  0  +4,78%  67%  100%,131  112  170,21%  21%  22%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,APEX GG,,0.83  0.35  1.07,154  69  197,10  1  9,/  14  6  8  /,0  0  0,-4  -5  +1,39%  17%  50%,107  50  135,40%  33%  42%,0  0  0,0  0  0,0  0  0,,,APEX GG,,0.83  0.35  1.07,154  69  197,10  1  9,/  14  6  8  /,0  0  0,-4  -5  +1,39%  17%  50%,107  50  135,40%  33%  42%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,zedt GG,,0.70  0.69  0.70,165  172  162,9  3  6,/  14  5  9  /,1  0  1,-5  -2  -3,50%  33%  58%,123  117  126,47%  36%  56%,0  0  0,1  1  0,-1  -1  0,,,zedt GG,,0.70  0.69  0.70,165  172  162,9  3  6,/  14  5  9  /,1  0  1,-5  -2  -3,50%  33%  58%,123  117  126,47%  36%  56%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Eso177 GG,,0.55  0.43  0.61,191  202  186,11  4  7,/  17  6  11  /,0  0  0,-6  -2  -4,44%  50%  42%,105  107  103,25%  27%  23%,3  1  2,5  0  5,-2  +1  -3,,,Eso177 GG,,0.55  0.43  0.61,191  202  186,11  4  7,/  17  6  11  /,0  0  0,-6  -2  -4,44%  50%  42%,105  107  103,25%  27%  23%,3  1  2,5  0  5,-2  +1  -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,VTaguT GG,,0.53  0.27  0.66,101  152,5  0  5,/  15  5  10  /,2  0  2,-10  -5  -5,39%  17%  50%,72  108,25%  25%,1  0  1,0  0  0,+1  0  +1,,,VTaguT GG,,0.53  0.27  0.66,101  0  152,5  0  5,/  15  5  10  /,2  0  2,-10  -5  -5,39%  17%  50%,72  0  108,25%  25%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phardon GG,,0.48  0.33  0.56,123  107  132,7  2  5,/  15  5  10  /,0  0  0,-8  -3  -5,44%  33%  50%,93  82  99,13%  6%  19%,3  1  2,5  3  2,-2  -2  0,,,Phardon GG,,0.48  0.33  0.56,123  107  132,7  2  5,/  15  5  10  /,0  0  0,-8  -3  -5,44%  33%  50%,93  82  99,13%  6%  19%,3  1  2,5  3  2,-2  -2  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Hitch ORT,,0.90  0.90  0.88,172  157  185,22  8  14,/  28  8  20  /,14  4  10,-6  0  -6,65%  69%  63%,128  119  133,22%  10%  32%,2  1  1,1  1  0,+1  0  +1,0.0,2.0,Hitch ORT,,0.79  0.59  0.87,143  68  175,8  2  6,/  13  4  9  /,5  1  4,-5  -2  -3,59%  60%  58%,122  69  144,40%  17%  50%,0  0  0,1  1  0,-1  -1  0,hussaR ORT,,1.23  1.68  0.93,274  400  191,19  12  7,/  15  5  10  /,5  1  4,+4  +7  -3,85%  88%  83%,190  261  143,23%  36%  15%,5  3  2,1  0  1,+4  +3  +1,,,,,,,,,,,,,,
12,hussaR ORT,,0.84  1.04  0.70,210  297  171,28  14  14,/  32  10  22  /,9  2  7,-4  +4  -8,68%  69%  67%,149  195  124,28%  38%  22%,8  4  4,3  1  2,+5  +3  +2,4.0,13.0,ara ORT,,0.79  1.00  0.70,257  330  227,14  5  9,/  16  5  11  /,2  1  1,-2  0  -2,76%  100%  67%,177  239  151,53%  69%  41%,1  1  0,3  1  2,-2  0  -2,Hitch ORT,,1.01  1.20  0.89,201  212  195,14  6  8,/  15  4  11  /,9  3  6,-1  +2  -3,70%  75%  67%,134  150  123,15%  9%  21%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,
13,ara ORT,,0.77  0.63  0.88,212  147  241,26  6  20,/  31  11  20  /,4  1  3,-5  -5  0,62%  54%  67%,129  103  144,31%  50%  23%,4  2  2,5  2  3,-1  0  -1,7.0,13.0,jurca ORT,,0.77  0.94  0.69,170  195  161,12  4  8,/  13  4  9  /,0  0  0,-1  0  -1,71%  40%  83%,95  100  92,28%  25%  29%,2  0  2,1  0  1,+1  0  +1,ara ORT,,0.75  0.27  1.06,166  33  256,12  1  11,/  15  6  9  /,2  0  2,-3  -5  +2,50%  25%  67%,89  18  136,11%  0%  13%,3  1  2,2  1  1,+1  0  +1,,,,,,,,,,,,,,
