,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,Yusin EDGS,,1.26  1.24  1.36,210  205  214,69  39  30,/  52  27  25  /,44  28  16,+17  +12  +5,75%  75%  74%,132  133  131,21%  28%  15%,3  2  1,1  0  1,+2  +2  0,3.0,1.0,Yusin EDGS,,1.19  1.52  0.79,202  266  126,15  12  3,/  15  7  8  /,12  11  1,0  +5  -5,68%  75%  60%,139  175  94,19%  20%  18%,0  0  0,0  0  0,0  0  0,Yusin EDGS,,1.61  1.34  2.28,223  200  280,16  9  7,/  6  5  1  /,11  8  3,+10  +4  +6,88%  83%  100%,152  139  182,24%  25%  22%,1  1  0,0  0  0,+1  +1  0,Lizhi EDGS,,1.56  1.82  1.29,347  369  326,30  16  14,/  17  8  9  /,3  1  2,+13  +8  +5,71%  67%  75%,232  257  207,29%  38%  22%,6  4  2,3  1  2,+3  +3  0,Lizhi EDGS,,1.29  0.76  1.81,330  236  426,27  9  18,/  16  10  6  /,4  3  1,+11  -1  +12,75%  67%  83%,196  151  241,25%  32%  21%,6  2  4,5  4  1,+1  -2  +3,,,,,,,,,,,,,,
1,Lizhi EDGS,,1.25  1.24  1.16,270  260  296,86  45  41,/  57  31  26  /,14  8  6,+29  +14  +15,71%  67%  77%,173  169  178,24%  30%  18%,19  12  7,12  7  5,+7  +5  +2,13.0,9.0,XiMiLu EDGS,,1.17  1.09  1.27,221  180  271,17  8  9,/  15  7  8  /,8  4  4,+2  +1  +1,73%  67%  80%,134  122  148,27%  25%  29%,4  1  3,1  1  0,+3  0  +3,XiMiLu EDGS,,1.36  1.13  1.90,299  296  308,18  12  6,/  11  9  2  /,4  3  1,+7  +3  +4,94%  92%  100%,185  180  197,14%  18%  10%,2  2  0,2  1  1,0  +1  -1,Yusin EDGS,,0.97  0.86  1.09,202  133  272,18  6  12,/  19  9  10  /,11  5  6,-1  -3  +2,63%  67%  58%,112  79  145,21%  38%  15%,1  1  0,1  0  1,0  +1  -1,Yusin EDGS,,1.25  1.23  1.27,212  221  203,20  12  8,/  12  6  6  /,10  4  6,+8  +6  +2,83%  75%  92%,134  140  128,20%  36%  9%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
2,XiMiLu EDGS,,1.08  1.01  1.22,208  207  194,58  32  26,/  63  35  28  /,39  20  19,-5  -3  -2,76%  75%  77%,125  136  112,19%  19%  18%,9  4  5,9  5  4,0  -1  +1,13.0,4.0,Lizhi EDGS,,1.15  1.17  1.13,185  182  190,16  9  7,/  13  6  7  /,5  3  2,+3  +3  0,64%  67%  60%,111  106  117,10%  15%  5%,4  4  0,3  1  2,+1  +3  -2,WawaLee EDGS,,1.33  1.02  2.08,190  142  308,13  7  6,/  9  7  2  /,8  5  3,+4  0  +4,88%  83%  100%,116  86  188,20%  18%  22%,1  0  1,1  1  0,0  -1  +1,Clem EDGS,,0.92  1.14  0.70,183  234  134,16  11  5,/  16  7  9  /,2  1  1,0  +4  -4,63%  58%  67%,123  154  93,19%  19%  21%,1  0  1,2  2  0,-1  -2  +1,Clem EDGS,,1.09  1.14  1.04,200  231  170,17  9  8,/  16  9  7  /,3  2  1,+1  0  +1,71%  75%  67%,139  166  113,32%  25%  50%,3  2  1,3  0  3,0  +2  -2,,,,,,,,,,,,,,
3,Clem EDGS,,0.97  1.06  0.85,217  240  182,63  38  25,/  64  35  29  /,18  14  4,-1  +3  -4,68%  71%  64%,142  160  119,25%  21%  32%,11  7  4,12  5  7,-1  +2  -3,11.0,13.0,WawaLee EDGS,,0.95  1.06  0.82,176  243  97,14  11  3,/  16  9  7  /,8  5  3,-2  +2  -4,64%  67%  60%,103  135  65,12%  11%  13%,0  0  0,2  1  1,-2  -1  -1,Clem EDGS,,1.02  1.09  0.86,268  279  243,15  11  4,/  14  10  4  /,5  3  2,+1  +1  0,82%  83%  80%,161  168  145,20%  20%  19%,5  4  1,1  0  1,+4  +4  0,WawaLee EDGS,,0.80  0.65  0.95,168  116  222,13  5  8,/  17  9  8  /,5  3  2,-4  -4  0,71%  67%  75%,115  75  155,21%  40%  15%,2  0  2,2  2  0,0  -2  +2,XiMiLu EDGS,,1.03  1.00  1.05,176  186  167,13  7  6,/  17  9  8  /,13  4  9,-4  -2  -2,75%  58%  92%,113  123  104,22%  26%  19%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,
4,WawaLee EDGS,,0.95  0.87  1.14,165  155  174,50  28  22,/  59  33  26  /,26  15  11,-9  -5  -4,70%  71%  69%,102  93  113,16%  17%  15%,5  1  4,6  5  1,-1  -4  +3,13.0,11.0,Clem EDGS,,0.83  0.85  0.81,218  215  223,15  7  8,/  18  9  9  /,8  8  0,-3  -2  -1,59%  67%  50%,149  152  146,30%  22%  44%,2  1  1,6  3  3,-4  -2  -2,Lizhi EDGS,,0.99  1.23  0.43,216  253  129,13  11  2,/  11  7  4  /,2  1  1,+2  +4  -2,76%  67%  100%,138  163  77,28%  33%  13%,3  2  1,1  1  0,+2  +1  +1,XiMiLu EDGS,,0.75  0.82  0.67,137  165  110,10  5  5,/  20  10  10  /,14  9  5,-10  -5  -5,67%  83%  50%,87  118  56,14%  12%  18%,1  0  1,5  2  3,-4  -2  -2,WawaLee EDGS,,0.72  0.73  0.70,127  121  134,10  5  5,/  17  8  9  /,5  2  3,-7  -3  -4,63%  67%  58%,78  78  79,12%  13%  12%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,
5,suzu ZETA.GC,,1.12  1.04  1.21,248  255  246,75  35  40,/  66  29  37  /,22  5  17,+9  +6  +3,70%  67%  73%,161  166  158,21%  18%  24%,15  6  9,12  5  7,+3  +1  +2,,,suzu ZETA.GC,,1.38  1.27  1.47,306  288  322,23  11  12,/  15  6  9  /,7  2  5,+8  +5  +3,82%  80%  83%,194  175  210,23%  18%  26%,3  1  2,2  1  1,+1  0  +1,suzu ZETA.GC,,1.02  1.12  0.98,206  344  149,12  6  6,/  14  5  9  /,6  0  6,-2  +1  -3,59%  60%  58%,135  220  100,16%  18%  15%,2  1  1,3  1  2,-1  0  -1,romia ZETA.GC,,1.20  1.39  1.01,240  290  190,21  15  6,/  15  6  9  /,8  1  7,+6  +9  -3,75%  83%  67%,171  202  140,30%  35%  25%,1  0  1,5  1  4,-4  -1  -3,KOHAL ZETA.GC,,1.12  1.44  0.79,194  269  120,16  11  5,/  16  8  8  /,13  8  5,0  +3  -3,75%  83%  67%,122  170  73,19%  25%  9%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,
6,romia ZETA.GC,,0.89  0.82  0.88,178  189  170,55  28  27,/  61  25  36  /,16  6  10,-6  +3  -9,69%  74%  65%,128  143  116,30%  32%  29%,3  1  2,14  7  7,-11  -6  -5,,,romia ZETA.GC,,0.98  1.08  0.91,178  178  180,16  7  9,/  15  6  9  /,2  2  0,+1  +1  0,77%  90%  67%,135  159  114,28%  27%  29%,1  1  0,3  3  0,-2  -2  0,Moco ZETA.GC,,0.75  0.06  1.03,174  20  239,11  0  11,/  14  5  9  /,5  3  2,-3  -5  +2,53%  40%  58%,103  5  144,36%  0%  38%,0  0  0,2  0  2,-2  0  -2,aco ZETA.GC,,1.10  1.13  1.06,249  274  225,20  11  9,/  17  10  7  /,11  5  6,+3  +1  +2,71%  67%  75%,152  161  143,16%  14%  18%,4  3  1,1  1  0,+3  +2  +1,suzu ZETA.GC,,0.99  0.59  1.38,220  140  302,18  5  13,/  18  9  9  /,5  1  4,0  -4  +4,67%  50%  83%,154  115  192,21%  14%  27%,5  1  4,5  1  4,0  0  0,,,,,,,,,,,,,,
7,aco ZETA.GC,,0.88  0.88  0.90,204  226  194,60  30  30,/  66  31  35  /,33  17  16,-6  -1  -5,67%  74%  60%,136  148  127,15%  23%  10%,8  6  2,10  4  6,-2  +2  -4,,,Moco ZETA.GC,,0.98  0.97  0.99,214  190  235,16  7  9,/  17  7  10  /,7  5  2,-1  0  -1,82%  90%  75%,145  148  143,30%  26%  35%,6  2  4,1  0  1,+5  +2  +3,aco ZETA.GC,,0.67  0.66  0.68,172  200  161,9  3  6,/  16  5  11  /,5  2  3,-7  -2  -5,71%  100%  58%,115  137  106,12%  31%  6%,1  1  0,1  0  1,0  +1  -1,suzu ZETA.GC,,1.09  1.17  1.01,258  306  210,22  13  9,/  19  9  10  /,4  2  2,+3  +4  -1,71%  75%  67%,157  186  128,24%  22%  29%,5  3  2,2  2  0,+3  +1  +2,aco ZETA.GC,,0.95  0.64  1.27,246  210  284,20  8  12,/  19  11  8  /,7  4  3,+1  -3  +4,58%  50%  67%,165  144  186,14%  29%  7%,2  1  1,5  3  2,-3  -2  -1,,,,,,,,,,,,,,
8,Moco ZETA.GC,,0.86  0.69  0.92,180  152  204,56  21  35,/  67  32  35  /,27  18  9,-11  -11  0,72%  74%  71%,113  98  125,29%  24%  33%,9  3  6,5  1  4,+4  +2  +2,,,KOHAL ZETA.GC,,0.83  0.94  0.73,148  167  132,11  6  5,/  16  6  10  /,15  8  7,-5  0  -5,68%  80%  58%,89  101  79,29%  40%  19%,1  1  0,1  0  1,0  +1  -1,romia ZETA.GC,,0.61  0.15  0.81,172  123  193,9  2  7,/  15  5  10  /,3  1  2,-6  -3  -3,53%  40%  58%,117  83  131,27%  50%  23%,1  0  1,4  1  3,-3  -1  -2,KOHAL ZETA.GC,,0.83  0.54  1.12,147  72  223,12  3  9,/  18  9  9  /,14  3  11,-6  -6  0,63%  50%  75%,85  46  124,22%  8%  30%,2  0  2,2  2  0,0  -2  +2,Moco ZETA.GC,,0.88  0.98  0.78,169  181  159,15  8  7,/  18  10  8  /,5  4  1,-3  -2  -1,71%  67%  75%,106  98  114,23%  10%  40%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,
9,KOHAL ZETA.GC,,0.84  0.82  0.83,165  165  166,49  22  27,/  66  28  38  /,45  20  25,-17  -6  -11,68%  72%  65%,99  102  96,25%  24%  25%,5  2  3,6  4  2,-1  -2  +1,,,aco ZETA.GC,,0.82  1.09  0.59,148  199  106,11  8  3,/  14  5  9  /,10  6  4,-3  +3  -6,68%  100%  42%,105  146  72,22%  28%  14%,1  1  0,3  0  3,-2  +1  -3,KOHAL ZETA.GC,,0.59  0.35  0.69,172  136  187,10  2  8,/  16  5  11  /,3  1  2,-6  -3  -3,65%  80%  58%,99  74  109,36%  14%  44%,1  0  1,2  1  1,-1  -1  0,Moco ZETA.GC,,0.82  0.76  0.89,164  147  182,14  6  8,/  18  10  8  /,10  6  4,-4  -4  0,79%  83%  75%,97  95  99,29%  43%  19%,1  0  1,1  0  1,0  0  0,romia ZETA.GC,,0.75  0.68  0.81,120  124  118,9  4  5,/  16  8  8  /,3  2  1,-7  -4  -3,67%  67%  67%,86  94  79,37%  25%  43%,0  0  0,2  2  0,-2  -2  0,,,,,,,,,,,,,,
