,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,TORANECO UNL.1,,0.89  1.01  0.82,264  290  249,15  6  9,/  17  7  10  /,3  1  2,-2  -1  -1,58%  57%  58%,176  201  161,36%  29%  40%,4  2  2,4  1  3,0  +1  -1,0.0,1.0,TORANECO UNL.1,,0.89  1.01  0.82,264  290  249,15  6  9,/  17  7  10  /,3  1  2,-2  -1  -1,58%  57%  58%,176  201  161,36%  29%  40%,4  2  2,4  1  3,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Clutch_Fi UNL.1,,0.83  0.81  0.84,154  151  156,11  5  6,/  13  5  8  /,0  0  0,-2  0  -2,58%  71%  50%,118  120  117,32%  45%  26%,0  0  0,0  0  0,0  0  0,6.0,13.0,Clutch_Fi UNL.1,,0.83  0.81  0.84,154  151  156,11  5  6,/  13  5  8  /,0  0  0,-2  0  -2,58%  71%  50%,118  120  117,32%  45%  26%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MOTHER3 UNL.1,,0.78  0.57  0.90,161  100  197,10  2  8,/  15  5  10  /,3  1  2,-5  -3  -2,58%  43%  67%,108  71  130,26%  8%  36%,1  1  0,0  0  0,+1  +1  0,,,MOTHER3 UNL.1,,0.78  0.57  0.90,161  100  197,10  2  8,/  15  5  10  /,3  1  2,-5  -3  -2,58%  43%  67%,108  71  130,26%  8%  36%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mittiii UNL.1,,0.77  1.35  0.44,212  364  124,15  9  6,/  14  5  9  /,0  0  0,+1  +4  -3,42%  71%  25%,111  191  65,4%  0%  10%,3  2  1,6  0  6,-3  +2  -5,,,mittiii UNL.1,,0.77  1.35  0.44,212  364  124,15  9  6,/  14  5  9  /,0  0  0,+1  +4  -3,42%  71%  25%,111  191  65,4%  0%  10%,3  2  1,6  0  6,-3  +2  -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NORIAKI UNL.1,,0.46  0.20  0.62,124  88  145,8  2  6,/  16  6  10  /,2  1  1,-8  -4  -4,58%  43%  67%,94  76  104,12%  9%  13%,0  0  0,1  1  0,-1  -1  0,,,NORIAKI UNL.1,,0.46  0.20  0.62,124  88  145,8  2  6,/  16  6  10  /,2  1  1,-8  -4  -4,58%  43%  67%,94  76  104,12%  9%  13%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SUYGETSU PMT.1,,1.76  1.75  1.78,366  327  436,25  14  11,/  12  7  5  /,3  2  1,+13  +7  +6,79%  83%  71%,239  220  271,31%  22%  44%,5  4  1,4  2  2,+1  +2  -1,,,SUYGETSU PMT.1,,1.76  1.75  1.78,366  327  436,25  14  11,/  12  7  5  /,3  2  1,+13  +7  +6,79%  83%  71%,239  220  271,31%  22%  44%,5  4  1,4  2  2,+1  +2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SyouTa PMT.1,,1.32  0.82  2.16,243  141  419,16  6  10,/  13  9  4  /,5  3  2,+3  -3  +6,74%  67%  86%,167  87  304,35%  36%  35%,2  1  1,1  0  1,+1  +1  0,,,SyouTa PMT.1,,1.32  0.82  2.16,243  141  419,16  6  10,/  13  9  4  /,5  3  2,+3  -3  +6,74%  67%  86%,167  87  304,35%  36%  35%,2  1  1,1  0  1,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CLZ PMT.1,,1.27  1.64  0.63,246  332  99,17  15  2,/  10  6  4  /,3  2  1,+7  +9  -2,84%  83%  86%,159  203  85,18%  21%  9%,2  2  0,1  1  0,+1  +1  0,,,CLZ PMT.1,,1.27  1.64  0.63,246  332  99,17  15  2,/  10  6  4  /,3  2  1,+7  +9  -2,84%  83%  86%,159  203  85,18%  21%  9%,2  2  0,1  1  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,makiba PMT.1,,1.02  1.35  0.46,159  224  49,11  10  1,/  10  5  5  /,2  1  1,+1  +5  -4,63%  75%  43%,122  170  41,30%  28%  50%,1  1  0,0  0  0,+1  +1  0,,,makiba PMT.1,,1.02  1.35  0.46,159  224  49,11  10  1,/  10  5  5  /,2  1  1,+1  +5  -4,63%  75%  43%,122  170  41,30%  28%  50%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Zennakukin PMT.1,,0.60  0.56  0.67,98  79  131,6  2  4,/  14  8  6  /,4  3  1,-8  -6  -2,68%  83%  43%,67  65  71,21%  13%  50%,1  1  0,2  0  2,-1  +1  -2,,,Zennakukin PMT.1,,0.60  0.56  0.67,98  79  131,6  2  4,/  14  8  6  /,4  3  1,-8  -6  -2,68%  83%  43%,67  65  71,21%  13%  50%,1  1  0,2  0  2,-1  +1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Deryeon BLD,,1.06  0.55  1.41,273  139  364,20  4  16,/  17  8  9  /,1  0  1,+3  -4  +7,65%  75%  58%,155  106  189,13%  21%  8%,4  2  2,4  3  1,0  -1  +1,0.0,1.0,Deryeon BLD,,1.06  0.55  1.41,273  139  364,20  4  16,/  17  8  9  /,1  0  1,+3  -4  +7,65%  75%  58%,155  106  189,13%  21%  8%,4  2  2,4  3  1,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,crazyguy BLD,,0.99  0.86  1.08,171  126  201,12  4  8,/  13  6  7  /,5  2  3,-1  -2  +1,75%  75%  75%,108  87  123,33%  25%  39%,2  0  2,1  1  0,+1  -1  +2,7.0,13.0,crazyguy BLD,,0.99  0.86  1.08,171  126  201,12  4  8,/  13  6  7  /,5  2  3,-1  -2  +1,75%  75%  75%,108  87  123,33%  25%  39%,2  0  2,1  1  0,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sScary BLD,,0.91  0.94  0.89,195  239  166,14  7  7,/  15  6  9  /,7  0  7,-1  +1  -2,65%  63%  67%,117  160  88,18%  12%  27%,1  1  0,0  0  0,+1  +1  0,,,sScary BLD,,0.91  0.94  0.89,195  239  166,14  7  7,/  15  6  9  /,7  0  7,-1  +1  -2,65%  63%  67%,117  160  88,18%  12%  27%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
