,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,Qbb ASEO,,,,,/  /,,,,,,,,,0.0,2.0,Qbb ASEO,,,,,/  /,,,,,,,,,Qbb ASEO,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pochacco ASEO,,,,,/  /,,,,,,,,,5.0,13.0,Pochacco ASEO,,,,,/  /,,,,,,,,,Pochacco ASEO,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,JianbAo ASEO,,,,,/  /,,,,,,,,,4.0,13.0,JianbAo ASEO,,,,,/  /,,,,,,,,,JianbAo ASEO,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,M77 ASEO,,,,,/  /,,,,,,,,,,,M77 ASEO,,,,,/  /,,,,,,,,,M77 ASEO,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ziyi ASEO,,,,,/  /,,,,,,,,,,,Ziyi ASEO,,,,,/  /,,,,,,,,,Ziyi ASEO,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,WawaLee EDGS,,,,,/  /,,,,,,,,,,,WawaLee EDGS,,,,,/  /,,,,,,,,,WawaLee EDGS,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,XiMiLu EDGS,,,,,/  /,,,,,,,,,,,XiMiLu EDGS,,,,,/  /,,,,,,,,,XiMiLu EDGS,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Blue EDGS,,,,,/  /,,,,,,,,,,,Blue EDGS,,,,,/  /,,,,,,,,,Blue EDGS,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yusin EDGS,,,,,/  /,,,,,,,,,,,Yusin EDGS,,,,,/  /,,,,,,,,,Yusin EDGS,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Clem EDGS,,,,,/  /,,,,,,,,,,,Clem EDGS,,,,,/  /,,,,,,,,,Clem EDGS,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Banger 4AM,,,273.0,45.0,/  28  /,9.0,17.0,,,,,,,0.0,2.0,Banger 4AM,,,343.0,27.0,/  13  /,6.0,14.0,,,,,,,Banger 4AM,,,202.0,18.0,/  15  /,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UdoTan 4AM,,,216.0,31.0,/  33  /,8.0,-2.0,,,,,,,7.0,13.0,UdoTan 4AM,,,235.0,15.0,/  15  /,5.0,0.0,,,,,,,PAULTATO 4AM,,,196.0,16.0,/  16  /,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PAULTATO 4AM,,,200.0,31.0,/  30  /,5.0,1.0,,,,,,,10.0,13.0,PAULTATO 4AM,,,204.0,15.0,/  14  /,1.0,1.0,,,,,,,UdoTan 4AM,,,196.0,16.0,/  18  /,3.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WsLeo 4AM,,,163.0,24.0,/  31  /,7.0,-7.0,,,,,,,,,WsLeo 4AM,,,139.0,9.0,/  15  /,4.0,-6.0,,,,,,,Ace 4AM,,,188.0,15.0,/  17  /,10.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ace 4AM,,,142.0,21.0,/  31  /,16.0,-10.0,,,,,,,,,Ace 4AM,,,95.0,6.0,/  14  /,6.0,-8.0,,,,,,,WsLeo 4AM,,,186.0,15.0,/  16  /,3.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ninebody TYL,,,277.0,42.0,/  29  /,8.0,13.0,,,,,,,,,Ninebody TYL,,,279.0,20.0,/  13  /,3.0,7.0,,,,,,,Abo TYL,,,279.0,24.0,/  16  /,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Abo TYL,,,215.0,35.0,/  31  /,8.0,4.0,,,,,,,,,ICEKING TYL,,,220.0,15.0,/  17  /,7.0,-2.0,,,,,,,Ninebody TYL,,,274.0,22.0,/  16  /,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ICEKING TYL,,,172.0,25.0,/  33  /,19.0,-8.0,,,,,,,,,LuoK1ng TYL,,,192.0,14.0,/  14  /,9.0,0.0,,,,,,,AAK TYL,,,186.0,17.0,/  16  /,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LuoK1ng TYL,,,163.0,23.0,/  30  /,22.0,-7.0,,,,,,,,,Abo TYL,,,150.0,11.0,/  15  /,3.0,-4.0,,,,,,,LuoK1ng TYL,,,134.0,9.0,/  16  /,13.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AAK TYL,,,162.0,28.0,/  29  /,14.0,-1.0,,,,,,,,,AAK TYL,,,138.0,11.0,/  13  /,12.0,-2.0,,,,,,,ICEKING TYL,,,124.0,10.0,/  16  /,12.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Alexy SMG.GC,,1.50  1.27  1.67,279  199  392,32  15  17,/  18  10  8  /,16  5  11,+14  +5  +9,88%  84%  93%,193  122  284,28%  33%  25%,1  0  1,4  4  0,-3  -4  +1,2.0,0.0,Alexy SMG.GC,,1.57  1.13  1.83,316  190  390,19  5  14,/  10  5  5  /,10  0  10,+9  0  +9,84%  71%  92%,224  115  287,27%  33%  26%,0  0  0,2  2  0,-2  -2  0,Kohaibi SMG.GC,,1.55  1.27  2.70,264  233  390,16  11  5,/  7  7  0  /,3  3  0,+9  +4  +5,87%  83%  100%,199  189  239,26%  24%  31%,3  2  1,0  0  0,+3  +2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Kohaibi SMG.GC,,1.43  1.22  2.04,291  274  320,38  19  19,/  20  14  6  /,5  4  1,+18  +5  +13,85%  79%  93%,201  214  185,21%  27%  16%,10  5  5,1  1  0,+9  +4  +5,13.0,6.0,enerii SMG.GC,,1.33  1.55  1.21,185  239  154,16  7  9,/  10  5  5  /,1  0  1,+6  +2  +4,68%  57%  75%,128  148  116,29%  32%  21%,2  0  2,2  0  2,0  0  0,Kamiyu SMG.GC,,1.53  1.43  1.94,293  292  301,17  13  4,/  10  9  1  /,7  6  1,+7  +4  +3,73%  75%  67%,188  190  180,48%  52%  38%,3  3  0,0  0  0,+3  +3  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,enerii SMG.GC,,1.30  1.53  0.74,228  294  133,31  22  9,/  22  14  8  /,5  2  3,+9  +8  +1,76%  74%  80%,152  191  103,32%  34%  24%,4  2  2,5  2  3,-1  0  -1,13.0,2.0,Kohaibi SMG.GC,,1.31  1.17  1.39,317  344  303,22  8  14,/  13  7  6  /,2  1  1,+9  +1  +8,84%  71%  92%,203  257  172,19%  32%  12%,7  3  4,1  1  0,+6  +2  +4,Alexy SMG.GC,,1.43  1.41  1.51,242  204  398,13  10  3,/  8  5  3  /,6  5  1,+5  +5  0,93%  92%  100%,155  126  270,29%  33%  21%,1  0  1,2  2  0,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Kamiyu SMG.GC,,1.02  0.75  1.35,194  201  159,23  14  9,/  26  16  10  /,15  6  9,-3  -2  -1,71%  63%  80%,114  131  93,42%  50%  33%,3  3  0,5  1  4,-2  +2  -4,,,shirazi SMG.GC,,0.91  0.83  0.96,139  81  173,10  2  8,/  11  4  7  /,8  3  5,-1  -2  +1,74%  57%  83%,99  61  122,18%  25%  16%,0  0  0,0  0  0,0  0  0,enerii SMG.GC,,1.26  1.50  0.27,271  326  53,15  15  0,/  12  9  3  /,4  2  2,+3  +6  -3,87%  83%  100%,183  216  53,35%  35%  33%,2  2  0,3  2  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
