,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,YESicaN FCY,,0.98  1.09  0.81,194  203  179,25  17  8,/  28  16  12  /,13  10  3,-3  +1  -4,81%  71%  100%,121  125  113,33%  29%  43%,1  1  0,4  3  1,-3  -2  -1,0.0,2.0,f1cio FCY,,1.11  0.85  1.64,291  269  339,18  11  7,/  15  11  4  /,4  3  1,+3  0  +3,78%  83%  67%,214  188  264,31%  28%  35%,1  0  1,2  2  0,-1  -2  +1,YESicaN FCY,,1.02  1.34  0.46,213  253  147,14  11  3,/  14  7  7  /,4  2  2,0  +4  -4,79%  67%  100%,134  150  108,33%  31%  38%,1  1  0,2  2  0,-1  -1  0
1,f1cio FCY,,0.96  0.88  1.13,230  213  257,30  18  12,/  31  21  10  /,6  5  1,-1  -3  +2,62%  63%  62%,150  135  179,27%  19%  44%,4  2  2,5  3  2,-1  -1  0,5.0,13.0,YESicaN FCY,,0.95  0.85  1.15,174  154  216,11  6  5,/  14  9  5  /,9  8  1,-3  -3  0,83%  75%  100%,107  101  120,33%  26%  50%,0  0  0,2  1  1,-2  -1  -1,Vera FCY,,0.95  1.06  0.76,227  247  194,13  9  4,/  17  10  7  /,6  4  2,-4  -1  -3,63%  58%  71%,162  172  146,21%  19%  26%,1  1  0,3  2  1,-2  -1  -1
2,Vera FCY,,0.92  1.06  0.66,218  254  151,25  20  5,/  32  20  12  /,9  5  4,-7  0  -7,70%  63%  85%,151  167  121,24%  27%  19%,4  4  0,5  4  1,-1  0  -1,6.0,13.0,Vera FCY,,0.89  1.05  0.56,208  261  102,12  11  1,/  15  10  5  /,3  1  2,-3  +1  -4,78%  67%  100%,139  162  91,28%  39%  8%,3  3  0,2  2  0,+1  +1  0,f1cio FCY,,0.80  0.91  0.62,168  158  187,12  7  5,/  16  10  6  /,2  2  0,-4  -3  -1,47%  42%  57%,90  81  106,23%  9%  63%,3  2  1,3  1  2,0  +1  -1
3,Kawa FCY,,0.54  0.50  0.63,96  77  135,10  6  4,/  30  19  11  /,19  13  6,-20  -13  -7,62%  63%  62%,65  44  102,23%  31%  17%,0  0  0,3  3  0,-3  -3  0,,,Kawa FCY,,0.44  0.35  0.63,69  53  102,4  2  2,/  14  10  4  /,8  7  1,-10  -8  -2,56%  50%  67%,43  25  79,21%  17%  25%,0  0  0,3  3  0,-3  -3  0,Kawa FCY,,0.65  0.65  0.64,123  100  163,6  4  2,/  16  9  7  /,11  6  5,-10  -5  -5,68%  75%  57%,86  64  122,23%  40%  13%,0  0  0,0  0  0,0  0  0
4,Suka FCY,,0.42  0.34  0.56,107  78  162,13  5  8,/  32  20  12  /,4  3  1,-19  -15  -4,49%  42%  62%,65  54  84,32%  24%  44%,3  0  3,8  4  4,-5  -4  -1,,,Suka FCY,,0.42  0.45  0.35,87  64  134,5  2  3,/  15  10  5  /,2  2  0,-10  -8  -2,33%  25%  50%,58  48  79,38%  20%  67%,1  0  1,4  1  3,-3  -1  -2,Suka FCY,,0.43  0.23  0.77,126  92  186,8  3  5,/  17  10  7  /,2  1  1,-9  -7  -2,63%  58%  71%,71  61  89,29%  27%  30%,2  0  2,4  3  1,-2  -3  +1
5,Keiko TL,,1.40  1.69  1.25,273  342  234,37  17  20,/  19  6  13  /,7  3  4,+18  +11  +7,86%  92%  83%,170  195  157,26%  35%  19%,9  2  7,5  1  4,+4  +1  +3,,,Keiko TL,,1.64  2.09  1.42,323  447  261,21  9  12,/  9  3  6  /,2  0  2,+12  +6  +6,83%  83%  83%,190  244  163,25%  47%  11%,6  2  4,1  0  1,+5  +2  +3,nAts TL,,1.78  2.64  1.27,339  451  274,25  13  12,/  9  1  8  /,2  2  0,+16  +12  +4,79%  100%  67%,216  286  175,35%  44%  29%,3  1  2,0  0  0,+3  +1  +2
6,nAts TL,,1.28  1.51  1.13,252  351  202,36  18  18,/  20  7  13  /,2  2  0,+16  +11  +5,76%  77%  75%,162  213  134,30%  35%  25%,5  3  2,1  1  0,+4  +2  +2,,,Mistic TL,,1.28  0.75  1.55,248  149  298,18  4  14,/  12  4  8  /,5  2  3,+6  0  +6,78%  67%  83%,156  101  183,34%  40%  32%,1  0  1,0  0  0,+1  0  +1,Jamppi TL,,1.27  0.96  1.45,247  200  275,18  5  13,/  12  6  6  /,9  6  3,+6  -1  +7,84%  86%  83%,156  132  169,25%  18%  29%,2  1  1,1  1  0,+1  0  +1
7,Mistic TL,,1.24  0.97  1.38,251  216  270,35  11  24,/  24  8  16  /,11  4  7,+11  +3  +8,86%  77%  92%,156  130  169,28%  28%  28%,5  2  3,1  1  0,+4  +1  +3,,,Enzo TL,,1.23  1.10  1.29,167  89  207,11  2  9,/  7  2  5  /,4  1  3,+4  0  +4,83%  83%  83%,112  61  137,4%  20%  0%,1  0  1,2  0  2,-1  0  -1,Mistic TL,,1.20  1.18  1.21,253  273  242,17  7  10,/  12  4  8  /,6  2  4,+5  +3  +2,95%  86%  100%,156  156  155,23%  21%  24%,4  2  2,1  1  0,+3  +1  +2
8,Jamppi TL,,1.23  0.96  1.38,216  162  247,30  8  22,/  23  9  14  /,19  8  11,+7  -1  +8,84%  77%  88%,137  102  156,32%  20%  37%,5  1  4,2  2  0,+3  -1  +4,,,Jamppi TL,,1.19  0.95  1.31,185  119  219,12  3  9,/  11  3  8  /,10  2  8,+1  0  +1,83%  67%  92%,118  67  143,43%  25%  50%,3  0  3,1  1  0,+2  -1  +3,Keiko TL,,1.15  1.28  1.08,223  252  207,16  8  8,/  10  3  7  /,5  3  2,+6  +5  +1,89%  100%  83%,152  153  151,27%  25%  28%,3  0  3,4  1  3,-1  -1  0
9,Enzo TL,,1.00  0.87  1.06,125  89  143,15  4  11,/  18  7  11  /,16  5  11,-3  -3  0,81%  85%  79%,80  55  93,6%  13%  4%,1  0  1,3  0  3,-2  0  -2,,,nAts TL,,0.78  0.39  0.98,165  235  130,11  5  6,/  11  6  5  /,0  0  0,0  -1  +1,72%  50%  83%,104  127  93,23%  26%  21%,2  2  0,1  1  0,+1  +1  0,Enzo TL,,0.76  0.65  0.83,82  89  79,4  2  2,/  11  5  6  /,12  4  8,-7  -3  -4,79%  86%  75%,50  50  50,12%  8%  17%,0  0  0,1  0  1,-1  0  -1
