,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,YuH4 NC.GC,,1.38  1.23  1.86,219  182  267,29  12  17,/  19  11  8  /,22  12  10,+10  +1  +9,78%  75%  82%,141  119  167,35%  26%  44%,2  0  2,1  1  0,+1  -1  +2,2.0,0.0,332 NC.GC,,1.50  1.41  1.70,283  259  345,17  11  6,/  9  6  3  /,2  1  1,+8  +5  +3,82%  75%  100%,160  151  184,18%  25%  0%,5  2  3,3  3  0,+2  -1  +3,YuH4 NC.GC,,1.58  1.72  1.49,233  194  261,16  5  11,/  9  1  8  /,15  9  6,+7  +4  +3,85%  100%  75%,146  130  156,47%  32%  63%,2  0  2,0  0  0,+2  0  +2,,,,,,,,,,,,,,
1,332 NC.GC,,1.35  1.66  1.21,273  292  249,35  20  15,/  21  9  12  /,5  4  1,+14  +11  +3,81%  85%  76%,162  178  143,22%  28%  13%,7  2  5,5  3  2,+2  -1  +3,13.0,4.0,MyoH4nN NC.GC,,1.48  1.52  1.37,347  389  248,20  15  5,/  10  8  2  /,1  1  0,+10  +7  +3,71%  75%  60%,228  273  120,21%  26%  10%,4  3  1,1  1  0,+3  +2  +1,332 NC.GC,,1.20  1.90  0.73,262  342  209,18  9  9,/  12  3  9  /,3  3  0,+6  +6  0,80%  100%  67%,163  220  126,23%  30%  17%,2  0  2,2  0  2,0  0  0,,,,,,,,,,,,,,
2,MyoH4nN NC.GC,,1.30  1.22  1.31,299  320  265,38  22  16,/  26  15  11  /,3  1  2,+12  +7  +5,68%  75%  59%,186  211  157,25%  30%  20%,8  5  3,4  3  1,+4  +2  +2,13.0,7.0,DoHee NC.GC,,1.31  1.11  1.79,169  133  258,10  6  4,/  6  5  1  /,4  2  2,+4  +1  +3,82%  75%  100%,104  84  153,18%  18%  19%,0  0  0,0  0  0,0  0  0,DoHee NC.GC,,1.17  2.01  0.61,184  284  118,14  9  5,/  11  1  10  /,6  3  3,+3  +8  -5,75%  100%  58%,118  174  80,15%  19%  7%,2  2  0,1  0  1,+1  +2  -1,,,,,,,,,,,,,,
3,DoHee NC.GC,,1.24  1.56  1.20,177  193  159,24  15  9,/  17  6  11  /,10  5  5,+7  +9  -2,78%  85%  71%,111  120  102,17%  18%  16%,2  2  0,1  0  1,+1  +2  -1,,,YuH4 NC.GC,,1.19  0.75  2.23,205  174  281,13  7  6,/  10  10  0  /,7  3  4,+3  -3  +6,71%  58%  100%,135  111  192,22%  20%  24%,0  0  0,1  1  0,-1  -1  0,MyoH4nN NC.GC,,1.13  0.93  1.26,250  216  273,18  7  11,/  16  7  9  /,2  0  2,+2  0  +2,65%  75%  58%,151  118  173,31%  41%  26%,4  2  2,3  2  1,+1  0  +1,,,,,,,,,,,,,,
4,B1nby0 NC.GC,,0.79  0.97  0.94,145  162  131,20  13  7,/  28  14  14  /,18  7  11,-8  -1  -7,65%  60%  71%,95  101  88,30%  34%  24%,2  1  1,5  3  2,-3  -2  -1,,,B1nby0 NC.GC,,0.79  0.49  1.51,118  94  176,8  4  4,/  12  10  2  /,8  4  4,-4  -6  +2,59%  42%  100%,69  60  92,30%  36%  22%,0  0  0,3  2  1,-3  -2  -1,B1nby0 NC.GC,,0.80  1.44  0.37,172  264  112,12  9  3,/  16  4  12  /,10  3  7,-4  +5  -9,70%  88%  58%,117  162  87,30%  33%  25%,2  1  1,2  1  1,0  0  0,,,,,,,,,,,,,,
5,BIBI CVA,,1.04  0.81  0.88,273  244  289,33  13  20,/  29  12  17  /,5  5  0,+4  +1  +3,65%  65%  65%,177  167  185,18%  21%  15%,11  3  8,13  7  6,-2  -4  +2,,,BIBI CVA,,1.16  0.23  1.55,329  142  407,19  2  17,/  14  5  9  /,1  1  0,+5  -3  +8,71%  60%  75%,205  86  254,17%  33%  15%,8  1  7,5  2  3,+3  -1  +4,BIBI CVA,,0.91  1.39  0.20,217  287  113,14  11  3,/  15  7  8  /,4  4  0,-1  +4  -5,60%  67%  50%,153  201  82,18%  20%  13%,3  2  1,8  5  3,-5  -3  -2,,,,,,,,,,,,,,
6,yeji CVA,,0.88  0.92  0.61,200  254  156,25  16  9,/  30  13  17  /,12  6  6,-5  +3  -8,70%  82%  60%,127  157  101,31%  27%  38%,2  1  1,2  1  1,0  0  0,,,yeji CVA,,0.87  0.51  1.02,192  133  217,10  2  8,/  14  5  9  /,7  2  5,-4  -3  -1,76%  60%  83%,126  111  133,30%  18%  36%,0  0  0,1  1  0,-1  -1  0,yeji CVA,,0.89  1.34  0.21,208  304  66,15  14  1,/  16  8  8  /,5  4  1,-1  +6  -7,65%  92%  25%,127  176  54,32%  30%  43%,2  1  1,1  0  1,+1  +1  0,,,,,,,,,,,,,,
7,jjuuBi CVA,,0.70  0.68  0.62,178  216  150,21  13  8,/  31  13  18  /,5  1  4,-10  0  -10,62%  71%  55%,125  151  102,13%  12%  15%,1  0  1,0  0  0,+1  0  +1,,,MOZZING CVA,,0.58  0.17  0.75,100  70  112,6  1  5,/  12  5  7  /,1  0  1,-6  -4  -2,53%  20%  67%,79  70  83,29%  17%  36%,0  0  0,1  0  1,-1  0  -1,jjuuBi CVA,,0.83  0.99  0.60,207  235  167,13  10  3,/  16  8  8  /,2  1  1,-3  +2  -5,65%  75%  50%,150  167  124,10%  11%  7%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
8,MOZZING CVA,,0.69  0.62  0.58,133  137  134,18  9  9,/  27  12  15  /,6  3  3,-9  -3  -6,68%  65%  70%,98  95  100,30%  35%  27%,1  1  0,3  1  2,-2  0  -2,,,jjuuBi CVA,,0.56  0.37  0.64,148  172  139,8  3  5,/  15  5  10  /,3  0  3,-7  -2  -5,59%  60%  58%,95  115  87,23%  18%  25%,0  0  0,0  0  0,0  0  0,MOZZING CVA,,0.80  1.07  0.40,165  165  167,12  8  4,/  15  7  8  /,5  3  2,-3  +1  -4,80%  83%  75%,113  106  125,31%  41%  21%,1  1  0,2  1  1,-1  0  -1,,,,,,,,,,,,,,
9,Yxx CVA,,0.52  0.35  0.59,107  116  104,14  6  8,/  29  14  15  /,2  1  1,-15  -8  -7,49%  59%  40%,73  83  65,18%  17%  20%,1  1  0,3  2  1,-2  -1  -1,,,Yxx CVA,,0.41  0.03  0.59,79  45  94,4  0  4,/  13  5  8  /,1  0  1,-9  -5  -4,35%  0%  50%,53  45  56,17%  11%  20%,0  0  0,2  1  1,-2  -1  -1,Yxx CVA,,0.63  0.66  0.58,134  145  119,10  6  4,/  16  9  7  /,1  1  0,-6  -3  -3,60%  83%  25%,90  99  77,20%  20%  20%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,
