,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,XII NWG,,,277.0,45.0,/  31  /,4.0,14.0,,,,,,,0.0,2.0,XII NWG,,,336.0,28.0,/  15  /,2.0,13.0,,,,,,,XII NWG,,,218.0,17.0,/  16  /,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,XiaoFei NWG,,,184.0,32.0,/  33  /,5.0,-1.0,,,,,,,9.0,13.0,happywei NWG,,,216.0,16.0,/  18  /,2.0,-2.0,,,,,,,XiaoFei NWG,,,205.0,16.0,/  15  /,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,happywei NWG,,,162.0,24.0,/  35  /,6.0,-11.0,,,,,,,8.0,13.0,XiaoFei NWG,,,162.0,16.0,/  18  /,2.0,-2.0,,,,,,,LockM NWG,,,185.0,12.0,/  16  /,6.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cxyy NWG,,,161.0,24.0,/  32  /,8.0,-8.0,,,,,,,,,cxyy NWG,,,158.0,13.0,/  17  /,2.0,-4.0,,,,,,,cxyy NWG,,,163.0,11.0,/  15  /,6.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LockM NWG,,,141.0,19.0,/  33  /,13.0,-14.0,,,,,,,,,LockM NWG,,,97.0,7.0,/  17  /,7.0,-10.0,,,,,,,happywei NWG,,,107.0,8.0,/  17  /,4.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Life ASE,,,276.0,41.0,/  29  /,13.0,12.0,,,,,,,,,Life ASE,,,308.0,22.0,/  16  /,5.0,6.0,,,,,,,bunt ASE,,,259.0,19.0,/  12  /,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,monk ASE,,,224.0,35.0,/  25  /,6.0,10.0,,,,,,,,,hfmi0dzjc9z7 ASE,,,250.0,20.0,/  15  /,6.0,5.0,,,,,,,Life ASE,,,244.0,19.0,/  13  /,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,hfmi0dzjc9z7 ASE,,,199.0,31.0,/  31  /,8.0,0.0,,,,,,,,,monk ASE,,,247.0,20.0,/  13  /,3.0,7.0,,,,,,,Zero1 ASE,,,207.0,15.0,/  11  /,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bunt ASE,,,193.0,27.0,/  28  /,19.0,-1.0,,,,,,,,,Zero1 ASE,,,153.0,15.0,/  16  /,10.0,-1.0,,,,,,,monk ASE,,,200.0,15.0,/  12  /,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Zero1 ASE,,,180.0,30.0,/  27  /,19.0,3.0,,,,,,,,,bunt ASE,,,126.0,8.0,/  16  /,10.0,-8.0,,,,,,,hfmi0dzjc9z7 ASE,,,147.0,11.0,/  16  /,2.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
