,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Kaephrodite MLT.GC,,1.49  1.63  1.38,291  307  222,51  40  11,/  26  17  9  /,11  10  1,+25  +23  +2,73%  72%  77%,181  198  134,21%  17%  41%,5  3  2,5  4  1,0  -1  +1,2.0,1.0,Kaephrodite MLT.GC,,0.79  0.75  0.91,211  196  257,12  8  4,/  13  10  3  /,1  1  0,-1  -2  +1,56%  42%  100%,138  140  131,20%  13%  50%,2  1  1,3  3  0,-1  -2  +1,Kaephrodite MLT.GC,,2.14  2.12  2.43,386  373  560,19  17  2,/  5  4  1  /,4  4  0,+14  +13  +1,92%  92%  100%,249  241  338,19%  14%  80%,1  0  1,0  0  0,+1  0  +1,eluwu MLT.GC,,1.71  1.40  2.18,388  331  475,28  14  14,/  12  9  3  /,4  3  1,+16  +5  +11,80%  75%  88%,252  219  301,44%  36%  54%,6  5  1,2  2  0,+4  +3  +1
1,eluwu MLT.GC,,1.21  1.05  1.61,266  235  399,47  28  19,/  35  28  7  /,14  13  1,+12  0  +12,73%  72%  77%,184  157  258,36%  32%  43%,11  8  3,8  8  0,+3  0  +3,3.0,13.0,lunah MLT.GC,,0.72  0.70  0.79,183  190  164,8  6  2,/  12  11  1  /,3  1  2,-4  -5  +1,75%  75%  75%,136  133  146,15%  18%  7%,0  0  0,2  1  1,-2  -1  -1,lunah MLT.GC,,1.73  1.77  1.26,314  334  82,18  18  0,/  5  5  0  /,5  4  1,+13  +13,92%  92%  100%,228  240  82,30%  32%  0%,3  3  0,1  1  0,+2  +2  0,Kaephrodite MLT.GC,,1.53  2.02  0.79,276  353  163,20  15  5,/  8  3  5  /,6  5  1,+12  +12  0,75%  83%  63%,172  213  110,24%  24%  21%,2  2  0,2  1  1,0  +1  -1
2,lunah MLT.GC,,1.13  1.19  0.91,225  234  168,39  33  6,/  31  25  6  /,15  8  7,+8  +8  0,84%  83%  85%,159  169  130,29%  33%  19%,5  4  1,3  2  1,+2  +2  0,13.0,0.0,eluwu MLT.GC,,0.68  0.54  1.10,173  130  306,9  5  4,/  15  11  4  /,2  2  0,-6  -6  0,50%  50%  50%,109  80  196,44%  67%  23%,4  2  2,4  4  0,0  -2  +2,Samphire MLT.GC,,1.58  1.60  1.39,222  239  25,10  10  0,/  5  5  0  /,12  10  2,+5  +5,92%  92%  100%,131  142,17%  17%,2  2  0,0  0  0,+2  +2  0,Samphire MLT.GC,,0.95  1.06  0.77,156  134  190,12  6  6,/  11  5  6  /,1  0  1,+1  +1  0,75%  83%  63%,119  111  131,39%  42%  36%,1  1  0,1  0  1,0  +1  -1
3,Samphire MLT.GC,,1.03  1.07  0.93,170  170  155,29  22  7,/  28  21  7  /,17  12  5,+1  +1  0,80%  81%  77%,113  113  111,30%  27%  45%,3  3  0,1  0  1,+2  +3  -1,13.0,7.0,Samphire MLT.GC,,0.57  0.55  0.63,131  137  116,7  6  1,/  12  11  1  /,4  2  2,-5  -5  0,75%  67%  100%,90  87  100,40%  32%  67%,0  0  0,0  0  0,0  0  0,eluwu MLT.GC,,1.22  1.19  1.54,238  245  166,10  9  1,/  8  8  0  /,8  8  0,+2  +1  +1,92%  92%  100%,172  172  165,18%  17%  33%,1  1  0,2  2  0,-1  -1  0,lunah MLT.GC,,0.92  1.09  0.67,179  179  180,13  9  4,/  14  9  5  /,7  3  4,-1  0  -1,85%  83%  88%,132  134  128,50%  61%  36%,2  1  1,0  0  0,+2  +1  +1
4,DDT MLT.GC,,0.74  0.74  1.23,130  127  149,22  15  7,/  33  25  8  /,17  16  1,-11  -10  -1,65%  69%  54%,86  80  104,24%  16%  47%,2  0  2,6  4  2,-4  -4  0,,,DDT MLT.GC,,0.50  0.46  0.64,98  109  70,5  4  1,/  13  12  1  /,4  4  0,-8  -8  0,50%  50%  50%,73  70  80,18%  17%  20%,0  0  0,1  1  0,-1  -1  0,DDT MLT.GC,,0.87  0.74  2.43,134  113  391,6  4  2,/  8  8  0  /,7  7  0,-2  -4  +2,77%  75%  100%,93  81  239,23%  11%  100%,0  0  0,3  3  0,-3  -3  0,DDT MLT.GC,,0.86  1.03  0.61,158  159  159,11  7  4,/  12  5  7  /,6  5  1,-1  +2  -3,70%  83%  50%,92  88  99,29%  21%  44%,2  0  2,2  0  2,0  0  0
5,Lillyyy BMY,,1.17  1.42  0.98,225  328  190,38  16  22,/  33  8  25  /,18  5  13,+5  +8  -3,76%  92%  69%,150  212  128,27%  29%  26%,5  3  2,3  0  3,+2  +3  -1,,,Lillyyy BMY,,1.59  2.12  1.41,257  439  197,15  7  8,/  6  1  5  /,7  1  6,+9  +6  +3,88%  100%  83%,149  247  117,34%  35%  33%,0  0  0,1  0  1,-1  0  -1,Lillyyy BMY,,0.80  0.36  0.83,197  52  209,8  0  8,/  12  2  10  /,4  1  3,-4  -2  -2,62%  100%  58%,144  52  151,16%  0%  17%,1  0  1,0  0  0,+1  0  +1,Lillyyy BMY,,1.13  1.77  0.70,220  307  163,15  9  6,/  15  5  10  /,7  3  4,0  +4  -4,75%  88%  67%,155  215  115,28%  26%  30%,4  3  1,2  0  2,+2  +3  -1
6,Madelynz BMY,,0.87  0.72  0.84,210  210  213,36  10  26,/  41  10  31  /,8  4  4,-5  0  -5,73%  77%  72%,125  116  128,18%  31%  15%,5  2  3,3  1  2,+2  +1  +1,,,HOKPIB BMY,,1.47  0.81  1.69,248  108  295,14  1  13,/  6  2  4  /,4  1  3,+8  -1  +9,81%  100%  75%,173  71  207,41%  17%  46%,4  0  4,1  1  0,+3  -1  +4,Pretzel BMY,,0.67  0.18  0.71,177  0  192,7  0  7,/  12  1  11  /,2  0  2,-5  -1  -4,54%  0%  58%,106  0  115,29%  29%,5  0  5,3  0  3,+2  0  +2,Madelynz BMY,,0.90  1.35  0.59,196  272  147,14  8  6,/  17  6  11  /,5  4  1,-3  +2  -5,75%  75%  75%,122  157  98,35%  37%  33%,2  1  1,2  0  2,0  +1  -1
7,HOKPIB BMY,,0.86  0.72  0.92,193  217  190,33  10  23,/  35  10  25  /,10  3  7,-2  0  -2,67%  85%  61%,131  126  133,24%  26%  23%,4  0  4,6  2  4,-2  -2  0,,,Dyummy BMY,,1.22  0.48  1.47,206  40  262,12  0  12,/  11  4  7  /,9  3  6,+1  -4  +5,88%  75%  92%,117  27  148,55%  100%  52%,2  0  2,2  1  1,0  -1  +1,Madelynz BMY,,0.50  0.01  0.57,168  0  183,8  0  8,/  13  1  12  /,1  0  1,-5  -1  -4,54%  0%  58%,94  0  102,10%  10%,0  0  0,1  1  0,-1  -1  0,HOKPIB BMY,,0.71  0.76  0.68,195  270  145,13  8  5,/  16  7  9  /,5  2  3,-3  +1  -4,75%  75%  75%,121  156  97,16%  25%  10%,0  0  0,3  1  2,-3  -1  -2
8,Dyummy BMY,,0.74  0.35  0.86,139  84  161,21  3  18,/  41  12  29  /,21  6  15,-20  -9  -11,65%  69%  64%,89  54  101,26%  40%  23%,3  0  3,3  1  2,0  -1  +1,,,Madelynz BMY,,1.21  0.79  1.34,266  140  309,14  2  12,/  11  3  8  /,2  0  2,+3  -1  +4,88%  100%  83%,154  64  184,13%  14%  13%,3  1  2,0  0  0,+3  +1  +2,HOKPIB BMY,,0.40  0.59  0.39,135  223  129,6  1  5,/  13  1  12  /,1  0  1,-7  0  -7,38%  100%  33%,97  105  96,22%  100%  19%,0  0  0,2  0  2,-2  0  -2,Dyummy BMY,,0.70  0.56  0.79,122  117  125,7  3  4,/  17  7  10  /,8  3  5,-10  -4  -6,60%  75%  50%,81  75  85,29%  33%  25%,1  0  1,0  0  0,+1  0  +1
9,Pretzel BMY,,0.74  0.46  0.83,152  67  178,25  3  22,/  38  11  27  /,5  1  4,-13  -8  -5,65%  69%  64%,96  47  114,26%  7%  31%,6  0  6,11  4  7,-5  -4  -1,,,Pretzel BMY,,1.04  1.02  1.05,152  167  148,10  3  7,/  7  2  5  /,0  0  0,+3  +1  +2,81%  75%  83%,94  100  92,20%  11%  27%,1  0  1,2  1  1,-1  -1  0,Dyummy BMY,,0.30  0.02  0.34,89  0  97,2  0  2,/  13  1  12  /,4  0  4,-11  -1  -10,46%  0%  50%,66  0  72,3%  3%,0  0  0,1  0  1,-1  0  -1,Pretzel BMY,,0.51  0.19  0.73,126  26  194,8  0  8,/  19  8  11  /,3  1  2,-11  -8  -3,60%  75%  50%,92  26  135,29%  0%  35%,0  0  0,6  3  3,-6  -3  -3
