,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,Zimo Twis,,0.97  0.82  1.33,204  136  281,28  10  18,/  30  15  15  /,11  5  6,-2  -5  +3,69%  62%  78%,129  79  187,42%  38%  45%,2  0  2,2  1  1,0  -1  +1,0.0,2.0,Dane Twis,,1.09  1.50  0.78,170  212  140,12  7  5,/  16  5  11  /,9  4  5,-4  +2  -6,71%  89%  58%,116  155  88,34%  38%  31%,1  1  0,0  0  0,+1  +1  0,Zimo Twis,,0.97  0.59  1.75,214  160  322,14  7  7,/  15  11  4  /,3  1  2,-1  -4  +3,67%  50%  100%,132  87  223,44%  38%  50%,2  0  2,1  1  0,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ExiT Twis,,0.92  1.00  1.07,241  249  235,34  18  16,/  34  19  15  /,6  3  3,0  -1  +1,56%  52%  61%,148  147  148,36%  43%  29%,7  4  3,10  5  5,-3  -1  -2,8.0,13.0,Zimo Twis,,0.98  1.05  0.92,193  104  260,14  3  11,/  15  4  11  /,8  4  4,-1  -1  0,71%  78%  67%,126  67  169,41%  38%  42%,0  0  0,1  0  1,-1  0  -1,Dazlly Twis,,0.96  0.85  1.17,218  212  232,12  7  5,/  14  11  3  /,7  6  1,-2  -4  +2,61%  58%  67%,137  141  128,20%  20%  19%,1  1  0,4  4  0,-3  -3  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dane Twis,,0.87  1.13  0.59,150  172  127,20  13  7,/  31  15  16  /,14  8  6,-11  -2  -9,72%  81%  61%,99  113  83,41%  46%  33%,3  2  1,1  1  0,+2  +1  +1,5.0,13.0,ExiT Twis,,0.92  1.40  0.56,259  395  159,19  12  7,/  18  7  11  /,5  2  3,+1  +5  -4,57%  67%  50%,156  241  91,33%  46%  15%,4  3  1,6  2  4,-2  +1  -3,ExiT Twis,,0.92  0.60  1.57,222  141  386,15  6  9,/  16  12  4  /,1  1  0,-1  -6  +5,56%  42%  83%,139  77  262,41%  36%  43%,3  1  2,4  3  1,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dazlly Twis,,0.81  0.74  0.92,177  169  179,21  11  10,/  31  17  14  /,12  6  6,-10  -6  -4,64%  62%  67%,115  112  119,25%  22%  30%,2  1  1,6  5  1,-4  -4  0,,,Dazlly Twis,,0.66  0.64  0.67,135  112  153,9  4  5,/  17  6  11  /,5  0  5,-8  -2  -6,67%  67%  67%,97  73  115,39%  33%  42%,1  0  1,2  1  1,-1  -1  0,Fr4nky Twis,,0.76  0.66  0.96,155  149  168,8  5  3,/  15  11  4  /,10  5  5,-7  -6  -1,72%  58%  100%,107  102  117,33%  27%  50%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fr4nky Twis,,0.70  0.84  0.66,147  169  122,17  11  6,/  32  16  16  /,15  8  7,-15  -5  -10,67%  71%  61%,101  112  89,30%  29%  33%,1  1  0,5  1  4,-4  0  -4,,,Fr4nky Twis,,0.64  1.02  0.36,139  195  98,9  6  3,/  17  5  12  /,5  3  2,-8  +1  -9,62%  89%  42%,97  125  75,28%  31%  25%,1  1  0,5  1  4,-4  0  -4,Dane Twis,,0.65  0.77  0.40,129  143  103,8  6  2,/  15  10  5  /,5  4  1,-7  -4  -3,72%  75%  67%,79  82  74,53%  60%  40%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shalaby GK,,1.28  1.15  1.19,256  277  242,35  17  18,/  25  12  13  /,16  9  7,+10  +5  +5,79%  78%  81%,175  190  162,20%  22%  18%,3  3  0,2  1  1,+1  +2  -1,,,Izuki GK,,1.56  1.58  1.54,229  244  210,20  12  8,/  9  5  4  /,14  10  4,+11  +7  +4,90%  100%  78%,135  146  121,24%  27%  19%,1  1  0,0  0  0,+1  +1  0,rezy GK,,1.48  1.33  1.56,269  253  278,20  6  14,/  10  5  5  /,6  3  3,+10  +1  +9,89%  83%  92%,179  131  204,46%  25%  56%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Izuki GK,,1.26  1.15  1.30,195  221  179,29  15  14,/  20  11  9  /,23  14  9,+9  +4  +5,85%  94%  76%,124  140  110,19%  25%  14%,2  1  1,0  0  0,+2  +1  +1,,,Shalaby GK,,1.30  1.66  0.83,276  354  173,21  16  5,/  14  7  7  /,7  4  3,+7  +9  -2,86%  92%  78%,181  237  106,17%  24%  7%,3  3  0,1  0  1,+2  +3  -1,Shalaby GK,,1.25  0.63  1.56,235  121  293,14  1  13,/  11  5  6  /,9  5  4,+3  -4  +7,72%  50%  83%,168  95  205,23%  13%  26%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Winteryrook GK,,1.15  0.90  1.24,269  235  296,38  15  23,/  30  14  16  /,9  5  4,+8  +1  +7,77%  72%  81%,171  140  197,27%  25%  28%,12  6  6,6  3  3,+6  +3  +3,,,iFly GK,,1.14  1.45  0.72,185  228  129,16  12  4,/  9  3  6  /,1  0  1,+7  +9  -2,81%  92%  67%,122  151  84,32%  31%  33%,3  1  2,2  1  1,+1  0  +1,Winteryrook GK,,1.18  0.58  1.47,274  167  328,19  4  15,/  13  5  8  /,2  0  2,+6  -1  +7,72%  33%  92%,183  103  224,27%  18%  29%,5  1  4,4  2  2,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,rezy GK,,1.14  1.17  1.02,191  168  201,27  11  16,/  24  12  12  /,22  13  9,+3  -1  +4,85%  89%  81%,120  96  141,39%  27%  48%,0  0  0,2  0  2,-2  0  -2,,,Winteryrook GK,,1.13  1.22  1.00,263  270  254,19  11  8,/  17  9  8  /,7  5  2,+2  +2  0,81%  92%  67%,160  158  163,26%  28%  25%,7  5  2,2  1  1,+5  +4  +1,iFly GK,,0.97  1.04  0.93,212  296  171,13  6  7,/  12  5  7  /,3  1  2,+1  +1  0,72%  67%  75%,140  212  104,26%  20%  36%,4  0  4,3  2  1,+1  -2  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,iFly GK,,1.05  1.24  0.83,199  251  153,29  18  11,/  21  8  13  /,4  1  3,+8  +10  -2,77%  83%  71%,130  171  95,28%  24%  35%,7  1  6,5  3  2,+2  -2  +4,,,rezy GK,,0.79  1.02  0.48,113  126  97,7  5  2,/  14  7  7  /,16  10  6,-7  -2  -5,81%  92%  67%,70  79  58,27%  29%  25%,0  0  0,2  0  2,-2  0  -2,Izuki GK,,0.95  0.73  1.07,161  173  156,9  3  6,/  11  6  5  /,9  4  5,-2  -3  +1,78%  83%  75%,111  127  103,13%  20%  9%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
