,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,qq NKT,,1.34  1.06  1.55,288  265  308,64  28  36,/  49  28  21  /,26  11  15,+15  0  +15,71%  62%  80%,191  183  199,26%  25%  27%,12  6  6,7  4  3,+5  +2  +3,2.0,1.0,Laz NKT,,1.41  1.70  1.06,273  308  231,22  13  9,/  14  7  7  /,10  7  3,+8  +6  +2,86%  100%  70%,187  226  140,23%  26%  18%,1  1  0,3  0  3,-2  +1  -3,Laz NKT,,1.32  1.64  1.00,229  259  200,24  14  10,/  14  6  8  /,8  7  1,+10  +8  +2,81%  92%  69%,157  179  136,36%  31%  43%,1  0  1,2  0  2,-1  0  -1,qq NKT,,1.59  0.73  2.24,308  203  388,21  5  16,/  12  8  4  /,15  4  11,+9  -3  +12,81%  67%  92%,196  123  251,32%  55%  26%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,
1,Laz NKT,,1.12  1.44  0.82,213  253  179,57  33  24,/  45  19  26  /,21  16  5,+12  +14  -2,78%  91%  66%,144  177  112,26%  25%  30%,3  1  2,7  1  6,-4  0  -4,9.0,13.0,qq NKT,,1.16  1.10  1.24,294  314  272,20  11  9,/  19  12  7  /,4  3  1,+1  -1  +2,59%  50%  70%,196  213  177,27%  21%  36%,5  3  2,2  2  0,+3  +1  +2,qq NKT,,1.27  1.36  1.18,262  262  263,23  12  11,/  18  8  10  /,7  4  3,+5  +4  +1,73%  69%  77%,183  198  168,22%  21%  22%,6  3  3,3  1  2,+3  +2  +1,socools0da NKT,,1.08  0.99  1.14,200  165  226,15  5  10,/  14  6  8  /,9  4  5,+1  -1  +2,67%  56%  75%,143  139  147,36%  31%  40%,1  0  1,3  2  1,-2  -2  0,,,,,,,,,,,,,,
2,socools0da NKT,,0.99  0.88  1.10,181  136  224,47  19  28,/  45  21  24  /,22  9  13,+2  -2  +4,75%  74%  77%,133  113  153,44%  43%  45%,5  1  4,6  4  2,-1  -3  +2,14.0,12.0,socools0da NKT,,0.93  0.79  1.10,174  130  227,16  8  8,/  14  8  6  /,6  3  3,+2  0  +2,77%  75%  80%,144  113  182,44%  55%  38%,1  0  1,2  1  1,-1  -1  0,Teerapong NKT,,0.97  1.20  0.74,244  270  219,20  11  9,/  22  11  11  /,8  7  1,-2  0  -2,73%  85%  62%,170  198  141,16%  21%  10%,8  6  2,1  1  0,+7  +5  +2,Teerapong NKT,,1.07  1.02  1.10,249  268  235,18  8  10,/  17  8  9  /,3  2  1,+1  0  +1,67%  67%  67%,161  171  153,19%  21%  17%,5  3  2,5  1  4,0  +2  -2,,,,,,,,,,,,,,
3,PoomOneLove NKT,,0.90  1.06  0.74,186  233  137,44  29  15,/  49  25  24  /,28  15  13,-5  +4  -9,74%  82%  66%,116  147  86,33%  42%  24%,1  0  1,2  1  1,-1  -1  0,13.0,8.0,PoomOneLove NKT,,0.87  0.95  0.78,214  267  152,16  11  5,/  16  10  6  /,7  4  3,0  +1  -1,68%  75%  60%,126  159  86,43%  55%  27%,1  0  1,0  0  0,+1  0  +1,socools0da NKT,,0.96  0.87  1.06,170  121  219,16  6  10,/  17  7  10  /,7  2  5,-1  -1  0,81%  85%  77%,116  96  136,53%  47%  59%,3  1  2,1  1  0,+2  0  +2,PoomOneLove NKT,,1.01  1.01  1.02,190  222  166,15  8  7,/  15  7  8  /,10  3  7,0  +1  -1,76%  78%  75%,123  144  107,26%  28%  25%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,
4,Teerapong NKT,,0.89  0.83  0.98,207  196  221,48  21  27,/  56  30  26  /,18  14  4,-8  -9  +1,70%  71%  69%,141  135  147,21%  24%  18%,16  10  6,10  6  4,+6  +4  +2,,,Teerapong NKT,,0.65  0.27  1.10,128  62  208,10  2  8,/  17  11  6  /,7  5  2,-7  -9  +2,68%  58%  80%,87  38  146,43%  60%  39%,3  1  2,4  4  0,-1  -3  +2,PoomOneLove NKT,,0.81  1.21  0.42,153  208  99,13  10  3,/  18  8  10  /,11  8  3,-5  +2  -7,77%  92%  62%,103  139  67,32%  41%  19%,0  0  0,1  0  1,-1  0  -1,Laz NKT,,0.64  0.98  0.39,138  171  114,11  6  5,/  17  6  11  /,3  2  1,-6  0  -6,67%  78%  58%,82  108  63,17%  13%  27%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,
5,xavi8k OAS,,1.09  0.88  1.31,210  168  255,53  19  34,/  47  26  21  /,14  6  8,+6  -7  +13,74%  69%  79%,140  118  163,17%  16%  17%,2  1  1,4  0  4,-2  +1  -3,,,Wild0reoo OAS,,1.18  0.88  1.43,272  226  311,22  8  14,/  17  8  9  /,8  5  3,+5  0  +5,82%  80%  83%,191  159  219,58%  60%  57%,3  0  3,2  2  0,+1  -2  +3,kellyS OAS,,1.17  1.08  1.27,294  249  340,25  11  14,/  21  10  11  /,7  3  4,+4  +1  +3,81%  77%  85%,191  173  209,14%  21%  10%,4  3  1,4  2  2,0  +1  -1,xavi8k OAS,,1.12  0.72  1.65,225  137  344,16  5  11,/  12  9  3  /,3  1  2,+4  -4  +8,76%  67%  89%,150  97  221,19%  8%  29%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,
6,Wild0reoo OAS,,1.02  1.10  0.91,230  245  208,56  31  25,/  54  26  28  /,18  12  6,+2  +5  -3,70%  74%  65%,153  164  142,46%  40%  57%,11  2  9,9  6  3,+2  -4  +6,,,xavi8k OAS,,1.10  0.65  1.47,190  117  252,17  4  13,/  17  9  8  /,6  1  5,0  -5  +5,68%  60%  75%,127  80  166,18%  33%  14%,1  0  1,1  0  1,0  0  0,xavi8k OAS,,1.05  1.28  0.82,216  237  197,20  10  10,/  18  8  10  /,5  4  1,+2  +2  0,77%  77%  77%,144  167  121,14%  17%  9%,0  0  0,2  0  2,-2  0  -2,Wild0reoo OAS,,0.98  1.04  0.90,241  237  248,17  10  7,/  18  10  8  /,6  3  3,-1  0  -1,71%  67%  78%,164  158  173,49%  39%  67%,5  1  4,1  0  1,+4  +1  +3,,,,,,,,,,,,,,
7,kellyS OAS,,1.01  0.92  1.12,228  201  265,56  26  30,/  55  28  27  /,22  10  12,+1  -2  +3,81%  83%  79%,145  129  161,18%  23%  14%,6  3  3,6  3  3,0  0  0,,,kellyS OAS,,1.06  1.01  1.10,197  176  216,15  6  9,/  17  8  9  /,13  6  7,-2  -2  0,82%  90%  75%,115  100  127,16%  10%  20%,1  0  1,1  0  1,0  0  0,Draxi OAS,,0.90  1.19  0.61,144  196  92,13  11  2,/  18  8  10  /,12  5  7,-5  +3  -8,69%  77%  62%,107  149  65,20%  25%  13%,1  1  0,2  0  2,-1  +1  -2,Draxi OAS,,0.93  0.94  0.92,172  248  72,14  11  3,/  14  9  5  /,6  3  3,0  +2  -2,86%  83%  89%,114  163  47,31%  36%  13%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,
8,Draxi OAS,,0.96  1.08  0.85,177  223  127,43  30  13,/  48  24  24  /,30  11  19,-5  +6  -11,74%  74%  74%,121  150  91,23%  25%  20%,3  3  0,4  1  3,-1  +2  -3,,,Draxi OAS,,1.06  1.11  1.01,215  227  207,16  8  8,/  16  7  9  /,12  3  9,0  +1  -1,68%  60%  75%,145  136  153,21%  14%  30%,1  1  0,1  1  0,0  0  0,Wild0reoo OAS,,0.89  1.39  0.39,176  268  85,17  13  4,/  19  8  11  /,4  4  0,-2  +5  -7,58%  77%  38%,112  173  50,33%  30%  44%,3  1  2,6  4  2,-3  -3  0,kellyS OAS,,0.80  0.66  0.99,192  169  223,16  9  7,/  17  10  7  /,2  1  1,-1  -1  0,81%  83%  78%,118  105  135,28%  44%  17%,1  0  1,1  1  0,0  -1  +1,,,,,,,,,,,,,,
9,m OAS,,0.80  0.83  0.77,157  143  170,36  17  19,/  56  27  29  /,26  12  14,-20  -10  -10,65%  66%  65%,102  92  112,18%  18%  18%,10  7  3,14  9  5,-4  -2  -2,,,m OAS,,0.82  1.01  0.66,154  181  132,10  6  4,/  17  7  10  /,5  0  5,-7  -1  -6,68%  60%  75%,110  114  107,16%  13%  20%,5  3  2,6  3  3,-1  0  -1,m OAS,,0.88  0.78  0.99,146  100  193,14  5  9,/  20  9  11  /,17  10  7,-6  -4  -2,69%  77%  62%,98  71  125,20%  21%  19%,0  0  0,4  2  2,-4  -2  -2,m OAS,,0.69  0.70  0.67,171  159  187,12  6  6,/  19  11  8  /,4  2  2,-7  -5  -2,57%  58%  56%,97  96  99,17%  20%  13%,5  4  1,4  4  0,+1  0  +1,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,stew RA,,,293,46,/  30  /,7,16,,,,,,,2.0,0.0,stew RA,,,256,23,/  17  /,4,6,,,,,,,stew RA,,,330,23,/  13  /,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,YiHao RA,,,246,41,/  27  /,11,14,,,,,,,14.0,12.0,YiHao RA,,,227,22,/  17  /,6,5,,,,,,,YiHao RA,,,265,19,/  10  /,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Viva RA,,,184,28,/  26  /,11,2,,,,,,,13.0,6.0,Viva RA,,,209,17,/  17  /,7,0,,,,,,,yoman RA,,,206,15,/  9  /,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,yoman RA,,,151,24,/  28  /,11,-4,,,,,,,,,MarT1n RA,,,132,14,/  16  /,2,-2,,,,,,,Viva RA,,,158,11,/  9  /,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MarT1n RA,,,129,23,/  26  /,4,-3,,,,,,,,,yoman RA,,,96,9,/  19  /,5,-10,,,,,,,MarT1n RA,,,125,9,/  10  /,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ZmjjKK EDG,,,194,31,/  37  /,6,-6,,,,,,,,,ZmjjKK EDG,,,250,21,/  21  /,4,0,,,,,,,Haodong EDG,,,220,14,/  16  /,5,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Haodong EDG,,,193,29,/  32  /,15,-3,,,,,,,,,Smoggy EDG,,,206,21,/  14  /,4,7,,,,,,,nobody EDG,,,151,9,/  16  /,4,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
