,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,Jinboong SG,,1.10  1.25  0.96,260  283  227,36  25  11,/  32  15  17  /,7  4  3,+4  +10  -6,55%  67%  39%,172  191  147,28%  27%  30%,7  4  3,4  2  2,+3  +2  +1,0.0,2.0,Gwangboong SG,,1.18  1.22  1.14,241  261  222,20  11  9,/  18  9  9  /,6  3  3,+2  +2  0,75%  75%  75%,174  187  162,30%  30%  30%,4  2  2,2  1  1,+2  +1  +1,Jinboong SG,,1.16  1.13  1.22,266  262  275,16  11  5,/  14  8  6  /,5  2  3,+2  +3  -1,61%  67%  50%,166  169  159,33%  34%  29%,3  2  1,1  1  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gwangboong SG,,0.98  1.18  0.60,215  250  178,31  21  10,/  33  18  15  /,9  6  3,-2  +3  -5,71%  79%  61%,155  174  130,31%  36%  26%,8  6  2,5  2  3,+3  +4  -1,11.0,13.0,Jinboong SG,,1.04  1.38  0.70,253  304  203,20  14  6,/  18  7  11  /,2  2  0,+2  +7  -5,50%  67%  33%,176  212  141,25%  22%  31%,4  2  2,3  1  2,+1  +1  0,gatorada SG,,0.80  0.78  0.84,221  197  269,13  7  6,/  16  10  6  /,8  7  1,-3  -3  0,72%  83%  50%,154  157  146,23%  29%  16%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,gatorada SG,,0.86  0.84  0.89,186  164  205,24  12  12,/  32  17  15  /,14  9  5,-8  -5  -3,64%  71%  56%,133  125  143,21%  21%  21%,2  1  1,3  1  2,-1  0  -1,5.0,13.0,Misaya SG,,0.92  0.76  1.08,164  121  208,13  4  9,/  19  9  10  /,10  5  5,-6  -5  -1,75%  75%  75%,111  103  119,19%  12%  24%,0  0  0,0  0  0,0  0  0,Gwangboong SG,,0.78  1.14  0.06,189  239  90,11  10  1,/  15  9  6  /,3  3  0,-4  +1  -5,67%  83%  33%,129  161  66,34%  44%  10%,4  4  0,3  1  2,+1  +3  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Misaya SG,,0.80  0.68  0.96,152  104  222,21  8  13,/  33  17  16  /,19  11  8,-12  -9  -3,76%  79%  72%,97  77  123,20%  14%  24%,2  1  1,2  2  0,0  -1  +1,,,gatorada SG,,0.91  0.90  0.93,151  130  173,11  5  6,/  16  7  9  /,6  2  4,-5  -2  -3,58%  58%  58%,117  94  141,19%  12%  25%,1  0  1,2  1  1,-1  -1  0,Misaya SG,,0.68  0.60  0.84,140  86  249,8  4  4,/  14  8  6  /,9  6  3,-6  -4  -2,78%  83%  67%,78  52  130,21%  18%  25%,2  1  1,2  2  0,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NOBITA SG,,0.66  0.77  0.48,149  161  128,21  14  7,/  34  19  15  /,13  6  7,-13  -5  -8,62%  67%  56%,99  113  80,23%  24%  20%,4  2  2,5  3  2,-1  -1  0,,,NOBITA SG,,0.65  0.77  0.53,130  126  135,9  4  5,/  18  9  9  /,10  6  4,-9  -5  -4,58%  67%  50%,80  80  79,11%  11%  11%,4  2  2,4  3  1,0  -1  +1,NOBITA SG,,0.66  0.78  0.43,168  195  116,12  10  2,/  16  10  6  /,3  0  3,-4  0  -4,67%  67%  67%,124  145  82,38%  36%  43%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GangPin RC,,1.45  1.75  1.31,268  309  255,43  22  21,/  25  9  16  /,25  13  12,+18  +13  +5,83%  89%  79%,170  186  157,37%  54%  28%,2  1  1,0  0  0,+2  +1  +1,,,GangPin RC,,1.57  1.49  1.64,332  301  364,28  14  14,/  14  6  8  /,14  6  8,+14  +8  +6,79%  83%  75%,211  198  225,39%  64%  28%,0  0  0,0  0  0,0  0  0,Flax RC,,1.47  0.88  1.76,257  199  287,19  5  14,/  8  5  3  /,3  0  3,+11  0  +11,78%  67%  83%,187  120  220,37%  27%  40%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Flax RC,,1.34  1.26  1.28,255  280  236,42  20  22,/  22  10  12  /,7  1  6,+20  +10  +10,76%  78%  75%,177  187  169,36%  32%  40%,5  2  3,4  2  2,+1  0  +1,,,Flax RC,,1.22  1.63  0.81,252  320  186,23  15  8,/  14  5  9  /,4  1  3,+9  +10  -1,75%  83%  67%,169  220  118,35%  33%  39%,3  1  2,3  1  2,0  0  0,GangPin RC,,1.33  2.02  0.98,204  324  145,15  8  7,/  11  3  8  /,11  7  4,+4  +5  -1,89%  100%  83%,114  164  90,32%  38%  28%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BRIAN RC,,1.06  1.15  1.07,218  196  216,29  12  17,/  28  13  15  /,11  4  7,+1  -1  +2,79%  83%  75%,138  132  143,19%  19%  19%,5  1  4,6  2  4,-1  -1  0,,,muto RC,,0.95  0.84  1.06,155  167  145,13  7  6,/  15  9  6  /,12  4  8,-2  -2  0,75%  83%  67%,117  128  107,26%  26%  26%,2  1  1,1  1  0,+1  0  +1,BRIAN RC,,1.28  1.73  1.06,296  411  239,18  9  9,/  13  5  8  /,6  2  4,+5  +4  +1,72%  100%  58%,199  262  168,18%  17%  18%,3  1  2,3  0  3,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,muto RC,,0.99  0.85  1.08,165  145  178,24  9  15,/  27  12  15  /,23  8  15,-3  -3  0,74%  83%  67%,122  109  131,30%  29%  32%,2  1  1,3  2  1,-1  -1  0,,,Akame RC,,0.93  1.02  0.84,156  211  102,14  10  4,/  15  8  7  /,4  1  3,-1  +2  -3,63%  58%  67%,105  128  82,10%  12%  9%,4  3  1,6  3  3,-2  0  -2,muto RC,,1.03  0.86  1.11,174  101  211,11  2  9,/  12  3  9  /,11  4  7,-1  -1  0,72%  83%  67%,128  73  155,38%  38%  38%,0  0  0,2  1  1,-2  -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Akame RC,,0.96  1.18  0.82,176  232  129,26  16  10,/  31  13  18  /,14  6  8,-5  +3  -8,71%  72%  71%,130  162  107,19%  19%  19%,5  4  1,10  3  7,-5  +1  -6,,,BRIAN RC,,0.83  0.58  1.08,140  89  192,11  3  8,/  15  8  7  /,5  2  3,-4  -5  +1,83%  75%  92%,92  66  118,20%  22%  19%,2  0  2,3  2  1,-1  -2  +1,Akame RC,,0.98  1.35  0.80,195  275  156,12  6  6,/  16  5  11  /,10  5  5,-4  +1  -5,83%  100%  75%,164  229  132,31%  31%  32%,1  1  0,4  0  4,-3  +1  -4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
