,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Haodong EDG,,,207,58,/  55  /,33,3,,,,,,,3.0,1.0,ZmjjKK EDG,,,227,18,/  15  /,3,3,,,,,,,CHICHOO EDG,,,173,10,/  14  /,1,-4,,,,,,,CHICHOO EDG,,,262.0,23.0,/  13  /,7.0,10.0,,,,,,,Haodong EDG,,,274.0,20.0,/  9  /,6.0,11.0,,,,,,
12,CHICHOO EDG,,,204,63,/  48  /,20,15,,,,,,,13.0,10.0,Haodong EDG,,,221,17,/  15  /,10,2,,,,,,,nobody EDG,,,149,6,/  14  /,2,-8,,,,,,,Smoggy EDG,,,209.0,16.0,/  20  /,3.0,-4.0,,,,,,,ZmjjKK EDG,,,263.0,16.0,/  15  /,7.0,1.0,,,,,,
13,ZmjjKK EDG,,,203,56,/  59  /,14,-3,,,,,,,2.0,13.0,nobody EDG,,,216,18,/  13  /,3,5,,,,,,,Haodong EDG,,,129,6,/  14  /,2,-8,,,,,,,Haodong EDG,,,204.0,15.0,/  17  /,15.0,-2.0,,,,,,,nobody EDG,,,257.0,17.0,/  9  /,8.0,8.0,,,,,,
14,nobody EDG,,,193,53,/  54  /,22,-1,,,,,,,13.0,10.0,CHICHOO EDG,,,187,16,/  13  /,7,3,,,,,,,ZmjjKK EDG,,,119,4,/  15  /,2,-11,,,,,,,ZmjjKK EDG,,,202.0,18.0,/  14  /,2.0,4.0,,,,,,,CHICHOO EDG,,,192.0,14.0,/  8  /,5.0,6.0,,,,,,
15,Smoggy EDG,,,151,42,/  54  /,27,-12,,,,,,,13.0,5.0,Smoggy EDG,,,151,12,/  10  /,13,2,,,,,,,Smoggy EDG,,,112,5,/  14  /,5,-9,,,,,,,nobody EDG,,,148.0,12.0,/  18  /,9.0,-6.0,,,,,,,Smoggy EDG,,,131.0,9.0,/  10  /,6.0,-1.0,,,,,,
16,Viva RA,,,235,64,/  54  /,12,10,,,,,,,,,stew RA,,,184,15,/  15  /,3,0,,,,,,,YiHao RA,,,330,21,/  3  /,5,18,,,,,,,YiHao RA,,,252.0,20.0,/  15  /,7.0,5.0,,,,,,,Viva RA,,,317.0,19.0,/  15  /,6.0,4.0,,,,,,
17,YiHao RA,,,230,67,/  49  /,24,18,,,,,,,,,YiHao RA,,,181,17,/  14  /,9,3,,,,,,,MarT1n RA,,,286,15,/  7  /,4,8,,,,,,,MarT1n RA,,,214.0,17.0,/  18  /,4.0,-1.0,,,,,,,stew RA,,,178.0,12.0,/  15  /,2.0,-3.0,,,,,,
18,MarT1n RA,,,174,45,/  57  /,17,-12,,,,,,,,,Viva RA,,,168,13,/  17  /,3,-4,,,,,,,Viva RA,,,255,16,/  5  /,1,11,,,,,,,stew RA,,,210.0,19.0,/  15  /,1.0,4.0,,,,,,,YiHao RA,,,157.0,9.0,/  17  /,3.0,-8.0,,,,,,
19,stew RA,,,171,52,/  53  /,8,-1,,,,,,,,,yoman RA,,,163,12,/  17  /,8,-5,,,,,,,yoman RA,,,228,13,/  8  /,9,5,,,,,,,Viva RA,,,200.0,16.0,/  17  /,2.0,-1.0,,,,,,,yoman RA,,,119.0,7.0,/  15  /,2.0,-8.0,,,,,,
20,yoman RA,,,160,42,/  59  /,22,-17,,,,,,,,,MarT1n RA,,,124,9,/  18  /,6,-9,,,,,,,stew RA,,,110,6,/  8  /,2,-2,,,,,,,yoman RA,,,128.0,10.0,/  19  /,3.0,-9.0,,,,,,,MarT1n RA,,,72.0,4.0,/  14  /,3.0,-10.0,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chloe CCG.GC,,1.06  1.03  1.11,221  205  243,28  16  12,/  28  16  12  /,11  6  5,0  0  0,65%  63%  69%,158  142  182,24%  23%  25%,2  1  1,3  2  1,-1  -1  0,0.0,2.0,Chloe CCG.GC,,1.08  1.02  1.16,205  162  263,13  6  7,/  13  7  6  /,5  3  2,0  -1  +1,71%  67%  78%,147  109  199,19%  11%  25%,1  1  0,3  2  1,-2  -1  -1,YsY CCG.GC,,1.06  1.05  1.09,230  232  227,15  9  6,/  16  11  5  /,8  5  3,-1  -2  +1,84%  75%  100%,161  162  159,35%  26%  54%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,YsY CCG.GC,,1.05  0.98  1.14,219  196  253,30  16  14,/  31  19  12  /,15  8  7,-1  -3  +2,80%  83%  75%,151  139  168,31%  25%  39%,0  0  0,1  0  1,-1  0  -1,8.0,13.0,YsY CCG.GC,,1.03  0.91  1.19,208  159  273,15  7  8,/  15  8  7  /,7  3  4,0  -1  +1,76%  92%  56%,141  115  176,27%  24%  30%,0  0  0,1  0  1,-1  0  -1,Chloe CCG.GC,,1.05  1.04  1.07,236  248  217,15  10  5,/  15  9  6  /,6  3  3,0  +1  -1,58%  58%  57%,170  176  160,31%  34%  25%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,XiXi CCG.GC,,0.73  0.44  1.20,171  140  221,23  10  13,/  32  21  11  /,8  7  1,-9  -11  +2,43%  38%  50%,113  86  153,16%  15%  17%,4  3  1,13  9  4,-9  -6  -3,6.0,13.0,7wYy CCG.GC,,0.78  0.85  0.68,142  190  80,10  8  2,/  16  9  7  /,6  3  3,-6  -1  -5,81%  75%  89%,94  128  50,18%  19%  13%,0  0  0,1  1  0,-1  -1  0,XiXi CCG.GC,,0.73  0.30  1.47,149  100  234,9  3  6,/  15  11  4  /,4  4  0,-6  -8  +2,37%  33%  43%,99  61  163,10%  5%  16%,2  2  0,6  4  2,-4  -2  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jue CCG.GC,,0.73  0.59  0.95,179  135  243,24  11  13,/  32  19  13  /,3  1  2,-8  -8  0,60%  54%  69%,121  94  160,34%  35%  32%,7  3  4,8  5  3,-1  -2  +1,,,XiXi CCG.GC,,0.73  0.58  0.93,193  180  212,14  7  7,/  17  10  7  /,4  3  1,-3  -3  0,48%  42%  56%,125  111  144,21%  23%  19%,2  1  1,7  5  2,-5  -4  -1,Jue CCG.GC,,0.72  0.50  1.10,192  117  321,11  4  7,/  16  10  6  /,3  1  2,-5  -6  +1,53%  42%  71%,131  83  213,31%  19%  42%,4  2  2,5  4  1,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7wYy CCG.GC,,0.63  0.69  0.55,115  151  66,16  13  3,/  32  19  13  /,9  5  4,-16  -6  -10,68%  58%  81%,79  105  39,24%  26%  20%,1  0  1,1  1  0,0  -1  +1,,,Jue CCG.GC,,0.73  0.68  0.81,165  153  182,13  7  6,/  16  9  7  /,0  0  0,-3  -2  -1,67%  67%  67%,112  106  119,36%  53%  22%,3  1  2,3  1  2,0  0  0,7wYy CCG.GC,,0.49  0.53  0.42,88  112  48,6  5  1,/  16  10  6  /,3  2  1,-10  -5  -5,53%  42%  71%,61  83  25,40%  38%  50%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,suzu ZETA.GC,,1.46  1.32  1.54,326  341  308,45  19  26,/  26  13  13  /,8  4  4,+19  +6  +13,68%  69%  67%,209  208  210,22%  22%  22%,11  6  5,4  3  1,+7  +3  +4,,,Moco ZETA.GC,,1.30  1.09  1.46,292  277  304,20  8  12,/  12  6  6  /,10  3  7,+8  +2  +6,76%  67%  83%,177  168  184,20%  32%  14%,3  1  2,1  0  1,+2  +1  +1,suzu ZETA.GC,,1.76  1.47  1.93,433  413  446,30  11  19,/  12  6  6  /,2  1  1,+18  +5  +13,79%  86%  75%,267  199  307,27%  31%  25%,7  3  4,3  2  1,+4  +1  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Moco ZETA.GC,,1.35  1.11  1.50,274  266  281,37  14  23,/  22  10  12  /,18  7  11,+15  +4  +11,78%  75%  79%,173  173  174,20%  27%  16%,5  1  4,2  1  1,+3  0  +3,,,romia ZETA.GC,,1.24  1.14  1.32,219  189  242,18  7  11,/  14  6  8  /,1  0  1,+4  +1  +3,67%  56%  75%,161  170  154,32%  35%  30%,4  1  3,1  1  0,+3  0  +3,aco ZETA.GC,,1.42  0.69  1.84,239  147  293,16  4  12,/  10  5  5  /,12  2  10,+6  -1  +7,89%  86%  92%,159  89  200,22%  15%  24%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,aco ZETA.GC,,1.31  0.92  1.54,217  183  238,31  11  20,/  21  11  10  /,19  5  14,+10  0  +10,80%  75%  83%,144  124  158,25%  21%  27%,3  1  2,2  1  1,+1  0  +1,,,aco ZETA.GC,,1.20  1.16  1.24,195  211  184,15  7  8,/  11  6  5  /,7  3  4,+4  +1  +3,71%  67%  75%,131  151  116,29%  25%  32%,3  1  2,2  1  1,+1  0  +1,Moco ZETA.GC,,1.39  1.14  1.54,255  252  258,17  6  11,/  10  4  6  /,8  4  4,+7  +2  +5,79%  86%  75%,169  178  164,20%  22%  19%,2  0  2,1  1  0,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
