,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bankroft LUC,,0.92  0.72  1.17,185  185  178,27  14  13,/  30  19  11  /,11  5  6,-3  -5  +2,69%  64%  76%,121  123  119,27%  31%  23%,1  0  1,5  4  1,-4  -4  0,0.0,2.0,Bankroft LUC,,1.03  0.91  1.31,212  209  221,15  9  6,/  13  10  3  /,4  2  2,+2  -1  +3,65%  58%  80%,138  133  148,29%  30%  27%,0  0  0,2  2  0,-2  -2  0,Kyro LUC,,1.11  1.02  1.18,213  157  260,18  6  12,/  18  8  10  /,8  0  8,0  -2  +2,82%  60%  100%,133  110  153,33%  38%  31%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,
12,Andersin LUC,,0.86  0.53  1.29,162  118  215,22  7  15,/  29  20  9  /,13  9  4,-7  -13  +6,69%  64%  76%,111  86  142,35%  33%  36%,1  0  1,2  1  1,-1  -1  0,4.0,13.0,Andersin LUC,,0.77  0.59  1.22,174  150  233,9  5  4,/  15  12  3  /,7  7  0,-6  -7  +1,76%  83%  60%,125  107  166,42%  32%  67%,1  0  1,1  1  0,0  -1  +1,Andersin LUC,,0.95  0.47  1.36,149  80  208,13  2  11,/  14  8  6  /,6  2  4,-1  -6  +5,64%  40%  83%,100  61  132,29%  38%  26%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
13,Kyro LUC,,0.76  0.77  0.69,169  143  216,25  11  14,/  34  19  15  /,9  0  9,-9  -8  -1,64%  45%  88%,109  95  127,24%  24%  24%,1  1  0,2  1  1,-1  0  -1,9.0,13.0,miniature LUC,,0.59  0.44  0.94,123  100  181,6  3  3,/  14  11  3  /,10  7  3,-8  -8  0,59%  58%  60%,67  57  92,8%  15%  0%,0  0  0,2  1  1,-2  -1  -1,miniature LUC,,0.83  0.70  0.94,178  149  203,11  5  6,/  19  9  10  /,12  2  10,-8  -4  -4,55%  40%  67%,131  102  155,21%  36%  16%,1  0  1,2  2  0,-1  -2  +1,,,,,,,,,,,,,,
14,miniature LUC,,0.71  0.57  0.94,151  122  196,17  8  9,/  33  20  13  /,22  9  13,-16  -12  -4,56%  50%  65%,103  77  136,17%  26%  12%,1  0  1,4  3  1,-3  -3  0,,,Tsuya LUC,,0.58  0.39  1.04,196  169  263,10  7  3,/  16  12  4  /,4  1  3,-6  -5  -1,71%  67%  80%,120  96  180,18%  13%  29%,3  1  2,7  6  1,-4  -5  +1,Bankroft LUC,,0.81  0.54  1.04,158  157  160,12  5  7,/  17  9  8  /,7  3  4,-5  -4  -1,73%  70%  75%,108  110  107,24%  31%  21%,1  0  1,3  2  1,-2  -2  0,,,,,,,,,,,,,,
15,Tsuya LUC,,0.68  0.34  1.12,188  141  247,22  10  12,/  33  21  12  /,6  1  5,-11  -11  0,67%  55%  82%,118  83  163,19%  10%  30%,9  2  7,13  10  3,-4  -8  +4,,,Kyro LUC,,0.42  0.51  0.19,125  131  111,7  5  2,/  16  11  5  /,1  0  1,-9  -6  -3,41%  33%  60%,78  83  66,13%  15%  8%,0  0  0,1  1  0,-1  -1  0,Tsuya LUC,,0.78  0.29  1.20,180  108  241,12  3  9,/  17  9  8  /,2  0  2,-5  -6  +1,64%  40%  83%,116  68  156,19%  5%  30%,6  1  5,6  4  2,0  -3  +3,,,,,,,,,,,,,,
16,MANBEARPIG Blinn,,1.38  0.95  1.67,231  167  278,28  8  20,/  20  12  8  /,22  7  15,+8  -4  +12,77%  65%  86%,151  113  179,19%  25%  16%,7  3  4,3  3  0,+4  0  +4,,,Spaz Blinn,,1.64  1.54  1.67,268  276  265,20  6  14,/  8  3  5  /,6  2  4,+12  +3  +9,100%  100%  100%,152  176  142,18%  20%  17%,2  1  1,0  0  0,+2  +1  +1,monSi Blinn,,1.28  1.20  1.38,283  277  292,23  12  11,/  13  8  5  /,8  3  5,+10  +4  +6,73%  58%  90%,170  169  171,25%  24%  26%,5  2  3,2  2  0,+3  0  +3,,,,,,,,,,,,,,
17,monSi Blinn,,1.27  1.03  1.40,240  249  244,35  15  20,/  21  12  9  /,11  4  7,+14  +3  +11,74%  59%  86%,155  160  152,24%  29%  21%,7  2  5,2  2  0,+5  0  +5,,,MANBEARPIG Blinn,,1.59  1.01  1.83,243  125  292,13  2  11,/  7  3  4  /,16  3  13,+6  -1  +7,88%  80%  92%,153  72  187,21%  13%  23%,2  0  2,0  0  0,+2  0  +2,MANBEARPIG Blinn,,1.18  0.90  1.51,219  184  261,15  6  9,/  13  9  4  /,6  4  2,+2  -3  +5,68%  58%  80%,149  131  170,18%  29%  9%,5  3  2,3  3  0,+2  0  +2,,,,,,,,,,,,,,
18,Spaz Blinn,,1.26  1.09  1.42,204  196  196,31  13  18,/  21  13  8  /,15  9  6,+10  0  +10,87%  76%  95%,118  126  112,18%  17%  19%,2  1  1,1  0  1,+1  +1  0,,,kana Blinn,,1.29  1.24  1.30,222  220  224,15  4  11,/  9  3  6  /,2  1  1,+6  +1  +5,94%  80%  100%,137  152  132,26%  44%  14%,3  0  3,2  1  1,+1  -1  +2,kana Blinn,,1.18  1.01  1.37,215  187  251,19  9  10,/  13  9  4  /,1  1  0,+6  0  +6,68%  58%  80%,129  111  152,14%  14%  14%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,
19,kana Blinn,,1.23  1.13  1.34,219  196  236,34  13  21,/  22  12  10  /,3  2  1,+12  +1  +11,79%  65%  91%,133  123  141,18%  23%  14%,4  0  4,4  2  2,0  -2  +2,,,monSi Blinn,,1.25  0.85  1.41,197  183  204,12  3  9,/  8  4  4  /,3  1  2,+4  -1  +5,76%  60%  83%,136  137  136,23%  40%  16%,2  0  2,0  0  0,+2  0  +2,jovahnii Blinn,,1.09  0.81  1.43,210  166  263,17  8  9,/  14  9  5  /,9  4  5,+3  -1  +4,77%  67%  90%,133  111  159,29%  35%  24%,2  0  2,1  1  0,+1  -1  +2,,,,,,,,,,,,,,
