,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,h6tedthemost ACE,,1.56  1.11  1.79,284  273  297,37  13  24,/  18  11  7  /,16  7  9,+19  +2  +17,89%  79%  95%,165  174  160,20%  19%  21%,10  4  6,2  1  1,+8  +3  +5,2.0,0.0,h6tedthemost ACE,,1.66  1.02  1.76,270  113  297,13  0  13,/  5  1  4  /,8  2  6,+8  -1  +9,93%  100%  92%,163  101  174,20%  0%  24%,3  0  3,1  0  1,+2  0  +2,h6tedthemost ACE,,1.47  1.20  1.83,298  299  297,24  13  11,/  13  10  3  /,8  5  3,+11  +3  +8,86%  75%  100%,167  186  141,20%  23%  17%,7  4  3,1  1  0,+6  +3  +3,,,,,,,,,,,,,,
1,Joliinaa ACE,,1.38  1.46  1.53,245  256  242,32  14  18,/  20  10  10  /,26  6  20,+12  +4  +8,91%  93%  90%,170  177  165,23%  27%  20%,2  0  2,1  1  0,+1  -1  +2,13.0,1.0,schnellÆ ACE,,1.63  1.51  1.65,264  279  262,15  2  13,/  7  1  6  /,4  1  3,+8  +1  +7,79%  50%  83%,184  170  186,23%  17%  24%,3  0  3,2  0  2,+1  0  +1,Joliinaa ACE,,1.47  1.18  1.86,256  248  269,20  11  9,/  12  9  3  /,17  6  11,+8  +2  +6,90%  92%  89%,171  174  166,20%  28%  13%,2  0  2,1  1  0,+1  -1  +2,,,,,,,,,,,,,,
2,amy ACE,,1.35  1.33  1.52,255  159  293,32  9  23,/  18  9  9  /,7  3  4,+14  0  +14,80%  71%  86%,162  105  200,37%  36%  38%,3  1  2,3  2  1,0  -1  +1,13.0,8.0,amy ACE,,1.52  1.75  1.48,334  316  337,18  3  15,/  8  1  7  /,3  0  3,+10  +2  +8,86%  100%  83%,211  160  220,43%  40%  44%,3  1  2,1  0  1,+2  +1  +1,amy ACE,,1.19  0.90  1.57,175  133  233,14  6  8,/  10  8  2  /,4  3  1,+4  -2  +6,76%  67%  89%,129  96  173,33%  35%  30%,0  0  0,2  2  0,-2  -2  0,,,,,,,,,,,,,,
3,schnellÆ ACE,,1.31  1.19  1.41,222  178  238,30  10  20,/  21  10  11  /,8  3  5,+9  0  +9,74%  64%  81%,147  116  167,23%  28%  20%,6  1  5,7  3  4,-1  -2  +1,,,speedowka ACE,,1.44  1.19  1.48,201  240  195,12  2  10,/  6  2  4  /,9  1  8,+6  0  +6,93%  100%  92%,142  104  149,33%  20%  36%,1  1  0,0  0  0,+1  +1  0,speedowka ACE,,1.17  0.78  1.67,188  152  238,12  5  7,/  14  10  4  /,19  10  9,-2  -5  +3,81%  67%  100%,131  103  168,16%  13%  19%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,
4,speedowka ACE,,1.30  0.99  1.58,195  164  214,24  7  17,/  20  12  8  /,28  11  17,+4  -5  +9,86%  71%  95%,135  103  157,23%  14%  27%,1  1  0,0  0  0,+1  +1  0,,,Joliinaa ACE,,1.29  1.74  1.21,233  305  222,12  3  9,/  8  1  7  /,9  0  9,+4  +2  +2,93%  100%  92%,169  192  165,28%  22%  30%,0  0  0,0  0  0,0  0  0,schnellÆ ACE,,0.99  0.86  1.17,180  162  206,15  8  7,/  14  9  5  /,4  2  2,+1  -1  +2,71%  67%  78%,122  107  142,23%  32%  9%,3  1  2,5  3  2,-2  -2  0,,,,,,,,,,,,,,
5,6sonya XL.GC,,0.90  0.70  0.71,193  184  195,23  13  10,/  26  19  7  /,8  2  6,-3  -6  +3,57%  48%  71%,122  120  124,33%  31%  38%,2  0  2,4  2  2,-2  -2  0,,,6sonya XL.GC,,0.82  0.98  0.02,215  247  22,10  10  0,/  13  11  2  /,1  1  0,-3  -1  -2,43%  50%,147  168  22,28%  30%  0%,0  0  0,2  2  0,-2  -2  0,6sonya XL.GC,,0.98  0.41  1.41,171  100  224,13  3  10,/  13  8  5  /,7  1  6,0  -5  +5,67%  44%  83%,105  57  141,39%  33%  41%,2  0  2,2  0  2,0  0  0,,,,,,,,,,,,,,
6,fluxxy XL.GC,,0.82  0.49  1.18,207  156  277,26  10  16,/  31  21  10  /,3  2  1,-5  -11  +6,66%  57%  79%,125  99  163,24%  28%  21%,2  2  0,2  1  1,0  +1  -1,,,fluxxy XL.GC,,0.78  0.73  1.05,218  196  353,10  7  3,/  14  12  2  /,2  2  0,-4  -5  +1,71%  75%  50%,127  121  159,28%  23%  50%,2  2  0,1  1  0,+1  +1  0,fluxxy XL.GC,,0.85  0.25  1.31,195  104  265,16  3  13,/  17  9  8  /,1  0  1,-1  -6  +5,62%  33%  83%,124  70  164,22%  38%  17%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
7,angelka XL.GC,,0.61  0.53  0.64,160  161  154,18  11  7,/  31  20  11  /,10  2  8,-13  -9  -4,51%  43%  64%,96  109  76,23%  29%  13%,3  2  1,2  2  0,+1  0  +1,,,angelka XL.GC,,0.51  0.52  0.43,169  180  105,8  7  1,/  14  12  2  /,1  1  0,-6  -5  -1,50%  50%  50%,121  130  68,31%  29%  50%,1  1  0,1  1  0,0  0  0,Viv XL.GC,,0.74  0.82  0.69,173  212  146,12  6  6,/  19  8  11  /,10  3  7,-7  -2  -5,57%  56%  58%,114  146  90,24%  30%  18%,4  1  3,3  2  1,+1  -1  +2,,,,,,,,,,,,,,
8,Viv XL.GC,,0.49  0.48  0.77,124  118  159,15  7  8,/  34  21  13  /,16  8  8,-19  -14  -5,63%  62%  64%,88  83  96,25%  27%  24%,4  1  3,5  4  1,-1  -3  +2,,,Viv XL.GC,,0.24  0.13  0.86,75  47  241,3  1  2,/  15  13  2  /,6  5  1,-12  -12  0,71%  67%  100%,49  35  131,29%  20%  43%,0  0  0,2  2  0,-2  -2  0,angelka XL.GC,,0.72  0.55  0.84,150  134  162,10  4  6,/  17  8  9  /,9  1  8,-7  -4  -3,52%  33%  67%,80  82  78,16%  30%  10%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,
9,Samsi XL.GC,,0.44  0.17  0.58,125  67  239,15  4  11,/  33  21  12  /,6  2  4,-18  -17  -1,57%  43%  79%,92  46  160,19%  13%  25%,2  1  1,9  6  3,-7  -5  -2,,,Samsi XL.GC,,0.17  0.25  0.01,73  83  14,3  3  0,/  14  12  2  /,1  1  0,-11  -9  -2,43%  42%  50%,47  52  21,11%  13%  0%,1  1  0,4  2  2,-3  -1  -2,Samsi XL.GC,,0.70  0.10  1.15,177  46  277,12  1  11,/  19  9  10  /,5  1  4,-7  -8  +1,67%  44%  83%,121  38  184,24%  13%  29%,1  0  1,5  4  1,-4  -4  0,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Toki Case,,0.98  0.81  1.07,228  235  219,31  16  15,/  34  20  14  /,6  3  3,-3  -4  +1,70%  67%  74%,166  146  189,26%  30%  22%,8  4  4,8  5  3,0  -1  +1,0.0,2.0,fReeze Case,,1.21  0.89  1.76,280  223  379,19  9  10,/  13  9  4  /,8  6  2,+6  0  +6,84%  83%  86%,165  138  211,31%  42%  22%,1  1  0,0  0  0,+1  +1  0,Toki Case,,1.08  0.64  1.40,213  178  240,16  5  11,/  16  9  7  /,1  0  1,0  -4  +4,67%  44%  83%,167  110  209,27%  31%  26%,3  2  1,5  3  2,-2  -1  -1,,,,,,,,,,,,,,
12,fReeze Case,,0.91  0.64  1.27,192  169  210,27  11  16,/  31  18  13  /,21  11  10,-4  -7  +3,75%  71%  79%,113  105  121,30%  30%  31%,2  1  1,1  0  1,+1  +1  0,6.0,13.0,Toki Case,,0.89  0.98  0.74,243  278  184,15  11  4,/  18  11  7  /,5  3  2,-3  0  -3,74%  83%  57%,166  173  154,24%  29%  14%,5  2  3,3  2  1,+2  0  +2,Annie Case,,1.06  0.56  1.43,194  89  274,13  2  11,/  16  8  8  /,6  1  5,-3  -6  +3,57%  22%  83%,139  69  191,33%  15%  40%,2  0  2,0  0  0,+2  0  +2,,,,,,,,,,,,,,
13,mimi Case,,0.84  0.87  0.65,182  180  189,27  14  13,/  34  18  16  /,8  4  4,-7  -4  -3,60%  62%  58%,118  109  128,40%  41%  39%,4  1  3,3  1  2,+1  0  +1,8.0,13.0,mimi Case,,0.76  1.10  0.17,152  216  43,11  10  1,/  16  9  7  /,3  3  0,-5  +1  -6,58%  75%  29%,92  122  40,31%  32%  25%,1  1  0,0  0  0,+1  +1  0,mimi Case,,0.92  0.64  1.12,212  131  274,16  4  12,/  18  9  9  /,5  1  4,-2  -5  +3,62%  44%  75%,142  92  180,46%  60%  41%,3  0  3,3  1  2,0  -1  +1,,,,,,,,,,,,,,
14,Annie Case,,0.75  0.52  0.90,154  120  197,20  8  12,/  32  18  14  /,8  1  7,-12  -10  -2,60%  48%  74%,110  81  142,33%  26%  37%,3  1  2,3  1  2,0  0  0,,,Poetite Case,,0.72  0.37  1.31,119  83  181,9  4  5,/  13  10  3  /,4  2  2,-4  -6  +2,53%  42%  71%,86  67  119,60%  55%  67%,1  1  0,4  3  1,-3  -2  -1,Poetite Case,,0.65  0.57  0.72,120  109  129,8  4  4,/  15  7  8  /,7  3  4,-7  -3  -4,57%  44%  67%,86  63  103,32%  43%  27%,0  0  0,3  3  0,-3  -3  0,,,,,,,,,,,,,,
15,Poetite Case,,0.69  0.47  1.01,120  94  148,17  8  9,/  28  17  11  /,11  5  6,-11  -9  -2,55%  43%  68%,86  65  109,45%  50%  42%,1  1  0,7  6  1,-6  -5  -1,,,Annie Case,,0.44  0.49  0.37,113  143  63,7  6  1,/  16  10  6  /,2  0  2,-9  -4  -5,63%  67%  57%,78  90  58,32%  36%  27%,1  1  0,3  1  2,-2  0  -2,fReeze Case,,0.61  0.39  0.77,104  97  111,8  2  6,/  18  9  9  /,13  5  8,-10  -7  -3,67%  56%  75%,66  62  69,27%  8%  56%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,
16,proxima NAVI.C,,1.43  1.30  1.51,249  220  275,36  15  21,/  22  11  11  /,16  7  9,+14  +4  +10,88%  79%  95%,162  155  167,29%  36%  22%,8  2  6,6  2  4,+2  0  +2,,,Miyori NAVI.C,,1.53  1.10  1.78,321  272  350,23  7  16,/  13  5  8  /,3  0  3,+10  +2  +8,84%  71%  92%,191  161  208,22%  50%  12%,3  1  2,2  2  0,+1  -1  +2,proxima NAVI.C,,1.58  1.54  1.64,240  227  258,18  10  8,/  10  7  3  /,14  7  7,+8  +3  +5,90%  83%  100%,156  165  145,33%  46%  20%,3  1  2,1  1  0,+2  0  +2,,,,,,,,,,,,,,
17,Miyori NAVI.C,,1.32  0.86  1.78,269  193  334,40  13  27,/  27  16  11  /,12  5  7,+13  -3  +16,83%  74%  90%,161  115  202,22%  32%  17%,8  3  5,6  5  1,+2  -2  +4,,,proxima NAVI.C,,1.27  1.07  1.38,258  209  287,18  5  13,/  12  4  8  /,2  0  2,+6  +1  +5,84%  71%  92%,167  139  184,24%  22%  25%,5  1  4,5  1  4,0  0  0,Anva NAVI.C,,1.23  1.35  1.08,230  277  168,19  13  6,/  10  7  3  /,1  1  0,+9  +6  +3,81%  75%  89%,153  177  120,31%  25%  46%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
18,Anva NAVI.C,,1.19  1.27  1.09,197  250  152,30  18  12,/  20  10  10  /,6  2  4,+10  +8  +2,85%  84%  86%,134  160  111,24%  23%  25%,2  1  1,1  0  1,+1  +1  0,,,Anva NAVI.C,,1.14  1.20  1.11,163  204  141,11  5  6,/  10  3  7  /,5  1  4,+1  +2  -1,89%  100%  83%,114  131  104,16%  20%  13%,1  1  0,1  0  1,0  +1  -1,Sephia NAVI.C,,1.18  0.81  1.68,226  185  283,18  7  11,/  12  10  2  /,10  7  3,+6  -3  +9,76%  67%  89%,133  110  163,33%  40%  28%,2  2  0,3  3  0,-1  -1  0,,,,,,,,,,,,,,
19,Sephia NAVI.C,,1.16  1.17  1.29,224  223  226,34  15  19,/  25  14  11  /,17  9  8,+9  +1  +8,70%  68%  71%,145  138  152,34%  36%  33%,3  3  0,4  3  1,-1  0  -1,,,Sephia NAVI.C,,1.13  1.54  0.90,222  290  183,16  8  8,/  13  4  9  /,7  2  5,+3  +4  -1,63%  71%  58%,159  186  143,36%  32%  39%,1  1  0,1  0  1,0  +1  -1,Miyori NAVI.C,,1.11  0.61  1.78,217  147  312,17  6  11,/  14  11  3  /,9  5  4,+3  -5  +8,81%  75%  89%,134  89  194,22%  17%  28%,5  2  3,4  3  1,+1  -1  +2,,,,,,,,,,,,,,
20,Lateu NAVI.C,,0.81  0.67  0.95,140  116  162,19  7  12,/  28  14  14  /,20  11  9,-9  -7  -2,70%  58%  81%,91  75  105,27%  16%  36%,1  0  1,1  0  1,0  0  0,,,Lateu NAVI.C,,0.82  0.67  0.91,131  101  149,8  2  6,/  13  5  8  /,12  7  5,-5  -3  -2,79%  71%  83%,86  61  101,30%  9%  44%,0  0  0,0  0  0,0  0  0,Lateu NAVI.C,,0.81  0.67  0.99,148  126  178,11  5  6,/  15  9  6  /,8  4  4,-4  -4  0,62%  50%  78%,95  83  111,24%  20%  29%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Felipa BBL.Q,,1.69  1.09  1.98,279  265  291,37  14  23,/  16  9  7  /,22  11  11,+21  +5  +16,88%  87%  89%,178  152  198,44%  38%  48%,2  1  1,2  2  0,0  -1  +1,2.0,0.0,Felipa BBL.Q,,1.59  1.40  1.91,288  307  256,20  13  7,/  10  7  3  /,16  9  7,+10  +6  +4,84%  83%  86%,167  170  162,37%  41%  31%,2  1  1,1  1  0,+1  0  +1,Felipa BBL.Q,,1.80  0.77  2.06,269  99  312,17  1  16,/  6  2  4  /,6  2  4,+11  -1  +12,93%  100%  92%,191  79  219,51%  29%  57%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,
23,eva BBL.Q,,1.42  1.24  1.38,230  199  250,29  11  18,/  15  8  7  /,14  9  5,+14  +3  +11,97%  100%  95%,154  144  162,30%  26%  33%,4  0  4,1  0  1,+3  0  +3,13.0,6.0,eva BBL.Q,,1.52  1.62  1.34,211  229  180,16  11  5,/  8  6  2  /,9  6  3,+8  +5  +3,95%  100%  86%,157  164  144,35%  33%  38%,0  0  0,0  0  0,0  0  0,alkyia BBL.Q,,1.68  1.63  1.69,312  330  309,18  4  14,/  7  2  5  /,2  0  2,+11  +2  +9,93%  67%  100%,183  184  183,22%  15%  26%,5  1  4,2  1  1,+3  0  +3,,,,,,,,,,,,,,
24,Vania BBL.Q,,1.41  1.44  1.64,208  139  253,25  7  18,/  19  8  11  /,25  10  15,+6  -1  +7,82%  80%  84%,150  93  194,27%  29%  26%,1  0  1,1  0  1,0  0  0,13.0,2.0,Vania BBL.Q,,1.23  0.90  1.78,162  73  316,11  3  8,/  10  6  4  /,13  7  6,+1  -3  +4,79%  75%  86%,129  57  254,15%  17%  15%,0  0  0,1  0  1,-1  0  -1,Vania BBL.Q,,1.59  1.98  1.49,253  402  217,14  4  10,/  9  2  7  /,12  3  9,+5  +2  +3,87%  100%  83%,175  239  159,44%  42%  45%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
25,alkyia BBL.Q,,1.39  1.38  1.38,284  287  277,34  15  19,/  21  12  9  /,6  3  3,+13  +3  +10,82%  67%  95%,184  196  175,32%  34%  29%,11  4  7,5  4  1,+6  0  +6,,,Wens BBL.Q,,1.19  1.13  1.29,240  212  289,16  9  7,/  12  7  5  /,4  2  2,+4  +2  +2,79%  75%  86%,187  157  239,26%  33%  20%,4  2  2,2  2  0,+2  0  +2,eva BBL.Q,,1.32  0.85  1.43,248  80  291,13  0  13,/  7  2  5  /,5  3  2,+6  -2  +8,100%  100%  100%,150  63  172,26%  0%  31%,4  0  4,1  0  1,+3  0  +3,,,,,,,,,,,,,,
26,Wens BBL.Q,,1.09  0.84  1.19,195  205  197,23  11  12,/  22  10  12  /,12  2  10,+1  +1  0,82%  73%  89%,156  149  162,26%  36%  21%,4  2  2,3  2  1,+1  0  +1,,,alkyia BBL.Q,,1.11  1.13  1.08,256  276  223,16  11  5,/  14  10  4  /,4  3  1,+2  +1  +1,74%  67%  86%,186  199  163,40%  43%  33%,6  3  3,3  3  0,+3  0  +3,Wens BBL.Q,,0.98  0.55  1.09,150  175  144,7  2  5,/  10  3  7  /,8  0  8,-3  -1  -2,87%  67%  92%,116  115  117,28%  67%  23%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
