,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,suyjing ODG,,,251.0,63.0,/  49  /,15.0,14.0,,,,6.0,,,1.0,2.0,GodDead ODG,,,244.0,18.0,/  13  /,15.0,5.0,,,,,,,suyjing ODG,,,277.0,24.0,/  18  /,3.0,6.0,,,,3.0,,,suyjing ODG,,,285.0,23.0,/  15  /,8.0,8.0,,,,3.0,,,,,,,,,,,,,,,,
1,Strawberrycc ODG,,,213.0,50.0,/  54  /,10.0,-4.0,,,,4.0,,,13.0,10.0,Strawberrycc ODG,,,244.0,19.0,/  16  /,4.0,3.0,,,,4.0,,,Strawberrycc ODG,,,192.0,15.0,/  18  /,4.0,-3.0,,,,,,,yCw ODG,,,231.0,19.0,/  17  /,3.0,2.0,,,,,,,,,,,,,,,,,,,,
2,yCw ODG,,,202.0,49.0,/  53  /,20.0,-4.0,,,,,,,10.0,13.0,TS ODG,,,210.0,18.0,/  15  /,6.0,3.0,,,,,,,yCw ODG,,,187.0,14.0,/  19  /,7.0,-5.0,,,,,,,Strawberrycc ODG,,,203.0,16.0,/  20  /,2.0,-4.0,,,,,,,,,,,,,,,,,,,,
3,GodDead ODG,,,171.0,39.0,/  49  /,47.0,-10.0,,,,,,,10.0,13.0,suyjing ODG,,,191.0,16.0,/  16  /,4.0,0.0,,,,,,,TS ODG,,,152.0,11.0,/  19  /,10.0,-8.0,,,,,,,TS ODG,,,145.0,12.0,/  20  /,4.0,-8.0,,,,,,,,,,,,,,,,,,,,
4,TS ODG,,,169.0,41.0,/  54  /,20.0,-13.0,,,,,,,,,yCw ODG,,,189.0,16.0,/  17  /,10.0,-1.0,,,,,,,GodDead ODG,,,130.0,12.0,/  18  /,12.0,-6.0,,,,,,,GodDead ODG,,,140.0,9.0,/  18  /,20.0,-9.0,,,,,,,,,,,,,,,,,,,,
5,snail KBG,,,264.0,65.0,/  48  /,28.0,17.0,,,,3.0,,,,,snail KBG,,,239.0,20.0,/  18  /,8.0,2.0,,,,1.0,,,snail KBG,,,282.0,23.0,/  16  /,10.0,7.0,,,,2.0,,,shark KBG,,,281.0,23.0,/  15  /,1.0,8.0,,,,2.0,,,,,,,,,,,,,,,,
6,shark KBG,,,226.0,56.0,/  48  /,11.0,8.0,,,,2.0,,,,,shark KBG,,,236.0,19.0,/  18  /,8.0,1.0,,,,,,,UCc KBG,,,270.0,25.0,/  16  /,0.0,9.0,,,,,,,snail KBG,,,270.0,22.0,/  14  /,10.0,8.0,,,,,,,,,,,,,,,,,,,,
7,UCc KBG,,,211.0,57.0,/  52  /,10.0,5.0,,,,,,,,,NESA KBG,,,186.0,16.0,/  16  /,7.0,0.0,,,,,,,Zeno KBG,,,213.0,17.0,/  13  /,16.0,4.0,,,,,,,UCc KBG,,,213.0,19.0,/  18  /,5.0,1.0,,,,,,,,,,,,,,,,,,,,
8,Zeno KBG,,,173.0,39.0,/  47  /,39.0,-8.0,,,,,,,,,UCc KBG,,,149.0,13.0,/  18  /,5.0,-5.0,,,,,,,NESA KBG,,,172.0,13.0,/  16  /,11.0,-3.0,,,,,,,Zeno KBG,,,173.0,13.0,/  17  /,14.0,-4.0,,,,,,,,,,,,,,,,,,,,
9,NESA KBG,,,169.0,42.0,/  47  /,27.0,-5.0,,,,,,,,,Zeno KBG,,,132.0,9.0,/  17  /,9.0,-8.0,,,,,,,shark KBG,,,161.0,14.0,/  15  /,2.0,-1.0,,,,,,,NESA KBG,,,148.0,13.0,/  15  /,9.0,-2.0,,,,,,,,,,,,,,,,,,,,
