,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,mikalulba ARF,,1.13  1.29  1.00,226  242  212,51  27  24,/  43  19  24  /,24  10  14,+8  +8  0,72%  68%  75%,157  164  152,19%  24%  15%,2  0  2,4  1  3,-2  -1  -1,2.0,1.0,mikalulba ARF,,1.26  1.66  0.93,262  307  225,19  11  8,/  13  5  8  /,7  3  4,+6  +6  0,82%  80%  83%,173  190  160,16%  18%  15%,1  0  1,0  0  0,+1  0  +1,zharwow ARF,,1.11  0.86  1.29,227  118  310,16  3  13,/  15  6  9  /,12  7  5,+1  -3  +4,67%  56%  75%,135  75  181,28%  38%  25%,2  0  2,2  1  1,0  -1  +1,no1syboy ARF,,1.24  1.08  1.40,217  210  224,19  10  9,/  16  9  7  /,12  4  8,+3  +1  +2,83%  75%  92%,137  121  154,26%  29%  24%,2  2  0,3  1  2,-1  +1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,zharwow ARF,,1.07  1.02  1.09,212  192  226,48  19  29,/  44  21  23  /,27  15  12,+4  -2  +6,79%  74%  83%,133  131  135,22%  17%  27%,5  1  4,5  2  3,0  -1  +1,13.0,9.0,vascalizz ARF,,1.21  1.26  1.17,239  194  278,18  7  11,/  15  6  9  /,8  3  5,+3  +1  +2,82%  80%  83%,164  145  179,30%  21%  38%,4  1  3,2  1  1,+2  0  +2,mikalulba ARF,,0.97  1.18  0.82,210  310  135,14  9  5,/  15  7  8  /,11  5  6,-1  +2  -3,67%  67%  67%,162  216  121,19%  23%  14%,0  0  0,2  0  2,-2  0  -2,mikalulba ARF,,1.15  1.04  1.26,205  136  276,18  7  11,/  15  7  8  /,6  2  4,+3  0  +3,67%  58%  75%,139  103  174,21%  33%  16%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,no1syboy ARF,,1.05  0.99  1.11,187  185  192,47  24  23,/  45  23  22  /,16  6  10,+2  +1  +1,75%  74%  75%,125  116  133,21%  22%  21%,5  3  2,6  4  2,-1  -1  0,8.0,13.0,zharwow ARF,,1.11  1.10  1.12,253  241  263,19  8  11,/  15  7  8  /,7  3  4,+4  +1  +3,82%  80%  83%,161  165  157,20%  14%  29%,2  0  2,1  0  1,+1  0  +1,Lilo ARF,,0.94  0.68  1.13,212  171  245,15  5  10,/  17  9  8  /,6  3  3,-2  -4  +2,67%  56%  75%,139  115  158,19%  22%  18%,4  2  2,5  3  2,-1  -1  0,Lilo ARF,,1.03  0.68  1.39,277  206  349,24  8  16,/  21  12  9  /,6  4  2,+3  -4  +7,67%  67%  67%,172  140  204,23%  17%  29%,6  1  5,6  5  1,0  -4  +4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,vascalizz ARF,,0.98  0.91  1.05,198  163  227,47  18  29,/  47  22  25  /,25  10  15,0  -4  +4,76%  77%  75%,135  117  151,28%  27%  28%,5  1  4,6  3  3,-1  -2  +1,13.0,11.0,no1syboy ARF,,1.10  1.15  1.05,204  203  205,18  9  9,/  15  7  8  /,2  1  1,+3  +2  +1,68%  80%  58%,129  127  130,20%  17%  22%,2  1  1,2  2  0,0  -1  +1,vascalizz ARF,,0.91  0.85  0.95,188  164  207,15  5  10,/  15  7  8  /,10  6  4,0  -2  +2,62%  67%  58%,132  134  130,30%  43%  22%,0  0  0,4  2  2,-4  -2  -2,zharwow ARF,,0.98  1.10  0.86,156  208  106,13  8  5,/  14  8  6  /,8  5  3,-1  0  -1,88%  83%  92%,105  144  66,18%  15%  27%,1  1  0,2  1  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lilo ARF,,0.87  0.68  1.05,202  176  230,48  18  30,/  55  30  25  /,15  10  5,-7  -12  +5,66%  61%  69%,134  125  142,19%  17%  21%,14  6  8,15  10  5,-1  -4  +3,,,Lilo ARF,,0.64  0.67  0.62,117  146  94,9  5  4,/  17  9  8  /,3  3  0,-8  -4  -4,64%  60%  67%,88  117  64,13%  13%  11%,4  3  1,4  2  2,0  +1  -1,no1syboy ARF,,0.83  0.73  0.90,140  132  148,10  5  5,/  14  7  7  /,2  1  1,-4  -2  -2,71%  67%  75%,107  97  114,17%  20%  16%,1  0  1,1  1  0,0  -1  +1,vascalizz ARF,,0.83  0.61  1.04,166  137  197,14  6  8,/  17  9  8  /,7  1  6,-3  -3  0,83%  83%  83%,112  79  145,23%  24%  22%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nakya AE,,1.13  1.02  1.23,246  247  247,59  31  28,/  50  29  21  /,12  5  7,+9  +2  +7,73%  69%  77%,161  154  169,29%  33%  25%,14  9  5,9  7  2,+5  +2  +3,,,Flaring AE,,1.20  1.64  0.67,226  301  138,18  14  4,/  15  7  8  /,6  3  3,+3  +7  -4,73%  75%  70%,148  195  92,22%  35%  4%,2  1  1,2  0  2,0  +1  -1,Kush AE,,1.31  1.03  1.67,235  183  305,18  8  10,/  14  9  5  /,4  3  1,+4  -1  +5,76%  67%  89%,170  133  219,34%  26%  41%,2  1  1,0  0  0,+2  +1  +1,Kush AE,,1.22  1.68  0.76,236  296  177,18  13  5,/  15  7  8  /,5  2  3,+3  +6  -3,71%  75%  67%,152  194  110,30%  38%  22%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kush AE,,1.11  1.20  1.05,209  209  210,48  28  20,/  46  24  22  /,13  5  8,+2  +4  -2,69%  67%  71%,141  140  143,30%  32%  28%,5  2  3,1  1  0,+4  +1  +3,,,Nakya AE,,1.14  1.11  1.18,270  259  284,21  11  10,/  16  9  7  /,3  1  2,+5  +2  +3,73%  67%  80%,171  150  196,22%  20%  23%,3  1  2,2  1  1,+1  0  +1,Nakya AE,,1.20  1.20  1.21,227  241  210,17  10  7,/  14  9  5  /,6  2  4,+3  +1  +2,71%  67%  78%,153  157  147,31%  46%  14%,5  4  1,3  2  1,+2  +2  0,Nakya AE,,1.04  0.76  1.31,242  242  242,21  10  11,/  20  11  9  /,3  2  1,+1  -1  +2,75%  75%  75%,159  154  164,38%  38%  39%,6  4  2,4  4  0,+2  0  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Flaring AE,,1.08  1.16  0.97,180  201  156,45  27  18,/  44  25  19  /,27  17  10,+1  +2  -1,75%  75%  74%,120  130  108,22%  25%  19%,3  1  2,5  2  3,-2  -1  -1,,,Eeyore AE,,0.83  0.90  0.75,205  190  223,14  7  7,/  18  10  8  /,7  4  3,-4  -3  -1,73%  83%  60%,135  124  149,32%  32%  32%,1  1  0,2  2  0,-1  -1  0,aduka AE,,1.17  1.00  1.39,225  152  323,16  6  10,/  14  7  7  /,8  4  4,+2  -1  +3,76%  75%  78%,139  96  197,35%  23%  44%,4  1  3,0  0  0,+4  +1  +3,Eeyore AE,,1.03  0.62  1.44,229  112  346,19  5  14,/  17  10  7  /,4  1  3,+2  -5  +7,63%  50%  75%,170  106  233,19%  38%  15%,2  0  2,3  2  1,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Eeyore AE,,0.89  0.75  1.05,197  155  250,44  19  25,/  50  30  20  /,18  7  11,-6  -11  +5,70%  69%  71%,138  113  168,22%  28%  19%,5  2  3,7  5  2,-2  -3  +1,,,Kush AE,,0.82  0.89  0.73,155  147  165,12  7  5,/  17  8  9  /,4  0  4,-5  -1  -4,59%  58%  60%,102  93  114,26%  29%  23%,1  0  1,1  1  0,0  -1  +1,Flaring AE,,1.13  1.14  1.10,169  189  142,14  9  5,/  13  8  5  /,12  7  5,+1  +1  0,76%  75%  78%,113  119  105,23%  26%  18%,1  0  1,2  2  0,-1  -2  +1,Flaring AE,,0.92  0.70  1.15,146  112  181,13  4  9,/  16  10  6  /,9  7  2,-3  -6  +3,75%  75%  75%,100  76  124,22%  12%  33%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,aduka AE,,0.84  0.66  1.06,172  129  220,38  14  24,/  51  27  24  /,27  12  15,-13  -13  0,69%  61%  77%,109  87  134,22%  17%  27%,9  2  7,9  5  4,0  -3  +3,,,aduka AE,,0.61  0.37  0.91,127  53  216,10  2  8,/  17  9  8  /,6  2  4,-7  -7  0,64%  50%  80%,73  38  116,17%  18%  16%,2  1  1,6  4  2,-4  -3  -1,Eeyore AE,,0.82  0.73  0.94,156  162  150,11  7  4,/  15  10  5  /,7  2  5,-4  -3  -1,76%  75%  78%,105  108  102,18%  20%  15%,2  1  1,2  1  1,0  0  0,aduka AE,,0.74  0.61  0.87,165  183  147,12  6  6,/  20  11  9  /,13  6  7,-8  -5  -3,67%  58%  75%,115  129  101,15%  14%  17%,3  0  3,3  1  2,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
