,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Yusin EDGS,,0.60  0.44  0.32,155  185  122,14  9  5,/  27  14  13  /,10  5  5,-13  -5  -8,55%  60%  50%,102  122  80,36%  37%  33%,1  0  1,1  0  1,0  0  0,0.0,2.0,Yusin EDGS,,0.67  0.82  0.02,193  223  13,9  9  0,/  13  11  2  /,5  5  0,-4  -2  -2,64%  75%,126  145  13,43%  45%  0%,0  0  0,1  0  1,-1  0  -1,XiMiLu EDGS,,0.65  0.75  0.63,145  200  131,7  2  5,/  14  3  11  /,3  0  3,-7  -1  -6,53%  67%  50%,96  121  90,44%  50%  42%,1  1  0,2  0  2,-1  +1  -2,,,,,,,,,,,,,,
1,XiMiLu EDGS,,0.47  0.54  0.34,118  108  131,9  3  6,/  28  15  13  /,9  6  3,-19  -12  -7,48%  47%  50%,85  82  87,32%  27%  40%,1  1  0,5  3  2,-4  -2  -2,1.0,13.0,WawaLee EDGS,,0.54  0.58  0.26,158  163  134,7  6  1,/  14  12  2  /,2  1  1,-7  -6  -1,50%  42%  100%,106  103  124,20%  21%  17%,0  0  0,0  0  0,0  0  0,Yusin EDGS,,0.52  0.06  0.63,117  31  140,5  0  5,/  14  3  11  /,5  0  5,-9  -3  -6,47%  0%  58%,79  31  91,26%  0%  36%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
2,Clem EDGS,,0.47  0.24  0.50,166  124  213,16  6  10,/  27  14  13  /,1  0  1,-11  -8  -3,59%  53%  64%,113  90  139,33%  28%  36%,2  0  2,3  2  1,-1  -2  +1,2.0,13.0,Clem EDGS,,0.43  0.45  0.35,157  155  176,7  6  1,/  13  11  2  /,0  0  0,-6  -5  -1,64%  67%  50%,115  112  130,30%  28%  50%,1  0  1,2  2  0,-1  -2  +1,Clem EDGS,,0.52  0.02  0.66,175  0  220,9  0  9,/  14  3  11  /,1  0  1,-5  -3  -2,53%  0%  67%,112  0  140,35%  35%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,
3,WawaLee EDGS,,0.45  0.42  0.32,118  138  94,9  6  3,/  28  16  12  /,9  2  7,-19  -10  -9,52%  40%  64%,78  89  66,13%  25%  4%,0  0  0,1  0  1,-1  0  -1,,,XiMiLu EDGS,,0.29  0.33  0.05,91  86  127,2  1  1,/  14  12  2  /,6  6  0,-12  -11  -1,43%  42%  50%,73  73  74,24%  22%  33%,0  0  0,3  3  0,-3  -3  0,Blue EDGS,,0.45  0.42  0.46,139  200  125,6  2  4,/  14  3  11  /,1  0  1,-8  -1  -7,47%  33%  50%,94  140  82,15%  60%  7%,3  0  3,5  2  3,-2  -2  0,,,,,,,,,,,,,,
4,Blue EDGS,,0.36  0.31  0.55,126  114  141,11  5  6,/  28  15  13  /,2  1  1,-17  -10  -7,48%  40%  57%,83  81  86,19%  32%  11%,5  2  3,10  7  3,-5  -5  0,,,Blue EDGS,,0.26  0.20  0.64,112  92  237,5  3  2,/  14  12  2  /,1  1  0,-9  -9  0,50%  42%  100%,72  66  107,25%  24%  29%,2  2  0,5  5  0,-3  -3  0,WawaLee EDGS,,0.36  0.25  0.38,77  41  87,2  0  2,/  14  4  10  /,7  1  6,-12  -4  -8,53%  33%  58%,52  32  56,5%  50%  0%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
5,Noia SR,,1.85  1.33  1.95,353  343  364,41  19  22,/  12  6  6  /,7  3  4,+29  +13  +16,100%  100%  100%,238  241  235,34%  39%  30%,6  2  4,0  0  0,+6  +2  +4,,,florescent SR,,2.09  4.95  1.61,400  985  303,21  8  13,/  5  0  5  /,2  0  2,+16  +8  +8,93%  100%  92%,241  526  193,32%  73%  15%,5  1  4,0  0  0,+5  +1  +4,Noia SR,,1.96  1.95  1.99,387  374  441,24  18  6,/  6  4  2  /,4  2  2,+18  +14  +4,100%  100%  100%,255  265  217,42%  50%  23%,2  2  0,0  0  0,+2  +2  0,,,,,,,,,,,,,,
6,florescent SR,,1.84  3.30  1.50,329  391  268,35  21  14,/  10  5  5  /,6  4  2,+25  +16  +9,90%  86%  93%,208  249  170,34%  47%  16%,10  5  5,4  4  0,+6  +1  +5,,,Noia SR,,1.74  0.72  1.91,318  158  345,17  1  16,/  6  2  4  /,3  1  2,+11  -1  +12,100%  100%  100%,219  101  239,26%  0%  33%,4  0  4,0  0  0,+4  0  +4,florescent SR,,1.59  1.65  1.38,258  292  126,14  13  1,/  5  5  0  /,4  4  0,+9  +8  +1,87%  83%  100%,178  203  79,36%  38%  20%,5  4  1,4  4  0,+1  0  +1,,,,,,,,,,,,,,
7,alexis SR,,1.45  1.11  1.81,199  164  233,21  8  13,/  12  6  6  /,19  8  11,+9  +2  +7,97%  93%  100%,141  114  167,43%  29%  53%,1  0  1,1  0  1,0  0  0,,,alexis SR,,1.47  0.95  1.56,184  104  198,10  1  9,/  6  1  5  /,10  0  10,+4  0  +4,100%  100%  100%,139  77  150,44%  33%  45%,0  0  0,1  0  1,-1  0  -1,alexis SR,,1.43  1.27  2.07,213  174  373,11  7  4,/  6  5  1  /,9  8  1,+5  +2  +3,93%  92%  100%,143  120  237,41%  29%  75%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
8,meL SR,,1.40  0.99  1.51,162  143  183,18  7  11,/  11  7  4  /,19  9  10,+7  0  +7,97%  100%  93%,109  98  119,15%  11%  18%,2  0  2,1  0  1,+1  0  +1,,,meL SR,,1.47  0.67  1.61,133  15  153,8  0  8,/  4  1  3  /,7  0  7,+4  -1  +5,93%  100%  92%,88  15  101,20%  0%  21%,2  0  2,0  0  0,+2  0  +2,meL SR,,1.33  1.30  1.42,191  164  303,10  7  3,/  7  6  1  /,12  9  3,+3  +1  +2,100%  100%  100%,128  112  194,12%  12%  13%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
9,sarahcat SR,,1.29  1.01  1.42,202  176  226,23  10  13,/  14  6  8  /,18  4  14,+9  +4  +5,90%  86%  93%,125  108  142,20%  19%  21%,1  1  0,3  2  1,-2  -1  -1,,,sarahcat SR,,1.26  0.74  1.34,229  13  266,12  0  12,/  9  1  8  /,12  1  11,+3  -1  +4,93%  100%  92%,147  0  171,23%  23%,0  0  0,2  1  1,-2  -1  -1,sarahcat SR,,1.33  1.29  1.49,175  203  65,11  10  1,/  5  5  0  /,6  3  3,+6  +5  +1,87%  83%  100%,106  125  27,18%  19%  0%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,eva BBL.Q,,1.38  1.67  1.09,229  287  177,40  24  16,/  22  8  14  /,15  10  5,+18  +16  +2,82%  95%  71%,149  189  116,34%  44%  24%,3  1  2,1  0  1,+2  +1  +1,2.0,0.0,eva BBL.Q,,1.57  1.50  1.62,251  220  272,21  8  13,/  8  3  5  /,4  2  2,+13  +5  +8,90%  88%  92%,168  153  178,37%  44%  33%,2  1  1,0  0  0,+2  +1  +1,eva BBL.Q,,1.20  1.84  0.55,206  332  82,19  16  3,/  14  5  9  /,11  8  3,+5  +11  -6,75%  100%  50%,133  213  53,32%  44%  7%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,
12,Vania BBL.Q,,1.20  1.40  1.05,218  215  217,33  16  17,/  29  10  19  /,23  14  9,+4  +6  -2,73%  85%  63%,138  136  141,36%  37%  35%,3  2  1,8  3  5,-5  -1  -4,13.0,7.0,Vania BBL.Q,,1.32  1.58  1.14,246  257  239,17  8  9,/  13  4  9  /,9  4  5,+4  +4  0,75%  88%  67%,168  172  166,38%  44%  33%,2  1  1,5  2  3,-3  -1  -2,Felipa BBL.Q,,1.13  0.95  1.31,213  137  290,17  5  12,/  18  7  11  /,13  7  6,-1  -2  +1,79%  83%  75%,131  93  169,21%  31%  16%,3  2  1,1  1  0,+2  +1  +1,,,,,,,,,,,,,,
13,alkyia BBL.Q,,0.98  0.99  0.91,210  225  204,33  16  17,/  31  13  18  /,6  2  4,+2  +3  -1,66%  60%  71%,157  163  152,33%  36%  31%,8  4  4,9  3  6,-1  +1  -2,13.0,11.0,Wens BBL.Q,,0.96  1.15  0.82,154  191  130,10  5  5,/  13  5  8  /,4  2  2,-3  0  -3,75%  75%  75%,103  118  93,36%  42%  31%,2  1  1,1  0  1,+1  +1  0,Vania BBL.Q,,1.09  1.22  0.96,190  186  195,16  8  8,/  16  6  10  /,14  10  4,0  +2  -2,71%  83%  58%,113  112  115,33%  30%  37%,1  1  0,3  1  2,-2  0  -2,,,,,,,,,,,,,,
14,Felipa BBL.Q,,0.96  1.00  0.97,198  169  226,30  11  19,/  35  13  22  /,24  11  13,-5  -2  -3,80%  85%  75%,122  111  132,22%  24%  21%,3  2  1,1  1  0,+2  +1  +1,,,alkyia BBL.Q,,0.89  0.54  1.12,176  106  223,13  3  10,/  13  6  7  /,1  0  1,0  -3  +3,70%  50%  83%,121  72  153,34%  33%  35%,5  2  3,3  1  2,+2  +1  +1,alkyia BBL.Q,,1.07  1.44  0.70,244  304  185,20  13  7,/  18  7  11  /,5  2  3,+2  +6  -4,63%  67%  58%,187  224  150,32%  36%  28%,3  2  1,6  2  4,-3  0  -3,,,,,,,,,,,,,,
15,Wens BBL.Q,,0.93  1.20  0.70,164  196  140,26  15  11,/  27  10  17  /,6  3  3,-1  +5  -6,73%  80%  67%,112  136  93,32%  38%  27%,5  3  2,3  1  2,+2  +2  0,,,Felipa BBL.Q,,0.79  1.04  0.62,183  216  162,13  6  7,/  17  6  11  /,11  4  7,-4  0  -4,80%  88%  75%,112  137  95,25%  19%  33%,0  0  0,0  0  0,0  0  0,Wens BBL.Q,,0.90  1.24  0.57,174  200  150,16  10  6,/  14  5  9  /,2  1  1,+2  +5  -3,71%  83%  58%,120  147  92,30%  36%  24%,3  2  1,2  1  1,+1  +1  0,,,,,,,,,,,,,,
16,conir KRÃ.B,,1.19  1.64  0.66,261  318  184,41  28  13,/  31  14  17  /,18  15  3,+10  +14  -4,77%  92%  60%,173  219  118,36%  33%  45%,5  2  3,6  2  4,-1  0  -1,,,conir KRÃ.B,,1.32  1.69  0.77,302  352  228,24  17  7,/  14  7  7  /,5  4  1,+10  +10  0,70%  83%  50%,197  229  149,45%  41%  58%,1  0  1,4  2  2,-3  -2  -1,romi KRÃ.B,,1.16  1.08  1.23,219  191  248,19  9  10,/  16  7  9  /,3  2  1,+3  +2  +1,71%  83%  58%,141  118  164,34%  41%  30%,3  1  2,0  0  0,+3  +1  +2,,,,,,,,,,,,,,
17,romi KRÃ.B,,1.06  0.97  1.18,213  176  259,33  16  17,/  30  15  15  /,7  5  2,+3  +1  +2,77%  88%  65%,140  111  175,34%  34%  34%,5  2  3,1  0  1,+4  +2  +2,,,romi KRÃ.B,,0.97  0.87  1.12,206  161  276,14  7  7,/  14  8  6  /,4  3  1,0  -1  +1,85%  92%  75%,139  103  192,34%  29%  40%,2  1  1,1  0  1,+1  +1  0,kalita KRÃ.B,,1.07  1.25  0.89,238  286  190,20  12  8,/  20  9  11  /,5  3  2,0  +3  -3,75%  100%  50%,149  171  128,31%  29%  33%,4  3  1,2  1  1,+2  +2  0,,,,,,,,,,,,,,
