,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Sacy SEN,,1.17  1.23  1.09,207  239  181,54  28  26,/  41  18  23  /,18  6  12,+13  +10  +3,74%  70%  76%,137  150  128,33%  37%  30%,2  1  1,6  3  3,-4  -2  -2,2.0,1.0,Sacy SEN,,1.66  1.40  1.84,256  220  281,20  6  14,/  8  5  3  /,6  2  4,+12  +1  +11,80%  63%  92%,181  141  208,32%  24%  37%,1  0  1,0  0  0,+1  0  +1,Zellsis SEN,,1.05  0.82  1.20,219  187  241,19  7  12,/  15  6  9  /,4  2  2,+4  +1  +3,70%  63%  75%,123  81  151,22%  12%  28%,0  0  0,0  0  0,0  0  0,zekken SEN,,1.41  1.61  1.22,329  337  322,30  16  14,/  22  9  13  /,7  6  1,+8  +7  +1,86%  100%  71%,213  216  210,32%  30%  37%,10  4  6,1  0  1,+9  +4  +5
1,zekken SEN,,1.08  1.09  1.06,235  259  238,56  26  30,/  51  22  29  /,15  9  6,+5  +4  +1,76%  83%  71%,171  178  165,29%  29%  29%,13  5  8,13  6  7,0  -1  +1,13.0,7.0,Zellsis SEN,,1.23  1.09  1.32,239  215  256,19  7  12,/  12  5  7  /,8  0  8,+7  +2  +5,75%  75%  75%,141  147  138,21%  21%  22%,1  0  1,0  0  0,+1  0  +1,johnqt SEN,,0.86  1.16  0.67,221  279  184,14  8  6,/  18  7  11  /,7  2  5,-4  +1  -5,70%  88%  58%,173  220  142,39%  45%  33%,2  2  0,0  0  0,+2  +2  0,Sacy SEN,,1.31  1.71  0.90,202  286  118,23  17  6,/  15  6  9  /,6  2  4,+8  +11  -3,71%  86%  57%,131  180  81,34%  48%  15%,1  1  0,2  1  1,-1  0  -1
2,Zellsis SEN,,1.00  0.93  1.03,184  146  195,44  17  27,/  45  19  26  /,28  13  15,-1  -2  +1,68%  73%  63%,105  88  119,20%  15%  24%,1  0  1,1  0  1,0  0  0,7.0,13.0,zekken SEN,,1.18  0.91  1.37,188  158  209,15  5  10,/  13  7  6  /,4  1  3,+2  -2  +4,70%  63%  75%,138  116  152,33%  45%  27%,3  1  2,7  4  3,-4  -3  -1,zekken SEN,,0.65  0.75  0.59,189  222  168,11  5  6,/  16  6  10  /,4  2  2,-5  -1  -4,70%  75%  67%,145  175  126,19%  18%  20%,0  0  0,5  2  3,-5  -2  -3,TenZ SEN,,1.19  1.46  0.92,220  279  163,23  15  8,/  18  8  10  /,13  6  7,+5  +7  -2,68%  79%  57%,147  178  115,28%  24%  37%,4  3  1,6  3  3,-2  0  -2
3,TenZ SEN,,0.98  1.07  0.88,189  214  176,46  24  22,/  49  19  30  /,33  13  20,-3  +5  -8,71%  77%  66%,128  139  119,29%  27%  32%,9  4  5,12  4  8,-3  0  -3,15.0,13.0,TenZ SEN,,1.09  1.14  1.05,197  208  191,13  6  7,/  13  5  8  /,15  4  11,0  +1  -1,90%  88%  92%,123  130  118,25%  29%  22%,1  0  1,1  0  1,0  0  0,TenZ SEN,,0.65  0.61  0.68,149  109  176,10  3  7,/  18  6  12  /,5  3  2,-8  -3  -5,55%  63%  50%,107  81  125,40%  38%  41%,4  1  3,5  1  4,-1  0  -1,johnqt SEN,,0.89  0.93  0.85,164  153  176,15  7  8,/  21  10  11  /,5  1  4,-6  -3  -3,68%  64%  71%,113  94  132,19%  30%  13%,2  2  0,1  0  1,+1  +2  -1
4,johnqt SEN,,0.92  0.96  0.89,198  196  193,44  20  24,/  54  24  30  /,18  6  12,-10  -4  -6,69%  73%  66%,141  141  142,28%  34%  25%,7  5  2,4  2  2,+3  +3  0,,,johnqt SEN,,1.00  0.80  1.14,208  188  223,15  5  10,/  15  7  8  /,6  3  3,0  -2  +2,70%  75%  67%,149  144  153,32%  25%  36%,3  1  2,3  2  1,0  -1  +1,Sacy SEN,,0.55  0.57  0.54,162  175  155,11  5  6,/  18  7  11  /,6  2  4,-7  -2  -5,70%  50%  83%,103  104  103,34%  32%  37%,0  0  0,4  2  2,-4  -2  -2,Zellsis SEN,,0.72  0.86  0.59,93  84  103,6  3  3,/  18  8  10  /,16  11  5,-12  -5  -7,61%  79%  43%,67  58  76,15%  11%  19%,0  0  0,1  0  1,-1  0  -1
5,Jinggg PRX,,1.24  1.41  1.11,257  293  201,46  30  16,/  31  15  16  /,6  4  2,+15  +15  0,73%  85%  59%,153  167  137,26%  24%  30%,8  6  2,4  1  3,+4  +5  -1,,,f0rsakeN PRX,,1.00  0.90  1.14,213  198  237,15  8  7,/  16  10  6  /,8  3  5,-1  -2  +1,65%  58%  75%,147  146  149,39%  36%  43%,0  0  0,1  0  1,-1  0  -1,d4v41 PRX,,1.36  1.44  1.24,225  252  184,18  13  5,/  12  7  5  /,7  3  4,+6  +6  0,85%  83%  88%,146  162  123,59%  58%  60%,3  2  1,1  1  0,+2  +1  +1,Jinggg PRX,,1.13  1.60  0.66,218  284  153,24  17  7,/  19  7  12  /,3  2  1,+5  +10  -5,61%  79%  43%,133  156  110,29%  28%  32%,4  3  1,3  1  2,+1  +2  -1
6,f0rsakeN PRX,,1.11  1.16  1.09,221  238  205,53  31  22,/  49  26  23  /,32  14  18,+4  +5  -1,79%  79%  80%,152  169  131,35%  39%  29%,5  3  2,6  2  4,-1  +1  -2,,,something PRX,,0.87  0.70  1.11,194  168  235,15  7  8,/  15  10  5  /,2  2  0,0  -3  +3,60%  50%  75%,126  106  155,20%  38%  11%,5  1  4,5  4  1,0  -3  +3,Jinggg PRX,,1.35  1.22  1.55,295  303  286,22  13  9,/  12  8  4  /,3  2  1,+10  +5  +5,90%  92%  88%,181  179  185,24%  21%  29%,4  3  1,1  0  1,+3  +3  0,f0rsakeN PRX,,1.01  1.38  0.64,236  278  195,23  14  9,/  19  7  12  /,7  2  5,+4  +7  -3,82%  86%  79%,171  203  139,34%  48%  22%,1  0  1,3  1  2,-2  -1  -1
7,d4v41 PRX,,0.94  0.97  0.91,187  174  193,46  27  19,/  48  25  23  /,13  5  8,-2  +2  -4,69%  66%  73%,120  110  134,38%  41%  35%,7  4  3,3  3  0,+4  +1  +3,,,d4v41 PRX,,0.75  0.67  0.87,195  185  211,14  9  5,/  16  11  5  /,1  1  0,-2  -2  0,65%  50%  88%,119  104  142,26%  33%  21%,3  1  2,1  1  0,+2  0  +2,f0rsakeN PRX,,1.32  1.21  1.49,214  230  190,15  9  6,/  14  9  5  /,17  9  8,+1  0  +1,90%  92%  88%,132  154  99,31%  31%  31%,4  3  1,2  1  1,+2  +2  0,Monyet PRX,,0.97  0.98  0.97,179  132  227,18  8  10,/  20  9  11  /,11  5  6,-2  -1  -1,68%  71%  64%,119  93  145,44%  50%  41%,1  1  0,4  2  2,-3  -1  -2
8,mindfreak PRX,,0.90  0.90  0.90,171  135  225,24  12  12,/  30  17  13  /,12  6  6,-6  -5  -1,75%  71%  81%,119  97  151,27%  44%  15%,3  2  1,0  0  0,+3  +2  +1,,,Monyet PRX,,0.62  0.51  0.78,113  126  94,8  5  3,/  17  11  6  /,7  3  4,-9  -6  -3,60%  67%  50%,90  106  65,35%  40%  25%,1  1  0,2  2  0,-1  -1  0,mindfreak PRX,,1.23  1.29  1.14,208  165  274,15  8  7,/  12  6  6  /,9  5  4,+3  +2  +1,90%  92%  88%,145  120  182,27%  48%  13%,1  0  1,0  0  0,+1  0  +1,something PRX,,0.79  0.83  0.75,158  196  121,15  9  6,/  19  9  10  /,5  3  2,-4  0  -4,71%  79%  64%,106  127  86,21%  18%  29%,4  2  2,6  2  4,-2  0  -2
9,something PRX,,0.90  0.91  0.90,184  190  169,45  26  19,/  49  26  23  /,14  10  4,-4  0  -4,71%  74%  67%,115  115  116,23%  22%  24%,11  4  7,13  7  6,-2  -3  +1,,,mindfreak PRX,,0.58  0.52  0.67,133  106  175,9  4  5,/  18  11  7  /,3  1  2,-9  -7  -2,60%  50%  75%,92  73  121,26%  36%  19%,2  2  0,0  0  0,+2  +2  0,something PRX,,1.05  1.18  0.85,199  206  188,15  10  5,/  15  7  8  /,7  5  2,0  +3  -3,80%  92%  63%,118  109  131,28%  20%  43%,2  1  1,2  1  1,0  0  0,d4v41 PRX,,0.70  0.80  0.60,141  96  187,14  5  9,/  20  7  13  /,5  1  4,-6  -2  -4,61%  64%  57%,103  71  135,31%  25%  35%,1  1  0,1  1  0,0  0  0
