,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,TvirusLuke DRG,,,331.0,43.0,/  21  /,5.0,22.0,,,,,,,2.0,0.0,TvirusLuke DRG,,,375.0,24.0,/  12  /,3.0,12.0,,,,,,,TvirusLuke DRG,,,286.0,19.0,/  9  /,2.0,10.0,,,,,,,,,,,,,,,,,,,,
1,vo0kashu DRG,,,252.0,31.0,/  19  /,10.0,12.0,,,,,,,13.0,4.0,maizi DRG,,,229.0,15.0,/  7  /,3.0,8.0,,,,,,,vo0kashu DRG,,,275.0,16.0,/  11  /,6.0,5.0,,,,,,,,,,,,,,,,,,,,
2,maizi DRG,,,200.0,25.0,/  16  /,12.0,9.0,,,,,,,13.0,3.0,vo0kashu DRG,,,228.0,15.0,/  8  /,4.0,7.0,,,,,,,Nicc DRG,,,248.0,16.0,/  5  /,13.0,11.0,,,,,,,,,,,,,,,,,,,,
3,Nicc DRG,,,197.0,24.0,/  15  /,26.0,9.0,,,,,,,,,Shion7 DRG,,,154.0,11.0,/  9  /,6.0,2.0,,,,,,,maizi DRG,,,170.0,10.0,/  9  /,9.0,1.0,,,,,,,,,,,,,,,,,,,,
4,Shion7 DRG,,,162.0,21.0,/  20  /,14.0,1.0,,,,,,,,,Nicc DRG,,,146.0,8.0,/  10  /,13.0,-2.0,,,,,,,Shion7 DRG,,,170.0,10.0,/  11  /,8.0,-1.0,,,,,,,,,,,,,,,,,,,,
5,diseased LGD,,,221.0,25.0,/  25  /,3.0,0.0,,,,,,,,,diseased LGD,,,241.0,15.0,/  12  /,1.0,3.0,,,,,,,coconut LGD,,,247.0,12.0,/  14  /,5.0,-2.0,,,,,,,,,,,,,,,,,,,,
6,coconut LGD,,,202.0,21.0,/  31  /,6.0,-10.0,,,,,,,,,Kiuuuu LGD,,,174.0,9.0,/  15  /,5.0,-6.0,,,,,,,WsLeo LGD,,,202.0,9.0,/  14  /,5.0,-5.0,,,,,,,,,,,,,,,,,,,,
7,WsLeo LGD,,,155.0,14.0,/  29  /,9.0,-15.0,,,,,,,,,coconut LGD,,,156.0,9.0,/  17  /,1.0,-8.0,,,,,,,diseased LGD,,,200.0,10.0,/  13  /,2.0,-3.0,,,,,,,,,,,,,,,,,,,,
8,watasink LGD,,,142.0,16.0,/  29  /,4.0,-13.0,,,,,,,,,watasink LGD,,,131.0,8.0,/  14  /,2.0,-6.0,,,,,,,watasink LGD,,,152.0,8.0,/  15  /,2.0,-7.0,,,,,,,,,,,,,,,,,,,,
9,Kiuuuu LGD,,,139.0,15.0,/  30  /,12.0,-15.0,,,,,,,,,WsLeo LGD,,,107.0,5.0,/  15  /,4.0,-10.0,,,,,,,Kiuuuu LGD,,,104.0,6.0,/  15  /,7.0,-9.0,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BerLIN FPX,,,260.0,40.0,/  29  /,13.0,11.0,,,,,,,2.0,0.0,Autumn FPX,,,270.0,28.0,/  20  /,3.0,8.0,,,,,,,BerLIN FPX,,,310.0,20.0,/  8  /,3.0,12.0,,,,,,,,,,,,,,,,,,,,
12,Autumn FPX,,,237.0,42.0,/  29  /,7.0,13.0,,,,,,,16.0,14.0,AAAAY FPX,,,232.0,25.0,/  16  /,12.0,9.0,,,,,,,Lysoar FPX,,,249.0,15.0,/  11  /,1.0,4.0,,,,,,,,,,,,,,,,,,,,
13,Lysoar FPX,,,235.0,39.0,/  28  /,6.0,11.0,,,,,,,13.0,5.0,Lysoar FPX,,,220.0,24.0,/  17  /,5.0,7.0,,,,,,,Autumn FPX,,,203.0,14.0,/  9  /,4.0,5.0,,,,,,,,,,,,,,,,,,,,
