,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,bstrdd TL,,1.09  0.78  1.33,243  213  273,41  16  25,/  36  18  18  /,7  3  4,+5  -2  +7,74%  76%  72%,167  147  184,28%  33%  26%,5  3  2,7  5  2,-2  -2  0,0.0,2.0,bstrdd TL,,1.17  0.92  1.42,260  195  325,26  10  16,/  18  10  8  /,4  3  1,+8  0  +8,81%  85%  77%,169  135  204,34%  24%  42%,2  1  1,5  4  1,-3  -3  0,daiki TL,,1.11  0.57  1.48,227  148  280,17  4  13,/  16  7  9  /,4  2  2,+1  -3  +4,70%  50%  83%,137  110  154,20%  17%  22%,4  1  3,1  0  1,+3  +1  +2
1,daiki TL,,1.02  0.88  1.07,225  205  242,36  16  20,/  37  16  21  /,12  5  7,-1  0  -1,72%  67%  76%,143  129  154,24%  23%  24%,6  2  4,3  1  2,+3  +1  +2,12.0,14.0,isaa TL,,1.08  1.11  1.06,213  229  199,19  10  9,/  17  9  8  /,12  9  3,+2  +1  +1,81%  85%  77%,145  144  146,39%  30%  53%,0  0  0,5  2  3,-5  -2  -3,bstrdd TL,,1.00  0.64  1.25,226  241  217,15  6  9,/  18  8  10  /,3  0  3,-3  -2  -1,65%  63%  67%,165  168  163,22%  47%  11%,3  2  1,2  1  1,+1  +1  0
2,Bizerra TL,,0.91  0.75  0.98,167  166  170,28  12  16,/  35  17  18  /,6  3  3,-7  -5  -2,61%  67%  56%,115  108  120,27%  26%  28%,8  4  4,1  0  1,+7  +4  +3,7.0,13.0,daiki TL,,0.93  1.19  0.66,223  240  206,19  12  7,/  21  9  12  /,8  3  5,-2  +3  -5,73%  77%  69%,148  141  154,26%  26%  26%,2  1  1,2  1  1,0  0  0,Bizerra TL,,0.97  0.51  1.28,162  107  200,12  3  9,/  14  7  7  /,2  0  2,-2  -4  +2,60%  50%  67%,116  63  151,29%  23%  31%,2  1  1,0  0  0,+2  +1  +1
3,isaa TL,,0.74  0.67  0.78,142  176  132,23  12  11,/  34  17  17  /,17  11  6,-11  -5  -6,72%  76%  68%,103  109  97,39%  32%  48%,1  1  0,8  3  5,-7  -2  -5,,,Bizerra TL,,0.84  1.00  0.69,172  203  142,16  9  7,/  21  10  11  /,4  3  1,-5  -1  -4,62%  77%  46%,114  136  92,26%  28%  21%,6  3  3,1  0  1,+5  +3  +2,Joojina TL,,0.70  0.29  0.98,139  91  171,10  3  7,/  17  7  10  /,2  0  2,-7  -4  -3,50%  38%  58%,102  79  117,31%  22%  35%,1  0  1,3  1  2,-2  -1  -1
4,Joojina TL,,0.74  0.49  0.93,136  133  138,22  11  11,/  36  18  18  /,16  3  13,-14  -7  -7,63%  62%  64%,89  90  89,32%  35%  30%,2  1  1,5  1  4,-3  0  -3,,,Joojina TL,,0.78  0.68  0.88,133  159  107,12  8  4,/  19  11  8  /,14  3  11,-7  -3  -4,73%  77%  69%,79  96  63,33%  43%  23%,1  1  0,2  0  2,-1  +1  -2,isaa TL,,0.39  0.22  0.50,71  91  59,4  2  2,/  17  8  9  /,5  2  3,-13  -6  -7,60%  63%  58%,48  53  44,40%  50%  33%,1  1  0,3  1  2,-2  0  -2
5,mimi G2.G,,1.48  1.17  1.93,283  237  343,47  19  28,/  29  18  11  /,24  16  8,+18  +1  +17,87%  84%  90%,177  164  193,26%  34%  21%,9  4  5,5  2  3,+4  +2  +2,,,mimi G2.G,,1.54  1.44  1.63,300  278  323,28  12  16,/  17  9  8  /,14  10  4,+11  +3  +8,85%  85%  85%,182  180  185,30%  48%  20%,6  3  3,3  1  2,+3  +2  +1,mimi G2.G,,1.43  0.89  2.24,266  194  375,19  7  12,/  12  9  3  /,10  6  4,+7  -2  +9,90%  83%  100%,171  147  207,21%  21%  21%,3  1  2,2  1  1,+1  0  +1
6,sarah G2.G,,1.08  1.02  1.19,198  188  201,33  17  16,/  27  15  12  /,12  8  4,+6  +2  +4,72%  64%  81%,115  110  122,31%  31%  31%,4  2  2,2  2  0,+2  0  +2,,,Glance G2.G,,1.16  1.20  1.11,225  217  234,20  10  10,/  18  9  9  /,10  7  3,+2  +1  +1,81%  92%  69%,147  126  168,23%  21%  24%,1  1  0,1  0  1,0  +1  -1,sarah G2.G,,1.21  0.97  1.57,230  241  215,18  10  8,/  10  8  2  /,4  3  1,+8  +2  +6,70%  58%  88%,136  143  126,34%  38%  29%,1  1  0,1  1  0,0  0  0
7,Glance G2.G,,1.06  0.92  1.27,197  162  248,32  14  18,/  30  16  14  /,15  10  5,+2  -2  +4,74%  72%  76%,132  101  169,28%  29%  28%,3  2  1,2  1  1,+1  +1  0,,,sarah G2.G,,0.95  1.08  0.81,165  139  192,15  7  8,/  17  7  10  /,8  5  3,-2  0  -2,73%  69%  77%,99  79  120,26%  20%  32%,3  1  2,1  1  0,+2  0  +2,Petra G2.G,,1.15  0.92  1.50,257  247  273,19  12  7,/  12  8  4  /,6  0  6,+7  +4  +3,70%  67%  75%,184  166  212,23%  26%  19%,2  2  0,6  3  3,-4  -1  -3
8,Petra G2.G,,1.00  1.08  0.98,220  249  176,34  23  11,/  33  17  16  /,15  3  12,+1  +6  -5,70%  72%  67%,155  167  140,23%  27%  19%,6  4  2,10  5  5,-4  -1  -3,,,roxi G2.G,,0.85  0.65  1.05,159  122  198,18  7  11,/  19  9  10  /,4  3  1,-1  -2  +1,85%  77%  92%,99  67  131,26%  29%  24%,1  1  0,2  1  1,-1  0  -1,Glance G2.G,,0.96  0.64  1.43,169  103  271,12  4  8,/  12  7  5  /,5  3  2,0  -3  +3,65%  50%  88%,113  74  170,38%  50%  33%,2  1  1,1  1  0,+1  0  +1
9,roxi G2.G,,0.87  0.78  0.96,173  187  153,32  19  13,/  31  17  14  /,6  3  3,+1  +2  -1,83%  76%  90%,113  119  105,27%  33%  21%,2  2  0,3  1  2,-1  +1  -2,,,Petra G2.G,,0.85  1.25  0.46,183  250  116,15  11  4,/  21  9  12  /,9  3  6,-6  +2  -8,69%  77%  62%,132  168  96,24%  27%  18%,4  2  2,4  2  2,0  0  0,roxi G2.G,,0.89  0.91  0.88,186  258  80,14  12  2,/  12  8  4  /,2  0  2,+2  +4  -2,80%  75%  88%,130  176  62,28%  34%  17%,1  1  0,1  0  1,0  +1  -1
