,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,1ex DG,,0.62  0.31  0.55,162  106  237,15  5  10,/  26  15  11  /,5  3  2,-11  -10  -1,61%  60%  62%,103  70  141,35%  33%  36%,2  0  2,3  2  1,-1  -2  +1,0.0,2.0,1ex DG,,0.91  0.24  1.08,225  100  257,11  1  10,/  13  3  10  /,3  1  2,-2  -2  0,67%  67%  67%,133  53  153,38%  100%  36%,2  0  2,2  1  1,0  -1  +1,Wintr DG,,0.55  0.50  1.14,168  138  530,7  5  2,/  13  12  1  /,1  1  0,-6  -7  +1,62%  58%  100%,115  107  205,30%  25%  67%,2  2  0,1  1  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wintr DG,,0.57  0.42  0.90,152  135  170,13  6  7,/  27  15  12  /,3  2  1,-14  -9  -5,50%  60%  38%,111  104  119,33%  30%  39%,2  2  0,3  1  2,-1  +1  -2,2.0,13.0,Wintr DG,,0.59  0.34  0.66,136  123  140,6  1  5,/  14  3  11  /,2  1  1,-8  -2  -6,40%  67%  33%,108  91  112,36%  43%  33%,0  0  0,2  0  2,-2  0  -2,TysonRCX DG,,0.40  0.44  0.02,125  133  41,4  4  0,/  13  12  1  /,1  1  0,-9  -8  -1,38%  42%,96  101  41,16%  19%  0%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TysonRCX DG,,0.48  0.27  0.34,125  127  124,9  5  4,/  26  15  11  /,3  1  2,-17  -10  -7,46%  40%  54%,91  93  89,17%  19%  15%,4  1  3,2  1  1,+2  0  +2,0.0,13.0,BRU DG,,0.56  0.03  0.70,159  54  185,9  1  8,/  14  3  11  /,0  0  0,-5  -2  -3,53%  67%  50%,94  9  115,40%  0%  43%,2  0  2,1  0  1,+1  0  +1,1ex DG,,0.33  0.37  0.02,99  108,4  4  0,/  13  12  1  /,2  2  0,-9  -8  -1,54%  58%,68  74,29%  29%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BRU DG,,0.36  0.11  0.36,118  78  171,12  4  8,/  27  15  12  /,0  0  0,-15  -11  -4,43%  40%  46%,73  44  106,22%  9%  43%,3  1  2,3  2  1,0  -1  +1,,,d4tt DG,,0.55  0.03  0.69,162  83  182,7  1  6,/  15  3  12  /,5  0  5,-8  -2  -6,53%  33%  58%,105  35  123,32%  100%  29%,0  0  0,1  1  0,-1  -1  0,BRU DG,,0.17  0.20  0.02,77  84,3  3  0,/  13  12  1  /,0  0  0,-10  -9  -1,31%  33%,49  53,9%  9%,1  1  0,2  2  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d4tt DG,,0.33  0.09  0.35,123  89  168,10  4  6,/  28  15  13  /,8  3  5,-18  -11  -7,54%  53%  54%,79  50  113,21%  11%  29%,0  0  0,6  5  1,-6  -5  -1,,,TysonRCX DG,,0.55  0.11  0.66,125  102  131,5  1  4,/  13  3  10  /,2  0  2,-8  -2  -6,53%  33%  58%,86  61  93,19%  20%  18%,3  0  3,2  1  1,+1  -1  +2,d4tt DG,,0.11  0.15  0.01,83  90,3  3  0,/  13  12  1  /,3  3  0,-10  -9  -1,54%  58%,50  54,6%  6%,0  0  0,5  4  1,-5  -4  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,punda Hanm,,1.84  2.31  1.72,316  344  293,33  16  17,/  8  4  4  /,10  5  5,+25  +12  +13,82%  77%  87%,209  241  181,35%  41%  30%,2  0  2,0  0  0,+2  0  +2,,,punda Hanm,,1.78  1.82  1.61,320  334  266,17  14  3,/  5  4  1  /,5  5  0,+12  +10  +2,80%  75%  100%,224  239  165,33%  41%  13%,1  0  1,0  0  0,+1  0  +1,punda Hanm,,1.90  2.80  1.82,312  464  300,16  2  14,/  3  0  3  /,5  0  5,+13  +2  +11,85%  100%  83%,191  265  185,37%  40%  37%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mazuong Hanm,,1.65  1.68  1.68,357  337  371,36  16  20,/  16  8  8  /,6  4  2,+20  +8  +12,89%  77%  100%,235  228  240,34%  36%  33%,9  3  6,3  3  0,+6  0  +6,,,WAT Hanm,,1.47  1.22  2.49,231  210  315,14  11  3,/  5  5  0  /,5  3  2,+9  +6  +3,87%  83%  100%,153  143  195,56%  55%  57%,1  1  0,0  0  0,+1  +1  0,Mazuong Hanm,,1.88  1.95  1.87,393  361  396,18  1  17,/  6  1  5  /,3  1  2,+12  0  +12,100%  100%  100%,250  216  253,36%  67%  34%,5  1  4,0  0  0,+5  +1  +4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WAT Hanm,,1.50  0.62  2.08,229  194  259,25  11  14,/  9  6  3  /,10  3  7,+16  +5  +11,86%  77%  93%,151  132  168,38%  55%  30%,2  1  1,2  0  2,0  +1  -1,,,Mazuong Hanm,,1.42  1.41  1.48,321  335  268,18  15  3,/  10  7  3  /,3  3  0,+8  +8  0,80%  75%  100%,222  229  192,33%  33%  29%,4  2  2,3  3  0,+1  -1  +2,WATER Hanm,,1.81  1.49  1.83,207  90  217,12  1  11,/  2  0  2  /,6  0  6,+10  +1  +9,100%  100%  100%,140  30  149,38%  0%  39%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WATER Hanm,,1.34  1.09  1.74,183  155  204,22  9  13,/  12  10  2  /,12  6  6,+10  -1  +11,89%  77%  100%,124  101  144,33%  25%  39%,1  1  0,3  3  0,-2  -2  0,,,M1kE Hanm,,1.17  1.09  1.47,181  170  228,10  7  3,/  8  7  1  /,4  4  0,+2  0  +2,80%  75%  100%,146  136  184,22%  14%  44%,1  1  0,1  1  0,0  0  0,WAT Hanm,,1.53  0.03  1.66,226  0  246,11  0  11,/  4  1  3  /,5  0  5,+7  -1  +8,85%  0%  92%,149  0  161,24%  24%,1  0  1,2  0  2,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,M1kE Hanm,,1.20  1.46  1.33,169  173  167,18  8  10,/  14  7  7  /,8  4  4,+4  +1  +3,86%  77%  93%,132  136  128,20%  16%  24%,3  1  2,3  1  2,0  0  0,,,WATER Hanm,,0.88  0.68  1.65,159  161  153,10  8  2,/  10  10  0  /,6  6  0,0  -2  +2,80%  75%  100%,110  107  122,29%  26%  40%,1  1  0,3  3  0,-2  -2  0,M1kE Hanm,,1.24  1.83  1.19,156  210  152,8  1  7,/  6  0  6  /,4  0  4,+2  +1  +1,92%  100%  92%,115  130  114,18%  33%  16%,2  0  2,2  0  2,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
