,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,frostmind OGS,,1.55  1.53  1.73,213  233  187,40  26  14,/  18  9  9  /,18  7  11,+22  +17  +5,85%  85%  85%,143  153  130,53%  50%  58%,3  2  1,3  0  3,0  +2  -2,3.0,0.0,frostmind OGS,,1.43  1.54  1.22,221  253  161,16  13  3,/  8  5  3  /,5  1  4,+8  +8  0,83%  83%  83%,140  154  110,38%  39%  33%,1  1  0,2  0  2,-1  +1  -2,azys OGS,,1.59  0.69  1.81,410  257  449,21  3  18,/  11  3  8  /,6  1  5,+10  0  +10,93%  100%  92%,282  155  314,39%  43%  38%,4  1  3,1  0  1,+3  +1  +2,frostmind OGS,,2.03  1.90  2.78,246  238  301,14  11  3,/  2  2  0  /,7  4  3,+12  +9  +3,93%  92%  100%,169  164  201,65%  62%  80%,1  1  0,0  0  0,+1  +1  0
1,Antidote OGS,,1.38  1.46  1.29,216  261  149,37  26  11,/  19  13  6  /,19  13  6,+18  +13  +5,85%  93%  75%,142  167  108,27%  26%  30%,6  5  1,1  1  0,+5  +4  +1,13.0,5.0,rawfiul OGS,,1.38  1.37  1.40,220  269  123,14  11  3,/  9  8  1  /,2  2  0,+5  +3  +2,89%  83%  100%,152  185  85,32%  40%  18%,4  2  2,0  0  0,+4  +2  +2,RvK OGS,,1.37  0.90  1.48,202  142  218,13  2  11,/  7  2  5  /,5  0  5,+6  0  +6,80%  67%  83%,129  73  142,50%  67%  47%,1  0  1,2  1  1,-1  -1  0,Antidote OGS,,1.61  1.67  1.20,285  317  98,14  14  0,/  5  4  1  /,8  5  3,+9  +10  -1,100%  100%  100%,176  194  74,17%  17%  14%,2  2  0,0  0  0,+2  +2  0
2,azys OGS,,1.32  1.01  1.46,296  249  343,52  27  25,/  29  17  12  /,9  4  5,+23  +10  +13,83%  81%  85%,190  153  240,35%  30%  40%,8  4  4,7  5  2,+1  -1  +2,13.0,2.0,RvK OGS,,1.34  0.74  2.55,265  126  545,18  6  12,/  12  9  3  /,7  3  4,+6  -3  +9,72%  67%  83%,185  85  386,38%  22%  50%,0  0  0,1  1  0,-1  -1  0,Antidote OGS,,1.26  1.53  1.19,168  315  131,11  4  7,/  6  2  4  /,4  1  3,+5  +2  +3,73%  100%  67%,117  191  98,53%  57%  50%,1  0  1,0  0  0,+1  0  +1,azys OGS,,1.54  1.52  1.65,301  293  352,18  15  3,/  6  5  1  /,1  1  0,+12  +10  +2,93%  92%  100%,186  168  288,33%  29%  60%,2  2  0,2  2  0,0  0  0
3,RvK OGS,,1.22  0.88  1.55,213  140  322,40  15  25,/  27  17  10  /,14  5  9,+13  -2  +15,74%  70%  80%,145  94  215,36%  23%  47%,2  0  2,4  3  1,-2  -3  +1,13.0,1.0,Antidote OGS,,1.28  1.18  1.47,195  191  203,12  8  4,/  8  7  1  /,7  7  0,+4  +1  +3,83%  83%  83%,136  134  140,29%  32%  21%,3  3  0,1  1  0,+2  +2  0,frostmind OGS,,1.19  1.14  1.20,171  136  181,10  2  8,/  8  2  6  /,6  2  4,+2  0  +2,80%  67%  83%,123  101  128,63%  50%  67%,1  0  1,1  0  1,0  0  0,rawfiul OGS,,1.03  1.04  0.98,212  203  270,10  8  2,/  10  8  2  /,4  3  1,0  0  0,86%  83%  100%,141  141  142,50%  50%  50%,4  3  1,1  1  0,+3  +2  +1
4,rawfiul OGS,,1.20  1.25  1.18,219  242  189,36  22  14,/  28  19  9  /,8  6  2,+8  +3  +5,87%  85%  90%,141  163  110,38%  45%  25%,10  6  4,3  1  2,+7  +5  +2,,,azys OGS,,0.84  0.81  0.90,177  202  128,13  9  4,/  12  9  3  /,2  2  0,+1  0  +1,67%  67%  67%,118  138  77,30%  28%  40%,2  1  1,4  3  1,-2  -2  0,rawfiul OGS,,1.18  1.34  1.14,225  293  209,12  3  9,/  9  3  6  /,2  1  1,+3  0  +3,87%  100%  83%,128  169  118,33%  50%  23%,2  1  1,2  0  2,0  +1  -1,RvK OGS,,0.95  1.01  0.62,172  155  277,9  7  2,/  8  6  2  /,2  2  0,+1  +1  0,71%  75%  50%,112  108  141,21%  18%  33%,1  0  1,1  1  0,0  -1  +1
5,Deadly10 TS,,0.73  0.67  0.69,202  199  211,33  13  20,/  40  17  23  /,3  0  3,-7  -4  -3,57%  55%  59%,133  136  131,28%  29%  27%,6  4  2,6  2  4,0  +2  -2,,,Deadly10 TS,,1.02  0.79  1.13,256  254  258,16  5  11,/  14  5  9  /,3  0  3,+2  0  +2,61%  50%  67%,169  168  170,16%  17%  16%,3  2  1,5  1  4,-2  +1  -3,Amaterasu TS,,0.80  0.70  1.22,156  137  234,8  5  3,/  13  12  1  /,4  3  1,-5  -7  +2,53%  42%  100%,96  89  125,38%  32%  60%,0  0  0,2  1  1,-2  -1  -1,Marzil TS,,0.66  1.18  0.58,197  397  164,9  3  6,/  14  2  12  /,5  1  4,-5  +1  -6,71%  100%  67%,123  225  106,35%  50%  30%,2  0  2,3  0  3,-1  0  -1
6,Marzil TS,,0.65  0.75  0.61,159  167  146,23  11  12,/  40  17  23  /,9  2  7,-17  -6  -11,60%  50%  67%,98  97  99,33%  36%  31%,5  2  3,8  3  5,-3  -1  -2,,,tricky TS,,0.82  0.14  1.16,186  78  240,12  1  11,/  15  6  9  /,1  1  0,-3  -5  +2,50%  33%  58%,120  54  152,29%  25%  29%,4  1  3,1  1  0,+3  0  +3,Marzil TS,,0.73  0.77  0.58,179  182  171,9  7  2,/  13  10  3  /,1  1  0,-4  -3  -1,53%  50%  67%,104  105  99,37%  46%  17%,2  2  0,2  2  0,0  0  0,Deadly10 TS,,0.60  0.58  0.61,170  183  169,8  1  7,/  13  2  11  /,0  0  0,-5  -1  -4,50%  50%  50%,108  179  96,38%  33%  39%,0  0  0,0  0  0,0  0  0
7,Amaterasu TS,,0.65  0.57  0.81,130  93  157,17  5  12,/  42  19  23  /,15  7  8,-25  -14  -11,60%  50%  67%,92  62  115,30%  36%  28%,2  0  2,5  1  4,-3  -1  -2,,,rite2ace TS,,0.65  0.64  0.65,160  192  146,11  4  7,/  15  5  10  /,4  0  4,-4  -1  -3,67%  50%  75%,104  123  94,32%  36%  29%,0  0  0,0  0  0,0  0  0,rite2ace TS,,0.62  0.54  0.95,155  114  319,8  4  4,/  14  11  3  /,6  6  0,-6  -7  +1,73%  67%  100%,92  66  195,29%  22%  50%,1  1  0,0  0  0,+1  +1  0,rite2ace TS,,0.59  0.42  0.62,124  137  123,5  1  4,/  12  2  10  /,3  1  2,-7  -1  -6,50%  100%  42%,89  85  89,20%  20%  20%,0  0  0,2  1  1,-2  -1  -1
8,rite2ace TS,,0.62  0.53  0.74,146  140  155,24  9  15,/  41  18  23  /,13  7  6,-17  -9  -8,64%  65%  63%,95  85  103,28%  26%  29%,1  1  0,2  1  1,-1  0  -1,,,Amaterasu TS,,0.64  0.54  0.68,114  25  159,5  0  5,/  16  5  11  /,7  3  4,-11  -5  -6,67%  50%  75%,97  17  137,27%  50%  25%,0  0  0,1  0  1,-1  0  -1,Deadly10 TS,,0.58  0.64  0.34,179  174  199,9  7  2,/  13  10  3  /,0  0  0,-4  -3  -1,60%  58%  67%,113  114  112,54%  50%  67%,3  2  1,1  1  0,+2  +1  +1,Amaterasu TS,,0.53  0.49  0.53,121  34  136,4  0  4,/  13  2  11  /,4  1  3,-9  -2  -7,57%  100%  50%,82  34  90,26%  100%  22%,2  0  2,2  0  2,0  0  0
9,tricky TS,,0.57  0.34  0.64,147  119  174,24  8  16,/  42  19  23  /,3  2  1,-18  -11  -7,47%  45%  48%,97  78  111,26%  33%  22%,4  1  3,8  5  3,-4  -4  0,,,Marzil TS,,0.56  0.31  0.68,101  61  122,5  1  4,/  13  5  8  /,3  0  3,-8  -4  -4,56%  33%  67%,74  40  91,25%  0%  38%,1  0  1,3  1  2,-2  -1  -1,tricky TS,,0.47  0.50  0.34,137  134  149,7  6  1,/  14  11  3  /,2  1  1,-7  -5  -2,53%  50%  67%,90  87  102,29%  31%  25%,0  0  0,4  3  1,-4  -3  -1,tricky TS,,0.42  0.37  0.43,118  153  113,5  1  4,/  13  2  11  /,0  0  0,-8  -1  -7,36%  50%  33%,75  94  71,21%  50%  13%,0  0  0,3  1  2,-3  -1  -2
