,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,JohnOlsen FS,,1.23  1.34  1.08,275  304  205,63  41  22,/  51  29  22  /,13  7  6,+12  +12  0,74%  70%  77%,170  195  140,23%  27%  17%,10  5  5,12  7  5,-2  -2  0,1.0,2.0,PTC FS,,1.04  0.71  1.37,215  154  278,22  7  15,/  25  14  11  /,18  12  6,-3  -7  +4,72%  69%  75%,143  96  190,29%  21%  34%,7  1  6,5  3  2,+2  -2  +4,JohnOlsen FS,,1.63  1.71  1.31,350  402  148,20  19  1,/  9  8  1  /,6  3  3,+11  +11  0,93%  92%  100%,229  254  130,23%  24%  14%,3  3  0,1  1  0,+2  +2  0,JohnOlsen FS,,1.11  1.59  0.75,266  323  225,19  11  8,/  18  6  12  /,3  1  2,+1  +5  -4,67%  78%  58%,185  232  151,25%  32%  17%,3  0  3,6  1  5,-3  -1  -2,,,,,,,,,,,,,,
1,PTC FS,,1.15  0.87  1.84,221  168  276,50  21  29,/  49  28  21  /,30  19  11,+1  -7  +8,75%  78%  71%,141  108  180,29%  27%  31%,10  3  7,8  4  4,+2  -1  +3,15.0,17.0,Leviathan FS,,1.04  0.72  1.36,206  192  221,24  11  13,/  22  14  8  /,10  2  8,+2  -3  +5,72%  63%  81%,152  147  158,33%  38%  30%,2  2  0,2  2  0,0  0  0,Leviathan FS,,1.53  1.64  1.09,257  270  207,15  12  3,/  6  4  2  /,5  5  0,+9  +8  +1,87%  92%  67%,174  185  130,38%  45%  20%,3  2  1,1  0  1,+2  +2  0,Sushiboys FS,,0.95  1.00  0.92,186  230  154,14  8  6,/  16  6  10  /,1  0  1,-2  +2  -4,48%  56%  42%,120  148  98,16%  20%  13%,2  2  0,3  3  0,-1  -1  0,,,,,,,,,,,,,,
2,Leviathan FS,,1.06  0.94  1.06,188  182  189,46  24  22,/  44  24  20  /,20  10  10,+2  0  +2,69%  70%  68%,128  131  126,32%  40%  25%,5  4  1,5  3  2,0  +1  -1,13.0,2.0,foxz FS,,1.01  0.80  1.21,188  159  219,21  10  11,/  21  11  10  /,5  1  4,0  -1  +1,53%  44%  63%,130  114  147,26%  24%  27%,1  0  1,3  1  2,-2  -1  -1,PTC FS,,1.45  1.03  3.15,261  193  536,15  9  6,/  8  8  0  /,5  4  1,+7  +1  +6,87%  83%  100%,150  113  299,28%  27%  29%,2  1  1,1  1  0,+1  0  +1,PTC FS,,0.95  0.89  1.00,187  159  210,13  5  8,/  16  6  10  /,7  3  4,-3  -1  -2,71%  89%  58%,130  121  136,31%  36%  28%,1  1  0,2  0  2,-1  +1  -2,,,,,,,,,,,,,,
3,foxz FS,,1.04  1.08  0.97,206  208  198,49  29  20,/  47  24  23  /,15  9  6,+2  +5  -3,63%  59%  68%,139  140  139,27%  21%  33%,3  2  1,4  1  3,-1  +1  -2,8.0,13.0,JohnOlsen FS,,0.95  0.71  1.18,210  220  200,24  11  13,/  24  15  9  /,4  3  1,0  -4  +4,69%  50%  88%,131  129  133,22%  26%  18%,4  2  2,5  5  0,-1  -3  +2,foxz FS,,1.24  1.29  1.02,205  237  81,11  10  1,/  9  7  2  /,8  7  1,+2  +3  -1,73%  67%  100%,151  170  76,25%  20%  67%,1  1  0,0  0  0,+1  +1  0,foxz FS,,0.88  1.13  0.69,224  257  200,17  9  8,/  17  6  11  /,2  1  1,0  +3  -3,71%  78%  67%,145  147  143,29%  19%  38%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,
4,Sushiboys FS,,0.71  0.63  0.88,147  134  168,37  18  19,/  52  28  24  /,9  4  5,-15  -10  -5,59%  57%  61%,91  82  101,15%  11%  20%,2  2  0,9  6  3,-7  -4  -3,,,Sushiboys FS,,0.61  0.40  0.82,142  117  168,16  6  10,/  27  15  12  /,7  3  4,-11  -9  -2,56%  44%  69%,84  70  99,21%  11%  30%,0  0  0,3  0  3,-3  0  -3,Sushiboys FS,,0.58  0.49  0.91,112  84  224,7  4  3,/  9  7  2  /,1  1  0,-2  -3  +1,80%  75%  100%,63  49  118,3%  0%  11%,0  0  0,3  3  0,-3  -3  0,Leviathan FS,,0.61  0.45  0.73,101  49  141,7  1  6,/  16  6  10  /,5  3  2,-9  -5  -4,52%  56%  50%,59  30  81,19%  20%  19%,0  0  0,2  1  1,-2  -1  -1,,,,,,,,,,,,,,
5,Governor TLN,,0.99  0.73  1.17,236  219  281,62  24  38,/  53  24  29  /,6  2  4,+9  0  +9,74%  71%  76%,168  151  183,24%  36%  17%,20  8  12,14  6  8,+6  +2  +4,,,JitBoyS TLN,,1.33  0.99  1.67,242  214  270,30  13  17,/  19  12  7  /,5  2  3,+11  +1  +10,84%  69%  100%,157  135  180,43%  38%  47%,4  2  2,2  2  0,+2  0  +2,Crws TLN,,0.84  0.22  1.00,144  57  167,6  0  6,/  12  4  8  /,7  2  5,-6  -4  -2,73%  67%  75%,105  40  121,23%  33%  21%,0  0  0,0  0  0,0  0  0,Governor TLN,,1.36  1.27  1.49,292  261  335,22  12  10,/  13  7  6  /,1  1  0,+9  +5  +4,81%  83%  78%,201  179  229,30%  52%  17%,8  5  3,5  2  3,+3  +3  0,,,,,,,,,,,,,,
6,lenne TLN,,0.99  0.86  1.05,221  207  240,49  20  29,/  49  20  29  /,28  15  13,0  0  0,74%  71%  76%,150  137  161,27%  28%  26%,4  1  3,4  1  3,0  0  0,,,Governor TLN,,1.24  0.91  1.57,281  222  341,33  12  21,/  25  14  11  /,3  1  2,+8  -2  +10,78%  75%  81%,186  152  221,22%  28%  17%,10  3  7,3  3  0,+7  0  +7,JitBoyS TLN,,0.84  1.11  0.77,247  380  214,13  5  8,/  14  2  12  /,0  0  0,-1  +3  -4,67%  67%  67%,158  233  139,39%  25%  44%,2  1  1,3  1  2,-1  0  -1,lenne TLN,,1.23  1.43  0.97,258  274  237,19  12  7,/  14  6  8  /,11  9  2,+5  +6  -1,71%  83%  56%,159  170  143,31%  28%  33%,3  1  2,1  0  1,+2  +1  +1,,,,,,,,,,,,,,
7,JitBoyS TLN,,0.98  0.95  1.09,211  211  215,54  25  29,/  47  22  25  /,7  3  4,+7  +3  +4,72%  65%  78%,143  136  148,38%  36%  40%,6  3  3,5  3  2,+1  0  +1,,,lenne TLN,,1.13  0.74  1.52,222  158  287,22  6  16,/  20  11  9  /,14  6  8,+2  -5  +7,78%  63%  94%,152  116  189,26%  32%  22%,0  0  0,3  1  2,-3  -1  -2,ban TLN,,0.74  0.22  0.88,151  142  154,7  1  6,/  13  3  10  /,5  2  3,-6  -2  -4,47%  67%  42%,96  92  97,50%  50%  50%,1  0  1,0  0  0,+1  0  +1,ban TLN,,1.21  1.49  0.84,263  347  152,20  15  5,/  14  8  6  /,6  5  1,+6  +7  -1,86%  100%  67%,187  243  112,22%  22%  21%,2  2  0,0  0  0,+2  +2  0,,,,,,,,,,,,,,
8,ban TLN,,0.96  0.88  0.87,189  247  137,43  28  15,/  49  23  26  /,29  10  19,-6  +5  -11,71%  77%  65%,129  170  94,32%  34%  29%,7  4  3,4  3  1,+3  +1  +2,,,ban TLN,,0.92  0.94  0.91,154  192  117,16  12  4,/  22  12  10  /,18  3  15,-6  0  -6,72%  63%  81%,106  130  83,41%  60%  24%,4  2  2,4  3  1,0  -1  +1,lenne TLN,,0.60  0.41  0.65,182  197  179,8  2  6,/  15  3  12  /,3  0  3,-7  -1  -6,67%  67%  67%,133  113  138,21%  14%  23%,1  0  1,0  0  0,+1  0  +1,Crws TLN,,0.86  1.01  0.65,160  163  159,11  7  4,/  15  7  8  /,11  6  5,-4  0  -4,81%  83%  78%,100  100  101,23%  37%  10%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,
9,Crws TLN,,0.85  0.60  0.93,155  146  167,35  14  21,/  48  25  23  /,27  14  13,-13  -11  -2,74%  68%  78%,105  98  110,20%  25%  17%,1  1  0,3  1  2,-2  0  -2,,,Crws TLN,,0.85  0.57  1.14,160  151  171,18  7  11,/  21  14  7  /,9  6  3,-3  -7  +4,69%  56%  81%,108  108  107,17%  18%  17%,0  0  0,2  0  2,-2  0  -2,Governor TLN,,0.36  0.03  0.46,134  35  159,7  0  7,/  15  3  12  /,2  0  2,-8  -3  -5,53%  0%  67%,84  35  96,16%  0%  18%,2  0  2,6  1  5,-4  -1  -3,JitBoyS TLN,,0.78  0.74  0.84,144  165  117,11  7  4,/  14  8  6  /,2  1  1,-3  -1  -2,57%  58%  56%,110  113  106,30%  36%  20%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,
