,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,qiuye TEC,,,246.0,50.0,/  44  /,15.0,6.0,,,,6.0,,,1.0,2.0,Abo TEC,,,248.0,13.0,/  14  /,3.0,-1.0,,,,6.0,,,kawaii TEC,,,279.0,20.0,/  13  /,9.0,7.0,,,,3.0,,,qiuye TEC,,,243.0,16.0,/  16  /,4.0,0.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abo TEC,,,228.0,48.0,/  41  /,5.0,7.0,,,,6.0,,,4.0,13.0,qiuye TEC,,,219.0,13.0,/  16  /,7.0,-3.0,,,,,,,qiuye TEC,,,277.0,21.0,/  12  /,4.0,9.0,,,,,,,Abo TEC,,,212.0,15.0,/  17  /,1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,kawaii TEC,,,199.0,42.0,/  43  /,13.0,-1.0,,,,3.0,,,13.0,8.0,shameless TEC,,,203.0,13.0,/  14  /,1.0,-1.0,,,,,,,Abo TEC,,,225.0,20.0,/  10  /,1.0,10.0,,,,,,,kawaii TEC,,,196.0,15.0,/  16  /,4.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,shameless TEC,,,171.0,36.0,/  46  /,16.0,-10.0,,,,,,,7.0,13.0,kawaii TEC,,,121.0,7.0,/  14  /,0.0,-7.0,,,,,,,B1ack TEC,,,182.0,13.0,/  15  /,5.0,-2.0,,,,,,,shameless TEC,,,178.0,12.0,/  16  /,10.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B1ack TEC,,,121.0,21.0,/  47  /,24.0,-26.0,,,,,,,,,B1ack TEC,,,103.0,4.0,/  16  /,9.0,-12.0,,,,,,,shameless TEC,,,133.0,11.0,/  16  /,5.0,-5.0,,,,,,,B1ack TEC,,,79.0,4.0,/  16  /,10.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jkuro TES,,,267.0,55.0,/  44  /,2.0,11.0,,,,3.0,,,,,eKo TES,,,269.0,18.0,/  8  /,1.0,10.0,,,,3.0,,,jkuro TES,,,307.0,21.0,/  16  /,0.0,5.0,,,,3.0,,,MrCANI TES,,,313.0,24.0,/  13  /,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sylvan TES,,,229.0,46.0,/  38  /,27.0,8.0,,,,,,,,,jkuro TES,,,258.0,17.0,/  14  /,1.0,3.0,,,,,,,Sylvan TES,,,272.0,18.0,/  18  /,4.0,0.0,,,,,,,jkuro TES,,,236.0,17.0,/  14  /,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MrCANI TES,,,218.0,47.0,/  40  /,16.0,7.0,,,,,,,,,Sylvan TES,,,255.0,15.0,/  9  /,10.0,6.0,,,,,,,coldfish TES,,,167.0,12.0,/  15  /,3.0,-3.0,,,,,,,eKo TES,,,223.0,16.0,/  13  /,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,eKo TES,,,199.0,41.0,/  39  /,11.0,2.0,,,,3.0,,,,,MrCANI TES,,,239.0,15.0,/  9  /,6.0,6.0,,,,,,,eKo TES,,,105.0,7.0,/  18  /,7.0,-11.0,,,,,,,coldfish TES,,,194.0,11.0,/  11  /,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,coldfish TES,,,175.0,32.0,/  37  /,24.0,-5.0,,,,,,,,,coldfish TES,,,163.0,9.0,/  11  /,11.0,-2.0,,,,,,,MrCANI TES,,,101.0,8.0,/  18  /,1.0,-10.0,,,,,,,Sylvan TES,,,160.0,13.0,/  11  /,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
