,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,StarBound EG.GC,,1.14  1.11  1.20,228  265  179,36  23  13,/  31  19  12  /,9  6  3,+5  +4  +1,69%  67%  72%,149  166  125,15%  17%  12%,2  2  0,5  3  2,-3  -1  -2,0.0,2.0,Lorri EG.GC,,1.26  0.77  1.80,276  179  383,24  8  16,/  16  9  7  /,5  2  3,+8  -1  +9,78%  58%  100%,177  127  231,38%  47%  34%,4  1  3,1  1  0,+3  0  +3,StarBound EG.GC,,1.04  0.91  1.26,230  248  199,16  10  6,/  15  10  5  /,1  1  0,+1  0  +1,68%  67%  71%,166  178  145,17%  23%  7%,2  2  0,1  1  0,+1  +1  0
1,Lorri EG.GC,,1.00  0.65  1.45,216  143  328,35  12  23,/  31  18  13  /,7  4  3,+4  -6  +10,79%  67%  94%,143  103  197,36%  36%  37%,5  1  4,1  1  0,+4  0  +4,10.0,13.0,StarBound EG.GC,,1.23  1.31  1.14,226  281  167,20  13  7,/  16  9  7  /,8  5  3,+4  +4  0,70%  67%  73%,134  155  112,12%  9%  17%,0  0  0,4  2  2,-4  -2  -2,PowerPixele EG.GC,,0.95  0.90  1.02,245  228  276,15  9  6,/  17  10  7  /,12  8  4,-2  -1  -1,79%  75%  86%,154  133  190,15%  21%  11%,4  0  4,2  1  1,+2  -1  +3
2,PowerPixele EG.GC,,0.99  0.98  1.01,214  202  224,29  16  13,/  32  18  14  /,18  12  6,-3  -2  -1,76%  79%  72%,138  129  149,15%  17%  14%,4  0  4,5  3  2,-1  -3  +2,6.0,13.0,PowerPixele EG.GC,,1.03  1.07  0.99,182  175  191,14  7  7,/  15  8  7  /,6  4  2,-1  -1  0,74%  83%  64%,124  124  123,15%  13%  17%,0  0  0,3  2  1,-3  -2  -1,Lorri EG.GC,,0.74  0.53  1.11,156  107  242,11  4  7,/  15  9  6  /,2  2  0,-4  -5  +1,79%  75%  86%,102  78  144,33%  25%  43%,1  0  1,0  0  0,+1  0  +1
3,Nora EG.GC,,0.64  0.62  0.60,160  164  154,19  11  8,/  34  20  14  /,9  4  5,-15  -9  -6,57%  54%  61%,112  107  119,16%  25%  9%,5  4  1,11  8  3,-6  -4  -2,,,Nora EG.GC,,0.74  0.53  0.96,157  128  189,11  4  7,/  17  10  7  /,4  2  2,-6  -6  0,61%  50%  73%,111  85  139,14%  20%  11%,2  1  1,8  5  3,-6  -4  -2,theia EG.GC,,0.68  0.67  0.71,125  110  152,7  4  3,/  15  9  6  /,11  6  5,-8  -5  -3,74%  75%  71%,76  72  82,31%  29%  32%,2  1  1,1  1  0,+1  0  +1
4,theia EG.GC,,0.64  0.73  0.56,114  130  91,15  10  5,/  33  18  15  /,18  10  8,-18  -8  -10,67%  71%  61%,68  80  53,23%  18%  29%,2  1  1,2  1  1,0  0  0,,,theia EG.GC,,0.60  0.79  0.41,102  150  51,8  6  2,/  18  9  9  /,7  4  3,-10  -3  -7,61%  67%  55%,62  87  34,15%  12%  23%,0  0  0,1  0  1,-1  0  -1,Nora EG.GC,,0.53  0.70  0.24,162  199  100,8  7  1,/  17  10  7  /,5  2  3,-9  -3  -6,53%  58%  43%,114  129  88,20%  29%  6%,3  3  0,3  3  0,0  0  0
5,daiki TL,,1.56  1.59  1.60,305  291  314,44  20  24,/  25  12  13  /,29  12  17,+19  +8  +11,88%  83%  92%,177  159  191,28%  35%  25%,8  2  6,2  1  1,+6  +1  +5,,,daiki TL,,1.41  1.06  1.73,288  225  346,22  8  14,/  16  9  7  /,20  11  9,+6  -1  +7,91%  82%  100%,157  109  201,41%  29%  46%,6  2  4,1  1  0,+5  +1  +4,daiki TL,,1.71  2.12  1.47,322  394  282,22  12  10,/  9  3  6  /,9  1  8,+13  +9  +4,84%  86%  83%,202  237  181,18%  40%  10%,2  0  2,1  0  1,+1  0  +1
6,Joojina TL,,1.24  1.26  1.27,231  227  232,36  14  22,/  27  12  15  /,20  13  7,+9  +2  +7,83%  94%  75%,155  154  155,33%  27%  39%,6  2  4,3  1  2,+3  +1  +2,,,Joojina TL,,1.13  0.86  1.38,216  170  259,19  7  12,/  15  8  7  /,6  4  2,+4  -1  +5,87%  91%  83%,146  122  168,27%  21%  33%,4  2  2,2  1  1,+2  +1  +1,Joojina TL,,1.34  1.65  1.16,246  317  206,17  7  10,/  12  4  8  /,14  9  5,+5  +3  +2,79%  100%  67%,165  203  143,39%  33%  47%,2  0  2,1  0  1,+1  0  +1
7,bstrdd TL,,1.14  1.04  1.16,233  253  220,34  15  19,/  29  14  15  /,12  5  7,+5  +1  +4,69%  61%  75%,157  165  151,19%  26%  13%,8  4  4,6  5  1,+2  -1  +3,,,Bizerra TL,,1.10  1.21  0.99,182  219  150,15  9  6,/  13  6  7  /,6  2  4,+2  +3  -1,78%  73%  83%,123  156  93,17%  29%  10%,1  0  1,0  0  0,+1  0  +1,bstrdd TL,,1.28  0.87  1.52,233  206  250,16  5  11,/  12  6  6  /,5  2  3,+4  -1  +5,63%  43%  75%,161  133  178,18%  25%  14%,2  1  1,3  3  0,-1  -2  +1
8,Bizerra TL,,1.12  1.07  1.14,198  196  197,29  13  16,/  26  12  14  /,24  8  16,+3  +1  +2,76%  78%  75%,132  136  129,23%  33%  19%,2  0  2,4  2  2,-2  -2  0,,,bstrdd TL,,1.00  1.21  0.81,233  283  189,18  10  8,/  17  8  9  /,7  3  4,+1  +2  -1,74%  73%  75%,153  185  124,20%  27%  12%,6  3  3,3  2  1,+3  +1  +2,Bizerra TL,,1.15  0.92  1.28,213  161  245,14  4  10,/  13  6  7  /,18  6  12,+1  -2  +3,74%  86%  67%,142  104  164,35%  44%  32%,1  0  1,4  2  2,-3  -2  -1
9,isaa TL,,0.75  0.48  0.92,133  121  139,18  6  12,/  28  15  13  /,9  4  5,-10  -9  -1,69%  67%  71%,92  84  98,17%  15%  18%,0  0  0,3  1  2,-3  -1  -2,,,isaa TL,,0.65  0.55  0.74,110  104  117,8  3  5,/  16  8  8  /,6  2  4,-8  -5  -3,70%  64%  75%,79  76  83,33%  40%  29%,0  0  0,0  0  0,0  0  0,isaa TL,,0.84  0.42  1.09,156  149  161,10  3  7,/  12  7  5  /,3  2  1,-2  -4  +2,68%  71%  67%,108  98  114,9%  0%  14%,0  0  0,3  1  2,-3  -1  -2
