,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,crazyguy TOB,,1.44  0.90  1.88,280  229  318,45  16  29,/  26  16  10  /,14  3  11,+19  0  +19,81%  67%  92%,193  150  225,44%  56%  39%,4  0  4,2  1  1,+2  -1  +3,2.0,1.0,Juicy TOB,,1.38  1.37  1.39,328  347  310,28  15  13,/  18  9  9  /,7  4  3,+10  +6  +4,69%  69%  69%,222  230  214,25%  29%  20%,4  2  2,2  2  0,+2  0  +2,crazyguy TOB,,1.24  0.55  1.93,277  223  332,25  10  15,/  17  11  6  /,7  1  6,+8  -1  +9,71%  58%  83%,196  142  251,44%  64%  37%,2  0  2,2  1  1,0  -1  +1,crazyguy TOB,,1.64  1.26  1.83,282  243  303,20  6  14,/  9  5  4  /,7  2  5,+11  +1  +10,94%  83%  100%,189  166  200,44%  46%  42%,2  0  2,0  0  0,+2  0  +2,,,,,,,,,,,,,,
1,Retla TOB,,1.18  1.27  1.11,246  318  200,64  36  28,/  46  24  22  /,13  2  11,+18  +12  +6,85%  87%  84%,168  206  136,28%  30%  26%,4  1  3,1  0  1,+3  +1  +2,14.0,12.0,STYRON TOB,,1.18  1.22  1.13,174  156  194,18  9  9,/  16  7  9  /,13  7  6,+2  +2  0,81%  77%  85%,113  88  138,34%  25%  44%,0  0  0,2  1  1,-2  -1  -1,Retla TOB,,1.22  1.16  1.28,326  364  290,28  15  13,/  19  11  8  /,4  2  2,+9  +4  +5,88%  92%  83%,220  240  200,42%  46%  38%,2  0  2,0  0  0,+2  0  +2,Juicy TOB,,1.46  1.40  1.49,299  311  293,19  6  13,/  11  5  6  /,7  4  3,+8  +1  +7,94%  100%  92%,206  198  209,17%  13%  20%,3  2  1,2  2  0,+1  0  +1,,,,,,,,,,,,,,
2,STYRON TOB,,1.18  1.22  1.13,174  156  194,18  9  9,/  16  7  9  /,13  7  6,+2  +2  0,81%  77%  85%,113  88  138,34%  25%  44%,0  0  0,2  1  1,-2  -1  -1,11.0,13.0,Retla TOB,,1.11  1.28  0.94,249  310  189,25  16  9,/  19  9  10  /,6  0  6,+6  +7  -1,88%  92%  85%,159  196  121,18%  17%  19%,2  1  1,1  0  1,+1  +1  0,Xan TOB,,1.07  0.79  1.36,195  192  198,18  9  9,/  16  11  5  /,13  5  8,+2  -2  +4,83%  75%  92%,125  128  122,30%  29%  32%,0  0  0,3  3  0,-3  -3  0,nephh TOB,,1.24  0.65  1.54,286  152  354,19  3  16,/  13  5  8  /,5  3  2,+6  -2  +8,78%  83%  75%,175  87  220,33%  33%  33%,6  1  5,1  1  0,+5  0  +5,,,,,,,,,,,,,,
3,Juicy TOB,,1.12  1.04  1.19,266  263  267,61  27  34,/  51  25  26  /,19  9  10,+10  +2  +8,71%  71%  70%,173  167  178,24%  27%  20%,12  6  6,9  8  1,+3  -2  +5,13.0,5.0,Xan TOB,,0.96  1.05  0.87,152  166  140,13  7  6,/  16  8  8  /,13  8  5,-3  -1  -2,88%  85%  92%,97  100  93,23%  21%  25%,3  1  2,4  1  3,-1  0  -1,nephh TOB,,0.74  0.52  0.95,111  84  139,9  3  6,/  18  10  8  /,12  5  7,-9  -7  -2,67%  58%  75%,71  58  85,23%  23%  22%,2  1  1,3  1  2,-1  0  -1,Retla TOB,,1.20  1.38  1.12,162  244  121,11  5  6,/  8  4  4  /,3  0  3,+3  +1  +2,78%  67%  83%,113  160  89,24%  31%  20%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,
4,Xan TOB,,1.03  1.08  1.04,184  193  172,43  21  22,/  44  23  21  /,38  19  19,-1  -2  +1,81%  84%  78%,112  120  106,30%  29%  31%,5  1  4,9  4  5,-4  -3  -1,,,nephh TOB,,0.85  0.73  0.97,160  130  191,14  6  8,/  17  8  9  /,13  4  9,-3  -2  -1,81%  85%  77%,116  103  130,20%  18%  24%,2  1  1,6  4  2,-4  -3  -1,Juicy TOB,,0.53  0.36  0.70,171  148  195,14  6  8,/  22  11  11  /,5  1  4,-8  -5  -3,54%  58%  50%,96  83  108,28%  37%  21%,5  2  3,5  4  1,0  -2  +2,Xan TOB,,1.05  1.39  0.88,204  254  180,12  5  7,/  12  4  8  /,12  6  6,0  +1  -1,67%  100%  50%,118  145  104,41%  50%  35%,2  0  2,2  0  2,0  0  0,,,,,,,,,,,,,,
5,nephh TOB,,0.94  0.63  1.15,186  116  227,42  12  30,/  48  23  25  /,30  12  18,-6  -11  +5,75%  74%  76%,116  82  144,26%  23%  29%,10  3  7,10  6  4,0  -3  +3,,,goldenblue DOM,,1.05  1.11  0.99,205  198  214,18  9  9,/  18  8  10  /,12  9  3,0  +1  -1,77%  85%  69%,127  121  133,37%  47%  31%,3  1  2,1  0  1,+2  +1  +1,6ixKey DOM,,1.34  0.95  1.73,260  210  310,24  9  15,/  17  10  7  /,4  2  2,+7  -1  +8,71%  67%  75%,158  122  195,21%  18%  23%,7  3  4,1  1  0,+6  +2  +4,6ixKey DOM,,1.07  1.12  0.97,249  262  223,16  11  5,/  14  10  4  /,2  1  1,+2  +1  +1,78%  75%  83%,159  175  126,12%  9%  27%,2  1  1,2  1  1,0  0  0,,,,,,,,,,,,,,
6,6ixKey DOM,,1.11  0.98  1.22,250  234  270,60  30  30,/  54  31  23  /,13  5  8,+6  -1  +7,75%  70%  81%,152  143  163,12%  10%  15%,16  10  6,9  7  2,+7  +3  +4,,,BeYours DOM,,1.04  1.47  0.60,176  223  129,17  12  5,/  17  6  11  /,3  0  3,0  +6  -6,69%  77%  62%,130  159  100,22%  26%  18%,0  0  0,2  0  2,-2  0  -2,BeYours DOM,,1.30  1.57  1.02,296  373  219,26  16  10,/  17  8  9  /,1  0  1,+9  +8  +1,75%  67%  83%,184  245  123,24%  33%  12%,1  0  1,4  2  2,-3  -2  -1,capeesha DOM,,0.77  0.75  0.82,240  227  266,13  8  5,/  17  11  6  /,8  5  3,-4  -3  -1,56%  42%  83%,149  141  164,16%  19%  14%,0  0  0,2  2  0,-2  -2  0,,,,,,,,,,,,,,
7,BeYours DOM,,0.92  1.14  0.70,195  224  176,49  30  19,/  52  26  26  /,8  2  6,-3  +4  -7,68%  65%  71%,135  157  110,22%  27%  16%,2  0  2,6  2  4,-4  -2  -2,,,6ixKey DOM,,0.92  0.88  0.97,242  231  254,20  10  10,/  23  11  12  /,7  2  5,-3  -1  -2,77%  69%  85%,142  132  152,9%  8%  10%,7  6  1,6  5  1,+1  +1  0,goldenblue DOM,,0.86  0.44  1.29,152  99  207,13  3  10,/  19  11  8  /,9  3  6,-6  -8  +2,75%  67%  83%,110  77  143,20%  29%  16%,0  0  0,0  0  0,0  0  0,goldenblue DOM,,0.61  0.46  0.92,118  91  173,6  2  4,/  15  11  4  /,8  6  2,-9  -9  0,67%  58%  83%,84  66  121,18%  8%  44%,0  0  0,4  3  1,-4  -3  -1,,,,,,,,,,,,,,
8,goldenblue DOM,,0.84  0.67  1.07,158  131  203,37  14  23,/  52  30  22  /,29  18  11,-15  -16  +1,74%  70%  77%,110  89  135,25%  26%  25%,3  1  2,5  3  2,-2  -2  0,,,tupai DOM,,0.87  0.73  1.00,172  145  199,15  7  8,/  20  10  10  /,6  3  3,-5  -3  -2,65%  62%  69%,117  89  145,28%  24%  30%,3  0  3,1  0  1,+2  0  +2,tupai DOM,,0.85  0.60  1.10,178  142  216,15  5  10,/  21  11  10  /,7  4  3,-6  -6  0,71%  67%  75%,118  97  138,18%  29%  13%,2  0  2,3  2  1,-1  -2  +1,tupai DOM,,0.56  0.45  0.78,184  162  229,12  7  5,/  17  12  5  /,1  0  1,-5  -5  0,56%  58%  50%,109  86  154,25%  38%  21%,2  1  1,5  4  1,-3  -3  0,,,,,,,,,,,,,,
9,capeesha DOM,,0.81  0.62  1.00,199  167  227,43  20  23,/  57  32  25  /,25  10  15,-14  -12  -2,69%  57%  84%,130  111  153,23%  24%  22%,5  1  4,6  6  0,-1  -5  +4,,,capeesha DOM,,0.85  0.75  0.95,159  140  178,16  7  9,/  20  10  10  /,7  1  6,-4  -3  -1,73%  69%  77%,113  101  125,38%  26%  50%,2  0  2,1  1  0,+1  -1  +2,capeesha DOM,,0.81  0.38  1.24,197  136  259,14  5  9,/  20  11  9  /,10  4  6,-6  -6  0,75%  58%  92%,136  93  178,18%  31%  13%,3  1  2,3  3  0,0  -2  +2,BeYours DOM,,0.42  0.38  0.49,114  76  191,6  2  4,/  18  12  6  /,4  2  2,-12  -10  -2,56%  50%  67%,80  68  103,16%  13%  20%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
