,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,f0rsakeN PRX,,1.67  1.45  2.32,406  358  552,23  15  8,/  11  8  3  /,7  5  2,+12  +7  +5,94%  92%  100%,237  208  325,31%  35%  23%,4  4  0,1  1  0,+3  +3  0,1.0,0.0,f0rsakeN PRX,,1.67  1.45  2.32,406  358  552,23  15  8,/  11  8  3  /,7  5  2,+12  +7  +5,94%  92%  100%,237  208  325,31%  35%  23%,4  4  0,1  1  0,+3  +3  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Monyet PRX,,1.61  1.68  1.39,294  338  165,18  15  3,/  10  7  3  /,4  4  0,+8  +8  0,81%  75%  100%,197  233  90,25%  24%  29%,1  1  0,1  1  0,0  0  0,13.0,3.0,Monyet PRX,,1.61  1.68  1.39,294  338  165,18  15  3,/  10  7  3  /,4  4  0,+8  +8  0,81%  75%  100%,197  233  90,25%  24%  29%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mindfreak PRX,,1.29  1.19  1.58,183  155  270,12  8  4,/  7  5  2  /,4  4  0,+5  +3  +2,88%  83%  100%,150  139  184,18%  18%  19%,0  0  0,0  0  0,0  0  0,,,mindfreak PRX,,1.29  1.19  1.58,183  155  270,12  8  4,/  7  5  2  /,4  4  0,+5  +3  +2,88%  83%  100%,150  139  184,18%  18%  19%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,something PRX,,1.10  1.23  0.72,218  211  242,13  10  3,/  11  7  4  /,4  2  2,+2  +3  -1,88%  83%  100%,140  141  137,23%  19%  38%,5  3  2,2  1  1,+3  +2  +1,,,something PRX,,1.10  1.23  0.72,218  211  242,13  10  3,/  11  7  4  /,4  2  2,+2  +3  -1,88%  83%  100%,140  141  137,23%  19%  38%,5  3  2,2  1  1,+3  +2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d4v41 PRX,,0.82  0.84  0.73,78  86  59,4  4  0,/  11  8  3  /,7  4  3,-7  -4  -3,88%  83%  100%,55  54  59,25%  38%  13%,1  1  0,1  0  1,0  +1  -1,,,d4v41 PRX,,0.82  0.84  0.73,78  86  59,4  4  0,/  11  8  3  /,7  4  3,-7  -4  -3,88%  83%  100%,55  54  59,25%  38%  13%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cofastic CONN,,0.93  1.15  0.85,198  275  172,12  4  8,/  14  4  10  /,7  0  7,-2  0  -2,75%  100%  67%,138  179  125,34%  29%  40%,1  0  1,2  0  2,-1  0  -1,,,Cofastic CONN,,0.93  1.15  0.85,198  275  172,12  4  8,/  14  4  10  /,7  0  7,-2  0  -2,75%  100%  67%,138  179  125,34%  29%  40%,1  0  1,2  0  2,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DRiFT CONN,,0.84  0.41  0.98,197  103  229,12  2  10,/  14  4  10  /,1  1  0,-2  -2  0,88%  100%  83%,143  69  167,23%  20%  24%,1  0  1,0  0  0,+1  0  +1,,,DRiFT CONN,,0.84  0.41  0.98,197  103  229,12  2  10,/  14  4  10  /,1  1  0,-2  -2  0,88%  100%  83%,143  69  167,23%  20%  24%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ray4c CONN,,0.68  0.72  0.67,225  279  207,10  4  6,/  13  5  8  /,6  3  3,-3  -1  -2,63%  100%  50%,148  169  141,11%  18%  9%,3  2  1,3  0  3,0  +2  -2,,,ray4c CONN,,0.68  0.72  0.67,225  279  207,10  4  6,/  13  5  8  /,6  3  3,-3  -1  -2,63%  100%  50%,148  169  141,11%  18%  9%,3  2  1,3  0  3,0  +2  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,nabbsky CONN,,0.61  0.27  0.72,137  48  167,5  0  5,/  14  4  10  /,12  4  8,-9  -4  -5,63%  50%  67%,81  29  98,17%  0%  21%,0  0  0,3  2  1,-3  -2  -1,,,nabbsky CONN,,0.61  0.27  0.72,137  48  167,5  0  5,/  14  4  10  /,12  4  8,-9  -4  -5,63%  50%  67%,81  29  98,17%  0%  21%,0  0  0,3  2  1,-3  -2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,aerobloom CONN,,0.48  0.87  0.35,192  311  154,10  4  6,/  15  4  11  /,5  4  1,-5  0  -5,63%  75%  58%,101  168  78,20%  50%  6%,0  0  0,3  0  3,-3  0  -3,,,aerobloom CONN,,0.48  0.87  0.35,192  311  154,10  4  6,/  15  4  11  /,5  4  1,-5  0  -5,63%  75%  58%,101  168  78,20%  50%  6%,0  0  0,3  0  3,-3  0  -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kakarot ZOL,,1.09  1.13  1.04,219  229  205,30  18  12,/  31  19  12  /,11  8  3,-1  -1  0,67%  63%  72%,147  137  160,24%  30%  19%,3  3  0,2  1  1,+1  +2  -1,0.0,2.0,Kakarot ZOL,,1.13  1.36  0.83,245  298  175,16  12  4,/  16  10  6  /,6  4  2,0  +2  -2,71%  75%  67%,165  181  143,24%  30%  17%,3  3  0,1  1  0,+2  +2  0,Kakarot ZOL,,1.05  0.89  1.26,192  159  236,14  6  8,/  15  9  6  /,5  4  1,-1  -3  +2,62%  50%  78%,128  92  176,24%  29%  21%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PatMen ZOL,,0.97  1.01  0.92,213  186  250,30  15  15,/  33  19  14  /,17  10  7,-3  -4  +1,79%  79%  78%,139  124  160,28%  23%  33%,4  2  2,1  0  1,+3  +2  +1,8.0,13.0,micr0 ZOL,,0.98  1.34  0.50,195  200  189,14  8  6,/  14  6  8  /,10  9  1,0  +2  -2,71%  75%  67%,122  129  112,29%  27%  32%,0  0  0,0  0  0,0  0  0,PatMen ZOL,,1.05  0.87  1.28,219  164  293,15  6  9,/  17  10  7  /,11  6  5,-2  -4  +2,71%  75%  67%,143  117  177,28%  32%  25%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,micr0 ZOL,,0.87  1.11  0.54,161  189  126,22  14  8,/  32  16  16  /,20  17  3,-10  -2  -8,71%  79%  61%,101  121  73,28%  27%  29%,0  0  0,1  0  1,-1  0  -1,8.0,13.0,PatMen ZOL,,0.90  1.15  0.57,206  207  206,15  9  6,/  16  9  7  /,6  4  2,-1  0  -1,86%  83%  89%,136  130  144,28%  18%  47%,3  2  1,0  0  0,+3  +2  +1,ZYND ZOL,,0.98  0.77  1.26,248  222  283,18  10  8,/  17  10  7  /,4  1  3,+1  0  +1,62%  42%  89%,148  116  190,27%  22%  32%,7  4  3,9  7  2,-2  -3  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ZYND ZOL,,0.77  0.61  0.98,216  197  242,31  17  14,/  36  21  15  /,5  1  4,-5  -4  -1,67%  50%  89%,128  108  155,28%  25%  33%,13  7  6,14  9  5,-1  -2  +1,,,Kevzii ZOL,,0.71  1.10  0.18,130  181  63,10  9  1,/  18  9  9  /,11  9  2,-8  0  -8,57%  67%  44%,89  122  46,19%  24%  9%,0  0  0,3  1  2,-3  -1  -2,micr0 ZOL,,0.76  0.88  0.59,127  177  62,8  6  2,/  18  10  8  /,10  8  2,-10  -4  -6,71%  83%  56%,79  113  34,26%  27%  22%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kevzii ZOL,,0.70  0.96  0.36,119  156  71,18  15  3,/  33  17  16  /,15  11  4,-15  -2  -13,60%  67%  50%,86  105  61,25%  31%  17%,0  0  0,4  2  2,-4  -2  -2,,,ZYND ZOL,,0.55  0.44  0.70,183  172  200,13  7  6,/  19  11  8  /,1  0  1,-6  -4  -2,71%  58%  89%,109  100  120,31%  29%  33%,6  3  3,5  2  3,+1  +1  0,Kevzii ZOL,,0.69  0.81  0.53,108  130  80,8  6  2,/  15  8  7  /,4  2  2,-7  -2  -5,62%  67%  56%,83  88  77,33%  43%  23%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,xavi8k OAS,,1.51  1.72  1.36,304  364  258,48  24  24,/  22  10  12  /,9  5  4,+26  +14  +12,86%  89%  83%,193  238  159,20%  22%  16%,3  2  1,1  1  0,+2  +1  +1,,,xavi8k OAS,,1.35  1.92  0.93,272  393  181,22  13  9,/  13  5  8  /,6  3  3,+9  +8  +1,90%  100%  83%,166  246  107,15%  17%  11%,1  1  0,0  0  0,+1  +1  0,xavi8k OAS,,1.67  1.51  1.79,335  334  336,26  11  15,/  9  5  4  /,3  2  1,+17  +6  +11,81%  78%  83%,219  230  210,23%  29%  19%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Draxii OAS,,1.21  1.33  1.12,197  185  206,28  12  16,/  22  7  15  /,19  7  12,+6  +5  +1,81%  83%  79%,128  122  132,26%  33%  21%,3  1  2,0  0  0,+3  +1  +2,,,Wild0reoo OAS,,1.35  2.13  0.76,297  432  196,21  13  8,/  14  4  10  /,8  3  5,+7  +9  -2,71%  89%  58%,197  260  150,32%  28%  38%,6  4  2,3  0  3,+3  +4  -1,Draxii OAS,,1.12  1.43  0.90,185  259  131,13  8  5,/  10  3  7  /,9  2  7,+3  +5  -2,81%  89%  75%,121  164  88,26%  35%  16%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wild0reoo OAS,,1.12  1.38  0.92,242  281  213,37  18  19,/  30  12  18  /,12  5  7,+7  +6  +1,74%  83%  67%,158  165  152,29%  22%  35%,7  4  3,4  0  4,+3  +4  -1,,,Draxii OAS,,1.29  1.23  1.34,209  112  282,15  4  11,/  12  4  8  /,10  5  5,+3  0  +3,81%  78%  83%,135  80  176,26%  30%  24%,1  0  1,0  0  0,+1  0  +1,marky OAS,,0.99  0.65  1.25,218  178  249,16  5  11,/  13  7  6  /,2  1  1,+3  -2  +5,71%  56%  83%,142  124  154,30%  28%  32%,7  3  4,3  1  2,+4  +2  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
