,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,hvoya RGE,,1.28  0.84  1.71,242  95  389,18  3  15,/  17  7  10  /,9  4  5,+1  -4  +5,79%  67%  92%,167  80  255,46%  29%  56%,3  0  3,2  2  0,+1  -2  +3,1.0,0.0,hvoya RGE,,1.28  0.84  1.71,242  95  389,18  3  15,/  17  7  10  /,9  4  5,+1  -4  +5,79%  67%  92%,167  80  255,46%  29%  56%,3  0  3,2  2  0,+1  -2  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Harshhh RGE,,1.23  1.18  1.28,202  192  213,15  7  8,/  15  7  8  /,19  8  11,0  0  0,83%  83%  83%,130  132  128,27%  33%  21%,2  1  1,1  1  0,+1  0  +1,13.0,11.0,Harshhh RGE,,1.23  1.18  1.28,202  192  213,15  7  8,/  15  7  8  /,19  8  11,0  0  0,83%  83%  83%,130  132  128,27%  33%  21%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Excali RGE,,1.14  1.02  1.27,196  187  206,18  8  10,/  13  7  6  /,5  3  2,+5  +1  +4,88%  83%  92%,129  124  134,62%  69%  56%,3  1  2,0  0  0,+3  +1  +2,,,Excali RGE,,1.14  1.02  1.27,196  187  206,18  8  10,/  13  7  6  /,5  3  2,+5  +1  +4,88%  83%  92%,129  124  134,62%  69%  56%,3  1  2,0  0  0,+3  +1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anq RGE,,1.00  1.20  0.81,190  251  130,19  12  7,/  15  7  8  /,2  0  2,+4  +5  -1,58%  67%  50%,123  158  87,45%  47%  40%,4  3  1,4  0  4,0  +3  -3,,,Anq RGE,,1.00  1.20  0.81,190  251  130,19  12  7,/  15  7  8  /,2  0  2,+4  +5  -1,58%  67%  50%,123  158  87,45%  47%  40%,4  3  1,4  0  4,0  +3  -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,karam1l RGE,,0.81  1.10  0.52,180  209  152,15  9  6,/  17  7  10  /,2  1  1,-2  +2  -4,67%  75%  58%,115  127  103,43%  41%  47%,4  3  1,1  1  0,+3  +2  +1,,,karam1l RGE,,0.81  1.10  0.52,180  209  152,15  9  6,/  17  7  10  /,2  1  1,-2  +2  -4,67%  75%  58%,115  127  103,43%  41%  47%,4  3  1,1  1  0,+3  +2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Techno TR,,1.08  1.01  1.15,189  196  183,18  11  7,/  17  9  8  /,9  4  5,+1  +2  -1,75%  83%  67%,129  144  114,43%  71%  27%,1  0  1,4  2  2,-3  -2  -1,,,Techno TR,,1.08  1.01  1.15,189  196  183,18  11  7,/  17  9  8  /,9  4  5,+1  +2  -1,75%  83%  67%,129  144  114,43%  71%  27%,1  0  1,4  2  2,-3  -2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,d1srupt TR,,0.99  1.03  0.95,269  300  239,21  12  9,/  19  10  9  /,3  1  2,+2  +2  0,71%  75%  67%,166  177  154,40%  50%  30%,3  2  1,5  3  2,-2  -1  -1,,,d1srupt TR,,0.99  1.03  0.95,269  300  239,21  12  9,/  19  10  9  /,3  1  2,+2  +2  0,71%  75%  67%,166  177  154,40%  50%  30%,3  2  1,5  3  2,-2  -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DEATHMAKER TR,,0.87  1.01  0.72,175  235  117,15  10  5,/  16  8  8  /,1  1  0,-1  +2  -3,54%  50%  58%,118  161  74,26%  26%  27%,2  1  1,4  1  3,-2  0  -2,,,DEATHMAKER TR,,0.87  1.01  0.72,175  235  117,15  10  5,/  16  8  8  /,1  1  0,-1  +2  -3,54%  50%  58%,118  161  74,26%  26%  27%,2  1  1,4  1  3,-2  0  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Aryu TR,,0.86  1.12  0.61,162  240  86,12  8  4,/  16  8  8  /,6  4  2,-4  0  -4,50%  58%  42%,102  154  51,22%  30%  8%,1  1  0,1  1  0,0  0  0,,,Aryu TR,,0.86  1.12  0.61,162  240  86,12  8  4,/  16  8  8  /,6  4  2,-4  0  -4,50%  58%  42%,102  154  51,22%  30%  8%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,hellff TR,,0.77  0.28  1.26,140  42  238,11  1  10,/  17  11  6  /,6  4  2,-6  -10  +4,58%  50%  67%,87  34  140,22%  13%  25%,1  0  1,2  1  1,-1  -1  0,,,hellff TR,,0.77  0.28  1.26,140  42  238,11  1  10,/  17  11  6  /,6  4  2,-6  -10  +4,58%  50%  67%,87  34  140,22%  13%  25%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
