,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,Anq RGE,,1.29  1.39  1.26,251  296  212,41  26  15,/  25  17  8  /,6  4  2,+16  +9  +7,79%  79%  78%,171  202  131,28%  30%  22%,7  5  2,4  3  1,+3  +2  +1,2.0,0.0,karam1l RGE,,1.35  1.70  0.63,313  375  189,21  17  4,/  14  8  6  /,0  0  0,+7  +9  -2,78%  83%  67%,187  223  115,38%  33%  57%,4  2  2,2  1  1,+2  +1  +1,Anq RGE,,1.51  1.82  1.20,310  412  209,28  18  10,/  15  10  5  /,5  3  2,+13  +8  +5,79%  83%  75%,202  270  133,30%  33%  21%,5  3  2,2  1  1,+3  +2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Harshhh RGE,,1.17  1.28  0.92,171  171  173,25  14  11,/  23  11  12  /,15  10  5,+2  +3  -1,83%  88%  78%,119  124  114,24%  26%  20%,5  3  2,3  3  0,+2  0  +2,13.0,5.0,Harshhh RGE,,1.27  1.57  0.67,167  212  78,12  10  2,/  8  4  4  /,5  4  1,+4  +6  -2,78%  83%  67%,113  152  35,30%  30%  33%,2  1  1,1  1  0,+1  0  +1,hvoya RGE,,1.17  0.98  1.36,279  285  274,24  12  12,/  18  10  8  /,4  1  3,+6  +2  +4,75%  67%  83%,178  179  177,29%  42%  20%,3  0  3,2  1  1,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,karam1l RGE,,1.06  1.27  0.67,239  288  150,35  26  9,/  33  17  16  /,9  1  8,+2  +9  -7,67%  71%  61%,149  189  96,34%  29%  47%,6  3  3,6  3  3,0  0  0,13.0,11.0,Excali RGE,,1.25  1.17  1.41,222  241  186,16  11  5,/  10  7  3  /,4  2  2,+6  +4  +2,89%  92%  83%,148  170  105,44%  55%  25%,0  0  0,0  0  0,0  0  0,Harshhh RGE,,1.08  0.98  1.17,175  130  221,13  4  9,/  15  7  8  /,10  6  4,-2  -3  +1,88%  92%  83%,124  95  154,20%  22%  19%,3  2  1,2  2  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,hvoya RGE,,1.06  0.86  1.35,243  208  302,36  18  18,/  30  17  13  /,8  4  4,+6  +1  +5,71%  67%  78%,160  134  195,25%  33%  20%,6  2  4,4  2  2,+2  0  +2,,,Anq RGE,,1.08  0.95  1.32,192  180  217,13  8  5,/  10  7  3  /,1  1  0,+3  +1  +2,78%  75%  83%,131  133  127,24%  25%  23%,2  2  0,2  2  0,0  0  0,karam1l RGE,,0.78  0.84  0.72,165  200  131,14  9  5,/  19  9  10  /,9  1  8,-5  0  -5,58%  58%  58%,121  155  87,30%  24%  42%,2  1  1,4  2  2,-2  -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Excali RGE,,0.91  0.76  1.11,177  161  185,27  15  12,/  29  17  12  /,7  2  5,-2  -2  0,67%  67%  67%,118  109  129,34%  41%  27%,1  0  1,0  0  0,+1  0  +1,,,hvoya RGE,,0.95  0.75  1.35,207  132  358,12  6  6,/  12  7  5  /,4  3  1,0  -1  +1,67%  67%  67%,136  89  229,19%  20%  19%,3  2  1,2  1  1,+1  +1  0,Excali RGE,,0.58  0.35  0.80,132  80  184,11  4  7,/  19  10  9  /,3  0  3,-8  -6  -2,50%  42%  58%,94  48  141,23%  17%  28%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Venka GRY,,0.94  0.81  1.03,211  171  253,34  12  22,/  33  13  20  /,2  1  1,+1  -1  +2,67%  67%  67%,135  116  149,49%  44%  53%,4  1  3,3  0  3,+1  +1  0,,,vibhoRR GRY,,1.14  1.03  1.19,343  401  315,20  8  12,/  15  6  9  /,7  2  5,+5  +2  +3,83%  83%  83%,207  234  194,25%  26%  25%,3  1  2,0  0  0,+3  +1  +2,Venka GRY,,1.13  1.05  1.20,257  222  293,23  10  13,/  19  9  10  /,2  1  1,+4  +1  +3,75%  67%  83%,160  144  176,51%  53%  50%,3  1  2,1  0  1,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,vibhoRR GRY,,0.89  0.92  0.83,232  232  205,30  14  16,/  35  16  19  /,14  7  7,-5  -2  -3,74%  72%  75%,134  141  128,32%  37%  29%,3  1  2,2  2  0,+1  -1  +2,,,Hoax GRY,,0.81  1.35  0.54,182  269  140,11  6  5,/  14  4  10  /,5  3  2,-3  +2  -5,72%  83%  67%,107  156  83,2%  4%  0%,1  0  1,4  1  3,-3  -1  -2,Deadly10 GRY,,1.09  0.91  1.27,267  224  311,23  9  14,/  20  10  10  /,2  2  0,+3  -1  +4,75%  75%  75%,166  144  187,36%  21%  57%,6  2  4,7  4  3,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hoax GRY,,0.87  1.06  0.81,181  199  167,27  13  14,/  30  12  18  /,9  3  6,-3  +1  -4,69%  72%  67%,110  118  104,5%  4%  7%,1  0  1,7  3  4,-6  -3  -3,,,Venka GRY,,0.76  0.57  0.85,164  69  212,11  2  9,/  14  4  10  /,0  0  0,-3  -2  -1,56%  67%  50%,101  60  122,44%  17%  60%,1  0  1,2  0  2,-1  0  -1,Hoax GRY,,0.93  0.78  1.08,179  164  195,16  7  9,/  16  8  8  /,4  0  4,0  -1  +1,67%  67%  67%,112  99  125,9%  4%  16%,0  0  0,3  2  1,-3  -2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Deadly10 GRY,,0.75  0.72  0.81,179  185  196,28  11  17,/  36  14  22  /,4  3  1,-8  -3  -5,69%  72%  67%,118  118  119,30%  18%  46%,8  3  5,9  6  3,-1  -3  +2,,,PanzeR GRY,,0.59  0.73  0.52,117  155  99,7  3  4,/  15  5  10  /,4  3  1,-8  -2  -6,56%  67%  50%,68  86  59,30%  33%  29%,0  0  0,3  1  2,-3  -1  -2,PanzeR GRY,,0.82  1.09  0.54,160  201  119,14  9  5,/  15  6  9  /,3  2  1,-1  +3  -4,67%  75%  58%,110  133  88,24%  28%  20%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PanzeR GRY,,0.70  0.91  0.53,139  186  109,21  12  9,/  30  11  19  /,7  5  2,-9  +1  -10,62%  72%  54%,92  117  73,26%  29%  24%,1  1  0,4  1  3,-3  0  -3,,,Deadly10 GRY,,0.40  0.52  0.35,90  106  82,5  2  3,/  16  4  12  /,2  1  1,-11  -2  -9,61%  67%  58%,55  65  50,17%  8%  25%,2  1  1,2  2  0,0  -1  +1,vibhoRR GRY,,0.64  0.81  0.46,121  148  95,10  6  4,/  20  10  10  /,7  5  2,-10  -4  -6,67%  67%  67%,79  95  62,50%  71%  38%,0  0  0,2  2  0,-2  -2  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
