,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Guardy ZETA,,1.42  1.08  1.76,275  205  345,24  8  16,/  14  10  4  /,9  5  4,+10  -2  +12,88%  75%  100%,192  164  219,28%  32%  24%,3  0  3,2  1  1,+1  -1  +2,1.0,0.0,Guardy ZETA,,1.42  1.08  1.76,275  205  345,24  8  16,/  14  10  4  /,9  5  4,+10  -2  +12,88%  75%  100%,192  164  219,28%  32%  24%,3  0  3,2  1  1,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Daniel0 ZETA,,1.24  1.09  1.39,265  255  275,23  10  13,/  14  9  5  /,4  2  2,+9  +1  +8,71%  58%  83%,171  163  178,30%  36%  25%,6  1  5,3  3  0,+3  -2  +5,13.0,11.0,Daniel0 ZETA,,1.24  1.09  1.39,265  255  275,23  10  13,/  14  9  5  /,4  2  2,+9  +1  +8,71%  58%  83%,171  163  178,30%  36%  25%,6  1  5,3  3  0,+3  -2  +5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,neptuNo ZETA,,1.06  0.68  1.45,198  151  245,16  6  10,/  15  10  5  /,11  5  6,+1  -4  +5,79%  58%  100%,134  94  174,22%  32%  17%,0  0  0,1  1  0,-1  -1  0,,,neptuNo ZETA,,1.06  0.68  1.45,198  151  245,16  6  10,/  15  10  5  /,11  5  6,+1  -4  +5,79%  58%  100%,134  94  174,22%  32%  17%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ease ZETA,,0.99  0.91  1.07,184  198  171,15  8  7,/  16  9  7  /,14  7  7,-1  -1  0,83%  83%  83%,109  110  108,25%  19%  35%,3  1  2,2  2  0,+1  -1  +2,,,ease ZETA,,0.99  0.91  1.07,184  198  171,15  8  7,/  16  9  7  /,14  7  7,-1  -1  0,83%  83%  83%,109  110  108,25%  19%  35%,3  1  2,2  2  0,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,kyrrz ZETA,,0.89  0.44  1.35,135  93  177,13  4  9,/  14  10  4  /,3  1  2,-1  -6  +5,67%  58%  75%,79  57  102,27%  21%  29%,1  1  0,3  2  1,-2  -1  -1,,,kyrrz ZETA,,0.89  0.44  1.35,135  93  177,13  4  9,/  14  10  4  /,3  1  2,-1  -6  +5,67%  58%  75%,79  57  102,27%  21%  29%,1  1  0,3  2  1,-2  -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,YuNo MRS,,1.18  0.58  1.77,241  110  374,20  4  16,/  19  10  9  /,9  2  7,+1  -6  +7,71%  42%  100%,161  81  240,29%  9%  39%,3  0  3,1  1  0,+2  -1  +3,,,YuNo MRS,,1.18  0.58  1.77,241  110  374,20  4  16,/  19  10  9  /,9  2  7,+1  -6  +7,71%  42%  100%,161  81  240,29%  9%  39%,3  0  3,1  1  0,+2  -1  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Nixerino MRS,,1.15  1.04  1.27,239  263  216,20  11  9,/  17  10  7  /,4  0  4,+3  +1  +2,79%  67%  92%,152  167  138,44%  48%  40%,4  1  3,2  1  1,+2  0  +2,,,Nixerino MRS,,1.15  1.04  1.27,239  263  216,20  11  9,/  17  10  7  /,4  0  4,+3  +1  +2,79%  67%  92%,152  167  138,44%  48%  40%,4  1  3,2  1  1,+2  0  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pando MRS,,0.86  0.59  1.14,155  116  195,14  5  9,/  18  11  7  /,7  4  3,-4  -6  +2,63%  42%  83%,100  75  124,35%  36%  35%,2  1  1,2  2  0,0  -1  +1,,,Pando MRS,,0.86  0.59  1.14,155  116  195,14  5  9,/  18  11  7  /,7  4  3,-4  -6  +2,63%  42%  83%,100  75  124,35%  36%  35%,2  1  1,2  2  0,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Blastinho MRS,,0.76  0.43  1.08,150  105  197,12  4  8,/  19  12  7  /,5  1  4,-7  -8  +1,63%  42%  83%,116  78  153,16%  36%  9%,2  0  2,5  4  1,-3  -4  +1,,,Blastinho MRS,,0.76  0.43  1.08,150  105  197,12  4  8,/  19  12  7  /,5  1  4,-7  -8  +1,63%  42%  83%,116  78  153,16%  36%  9%,2  0  2,5  4  1,-3  -4  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vorwenn MRS,,0.53  0.21  0.84,85  64  107,7  2  5,/  19  12  7  /,7  3  4,-12  -10  -2,58%  42%  75%,66  54  78,14%  8%  17%,0  0  0,3  2  1,-3  -2  -1,,,Vorwenn MRS,,0.53  0.21  0.84,85  64  107,7  2  5,/  19  12  7  /,7  3  4,-12  -10  -2,58%  42%  75%,66  54  78,14%  8%  17%,0  0  0,3  2  1,-3  -2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
