,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,shooterR SNK,,1.64  1.33  2.04,337  277  418,26  11  15,/  10  8  2  /,1  1  0,+16  +3  +13,62%  50%  78%,199  179  226,36%  41%  32%,5  2  3,4  3  1,+1  -1  +2,1.0,0.0,shooterR SNK,,1.64  1.33  2.04,337  277  418,26  11  15,/  10  8  2  /,1  1  0,+16  +3  +13,62%  50%  78%,199  179  226,36%  41%  32%,5  2  3,4  3  1,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,k1Ng SNK,,1.45  1.04  2.01,284  221  369,20  8  12,/  12  10  2  /,7  3  4,+8  -2  +10,76%  58%  100%,175  154  204,23%  27%  21%,2  0  2,2  1  1,0  -1  +1,13.0,8.0,k1Ng SNK,,1.45  1.04  2.01,284  221  369,20  8  12,/  12  10  2  /,7  3  4,+8  -2  +10,76%  58%  100%,175  154  204,23%  27%  21%,2  0  2,2  1  1,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soulM8 SNK,,1.12  0.84  1.49,157  145  173,12  6  6,/  11  8  3  /,7  3  4,+1  -2  +3,71%  58%  89%,109  88  137,46%  40%  54%,0  0  0,1  1  0,-1  -1  0,,,soulM8 SNK,,1.12  0.84  1.49,157  145  173,12  6  6,/  11  8  3  /,7  3  4,+1  -2  +3,71%  58%  89%,109  88  137,46%  40%  54%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bloody SNK,,0.70  0.32  1.20,124  91  169,9  4  5,/  14  11  3  /,4  1  3,-5  -7  +2,52%  25%  89%,86  57  123,22%  19%  24%,0  0  0,6  4  2,-6  -4  -2,,,Bloody SNK,,0.70  0.32  1.20,124  91  169,9  4  5,/  14  11  3  /,4  1  3,-5  -7  +2,52%  25%  89%,86  57  123,22%  19%  24%,0  0  0,6  4  2,-6  -4  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BeasT SNK,,0.66  0.34  1.08,114  90  147,7  3  4,/  15  11  4  /,9  4  5,-8  -8  0,67%  58%  78%,77  67  90,31%  33%  29%,0  0  0,1  1  0,-1  -1  0,,,BeasT SNK,,0.66  0.34  1.08,114  90  147,7  3  4,/  15  11  4  /,9  4  5,-8  -8  0,67%  58%  78%,77  67  90,31%  33%  29%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Defsta AUS,,1.15  0.57  1.59,238  126  323,19  4  15,/  14  8  6  /,5  1  4,+5  -4  +9,67%  44%  83%,137  85  177,28%  33%  26%,3  1  2,2  1  1,+1  0  +1,,,Defsta AUS,,1.15  0.57  1.59,238  126  323,19  4  15,/  14  8  6  /,5  1  4,+5  -4  +9,67%  44%  83%,137  85  177,28%  33%  26%,3  1  2,2  1  1,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PeacefulBonobo AUS,,0.92  0.41  1.30,174  134  205,12  3  9,/  15  9  6  /,4  1  3,-3  -6  +3,62%  44%  75%,118  92  137,13%  10%  14%,4  0  4,1  1  0,+3  -1  +4,,,PeacefulBonobo AUS,,0.92  0.41  1.30,174  134  205,12  3  9,/  15  9  6  /,4  1  3,-3  -6  +3,62%  44%  75%,118  92  137,13%  10%  14%,4  0  4,1  1  0,+3  -1  +4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Zauqk AUS,,0.86  0.48  1.14,185  106  245,12  2  10,/  16  8  8  /,6  1  5,-4  -6  +2,62%  33%  83%,125  77  161,17%  22%  16%,2  1  1,0  0  0,+2  +1  +1,,,Zauqk AUS,,0.86  0.48  1.14,185  106  245,12  2  10,/  16  8  8  /,6  1  5,-4  -6  +2,62%  33%  83%,125  77  161,17%  22%  16%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sinaway AUS,,0.86  0.53  1.11,148  140  154,10  4  6,/  16  9  7  /,11  2  9,-6  -5  -1,71%  56%  83%,104  94  111,34%  25%  44%,2  2  0,1  0  1,+1  +2  -1,,,Sinaway AUS,,0.86  0.53  1.11,148  140  154,10  4  6,/  16  9  7  /,11  2  9,-6  -5  -1,71%  56%  83%,104  94  111,34%  25%  44%,2  2  0,1  0  1,+1  +2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,VIZSLA AUS,,0.72  0.13  1.17,130  32  205,9  1  8,/  13  8  5  /,1  0  1,-4  -7  +3,43%  11%  67%,87  24  134,17%  18%  17%,3  0  3,3  3  0,0  -3  +3,,,VIZSLA AUS,,0.72  0.13  1.17,130  32  205,9  1  8,/  13  8  5  /,1  0  1,-4  -7  +3,43%  11%  67%,87  24  134,17%  18%  17%,3  0  3,3  3  0,0  -3  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
