,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,vo0kashu DRG,,,328.0,78.0,/  43  /,14.0,35.0,,,,9.0,,,2.0,1.0,vo0kashu DRG,,,395.0,31.0,/  15  /,3.0,16.0,,,,3.0,,,vo0kashu DRG,,,311.0,23.0,/  14  /,5.0,9.0,,,,3.0,,,vo0kashu DRG,,,278.0,24.0,/  14  /,6.0,10.0,,,,3.0,,,,,,,,,,,,,,,,
1,maizi DRG,,,213.0,51.0,/  51  /,20.0,0.0,,,,,,,9.0,13.0,maizi DRG,,,237.0,18.0,/  20  /,9.0,-2.0,,,,,,,TvirusLuke DRG,,,214.0,18.0,/  17  /,3.0,1.0,,,,,,,Shion7 DRG,,,229.0,17.0,/  19  /,11.0,-2.0,,,,,,,,,,,,,,,,,,,,
2,Shion7 DRG,,,193.0,43.0,/  51  /,27.0,-8.0,,,,,,,13.0,9.0,Shion7 DRG,,,149.0,11.0,/  17  /,7.0,-6.0,,,,,,,maizi DRG,,,208.0,15.0,/  14  /,6.0,1.0,,,,,,,Nicc DRG,,,222.0,17.0,/  17  /,5.0,0.0,,,,,,,,,,,,,,,,,,,,
3,Nicc DRG,,,161.0,38.0,/  50  /,29.0,-12.0,,,,,,,13.0,11.0,TvirusLuke DRG,,,119.0,8.0,/  18  /,2.0,-10.0,,,,,,,Shion7 DRG,,,201.0,15.0,/  15  /,9.0,0.0,,,,,,,maizi DRG,,,195.0,18.0,/  17  /,5.0,1.0,,,,,,,,,,,,,,,,,,,,
4,TvirusLuke DRG,,,154.0,37.0,/  52  /,7.0,-15.0,,,,,,,,,Nicc DRG,,,98.0,8.0,/  17  /,10.0,-9.0,,,,,,,Nicc DRG,,,164.0,13.0,/  16  /,14.0,-3.0,,,,,,,TvirusLuke DRG,,,128.0,11.0,/  17  /,2.0,-6.0,,,,,,,,,,,,,,,,,,,,
5,UCc KBG,,,255.0,62.0,/  55  /,11.0,7.0,,,,11.0,,,,,UCc KBG,,,309.0,26.0,/  16  /,3.0,10.0,,,,5.0,,,Zeno KBG,,,262.0,22.0,/  15  /,9.0,7.0,,,,1.0,,,UCc KBG,,,253.0,20.0,/  20  /,5.0,0.0,,,,6.0,,,,,,,,,,,,,,,,
6,Zeno KBG,,,219.0,52.0,/  48  /,29.0,4.0,,,,1.0,,,,,snail KBG,,,270.0,21.0,/  17  /,3.0,4.0,,,,,,,shark KBG,,,217.0,15.0,/  17  /,4.0,-2.0,,,,,,,Zeno KBG,,,212.0,15.0,/  18  /,12.0,-3.0,,,,,,,,,,,,,,,,,,,,
7,snail KBG,,,203.0,48.0,/  52  /,15.0,-4.0,,,,,,,,,shark KBG,,,211.0,17.0,/  14  /,2.0,3.0,,,,,,,UCc KBG,,,203.0,16.0,/  19  /,3.0,-3.0,,,,,,,NESA KBG,,,201.0,18.0,/  16  /,11.0,2.0,,,,,,,,,,,,,,,,,,,,
8,shark KBG,,,189.0,46.0,/  47  /,6.0,-1.0,,,,,,,,,Zeno KBG,,,182.0,15.0,/  15  /,8.0,0.0,,,,,,,NESA KBG,,,179.0,13.0,/  17  /,15.0,-4.0,,,,,,,snail KBG,,,196.0,17.0,/  19  /,6.0,-2.0,,,,,,,,,,,,,,,,,,,,
9,NESA KBG,,,173.0,39.0,/  47  /,40.0,-8.0,,,,,,,,,NESA KBG,,,139.0,8.0,/  14  /,14.0,-6.0,,,,,,,snail KBG,,,143.0,10.0,/  16  /,6.0,-6.0,,,,,,,shark KBG,,,138.0,14.0,/  16  /,0.0,-2.0,,,,,,,,,,,,,,,,,,,,
