,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Reita VL,,1.18  1.14  1.20,226  220  233,47  24  23,/  41  20  21  /,29  14  15,+6  +4  +2,84%  85%  84%,147  145  150,20%  23%  17%,4  1  3,2  0  2,+2  +1  +1,1.0,2.0,Reita VL,,1.14  1.00  1.23,216  160  255,13  4  9,/  14  5  9  /,14  5  9,-1  -1  0,95%  88%  100%,140  112  158,13%  23%  11%,0  0  0,0  0  0,0  0  0,Bangnan VL,,1.61  1.53  1.78,330  269  453,21  11  10,/  10  5  5  /,5  4  1,+11  +6  +5,78%  75%  83%,225  170  334,49%  39%  61%,4  2  2,1  1  0,+3  +1  +2,Reita VL,,1.23  1.23  1.22,228  232  226,20  10  10,/  17  9  8  /,10  7  3,+3  +1  +2,77%  85%  69%,143  139  147,21%  23%  19%,3  0  3,2  0  2,+1  0  +1
1,LOB VL,,1.04  1.15  0.92,224  244  214,52  28  24,/  43  21  22  /,10  6  4,+9  +7  +2,70%  73%  68%,148  159  136,22%  23%  21%,9  6  3,8  4  4,+1  +2  -1,7.0,13.0,LOB VL,,1.09  1.15  1.05,265  280  257,19  8  11,/  16  6  10  /,3  1  2,+3  +2  +1,75%  75%  75%,156  174  145,33%  33%  33%,5  3  2,4  2  2,+1  +1  0,BlackWiz VL,,1.22  0.92  1.81,241  207  311,15  9  6,/  11  8  3  /,8  4  4,+4  +1  +3,67%  58%  83%,158  133  209,27%  22%  32%,2  1  1,3  3  0,-1  -2  +1,LOB VL,,1.12  1.33  0.92,249  264  236,22  11  11,/  17  8  9  /,4  3  1,+5  +3  +2,69%  77%  62%,163  171  155,16%  18%  14%,4  3  1,2  1  1,+2  +2  0
2,Bangnan VL,,0.97  1.02  0.96,198  233  149,45  29  16,/  45  21  24  /,9  5  4,0  +8  -8,64%  67%  61%,128  150  105,42%  42%  42%,7  3  4,7  4  3,0  -1  +1,13.0,5.0,BlackWiz VL,,0.85  1.27  0.57,220  325  151,14  8  6,/  15  5  10  /,8  4  4,-1  +3  -4,65%  63%  67%,151  231  98,25%  32%  15%,1  0  1,5  2  3,-4  -2  -2,Reita VL,,1.18  1.20  1.15,233  248  205,14  10  4,/  10  6  4  /,5  2  3,+4  +4  0,83%  83%  83%,163  175  138,26%  24%  31%,1  1  0,0  0  0,+1  +1  0,zepher VL,,1.00  0.85  1.16,233  229  238,19  9  10,/  19  11  8  /,10  4  6,0  -2  +2,69%  62%  77%,152  153  150,14%  32%  5%,1  1  0,1  0  1,0  +1  -1
3,zepher VL,,0.96  0.72  1.27,188  170  218,42  17  25,/  44  25  19  /,17  9  8,-2  -8  +6,64%  58%  71%,128  118  139,20%  26%  15%,3  2  1,5  3  2,-2  -1  -1,12.0,14.0,zepher VL,,0.70  0.44  0.87,153  117  178,11  3  8,/  15  6  9  /,2  0  2,-4  -3  -1,55%  50%  58%,107  88  119,31%  24%  36%,0  0  0,1  1  0,-1  -1  0,zepher VL,,1.17  0.85  1.79,178  141  253,12  5  7,/  10  8  2  /,5  5  0,+2  -3  +5,67%  58%  83%,118  100  155,22%  23%  21%,2  1  1,3  2  1,-1  -1  0,Bangnan VL,,0.79  0.99  0.60,176  265  88,18  14  4,/  18  9  9  /,0  0  0,0  +5  -5,54%  54%  54%,112  166  58,36%  42%  25%,2  1  1,3  3  0,-1  -2  +1
4,BlackWiz VL,,0.87  0.85  1.05,194  188  183,39  21  18,/  44  23  21  /,20  9  11,-5  -2  -3,63%  55%  71%,122  128  115,23%  30%  18%,4  1  3,15  9  6,-11  -8  -3,,,Bangnan VL,,0.51  0.54  0.49,87  125  62,6  4  2,/  17  7  10  /,4  1  3,-11  -3  -8,65%  75%  58%,62  92  42,36%  50%  17%,1  0  1,3  0  3,-2  0  -2,LOB VL,,0.89  0.95  0.78,159  198  84,11  9  2,/  10  7  3  /,3  2  1,+1  +2  -1,67%  67%  67%,117  136  78,24%  21%  33%,0  0  0,2  1  1,-2  -1  -1,BlackWiz VL,,0.55  0.34  0.76,120  87  154,10  4  6,/  18  10  8  /,4  1  3,-8  -6  -2,58%  46%  69%,74  61  87,18%  50%  11%,1  0  1,7  4  3,-6  -4  -2
5,Zan LSZ,,1.06  1.12  1.01,273  285  272,59  31  28,/  56  26  30  /,17  10  7,+3  +5  -2,70%  81%  61%,181  187  175,15%  15%  15%,18  9  9,11  5  6,+7  +4  +3,,,citrous LSZ,,1.39  1.28  1.55,222  178  289,17  8  9,/  9  5  4  /,6  4  2,+8  +3  +5,75%  75%  75%,151  125  190,24%  40%  18%,1  1  0,0  0  0,+1  +1  0,Zan LSZ,,1.04  1.28  0.91,233  332  184,13  7  6,/  16  6  10  /,5  2  3,-3  +1  -4,67%  100%  50%,148  185  130,12%  7%  17%,4  2  2,3  1  2,+1  +1  0,KomIkku LSZ,,1.39  1.53  1.26,279  324  234,24  14  10,/  16  8  8  /,6  4  2,+8  +6  +2,81%  85%  77%,174  212  136,35%  34%  36%,5  2  3,1  1  0,+4  +1  +3
6,KomIkku LSZ,,1.05  1.29  0.75,199  295  129,45  30  15,/  43  20  23  /,17  14  3,+2  +10  -8,73%  84%  64%,133  191  78,34%  35%  32%,6  3  3,3  2  1,+3  +1  +2,,,KomIkku LSZ,,1.18  1.66  0.45,194  301  36,13  12  1,/  13  7  6  /,9  8  1,0  +5  -5,75%  83%  63%,119  179  28,35%  36%  33%,1  1  0,2  1  1,-1  0  -1,citrous LSZ,,0.95  0.24  1.30,205  120  248,13  3  10,/  13  6  7  /,10  3  7,0  -3  +3,61%  50%  67%,119  53  152,13%  20%  13%,1  0  1,2  1  1,-1  -1  0,Zan LSZ,,1.16  0.94  1.38,315  233  398,26  10  16,/  22  10  12  /,9  5  4,+4  0  +4,69%  69%  69%,214  177  252,12%  13%  10%,5  2  3,4  2  2,+1  0  +1
7,citrous LSZ,,1.04  0.67  1.31,183  125  225,42  14  28,/  40  21  19  /,23  11  12,+2  -7  +9,66%  65%  67%,112  78  143,18%  25%  15%,4  2  2,4  2  2,0  0  0,,,hyouka LSZ,,1.09  0.77  1.57,193  128  293,13  5  8,/  12  7  5  /,7  5  2,+1  -2  +3,80%  75%  88%,118  76  181,20%  8%  37%,1  0  1,1  1  0,0  -1  +1,arm1e LSZ,,0.88  0.03  1.35,180  30  256,11  0  11,/  15  6  9  /,4  1  3,-4  -6  +2,56%  17%  75%,109  30  148,42%  20%  48%,3  0  3,2  2  0,+1  -2  +3,hyouka LSZ,,1.01  0.95  1.06,143  108  179,14  6  8,/  14  6  8  /,4  2  2,0  0  0,69%  77%  62%,86  63  110,32%  18%  53%,2  1  1,1  0  1,+1  +1  0
8,arm1e LSZ,,0.95  0.82  0.95,168  173  159,37  19  18,/  45  20  25  /,12  6  6,-8  -1  -7,61%  61%  61%,107  112  101,38%  40%  35%,5  2  3,5  4  1,0  -2  +2,,,arm1e LSZ,,1.09  1.05  1.15,185  195  173,14  9  5,/  11  7  4  /,1  0  1,+3  +2  +1,75%  75%  75%,114  110  119,35%  36%  33%,1  1  0,0  0  0,+1  +1  0,KomIkku LSZ,,0.59  0.69  0.54,124  222  77,8  4  4,/  14  5  9  /,2  2  0,-6  -1  -5,61%  83%  50%,90  172  49,30%  38%  20%,0  0  0,0  0  0,0  0  0,arm1e LSZ,,0.87  1.39  0.35,139  219  60,12  10  2,/  19  7  12  /,7  5  2,-7  +3  -10,54%  69%  38%,100  153  47,37%  50%  15%,1  1  0,3  2  1,-2  -1  -1
9,hyouka LSZ,,0.88  0.75  1.07,147  123  174,33  14  19,/  41  19  22  /,13  8  5,-8  -5  -3,67%  71%  64%,93  74  110,22%  12%  35%,4  1  3,4  1  3,0  0  0,,,Zan LSZ,,0.97  1.13  0.73,270  318  200,20  14  6,/  18  10  8  /,3  3  0,+2  +4  -2,75%  83%  63%,167  199  120,24%  22%  29%,9  5  4,4  2  2,+5  +3  +2,hyouka LSZ,,0.55  0.53  0.56,106  145  88,6  3  3,/  15  6  9  /,2  1  1,-9  -3  -6,50%  50%  50%,74  98  62,12%  11%  13%,1  0  1,2  0  2,-1  0  -1,citrous LSZ,,0.78  0.49  1.07,121  78  164,12  3  9,/  18  10  8  /,7  4  3,-6  -7  +1,62%  62%  62%,76  47  105,14%  8%  16%,2  1  1,2  1  1,0  0  0
