,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,lux9 FRA,,1.51  1.46  1.55,362  380  347,29  14  15,/  18  9  9  /,5  2  3,+11  +5  +6,87%  82%  92%,229  254  206,18%  26%  10%,8  5  3,2  1  1,+6  +4  +2,1.0,0.0,lux9 FRA,,1.51  1.46  1.55,362  380  347,29  14  15,/  18  9  9  /,5  2  3,+11  +5  +6,87%  82%  92%,229  254  206,18%  26%  10%,8  5  3,2  1  1,+6  +4  +2,,,,,,,,,,,,,,
12,SoOn FRA,,1.42  1.25  1.57,241  201  278,23  9  14,/  13  6  7  /,8  2  6,+10  +3  +7,83%  64%  100%,145  127  161,19%  15%  22%,2  1  1,2  1  1,0  0  0,13.0,10.0,SoOn FRA,,1.42  1.25  1.57,241  201  278,23  9  14,/  13  6  7  /,8  2  6,+10  +3  +7,83%  64%  100%,145  127  161,19%  15%  22%,2  1  1,2  1  1,0  0  0,,,,,,,,,,,,,,
13,bramz FRA,,1.34  1.00  1.65,241  133  340,18  4  14,/  14  7  7  /,9  5  4,+4  -3  +7,91%  91%  92%,170  112  223,31%  21%  36%,2  0  2,0  0  0,+2  0  +2,,,bramz FRA,,1.34  1.00  1.65,241  133  340,18  4  14,/  14  7  7  /,9  5  4,+4  -3  +7,91%  91%  92%,170  112  223,31%  21%  36%,2  0  2,0  0  0,+2  0  +2,,,,,,,,,,,,,,
14,Nami FRA,,0.90  1.15  0.68,146  191  107,12  8  4,/  13  5  8  /,4  1  3,-1  +3  -4,70%  73%  67%,81  114  51,31%  30%  33%,1  0  1,1  0  1,0  0  0,,,Nami FRA,,0.90  1.15  0.68,146  191  107,12  8  4,/  13  5  8  /,4  1  3,-1  +3  -4,70%  73%  67%,81  114  51,31%  30%  33%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,
15,Nelo FRA,,0.76  0.75  0.76,147  132  161,12  6  6,/  17  8  9  /,8  2  6,-5  -2  -3,78%  73%  83%,100  88  110,31%  36%  27%,0  0  0,5  3  2,-5  -3  -2,,,Nelo FRA,,0.76  0.75  0.76,147  132  161,12  6  6,/  17  8  9  /,8  2  6,-5  -2  -3,78%  73%  83%,100  88  110,31%  36%  27%,0  0  0,5  3  2,-5  -3  -2,,,,,,,,,,,,,,
16,caydeN ITA,,1.28  1.77  0.74,308  430  176,25  19  6,/  18  9  9  /,9  6  3,+7  +10  -3,74%  67%  82%,183  261  99,22%  26%  13%,4  3  1,1  1  0,+3  +2  +1,,,caydeN ITA,,1.28  1.77  0.74,308  430  176,25  19  6,/  18  9  9  /,9  6  3,+7  +10  -3,74%  67%  82%,183  261  99,22%  26%  13%,4  3  1,1  1  0,+3  +2  +1,,,,,,,,,,,,,,
17,bipo ITA,,0.77  0.65  0.90,184  168  203,13  6  7,/  19  11  8  /,5  3  2,-6  -5  -1,61%  50%  73%,134  119  150,16%  14%  17%,3  1  2,7  3  4,-4  -2  -2,,,bipo ITA,,0.77  0.65  0.90,184  168  203,13  6  7,/  19  11  8  /,5  3  2,-6  -5  -1,61%  50%  73%,134  119  150,16%  14%  17%,3  1  2,7  3  4,-4  -2  -2,,,,,,,,,,,,,,
18,Mochi ITA,,0.71  0.51  0.92,156  109  208,11  4  7,/  20  11  9  /,10  6  4,-9  -7  -2,70%  67%  73%,104  73  139,40%  45%  38%,1  0  1,3  2  1,-2  -2  0,,,Mochi ITA,,0.71  0.51  0.92,156  109  208,11  4  7,/  20  11  9  /,10  6  4,-9  -7  -2,70%  67%  73%,104  73  139,40%  45%  38%,1  0  1,3  2  1,-2  -2  0,,,,,,,,,,,,,,
19,Aranel ITA,,0.70  0.64  0.77,122  135  108,9  4  5,/  17  10  7  /,12  10  2,-8  -6  -2,74%  83%  64%,74  88  59,21%  25%  15%,0  0  0,1  1  0,-1  -1  0,,,Aranel ITA,,0.70  0.64  0.77,122  135  108,9  4  5,/  17  10  7  /,12  10  2,-8  -6  -2,74%  83%  64%,74  88  59,21%  25%  15%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,
20,Tag ITA,,0.66  0.39  0.95,176  135  221,17  7  10,/  20  12  8  /,2  0  2,-3  -5  +2,48%  33%  64%,105  96  114,24%  28%  22%,2  1  1,1  0  1,+1  +1  0,,,Tag ITA,,0.66  0.39  0.95,176  135  221,17  7  10,/  20  12  8  /,2  0  2,-3  -5  +2,48%  33%  64%,105  96  114,24%  28%  22%,2  1  1,1  0  1,+1  +1  0,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fragger SAW,,1.42  1.62  1.49,260  304  168,37  29  8,/  23  13  10  /,11  6  5,+14  +16  -2,76%  79%  71%,161  194  104,28%  24%  41%,7  5  2,2  1  1,+5  +4  +1,2.0,0.0,Addicted SAW,,1.23  1.30  1.14,209  170  256,17  9  8,/  13  5  8  /,6  1  5,+4  +4  0,82%  75%  90%,145  117  180,33%  32%  35%,2  1  1,2  2  0,0  -1  +1,Fragger SAW,,1.68  1.34  2.69,302  248  466,19  12  7,/  7  7  0  /,3  2  1,+12  +5  +7,81%  75%  100%,188  155  288,33%  29%  41%,5  4  1,1  1  0,+4  +3  +1
23,brk SAW,,1.30  1.12  1.58,270  253  286,34  21  13,/  28  20  8  /,13  8  5,+6  +1  +5,82%  79%  86%,188  180  202,23%  25%  20%,11  6  5,6  4  2,+5  +2  +3,13.0,9.0,brk SAW,,1.16  0.88  1.49,236  183  301,15  6  9,/  17  10  7  /,9  4  5,-2  -4  +2,73%  67%  80%,189  160  225,25%  28%  21%,5  2  3,4  3  1,+1  -1  +2,brk SAW,,1.44  1.36  1.67,303  322  246,19  15  4,/  11  10  1  /,4  4  0,+8  +5  +3,94%  92%  100%,187  201  145,21%  22%  18%,6  4  2,2  1  1,+4  +3  +1
24,Cunha20 SAW,,1.22  1.18  1.20,196  189  192,28  16  12,/  21  13  8  /,16  15  1,+7  +3  +4,76%  83%  64%,124  119  133,44%  33%  67%,1  0  1,3  2  1,-2  -2  0,13.0,3.0,Fragger SAW,,1.16  1.90  0.28,218  359  49,18  17  1,/  16  6  10  /,8  4  4,+2  +11  -9,73%  83%  60%,140  232  30,23%  21%  40%,2  1  1,1  0  1,+1  +1  0,Cunha20 SAW,,1.33  1.39  1.13,233  230  243,14  10  4,/  9  6  3  /,6  5  1,+5  +4  +1,81%  83%  75%,167  149  221,41%  29%  75%,0  0  0,0  0  0,0  0  0
25,Addicted SAW,,1.19  1.21  1.19,177  164  214,25  15  10,/  20  11  9  /,11  6  5,+5  +4  +1,79%  71%  93%,127  116  146,28%  30%  25%,2  1  1,2  2  0,0  -1  +1,,,Cunha20 SAW,,1.11  0.98  1.27,158  149  171,14  6  8,/  12  7  5  /,10  10  0,+2  -1  +3,73%  83%  60%,92  88  98,50%  42%  60%,1  0  1,3  2  1,-2  -2  0,Addicted SAW,,1.15  1.13  1.23,145  158  108,8  6  2,/  7  6  1  /,5  5  0,+1  0  +1,75%  67%  100%,101  115  61,20%  29%  0%,0  0  0,0  0  0,0  0  0
26,k1zpawn SAW,,0.96  0.87  1.28,170  148  230,22  11  11,/  23  15  8  /,11  7  4,-1  -4  +3,82%  79%  86%,130  114  157,25%  16%  41%,2  1  1,2  2  0,0  -1  +1,,,k1zpawn SAW,,1.02  1.08  0.95,221  212  233,16  8  8,/  14  7  7  /,5  3  2,+2  +1  +1,82%  83%  80%,160  161  158,32%  23%  50%,2  1  1,0  0  0,+2  +1  +1,k1zpawn SAW,,0.90  0.66  1.62,118  84  222,6  3  3,/  9  8  1  /,6  4  2,-3  -5  +2,81%  75%  100%,89  67  155,15%  4%  29%,0  0  0,2  2  0,-2  -2  0
27,xanarchy MEDU,,1.05  0.56  1.27,236  166  277,33  9  24,/  29  11  18  /,4  1  3,+4  -2  +6,63%  57%  67%,152  98  184,49%  75%  43%,4  2  2,5  2  3,-1  0  -1,,,xanarchy MEDU,,1.03  0.80  1.22,233  181  278,19  7  12,/  17  7  10  /,2  1  1,+2  0  +2,64%  60%  67%,150  113  181,58%  88%  48%,3  1  2,3  2  1,0  -1  +1,xanarchy MEDU,,1.07  0.32  1.32,239  129  276,14  2  12,/  12  4  8  /,2  0  2,+2  -2  +4,63%  50%  67%,156  61  187,40%  50%  38%,1  1  0,2  0  2,-1  +1  -2
28,pdr MEDU,,0.97  0.85  0.90,190  184  190,26  10  16,/  27  9  18  /,9  3  6,-1  +1  -2,66%  64%  67%,126  134  121,37%  33%  39%,5  2  3,3  2  1,+2  0  +2,,,pdr MEDU,,0.99  1.42  0.63,176  218  142,15  9  6,/  15  5  10  /,4  2  2,0  +4  -4,55%  70%  42%,119  159  85,31%  36%  24%,3  2  1,2  1  1,+1  +1  0,pdr MEDU,,0.94  0.27  1.17,203  102  237,11  1  10,/  12  4  8  /,5  1  4,-1  -3  +2,81%  50%  92%,135  72  156,45%  20%  50%,2  0  2,1  1  0,+1  -1  +2
29,Kayn MEDU,,0.75  0.70  0.75,231  275  213,30  13  17,/  31  12  19  /,5  1  4,-1  +1  -2,71%  64%  75%,153  185  133,31%  22%  39%,3  0  3,6  2  4,-3  -2  -1,,,Kayn MEDU,,0.94  1.03  0.87,262  313  221,20  11  9,/  16  8  8  /,2  1  1,+4  +3  +1,73%  80%  67%,175  216  140,26%  21%  32%,1  0  1,2  1  1,-1  -1  0,zelo MEDU,,0.65  0.35  0.75,132  99  143,6  1  5,/  13  4  9  /,3  1  2,-7  -3  -4,56%  50%  58%,119  69  135,27%  40%  24%,0  0  0,1  0  1,-1  0  -1
30,zelo MEDU,,0.69  0.68  0.62,126  113  132,14  6  8,/  27  8  19  /,3  1  2,-13  -2  -11,55%  64%  50%,97  77  108,26%  36%  21%,2  0  2,4  1  3,-2  -1  -1,,,zelo MEDU,,0.73  1.02  0.48,119  118  120,8  5  3,/  14  4  10  /,0  0  0,-6  +1  -7,55%  70%  42%,81  80  81,24%  33%  19%,2  0  2,3  1  2,-1  -1  0,Kayn MEDU,,0.56  0.37  0.63,199  181  205,10  2  8,/  15  4  11  /,3  0  3,-5  -2  -3,69%  25%  83%,122  108  126,45%  33%  48%,2  0  2,4  1  3,-2  -1  -1
31,necaX MEDU,,0.47  0.29  0.57,104  121  105,12  5  7,/  32  14  18  /,6  2  4,-20  -9  -11,47%  43%  50%,84  86  83,29%  25%  32%,1  0  1,5  3  2,-4  -3  -1,,,necaX MEDU,,0.64  0.56  0.71,143  158  132,10  5  5,/  18  10  8  /,3  2  1,-8  -5  -3,55%  60%  50%,101  109  95,40%  33%  46%,1  0  1,2  2  0,-1  -2  +1,necaX MEDU,,0.30  0.02  0.42,65  29  78,2  0  2,/  14  4  10  /,3  0  3,-12  -4  -8,38%  0%  50%,60  29  70,13%  0%  17%,0  0  0,3  1  2,-3  -1  -2
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Vorwenn ESP,,1.28  1.31  1.24,286  293  281,24  12  12,/  17  9  8  /,5  4  1,+7  +3  +4,75%  75%  75%,204  200  208,46%  44%  48%,3  3  0,2  1  1,+1  +2  -1,0.0,1.0,Vorwenn ESP,,1.28  1.31  1.24,286  293  281,24  12  12,/  17  9  8  /,5  4  1,+7  +3  +4,75%  75%  75%,204  200  208,46%  44%  48%,3  3  0,2  1  1,+1  +2  -1,,,,,,,,,,,,,,
34,Toki ESP,,1.02  0.75  1.28,228  138  319,18  5  13,/  18  9  9  /,7  4  3,0  -4  +4,83%  67%  100%,161  100  222,42%  32%  50%,5  1  4,6  5  1,-1  -4  +3,11.0,13.0,Toki ESP,,1.02  0.75  1.28,228  138  319,18  5  13,/  18  9  9  /,7  4  3,0  -4  +4,83%  67%  100%,161  100  222,42%  32%  50%,5  1  4,6  5  1,-1  -4  +3,,,,,,,,,,,,,,
35,Fit1nho ESP,,0.93  1.03  0.83,158  161  156,13  7  6,/  15  8  7  /,5  5  0,-2  -1  -1,75%  83%  67%,110  121  100,39%  29%  50%,2  0  2,1  0  1,+1  0  +1,,,Fit1nho ESP,,0.93  1.03  0.83,158  161  156,13  7  6,/  15  8  7  /,5  5  0,-2  -1  -1,75%  83%  67%,110  121  100,39%  29%  50%,2  0  2,1  0  1,+1  0  +1,,,,,,,,,,,,,,
36,Yurii ESP,,0.87  0.77  0.96,135  145  127,12  7  5,/  15  10  5  /,11  3  8,-3  -3  0,75%  83%  67%,77  81  74,24%  24%  24%,0  0  0,2  1  1,-2  -1  -1,,,Yurii ESP,,0.87  0.77  0.96,135  145  127,12  7  5,/  15  10  5  /,11  3  8,-3  -3  0,75%  83%  67%,77  81  74,24%  24%  24%,0  0  0,2  1  1,-2  -1  -1,,,,,,,,,,,,,,
37,Nixerino ESP,,0.82  0.80  0.85,155  189  121,16  11  5,/  18  10  8  /,8  5  3,-2  +1  -3,83%  92%  75%,99  116  82,47%  40%  58%,2  1  1,1  0  1,+1  +1  0,,,Nixerino ESP,,0.82  0.80  0.85,155  189  121,16  11  5,/  18  10  8  /,8  5  3,-2  +1  -3,83%  92%  75%,99  116  82,47%  40%  58%,2  1  1,1  0  1,+1  +1  0,,,,,,,,,,,,,,
38,YaBoiLewis UK,,1.11  1.24  0.99,236  238  235,21  11  10,/  17  8  9  /,6  1  5,+4  +3  +1,75%  83%  67%,139  128  151,58%  69%  50%,3  1  2,3  1  2,0  0  0,,,YaBoiLewis UK,,1.11  1.24  0.99,236  238  235,21  11  10,/  17  8  9  /,6  1  5,+4  +3  +1,75%  83%  67%,139  128  151,58%  69%  50%,3  1  2,3  1  2,0  0  0,,,,,,,,,,,,,,
39,Lime UK,,1.09  1.13  1.05,208  166  251,18  8  10,/  17  7  10  /,1  0  1,+1  +1  0,67%  58%  75%,145  128  163,31%  44%  24%,1  0  1,2  1  1,-1  -1  0,,,Lime UK,,1.09  1.13  1.05,208  166  251,18  8  10,/  17  7  10  /,1  0  1,+1  +1  0,67%  58%  75%,145  128  163,31%  44%  24%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,
40,soulcas UK,,0.99  0.89  1.10,212  210  214,18  9  9,/  16  10  6  /,10  4  6,+2  -1  +3,67%  58%  75%,135  122  148,30%  35%  26%,2  2  0,0  0  0,+2  +2  0,,,soulcas UK,,0.99  0.89  1.10,212  210  214,18  9  9,/  16  10  6  /,10  4  6,+2  -1  +3,67%  58%  75%,135  122  148,30%  35%  26%,2  2  0,0  0  0,+2  +2  0,,,,,,,,,,,,,,
41,L1NK UK,,0.97  0.96  0.98,149  133  166,12  5  7,/  14  7  7  /,9  5  4,-2  -2  0,75%  75%  75%,102  101  104,27%  26%  28%,2  0  2,2  1  1,0  -1  +1,,,L1NK UK,,0.97  0.96  0.98,149  133  166,12  5  7,/  14  7  7  /,9  5  4,-2  -2  0,75%  75%  75%,102  101  104,27%  26%  28%,2  0  2,2  1  1,0  -1  +1,,,,,,,,,,,,,,
42,Scarlett UK,,0.88  0.52  1.24,173  148  199,14  5  9,/  19  11  8  /,5  2  3,-5  -6  +1,63%  58%  67%,110  97  123,18%  17%  19%,4  2  2,5  4  1,-1  -2  +1,,,Scarlett UK,,0.88  0.52  1.24,173  148  199,14  5  9,/  19  11  8  /,5  2  3,-5  -6  +1,63%  58%  67%,110  97  123,18%  17%  19%,4  2  2,5  4  1,-1  -2  +1,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
