,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,ip0TT TUR,,1.47  1.43  1.52,209  231  172,17  11  6,/  8  6  2  /,8  5  3,+9  +5  +4,84%  83%  86%,138  158  104,18%  21%  13%,1  1  0,0  0  0,+1  +1  0,1.0,0.0,ip0TT TUR,,1.47  1.43  1.52,209  231  172,17  11  6,/  8  6  2  /,8  5  3,+9  +5  +4,84%  83%  86%,138  158  104,18%  21%  13%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,
1,Smurfette TUR,,1.25  1.11  1.50,253  167  402,16  6  10,/  13  7  6  /,4  3  1,+3  -1  +4,68%  67%  71%,171  115  267,50%  47%  53%,1  0  1,1  0  1,0  0  0,13.0,6.0,Smurfette TUR,,1.25  1.11  1.50,253  167  402,16  6  10,/  13  7  6  /,4  3  1,+3  -1  +4,68%  67%  71%,171  115  267,50%  47%  53%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,
2,glovee TUR,,1.19  0.95  1.61,224  126  393,16  7  9,/  11  6  5  /,5  2  3,+5  +1  +4,63%  50%  86%,134  77  234,16%  6%  22%,1  0  1,3  2  1,-2  -2  0,,,glovee TUR,,1.19  0.95  1.61,224  126  393,16  7  9,/  11  6  5  /,5  2  3,+5  +1  +4,63%  50%  86%,134  77  234,16%  6%  22%,1  0  1,3  2  1,-2  -2  0,,,,,,,,,,,,,,
3,Izzy TUR,,0.99  1.10  0.79,209  294  64,14  12  2,/  11  8  3  /,3  2  1,+3  +4  -1,74%  75%  71%,134  173  67,36%  33%  50%,5  5  0,4  3  1,+1  +2  -1,,,Izzy TUR,,0.99  1.10  0.79,209  294  64,14  12  2,/  11  8  3  /,3  2  1,+3  +4  -1,74%  75%  71%,134  173  67,36%  33%  50%,5  5  0,4  3  1,+1  +2  -1,,,,,,,,,,,,,,
4,Muj TUR,,0.82  0.79  0.87,187  192  180,14  9  5,/  15  10  5  /,3  2  1,-1  -1  0,74%  75%  71%,126  136  107,39%  38%  40%,2  1  1,1  0  1,+1  +1  0,,,Muj TUR,,0.82  0.79  0.87,187  192  180,14  9  5,/  15  10  5  /,3  2  1,-1  -1  0,74%  75%  71%,126  136  107,39%  38%  40%,2  1  1,1  0  1,+1  +1  0,,,,,,,,,,,,,,
5,al0rante GER,,1.28  0.73  1.60,295  218  340,20  5  15,/  15  7  8  /,7  2  5,+5  -2  +7,63%  43%  75%,197  107  250,54%  50%  55%,2  1  1,3  1  2,-1  0  -1,,,al0rante GER,,1.28  0.73  1.60,295  218  340,20  5  15,/  15  7  8  /,7  2  5,+5  -2  +7,63%  43%  75%,197  107  250,54%  50%  55%,2  1  1,3  1  2,-1  0  -1,,,,,,,,,,,,,,
6,Leosen GER,,0.97  0.59  1.19,221  173  250,13  4  9,/  16  7  9  /,4  1  3,-3  -3  0,74%  71%  75%,151  118  170,21%  27%  19%,4  1  3,1  0  1,+3  +1  +2,,,Leosen GER,,0.97  0.59  1.19,221  173  250,13  4  9,/  16  7  9  /,4  1  3,-3  -3  0,74%  71%  75%,151  118  170,21%  27%  19%,4  1  3,1  0  1,+3  +1  +2,,,,,,,,,,,,,,
7,BennY GER,,0.82  1.07  0.67,199  279  153,12  7  5,/  15  6  9  /,4  1  3,-3  +1  -4,63%  71%  58%,143  175  124,37%  35%  38%,1  1  0,3  2  1,-2  -1  -1,,,BennY GER,,0.82  1.07  0.67,199  279  153,12  7  5,/  15  6  9  /,4  1  3,-3  +1  -4,63%  71%  58%,143  175  124,37%  35%  38%,1  1  0,3  2  1,-2  -1  -1,,,,,,,,,,,,,,
8,Lil Bob GER,,0.60  0.50  0.66,73  60  82,5  2  3,/  15  6  9  /,7  2  5,-10  -4  -6,42%  43%  42%,46  38  50,23%  33%  20%,0  0  0,1  0  1,-1  0  -1,,,Lil Bob GER,,0.60  0.50  0.66,73  60  82,5  2  3,/  15  6  9  /,7  2  5,-10  -4  -6,42%  43%  42%,46  38  50,23%  33%  20%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
9,musashi GER,,0.58  0.51  0.63,140  161  129,8  3  5,/  16  6  10  /,2  1  1,-8  -3  -5,58%  57%  58%,95  109  87,20%  38%  11%,2  1  1,2  0  2,0  +1  -1,,,musashi GER,,0.58  0.51  0.63,140  161  129,8  3  5,/  16  6  10  /,2  1  1,-8  -3  -5,58%  57%  58%,95  109  87,20%  38%  11%,2  1  1,2  0  2,0  +1  -1,,,,,,,,,,,,,,
