,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,Nythan APAC,,0.97  0.88  1.06,217  207  229,37  17  20,/  35  17  18  /,6  2  4,+2  0  +2,67%  61%  73%,134  127  141,43%  50%  38%,2  2  0,9  3  6,-7  -1  -6,0.0,2.0,BLOND APAC,,0.91  1.14  0.64,183  227  132,15  9  6,/  15  7  8  /,4  2  2,0  +2  -2,73%  83%  60%,112  142  76,26%  33%  13%,1  1  0,2  0  2,-1  +1  -2,Nythan APAC,,1.36  1.31  1.41,277  308  250,25  12  13,/  17  8  9  /,5  2  3,+8  +4  +4,83%  82%  83%,171  189  154,44%  52%  36%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Crouzer APAC,,0.92  0.96  0.86,209  204  216,32  17  15,/  37  16  21  /,17  7  10,-5  +1  -6,76%  78%  73%,127  130  124,14%  22%  9%,7  1  6,2  1  1,+5  0  +5,9.0,13.0,Crouzer APAC,,0.90  0.95  0.84,185  172  203,14  8  6,/  17  8  9  /,9  2  7,-3  0  -3,73%  67%  80%,106  98  115,5%  13%  2%,2  0  2,1  1  0,+1  -1  +2,Lee APAC,,0.94  0.99  0.90,170  121  215,14  5  9,/  16  6  10  /,4  2  2,-2  -1  -1,78%  73%  83%,122  92  149,24%  15%  32%,2  0  2,2  1  1,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,damaraa APAC,,0.80  0.84  0.75,195  213  178,29  17  12,/  41  21  20  /,10  4  6,-12  -4  -8,64%  74%  55%,129  139  118,27%  36%  19%,8  7  1,6  4  2,+2  +3  -1,10.0,13.0,damaraa APAC,,0.75  0.83  0.65,180  185  176,13  7  6,/  20  11  9  /,5  4  1,-7  -4  -3,59%  67%  50%,124  136  110,33%  38%  28%,3  3  0,2  1  1,+1  +2  -1,Crouzer APAC,,0.93  0.98  0.89,232  239  228,18  9  9,/  20  8  12  /,8  5  3,-2  +1  -3,78%  91%  67%,148  165  131,26%  30%  23%,5  1  4,1  0  1,+4  +1  +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lee APAC,,0.80  0.87  0.73,164  123  208,26  10  16,/  34  15  19  /,10  6  4,-8  -5  -3,73%  65%  82%,113  89  137,25%  20%  30%,2  0  2,3  2  1,-1  -2  +1,,,Lee APAC,,0.66  0.74  0.56,158  125  200,12  5  7,/  18  9  9  /,6  4  2,-6  -4  -2,68%  58%  80%,103  86  123,27%  27%  27%,0  0  0,1  1  0,-1  -1  0,damaraa APAC,,0.85  0.86  0.85,210  244  180,16  10  6,/  21  10  11  /,5  0  5,-5  0  -5,70%  82%  58%,133  143  124,23%  35%  14%,5  4  1,4  3  1,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BLOND APAC,,0.78  0.99  0.55,157  189  123,25  15  10,/  32  14  18  /,12  9  3,-7  +1  -8,67%  78%  55%,107  124  90,23%  32%  14%,2  2  0,4  1  3,-2  +1  -3,,,Nythan APAC,,0.57  0.45  0.71,156  116  205,12  5  7,/  18  9  9  /,1  0  1,-6  -4  -2,50%  42%  60%,95  70  125,42%  44%  40%,2  2  0,8  3  5,-6  -1  -5,BLOND APAC,,0.64  0.84  0.46,130  148  115,10  6  4,/  17  7  10  /,8  7  1,-7  -1  -6,61%  73%  50%,103  105  101,20%  29%  14%,1  1  0,2  1  1,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nakya AE,,1.32  1.33  1.32,320  330  308,50  25  25,/  35  17  18  /,6  5  1,+15  +8  +7,76%  86%  65%,207  204  210,28%  26%  31%,10  6  4,9  5  4,+1  +1  0,,,Nakya AE,,1.51  1.59  1.45,358  412  313,28  15  13,/  16  8  8  /,0  0  0,+12  +7  +5,86%  100%  75%,230  246  217,29%  24%  35%,6  4  2,3  1  2,+3  +3  0,Flaring AE,,1.34  1.52  1.14,238  251  225,19  11  8,/  13  6  7  /,9  5  4,+6  +5  +1,87%  92%  82%,157  161  153,25%  27%  22%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Flaring AE,,1.29  1.38  1.18,214  235  196,33  18  15,/  26  13  13  /,29  16  13,+7  +5  +2,87%  91%  83%,136  142  131,24%  23%  26%,1  0  1,1  0  1,0  0  0,,,Kush AE,,1.51  1.15  1.81,287  207  355,23  8  15,/  13  7  6  /,6  2  4,+10  +1  +9,73%  80%  67%,211  149  262,59%  50%  64%,3  1  2,1  0  1,+2  +1  +1,Nakya AE,,1.13  1.08  1.18,281  262  302,22  10  12,/  19  9  10  /,6  5  1,+3  +1  +2,65%  75%  55%,184  168  201,28%  29%  26%,4  2  2,6  4  2,-2  -2  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kush AE,,1.17  1.06  1.24,231  212  246,36  18  18,/  31  15  16  /,21  10  11,+5  +3  +2,76%  77%  74%,161  149  173,53%  49%  57%,4  1  3,4  1  3,0  0  0,,,Flaring AE,,1.23  1.25  1.22,189  215  169,14  7  7,/  13  7  6  /,20  11  9,+1  0  +1,86%  90%  83%,114  120  110,24%  18%  31%,1  0  1,1  0  1,0  0  0,Eeyore AE,,1.11  1.33  0.86,281  364  192,24  17  7,/  17  10  7  /,2  0  2,+7  +7  0,70%  75%  64%,163  211  112,22%  20%  24%,3  1  2,2  1  1,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Eeyore AE,,1.11  1.23  0.98,241  282  205,38  23  15,/  29  15  14  /,8  3  5,+9  +8  +1,76%  82%  70%,152  173  131,22%  21%  23%,5  2  3,4  2  2,+1  0  +1,,,Eeyore AE,,1.11  1.12  1.10,201  183  217,14  6  8,/  12  5  7  /,6  3  3,+2  +1  +1,82%  90%  75%,139  128  149,23%  23%  23%,2  1  1,2  1  1,0  0  0,aduka AE,,0.84  0.47  1.25,162  126  202,13  5  8,/  16  9  7  /,7  3  4,-3  -4  +1,65%  58%  73%,109  78  142,31%  30%  32%,2  2  0,2  1  1,0  +1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,aduka AE,,0.95  1.00  0.96,143  165  124,22  13  9,/  28  14  14  /,21  9  12,-6  -1  -5,78%  77%  78%,93  104  82,33%  41%  27%,4  4  0,3  1  2,+1  +3  -2,,,aduka AE,,1.06  1.53  0.66,124  212  52,9  8  1,/  12  5  7  /,14  6  8,-3  +3  -6,91%  100%  83%,77  136  27,36%  47%  13%,2  2  0,1  0  1,+1  +2  -1,Kush AE,,0.82  0.97  0.66,174  217  127,13  10  3,/  18  8  10  /,15  8  7,-5  +2  -7,78%  75%  82%,114  149  76,45%  48%  40%,1  0  1,3  1  2,-2  -1  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
