,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,YOU TE,,,302.0,39.0,/  25  /,8.0,14.0,,,,,,,2.0,0.0,Flex1n TE,,,256.0,21.0,/  14  /,14.0,7.0,,,,,,,YOU TE,,,409.0,23.0,/  9  /,3.0,14.0,,,,,,,,,,,,,,,,,,,,
1,Flex1n TE,,,282.0,38.0,/  20  /,30.0,18.0,,,,,,,13.0,10.0,HeiB TE,,,216.0,18.0,/  13  /,14.0,5.0,,,,,,,Flex1n TE,,,308.0,17.0,/  6  /,16.0,11.0,,,,,,,,,,,,,,,,,,,,
2,HeiB TE,,,218.0,31.0,/  22  /,22.0,9.0,,,,,,,13.0,2.0,Kai TE,,,206.0,18.0,/  17  /,3.0,1.0,,,,,,,HeiB TE,,,219.0,13.0,/  9  /,8.0,4.0,,,,,,,,,,,,,,,,,,,,
3,Kai TE,,,210.0,29.0,/  27  /,8.0,2.0,,,,,,,,,YOU TE,,,194.0,16.0,/  16  /,5.0,0.0,,,,,,,Kai TE,,,213.0,11.0,/  10  /,5.0,1.0,,,,,,,,,,,,,,,,,,,,
4,FengF TE,,,146.0,22.0,/  27  /,10.0,-5.0,,,,,,,,,FengF TE,,,192.0,16.0,/  18  /,4.0,-2.0,,,,,,,FengF TE,,,100.0,6.0,/  9  /,6.0,-3.0,,,,,,,,,,,,,,,,,,,,
5,Minimise RNG,,,219.0,29.0,/  33  /,15.0,-4.0,,,,,,,,,Minimise RNG,,,293.0,22.0,/  20  /,12.0,2.0,,,,,,,GuanG RNG,,,241.0,14.0,/  14  /,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,SWERL RNG,,,204.0,29.0,/  29  /,1.0,0.0,,,,,,,,,SWERL RNG,,,216.0,20.0,/  16  /,0.0,4.0,,,,,,,SWERL RNG,,,191.0,9.0,/  13  /,1.0,-4.0,,,,,,,,,,,,,,,,,,,,
7,GuanG RNG,,,193.0,27.0,/  32  /,3.0,-5.0,,,,,,,,,HaTo RNG,,,160.0,12.0,/  17  /,2.0,-5.0,,,,,,,Xiaonuo RNG,,,186.0,8.0,/  15  /,4.0,-7.0,,,,,,,,,,,,,,,,,,,,
8,Xiaonuo RNG,,,164.0,19.0,/  34  /,15.0,-15.0,,,,,,,,,GuanG RNG,,,145.0,13.0,/  18  /,3.0,-5.0,,,,,,,Minimise RNG,,,144.0,7.0,/  13  /,3.0,-6.0,,,,,,,,,,,,,,,,,,,,
9,HaTo RNG,,,146.0,17.0,/  32  /,7.0,-15.0,,,,,,,,,Xiaonuo RNG,,,142.0,11.0,/  19  /,11.0,-8.0,,,,,,,HaTo RNG,,,132.0,5.0,/  15  /,5.0,-10.0,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abo TYL,,,214.0,30.0,/  30  /,12.0,0.0,,,,,,,0.0,2.0,Abo TYL,,,238.0,20.0,/  15  /,8.0,5.0,,,,,,,LuoK1ng TYL,,,260.0,15.0,/  12  /,6.0,3.0,,,,,,,,,,,,,,,,,,,,
12,AAK TYL,,,189.0,27.0,/  30  /,5.0,-3.0,,,,,,,11.0,13.0,AAK TYL,,,237.0,20.0,/  16  /,1.0,4.0,,,,,,,Abo TYL,,,189.0,10.0,/  15  /,4.0,-5.0,,,,,,,,,,,,,,,,,,,,
13,LuoK1ng TYL,,,184.0,22.0,/  32  /,15.0,-10.0,,,,,,,3.0,13.0,ICEKING TYL,,,215.0,20.0,/  16  /,7.0,4.0,,,,,,,AAK TYL,,,140.0,7.0,/  14  /,4.0,-7.0,,,,,,,,,,,,,,,,,,,,
14,ICEKING TYL,,,169.0,27.0,/  30  /,8.0,-3.0,,,,,,,,,Ninebody TYL,,,170.0,14.0,/  19  /,5.0,-5.0,,,,,,,ICEKING TYL,,,122.0,7.0,/  14  /,1.0,-7.0,,,,,,,,,,,,,,,,,,,,
15,Ninebody TYL,,,134.0,19.0,/  34  /,5.0,-15.0,,,,,,,,,LuoK1ng TYL,,,107.0,7.0,/  20  /,9.0,-13.0,,,,,,,Ninebody TYL,,,97.0,5.0,/  15  /,,-10.0,,,,,,,,,,,,,,,,,,,,
16,nizhaoTZH FPX,,,240.0,35.0,/  24  /,12.0,11.0,,,,,,,,,AAAAY FPX,,,236.0,21.0,/  19  /,4.0,2.0,,,,,,,Autumn FPX,,,308.0,18.0,/  8  /,3.0,10.0,,,,,,,,,,,,,,,,,,,,
17,Autumn FPX,,,237.0,31.0,/  25  /,5.0,6.0,,,,,,,,,Lysoar FPX,,,229.0,20.0,/  16  /,5.0,4.0,,,,,,,nizhaoTZH FPX,,,254.0,16.0,/  10  /,7.0,6.0,,,,,,,,,,,,,,,,,,,,
18,AAAAY FPX,,,235.0,34.0,/  29  /,10.0,5.0,,,,,,,,,nizhaoTZH FPX,,,225.0,19.0,/  14  /,5.0,5.0,,,,,,,AAAAY FPX,,,233.0,13.0,/  10  /,6.0,3.0,,,,,,,,,,,,,,,,,,,,
19,Lysoar FPX,,,216.0,31.0,/  22  /,7.0,9.0,,,,,,,,,Autumn FPX,,,166.0,13.0,/  17  /,2.0,-4.0,,,,,,,Lysoar FPX,,,203.0,11.0,/  6  /,2.0,5.0,,,,,,,,,,,,,,,,,,,,
20,BerLIN FPX,,,178.0,25.0,/  25  /,18.0,0.0,,,,,,,,,BerLIN FPX,,,162.0,13.0,/  15  /,14.0,-2.0,,,,,,,BerLIN FPX,,,194.0,12.0,/  10  /,4.0,2.0,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Avvix TU,,0.97  1.12  1.02,256  269  229,33  20  13,/  31  18  13  /,12  9  3,+2  +2  0,63%  59%  69%,153  162  140,29%  34%  23%,2  1  1,4  3  1,-2  -2  0,0.0,2.0,Fighter TU,,0.81  0.46  1.87,177  112  372,8  3  5,/  14  11  3  /,6  5  1,-6  -8  +2,44%  42%  50%,119  82  232,24%  4%  57%,2  1  1,2  1  1,0  0  0,str1keR TU,,1.18  1.10  1.25,217  185  244,20  8  12,/  14  6  8  /,1  0  1,+6  +2  +4,68%  70%  67%,146  148  145,31%  33%  29%,4  1  3,3  2  1,+1  -1  +2,,,,,,,,,,,,,,
23,Fighter TU,,0.85  0.69  1.37,186  158  229,23  10  13,/  32  20  12  /,12  7  5,-9  -10  +1,63%  55%  75%,134  126  145,29%  17%  47%,5  2  3,4  1  3,+1  +1  0,3.0,13.0,Elixllo TU,,0.81  1.03  0.14,201  246  67,10  10  0,/  14  10  4  /,3  1  2,-4  0  -4,69%  75%  50%,121  139  67,31%  35%  17%,2  2  0,0  0  0,+2  +2  0,Avvix TU,,1.14  1.60  0.75,228  311  159,17  11  6,/  16  7  9  /,10  8  2,+1  +4  -3,73%  80%  67%,138  175  107,26%  37%  17%,2  1  1,2  1  1,0  0  0,,,,,,,,,,,,,,
24,str1keR TU,,0.75  0.78  0.63,151  128  208,25  12  13,/  28  16  12  /,3  2  1,-3  -4  +1,55%  55%  56%,109  98  125,23%  24%  22%,4  1  3,8  5  3,-4  -4  0,9.0,13.0,Avvix TU,,0.80  0.63  1.29,284  233  437,16  9  7,/  15  11  4  /,2  1  1,+1  -2  +3,50%  42%  75%,173  152  238,31%  32%  29%,0  0  0,2  2  0,-2  -2  0,Fighter TU,,0.89  0.93  0.86,195  212  181,15  7  8,/  18  9  9  /,6  2  4,-3  -2  -1,77%  70%  83%,144  178  115,35%  32%  39%,3  1  2,2  0  2,+1  +1  0,,,,,,,,,,,,,,
25,Elixllo TU,,0.71  0.75  0.44,168  181  139,19  13  6,/  32  19  13  /,10  4  6,-13  -6  -7,55%  64%  44%,105  106  104,33%  34%  32%,3  3  0,2  1  1,+1  +2  -1,,,Flowy TU,,0.52  0.54  0.46,78  88  50,4  3  1,/  13  10  3  /,3  2  1,-9  -7  -2,44%  42%  50%,54  61  32,31%  33%  25%,1  1  0,2  2  0,-1  -1  0,Flowy TU,,0.77  0.67  0.86,199  154  237,15  5  10,/  19  9  10  /,6  4  2,-4  -4  0,68%  60%  75%,126  98  149,40%  38%  41%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,
26,Flowy TU,,0.65  0.61  0.66,139  118  190,19  8  11,/  32  19  13  /,9  6  3,-13  -11  -2,58%  50%  69%,95  78  120,38%  36%  38%,3  2  1,3  3  0,0  -1  +1,,,str1keR TU,,0.32  0.47  0.02,84  81  98,5  4  1,/  14  10  4  /,2  2  0,-9  -6  -3,38%  42%  25%,58  56  65,5%  9%  0%,0  0  0,5  3  2,-5  -3  -2,Elixllo TU,,0.62  0.46  0.75,135  102  163,9  3  6,/  18  9  9  /,7  3  4,-9  -6  -3,45%  50%  42%,93  66  116,36%  33%  38%,1  1  0,2  1  1,-1  0  -1,,,,,,,,,,,,,,
27,KHaaLiD FLC,,1.33  1.68  1.37,229  209  241,31  11  20,/  22  9  13  /,23  10  13,+9  +2  +7,76%  75%  77%,139  126  149,24%  26%  22%,4  1  3,3  2  1,+1  -1  +2,,,KHaaLiD FLC,,1.43  2.48  1.08,237  394  186,14  6  8,/  9  1  8  /,11  4  7,+5  +5  0,81%  100%  75%,145  240  113,26%  36%  20%,3  0  3,0  0  0,+3  0  +3,OuTLaW FLC,,1.33  1.49  1.13,234  221  252,19  11  8,/  15  7  8  /,9  5  4,+4  +4  0,82%  75%  90%,150  137  166,40%  45%  36%,2  1  1,1  1  0,+1  0  +1,,,,,,,,,,,,,,
28,OuTLaW FLC,,1.33  0.93  1.39,222  196  245,33  13  20,/  23  11  12  /,10  5  5,+10  +2  +8,79%  63%  91%,147  116  170,43%  50%  40%,3  1  2,2  1  1,+1  0  +1,,,Moh FLC,,1.40  0.80  1.60,219  178  233,15  3  12,/  6  3  3  /,1  0  1,+9  0  +9,75%  50%  83%,161  114  177,45%  38%  48%,1  1  0,0  0  0,+1  +1  0,KHaaLiD FLC,,1.23  0.87  1.65,220  148  307,17  5  12,/  13  8  5  /,12  6  6,+4  -3  +7,73%  67%  80%,135  87  193,22%  18%  24%,1  1  0,3  2  1,-2  -1  -1,,,,,,,,,,,,,,
29,SpYzera FLC,,1.21  1.31  1.17,238  245  234,33  15  18,/  25  13  12  /,10  5  5,+8  +2  +6,87%  94%  82%,158  164  154,33%  50%  24%,2  0  2,4  0  4,-2  0  -2,,,OuTLaW FLC,,1.33  0.37  1.65,209  123  239,14  2  12,/  8  4  4  /,1  0  1,+6  -2  +8,75%  25%  92%,143  53  173,48%  100%  44%,1  0  1,1  0  1,0  0  0,SpYzera FLC,,1.16  1.16  1.17,237  237  238,20  11  9,/  16  10  6  /,4  3  1,+4  +1  +3,86%  92%  80%,156  154  159,31%  56%  16%,0  0  0,1  0  1,-1  0  -1,,,,,,,,,,,,,,
30,Moh FLC,,1.16  0.82  1.31,198  168  215,29  10  19,/  21  11  10  /,8  2  6,+8  -1  +9,74%  63%  82%,146  129  158,38%  34%  41%,4  1  3,1  1  0,+3  0  +3,,,Akai FLC,,1.31  1.00  1.41,271  233  284,14  3  11,/  11  3  8  /,7  1  6,+3  0  +3,88%  75%  92%,177  163  182,12%  6%  14%,4  2  2,1  1  0,+3  +1  +2,Moh FLC,,0.92  0.84  1.03,177  165  192,14  7  7,/  15  8  7  /,7  2  5,-1  -1  0,73%  67%  80%,134  134  134,32%  33%  31%,3  0  3,1  1  0,+2  -1  +3,,,,,,,,,,,,,,
31,Akai FLC,,1.06  1.06  0.93,238  265  210,29  14  15,/  28  12  16  /,9  2  7,+1  +2  -1,71%  63%  77%,151  169  138,15%  18%  13%,8  5  3,7  4  3,+1  +1  0,,,SpYzera FLC,,1.25  1.46  1.18,239  268  230,13  4  9,/  9  3  6  /,6  2  4,+4  +1  +3,88%  100%  83%,162  197  150,36%  42%  33%,2  0  2,3  0  3,-1  0  -1,Akai FLC,,0.81  1.12  0.44,205  276  121,15  11  4,/  17  9  8  /,2  1  1,-2  +2  -4,59%  58%  60%,132  171  84,19%  25%  11%,4  3  1,6  3  3,-2  0  -2,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,grubinho UCAM,,1.35  1.77  1.02,250  304  204,62  36  26,/  39  17  22  /,26  15  11,+23  +19  +4,78%  87%  71%,160  190  134,34%  36%  32%,7  4  3,7  1  6,0  +3  -3,2.0,1.0,Flickless UCAM,,1.41  1.76  1.09,250  320  188,20  13  7,/  14  6  8  /,13  6  7,+6  +7  -1,83%  82%  83%,160  192  131,25%  25%  24%,2  1  1,1  0  1,+1  +1  0,grubinho UCAM,,1.28  1.64  0.90,256  293  217,22  14  8,/  15  8  7  /,7  4  3,+7  +6  +1,70%  75%  64%,155  169  141,39%  48%  30%,5  4  1,2  0  2,+3  +4  -1,grubinho UCAM,,1.44  2.07  1.07,256  415  164,21  12  9,/  11  4  7  /,7  4  3,+10  +8  +2,79%  86%  75%,164  251  113,38%  35%  43%,1  0  1,4  1  3,-3  -1  -2
