,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,popogachi BLUE,,1.13  0.96  1.29,245  237  252,41  19  22,/  36  20  16  /,16  7  9,+5  -1  +6,82%  79%  85%,157  150  163,23%  23%  23%,10  4  6,4  3  1,+6  +1  +5,0.0,2.0,popogachi BLUE,,1.23  1.24  1.22,262  274  253,23  11  12,/  18  9  9  /,7  4  3,+5  +2  +3,76%  83%  69%,159  162  156,27%  27%  27%,6  3  3,3  2  1,+3  +1  +2,MrTenzouEz BLUE,,1.13  0.93  1.31,241  200  279,22  8  14,/  20  11  9  /,11  5  6,+2  -3  +5,76%  75%  77%,176  149  202,27%  26%  27%,2  1  1,5  2  3,-3  -1  -2
1,MrTenzouEz BLUE,,1.05  0.99  1.11,246  223  268,43  19  24,/  39  20  19  /,18  8  10,+4  -1  +5,70%  67%  73%,179  168  188,31%  33%  30%,5  2  3,8  4  4,-3  -2  -1,12.0,13.0,GON BLUE,,1.01  1.35  0.69,163  194  135,17  10  7,/  16  6  10  /,3  0  3,+1  +4  -3,64%  58%  69%,106  133  81,24%  35%  17%,1  1  0,1  0  1,0  +1  -1,popogachi BLUE,,1.03  0.68  1.36,227  201  251,18  8  10,/  18  11  7  /,9  3  6,0  -3  +3,88%  75%  100%,155  138  171,19%  19%  20%,4  1  3,1  1  0,+3  0  +3
2,GON BLUE,,0.93  0.90  0.96,199  205  193,38  18  20,/  37  18  19  /,11  1  10,+1  0  +1,62%  50%  73%,130  134  127,28%  25%  31%,4  2  2,4  2  2,0  0  0,12.0,13.0,MrTenzouEz BLUE,,0.98  1.05  0.91,251  247  257,21  11  10,/  19  9  10  /,7  3  4,+2  +2  0,64%  58%  69%,181  188  174,37%  38%  36%,3  1  2,3  2  1,0  -1  +1,Zennakukin BLUE,,1.00  0.88  1.12,186  209  165,18  9  9,/  16  10  6  /,6  3  3,+2  -1  +3,76%  67%  85%,124  135  114,25%  29%  23%,1  0  1,2  1  1,-1  -1  0
3,Meiy BLUE,,0.86  0.58  1.11,155  119  189,26  9  17,/  36  20  16  /,11  5  6,-10  -11  +1,70%  54%  85%,109  88  128,20%  20%  20%,4  1  3,4  4  0,0  -3  +3,,,Meiy BLUE,,0.96  0.86  1.06,186  161  210,15  6  9,/  20  9  11  /,9  4  5,-5  -3  -2,80%  67%  92%,138  123  153,29%  23%  35%,3  1  2,1  1  0,+2  0  +2,GON BLUE,,0.86  0.45  1.24,234  216  251,21  8  13,/  21  12  9  /,8  1  7,0  -4  +4,60%  42%  77%,154  134  173,31%  18%  46%,3  1  2,3  2  1,0  -1  +1
4,Zennakukin BLUE,,0.82  0.88  0.77,165  194  139,31  17  14,/  38  20  18  /,8  4  4,-7  -3  -4,68%  67%  69%,109  123  97,32%  38%  26%,5  1  4,2  1  1,+3  0  +3,,,Zennakukin BLUE,,0.65  0.88  0.43,144  178  114,13  8  5,/  22  10  12  /,2  1  1,-9  -2  -7,60%  67%  54%,95  110  80,48%  57%  38%,4  1  3,0  0  0,+4  +1  +3,Meiy BLUE,,0.75  0.31  1.15,124  77  169,11  3  8,/  16  11  5  /,2  1  1,-5  -8  +3,60%  42%  77%,79  52  104,9%  15%  7%,1  0  1,3  3  0,-2  -3  +1
5,Anthem GREE,,1.22  1.07  1.38,274  274  276,49  25  24,/  37  23  14  /,11  4  7,+12  +2  +10,80%  69%  92%,173  169  177,26%  24%  28%,9  4  5,8  7  1,+1  -3  +4,,,SyouTa GREE,,1.20  1.35  1.05,221  216  226,21  11  10,/  17  8  9  /,7  4  3,+4  +3  +1,72%  69%  75%,158  151  165,36%  38%  33%,1  0  1,2  1  1,-1  -1  0,Anthem GREE,,1.59  1.25  1.96,321  324  319,29  14  15,/  15  11  4  /,5  3  2,+14  +3  +11,80%  69%  92%,204  198  211,26%  24%  29%,4  2  2,0  0  0,+4  +2  +2
6,Flax GREE,,1.05  0.97  1.13,210  186  235,39  17  22,/  35  18  17  /,15  8  7,+4  -1  +5,76%  77%  75%,141  136  146,36%  37%  36%,4  0  4,3  1  2,+1  -1  +2,,,oitaN GREE,,1.04  1.15  0.91,212  225  200,19  11  8,/  16  8  8  /,8  3  5,+3  +3  0,72%  69%  75%,144  152  136,39%  33%  45%,2  1  1,3  0  3,-1  +1  -2,Flax GREE,,1.08  0.81  1.38,203  126  287,20  6  14,/  18  10  8  /,10  4  6,+2  -4  +6,76%  69%  83%,128  87  173,31%  38%  28%,4  0  4,1  1  0,+3  -1  +4
7,xnfri GREE,,1.02  0.95  1.10,173  145  205,30  13  17,/  36  17  19  /,21  11  10,-6  -4  -2,72%  69%  75%,125  100  152,34%  47%  27%,1  1  0,4  3  1,-3  -2  -1,,,Flax GREE,,1.01  1.13  0.88,216  246  184,19  11  8,/  17  8  9  /,5  4  1,+2  +3  -1,76%  85%  67%,153  186  119,42%  36%  53%,0  0  0,2  0  2,-2  0  -2,xnfri GREE,,1.03  0.76  1.33,172  116  233,14  5  9,/  19  10  9  /,15  7  8,-5  -5  0,72%  62%  83%,127  82  175,29%  43%  24%,1  1  0,2  1  1,-1  0  -1
8,SyouTa GREE,,0.96  0.87  1.06,203  183  226,37  17  20,/  38  21  17  /,9  4  5,-1  -4  +3,62%  54%  71%,134  122  148,29%  38%  24%,6  2  4,7  5  2,-1  -3  +2,,,xnfri GREE,,1.00  1.13  0.86,174  173  176,16  8  8,/  17  7  10  /,6  4  2,-1  +1  -2,72%  77%  67%,123  119  128,41%  50%  33%,0  0  0,2  2  0,-2  -2  0,oitaN GREE,,0.89  0.78  1.00,158  149  168,12  5  7,/  17  10  7  /,9  3  6,-5  -5  0,72%  62%  83%,114  110  118,26%  17%  40%,0  0  0,3  2  1,-3  -2  -1
9,oitaN GREE,,0.96  0.96  0.96,185  187  184,31  16  15,/  33  18  15  /,17  6  11,-2  -2  0,72%  65%  79%,129  131  127,32%  25%  43%,2  1  1,6  2  4,-4  -1  -3,,,Anthem GREE,,0.85  0.89  0.81,227  224  232,20  11  9,/  22  12  10  /,6  1  5,-2  -1  -1,80%  69%  92%,142  140  144,26%  24%  27%,5  2  3,8  7  1,-3  -5  +2,SyouTa GREE,,0.72  0.40  1.06,185  149  226,16  6  10,/  21  13  8  /,2  0  2,-5  -7  +2,52%  38%  67%,111  92  131,23%  38%  18%,5  2  3,5  4  1,0  -2  +2
