,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,Nexi NAOS,,1.43  1.36  1.60,291  288  296,37  20  17,/  23  11  12  /,12  4  8,+14  +9  +5,78%  75%  82%,200  209  189,31%  38%  24%,7  3  4,3  2  1,+4  +1  +3,2.0,0.0,Nexi NAOS,,1.33  1.32  1.33,290  281  298,19  8  11,/  14  4  10  /,8  2  6,+5  +4  +1,75%  75%  75%,203  218  193,30%  38%  25%,4  1  3,1  0  1,+3  +1  +2,Nexi NAOS,,1.54  1.40  1.88,292  293  293,18  12  6,/  9  7  2  /,4  2  2,+9  +5  +4,82%  75%  100%,196  202  182,32%  38%  21%,3  2  1,2  2  0,+1  0  +1
1,PapiChulo NAOS,,1.19  0.85  1.73,182  138  228,24  10  14,/  20  11  9  /,15  8  7,+4  -1  +5,76%  65%  88%,125  88  168,31%  41%  27%,3  1  2,3  2  1,0  -1  +1,13.0,7.0,JA NAOS,,1.07  0.58  1.39,259  106  362,16  2  14,/  15  6  9  /,6  1  5,+1  -4  +5,65%  63%  67%,176  67  248,14%  22%  13%,4  1  3,3  2  1,+1  -1  +2,PapiChulo NAOS,,1.32  0.96  2.19,215  157  355,12  7  5,/  8  6  2  /,11  5  6,+4  +1  +3,76%  67%  100%,143  98  253,29%  43%  22%,3  1  2,1  1  0,+2  0  +2
2,Witz NAOS,,1.03  1.05  1.17,211  213  209,28  14  14,/  27  16  11  /,15  10  5,+1  -2  +3,78%  75%  82%,130  134  125,19%  22%  16%,4  2  2,3  3  0,+1  -1  +2,13.0,4.0,PapiChulo NAOS,,1.05  0.74  1.26,148  110  175,12  3  9,/  12  5  7  /,4  3  1,0  -2  +2,75%  63%  83%,108  73  132,34%  38%  33%,0  0  0,2  1  1,-2  -1  -1,tesseract NAOS,,1.07  0.95  1.36,182  193  156,13  9  4,/  12  9  3  /,2  1  1,+1  0  +1,59%  50%  80%,131  138  113,74%  71%  80%,1  1  0,0  0  0,+1  +1  0
3,tesseract NAOS,,1.03  1.23  1.01,174  230  108,27  19  8,/  24  13  11  /,3  1  2,+3  +6  -3,62%  60%  65%,115  149  74,55%  63%  41%,2  1  1,0  0  0,+2  +1  +1,,,Witz NAOS,,1.05  1.25  0.92,208  254  178,15  7  8,/  13  5  8  /,5  1  4,+2  +2  0,80%  75%  83%,127  176  94,17%  22%  13%,4  2  2,1  1  0,+3  +1  +2,Witz NAOS,,1.01  0.85  1.41,214  186  283,13  7  6,/  14  11  3  /,10  9  1,-1  -4  +3,76%  75%  80%,134  107  199,21%  21%  21%,0  0  0,2  2  0,-2  -2  0
4,JA NAOS,,0.99  0.75  1.15,214  142  306,26  9  17,/  27  14  13  /,10  3  7,-1  -5  +4,73%  70%  76%,152  101  211,17%  24%  13%,5  1  4,7  5  2,-2  -4  +2,,,tesseract NAOS,,1.00  1.51  0.66,166  284  88,14  10  4,/  12  4  8  /,1  0  1,+2  +6  -4,65%  75%  58%,101  166  58,40%  54%  25%,1  0  1,0  0  0,+1  0  +1,JA NAOS,,0.91  0.91  0.90,168  166  173,10  7  3,/  12  8  4  /,4  2  2,-2  -1  -1,82%  75%  100%,123  124  122,22%  25%  15%,1  0  1,4  3  1,-3  -3  0
5,Spyko PDM,,1.01  0.73  1.01,209  212  199,24  11  13,/  27  14  13  /,17  9  8,-3  -3  0,62%  59%  65%,121  124  119,22%  30%  17%,7  2  5,4  3  1,+3  -1  +4,,,ventura PDM,,0.96  1.09  0.76,167  186  141,13  9  4,/  15  9  6  /,8  8  0,-2  0  -2,70%  75%  63%,92  97  84,16%  10%  27%,0  0  0,0  0  0,0  0  0,Spyko PDM,,1.16  0.39  1.47,254  176  287,13  2  11,/  12  5  7  /,11  4  7,+1  -3  +4,82%  80%  83%,157  117  174,16%  13%  17%,4  0  4,0  0  0,+4  0  +4
6,ventura PDM,,0.97  1.07  0.85,193  243  147,29  17  12,/  28  14  14  /,14  8  6,+1  +3  -2,73%  82%  65%,107  122  94,24%  16%  35%,1  1  0,0  0  0,+1  +1  0,,,BELOV PDM,,0.94  0.83  1.10,162  153  176,9  5  4,/  13  8  5  /,11  9  2,-4  -3  -1,70%  75%  63%,109  105  114,19%  21%  17%,0  0  0,1  1  0,-1  -1  0,ventura PDM,,0.98  1.05  0.95,218  380  151,16  8  8,/  13  5  8  /,6  0  6,+3  +3  0,76%  100%  67%,124  180  101,31%  24%  40%,1  1  0,0  0  0,+1  +1  0
7,BELOV PDM,,0.87  0.69  1.00,177  157  192,19  7  12,/  27  13  14  /,19  11  8,-8  -6  -2,76%  76%  75%,117  108  125,14%  15%  13%,1  0  1,3  2  1,-2  -2  0,,,Spyko PDM,,0.87  1.07  0.55,163  227  67,11  9  2,/  15  9  6  /,6  5  1,-4  0  -4,45%  50%  38%,91  127  36,38%  43%  20%,3  2  1,4  3  1,-1  -1  0,BELOV PDM,,0.80  0.56  0.90,191  166  202,10  2  8,/  14  5  9  /,8  2  6,-4  -3  -1,82%  80%  83%,127  114  133,10%  6%  11%,1  0  1,2  1  1,-1  -1  0
8,artxsy PDM,,0.78  0.57  0.91,172  146  198,25  10  15,/  28  14  14  /,1  1  0,-3  -4  +1,78%  76%  80%,105  95  114,22%  25%  21%,2  0  2,1  1  0,+1  -1  +2,,,artxsy PDM,,0.83  0.74  0.95,197  166  245,15  8  7,/  15  9  6  /,1  1  0,0  -1  +1,75%  75%  75%,124  108  148,30%  27%  33%,1  0  1,1  1  0,0  -1  +1,artxsy PDM,,0.73  0.40  0.87,146  98  167,10  2  8,/  13  5  8  /,0  0  0,-3  -3  0,82%  80%  83%,83  64  92,15%  17%  14%,1  0  1,0  0  0,+1  0  +1
9,Kaguya PDM,,0.68  0.48  0.74,194  215  184,24  11  13,/  32  16  16  /,9  6  3,-8  -5  -3,68%  76%  60%,121  141  104,22%  14%  34%,5  1  4,13  7  6,-8  -6  -2,,,Kaguya PDM,,0.77  0.82  0.70,249  278  205,18  11  7,/  18  11  7  /,2  2  0,0  0  0,60%  67%  50%,147  173  109,22%  15%  41%,3  1  2,7  4  3,-4  -3  -1,Kaguya PDM,,0.59  0.13  0.79,138  63  170,6  0  6,/  14  5  9  /,7  4  3,-8  -5  -3,76%  100%  67%,90  63  101,23%  13%  28%,2  0  2,6  3  3,-4  -3  -1
