,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Yurii CASE,,1.39  1.27  1.68,248  245  258,16  10  6,/  10  8  2  /,4  3  1,+6  +2  +4,94%  92%  100%,175  161  210,22%  19%  28%,2  2  0,0  0  0,+2  +2  0,1.0,0.0,Yurii CASE,,1.39  1.27  1.68,248  245  258,16  10  6,/  10  8  2  /,4  3  1,+6  +2  +4,94%  92%  100%,175  161  210,22%  19%  28%,2  2  0,0  0  0,+2  +2  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,paTiTek CASE,,1.30  1.33  1.23,212  214  211,15  11  4,/  9  6  3  /,2  1  1,+6  +5  +1,82%  75%  100%,150  150  150,24%  31%  13%,3  2  1,2  2  0,+1  0  +1,13.0,4.0,paTiTek CASE,,1.30  1.33  1.23,212  214  211,15  11  4,/  9  6  3  /,2  1  1,+6  +5  +1,82%  75%  100%,150  150  150,24%  31%  13%,3  2  1,2  2  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Foxie CASE,,1.24  1.34  0.98,201  210  183,12  9  3,/  9  6  3  /,5  3  2,+3  +3  0,71%  75%  60%,137  150  104,41%  43%  38%,0  0  0,0  0  0,0  0  0,,,Foxie CASE,,1.24  1.34  0.98,201  210  183,12  9  3,/  9  6  3  /,5  3  2,+3  +3  0,71%  75%  60%,137  150  104,41%  43%  38%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kiles CASE,,1.21  0.99  1.73,169  139  243,11  7  4,/  9  8  1  /,2  0  2,+2  -1  +3,71%  58%  100%,108  87  159,46%  53%  36%,1  1  0,0  0  0,+1  +1  0,,,Kiles CASE,,1.21  0.99  1.73,169  139  243,11  7  4,/  9  8  1  /,2  0  2,+2  -1  +3,71%  58%  100%,108  87  159,46%  53%  36%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H1ber CASE,,1.14  0.76  2.07,236  177  380,15  7  8,/  12  9  3  /,2  2  0,+3  -2  +5,76%  75%  80%,166  122  273,29%  23%  40%,5  2  3,4  3  1,+1  -1  +2,,,H1ber CASE,,1.14  0.76  2.07,236  177  380,15  7  8,/  12  9  3  /,2  2  0,+3  -2  +5,76%  75%  80%,166  122  273,29%  23%  40%,5  2  3,4  3  1,+1  -1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1mpala WYG,,0.81  0.79  0.81,219  296  188,14  5  9,/  13  5  8  /,3  1  2,+1  0  +1,71%  60%  75%,133  161  121,29%  33%  27%,0  0  0,2  2  0,-2  -2  0,,,1mpala WYG,,0.81  0.79  0.81,219  296  188,14  5  9,/  13  5  8  /,3  1  2,+1  0  +1,71%  60%  75%,133  161  121,29%  33%  27%,0  0  0,2  2  0,-2  -2  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hardez WYG,,0.78  0.02  1.14,167  27  226,10  0  10,/  13  5  8  /,4  1  3,-3  -5  +2,59%  20%  75%,124  22  167,29%  0%  32%,1  0  1,0  0  0,+1  0  +1,,,Hardez WYG,,0.78  0.02  1.14,167  27  226,10  0  10,/  13  5  8  /,4  1  3,-3  -5  +2,59%  20%  75%,124  22  167,29%  0%  32%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ThoR WYG,,0.77  0.79  0.76,162  197  148,10  4  6,/  13  5  8  /,5  0  5,-3  -1  -2,59%  40%  67%,103  105  102,21%  57%  11%,2  1  1,3  1  2,-1  0  -1,,,ThoR WYG,,0.77  0.79  0.76,162  197  148,10  4  6,/  13  5  8  /,5  0  5,-3  -1  -2,59%  40%  67%,103  105  102,21%  57%  11%,2  1  1,3  1  2,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,efestk1ng WYG,,0.69  0.06  0.95,152  59  192,9  1  8,/  14  5  9  /,2  0  2,-5  -4  -1,53%  40%  58%,97  55  115,27%  25%  27%,1  0  1,2  1  1,-1  -1  0,,,efestk1ng WYG,,0.69  0.06  0.95,152  59  192,9  1  8,/  14  5  9  /,2  0  2,-5  -4  -1,53%  40%  58%,97  55  115,27%  25%  27%,1  0  1,2  1  1,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,YEaHzZ WYG,,0.43  0.40  0.45,116  127  113,6  2  4,/  16  5  11  /,4  2  2,-10  -3  -7,65%  100%  50%,82  102  73,12%  38%  6%,2  0  2,4  0  4,-2  0  -2,,,YEaHzZ WYG,,0.43  0.40  0.45,116  127  113,6  2  4,/  16  5  11  /,4  2  2,-10  -3  -7,65%  100%  50%,82  102  73,12%  38%  6%,2  0  2,4  0  4,-2  0  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Buld GN,,1.55  1.69  1.51,267  231  277,31  5  26,/  12  1  11  /,9  4  5,+19  +4  +15,90%  100%  88%,156  149  158,18%  25%  16%,4  0  4,3  0  3,+1  0  +1,2.0,0.0,Buld GN,,1.87  1.67  1.92,317  296  322,19  3  16,/  4  1  3  /,5  3  2,+15  +2  +13,100%  100%  100%,180  213  172,19%  31%  16%,2  0  2,0  0  0,+2  0  +2,zeek GN,,1.53  1.87  1.45,282  271  285,16  3  13,/  10  2  8  /,8  4  4,+6  +1  +5,80%  100%  75%,180  172  182,28%  30%  28%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
12,PROFEK GN,,1.50  2.39  1.27,257  401  221,31  10  21,/  15  1  14  /,8  2  6,+16  +9  +7,80%  100%  75%,160  235  141,36%  42%  33%,6  2  4,0  0  0,+6  +2  +4,13.0,2.0,PROFEK GN,,1.53  2.17  1.36,287  359  270,17  4  13,/  9  1  8  /,3  1  2,+8  +3  +5,80%  100%  75%,168  212  157,39%  38%  40%,5  2  3,0  0  0,+5  +2  +3,PROFEK GN,,1.47  2.61  1.18,226  444  172,14  6  8,/  6  0  6  /,5  1  4,+8  +6  +2,80%  100%  75%,152  258  126,33%  45%  27%,1  0  1,0  0  0,+1  0  +1,,,,,,,,,,,,,,
13,zeek GN,,1.38  1.66  1.31,271  281  268,31  7  24,/  20  5  15  /,11  4  7,+11  +2  +9,80%  100%  75%,174  163  177,23%  24%  23%,2  1  1,2  0  2,0  +1  -1,13.0,2.0,tsack GN,,1.28  1.91  1.12,181  242  167,9  3  6,/  7  1  6  /,6  1  5,+2  +2  0,100%  100%  100%,134  177  123,26%  33%  24%,1  0  1,1  0  1,0  0  0,tsack GN,,1.28  0.70  1.43,227  116  255,12  1  11,/  8  2  6  /,7  1  6,+4  -1  +5,87%  100%  83%,138  90  150,14%  29%  12%,2  0  2,5  2  3,-3  -2  -1,,,,,,,,,,,,,,
14,tsack GN,,1.28  1.31  1.27,204  179  211,21  4  17,/  15  3  12  /,13  2  11,+6  +1  +5,93%  100%  92%,136  134  137,19%  31%  17%,3  0  3,6  2  4,-3  -2  -1,,,zeek GN,,1.23  1.44  1.17,259  292  251,15  4  11,/  10  3  7  /,3  0  3,+5  +1  +4,80%  100%  75%,168  153  172,18%  14%  18%,1  1  0,2  0  2,-1  +1  -2,Buld GN,,1.22  1.72  1.10,217  166  231,12  2  10,/  8  0  8  /,4  1  3,+4  +2  +2,80%  100%  75%,132  85  144,16%  14%  17%,2  0  2,3  0  3,-1  0  -1,,,,,,,,,,,,,,
15,Chadi GN,,1.03  0.78  1.10,181  157  187,20  4  16,/  18  4  14  /,10  2  8,+2  0  +2,77%  83%  75%,115  80  124,44%  33%  47%,4  1  3,0  0  0,+4  +1  +3,,,Chadi GN,,1.00  0.29  1.17,192  87  219,10  1  9,/  10  3  7  /,8  2  6,0  -2  +2,87%  100%  83%,120  35  141,53%  100%  50%,3  0  3,0  0  0,+3  0  +3,Chadi GN,,1.07  1.28  1.02,169  227  155,10  3  7,/  8  1  7  /,2  0  2,+2  +2  0,67%  67%  67%,110  124  107,36%  25%  43%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,
16,jurca ORT,,0.84  1.00  0.27,208  231  113,21  19  2,/  25  19  6  /,11  10  1,-4  0  -4,67%  75%  33%,135  145  93,31%  32%  27%,0  0  0,4  2  2,-4  -2  -2,,,Hitch ORT,,0.82  0.76  1.06,240  208  373,13  9  4,/  14  11  3  /,1  0  1,-1  -2  +1,60%  50%  100%,151  134  219,33%  26%  47%,1  1  0,1  1  0,0  0  0,jurca ORT,,0.96  1.24  0.02,229  287,12  12  0,/  12  9  3  /,7  7  0,0  +3  -3,73%  92%,136  171,23%  23%,0  0  0,2  1  1,-2  -1  -1,,,,,,,,,,,,,,
17,ara ORT,,0.71  0.73  0.63,199  186  254,17  13  4,/  28  22  6  /,8  6  2,-11  -9  -2,63%  67%  50%,132  121  176,34%  33%  36%,5  4  1,8  7  1,-3  -3  0,,,ara ORT,,0.73  0.83  0.32,192  199  168,8  7  1,/  14  11  3  /,5  3  2,-6  -4  -2,60%  67%  33%,143  145  133,31%  29%  40%,1  1  0,4  3  1,-3  -2  -1,ara ORT,,0.70  0.64  0.95,206  173  341,9  6  3,/  14  11  3  /,3  3  0,-5  -5  0,67%  67%  67%,122  98  219,38%  40%  33%,4  3  1,4  4  0,0  -1  +1,,,,,,,,,,,,,,
18,Hitch ORT,,0.66  0.65  0.71,168  143  271,17  12  5,/  26  20  6  /,3  1  2,-9  -8  -1,60%  54%  83%,113  99  173,25%  23%  27%,2  1  1,2  2  0,0  -1  +1,,,jurca ORT,,0.71  0.76  0.53,186  176  227,9  7  2,/  13  10  3  /,4  3  1,-4  -3  -1,60%  58%  67%,133  119  186,44%  57%  27%,0  0  0,2  1  1,-2  -1  -1,hussaR ORT,,0.69  0.79  0.27,162  177  103,8  7  1,/  13  10  3  /,4  4  0,-5  -3  -2,60%  67%  33%,122  136  67,19%  19%  25%,2  2  0,0  0  0,+2  +2  0,,,,,,,,,,,,,,
19,hussaR ORT,,0.56  0.61  0.39,135  142  105,12  10  2,/  28  22  6  /,8  6  2,-16  -12  -4,57%  54%  67%,102  111  65,16%  17%  11%,3  3  0,3  2  1,0  +1  -1,,,hussaR ORT,,0.44  0.42  0.51,107  108  106,4  3  1,/  15  12  3  /,4  2  2,-11  -9  -2,53%  42%  100%,81  86  63,12%  14%  0%,1  1  0,3  2  1,-2  -1  -1,arbie ORT,,0.59  0.64  0.36,141  154  90,7  7  0,/  13  10  3  /,3  0  3,-6  -3  -3,53%  50%  67%,88  94  65,21%  33%  7%,1  1  0,0  0  0,+1  +1  0,,,,,,,,,,,,,,
20,arbie ORT,,0.51  0.55  0.33,128  139  81,13  12  1,/  27  21  6  /,9  5  4,-14  -9  -5,53%  54%  50%,81  89  48,23%  31%  11%,1  1  0,2  2  0,-1  -1  0,,,arbie ORT,,0.43  0.46  0.30,114  125  73,6  5  1,/  14  11  3  /,6  5  1,-8  -6  -2,53%  58%  33%,74  85  31,28%  29%  25%,0  0  0,2  2  0,-2  -2  0,Hitch ORT,,0.51  0.55  0.35,96  78  168,4  3  1,/  12  9  3  /,2  1  1,-8  -6  -2,60%  58%  67%,76  64  126,8%  15%  0%,1  0  1,1  1  0,0  -1  +1,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,zeddy KPI,,1.10  1.06  1.14,236  221  254,19  10  9,/  15  10  5  /,4  2  2,+4  0  +4,77%  75%  80%,131  113  152,50%  35%  67%,2  2  0,1  0  1,+1  +2  -1,0.0,1.0,zeddy KPI,,1.10  1.06  1.14,236  221  254,19  10  9,/  15  10  5  /,4  2  2,+4  0  +4,77%  75%  80%,131  113  152,50%  35%  67%,2  2  0,1  0  1,+1  +2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
