,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,Alfajer FNC,,1.06  0.95  1.10,222  234  231,33  15  18,/  28  13  15  /,7  4  3,+5  +2  +3,74%  74%  75%,159  172  148,23%  19%  27%,3  2  1,2  0  2,+1  +2  -1,0.0,2.0,Alfajer FNC,,1.31  1.41  1.21,313  318  308,25  13  12,/  16  8  8  /,5  4  1,+9  +5  +4,83%  92%  75%,214  230  199,26%  19%  33%,1  1  0,0  0  0,+1  +1  0,Derke FNC,,1.12  0.44  1.52,240  145  296,16  4  12,/  13  6  7  /,1  0  1,+3  -2  +5,63%  57%  67%,173  92  220,15%  9%  17%,6  3  3,5  3  2,+1  0  +1
1,Derke FNC,,1.00  0.49  1.38,211  133  267,29  9  20,/  29  15  14  /,6  1  5,0  -6  +6,56%  47%  63%,142  87  185,15%  26%  11%,14  5  9,10  7  3,+4  -2  +6,11.0,13.0,Leo FNC,,1.14  1.21  1.08,169  192  147,17  9  8,/  15  8  7  /,7  4  3,+2  +1  +1,79%  92%  67%,112  127  98,20%  24%  17%,0  0  0,1  0  1,-1  0  -1,Boaster FNC,,1.03  0.67  1.25,192  121  235,11  3  8,/  13  5  8  /,8  2  6,-2  -2  0,74%  86%  67%,126  80  152,18%  25%  17%,2  0  2,0  0  0,+2  0  +2
2,Leo FNC,,0.99  1.03  0.94,171  194  152,29  13  16,/  28  14  14  /,10  5  5,+1  -1  +2,74%  84%  67%,117  130  107,20%  20%  19%,0  0  0,2  0  2,-2  0  -2,6.0,13.0,Derke FNC,,0.88  0.54  1.23,181  126  238,13  5  8,/  16  9  7  /,5  1  4,-3  -4  +1,50%  42%  58%,117  84  150,16%  42%  4%,8  2  6,5  4  1,+3  -2  +5,Leo FNC,,0.83  0.86  0.81,172  198  157,12  4  8,/  13  6  7  /,3  1  2,-1  -2  +1,68%  71%  67%,123  136  115,20%  17%  22%,0  0  0,1  0  1,-1  0  -1
3,Boaster FNC,,0.90  0.68  1.04,162  127  185,21  9  12,/  30  14  16  /,18  6  12,-9  -5  -4,58%  58%  58%,104  85  119,16%  23%  14%,4  0  4,5  3  2,-1  -3  +2,,,Chronicle FNC,,0.83  0.62  1.03,183  175  192,15  7  8,/  20  11  9  /,14  6  8,-5  -4  -1,71%  67%  75%,114  97  131,20%  18%  21%,1  1  0,1  1  0,0  0  0,Alfajer FNC,,0.81  0.50  0.99,130  89  155,8  2  6,/  12  5  7  /,2  0  2,-4  -3  -1,63%  43%  75%,88  72  98,17%  20%  14%,2  1  1,2  0  2,0  +1  -1
4,Chronicle FNC,,0.67  0.67  0.71,141  165  131,19  9  10,/  34  16  18  /,19  9  10,-15  -7  -8,63%  68%  58%,99  104  95,18%  15%  20%,1  1  0,2  1  1,-1  0  -1,,,Boaster FNC,,0.76  0.69  0.83,132  130  135,10  6  4,/  17  9  8  /,10  4  6,-7  -3  -4,46%  42%  50%,86  88  85,14%  22%  8%,2  0  2,5  3  2,-3  -3  0,Chronicle FNC,,0.51  0.72  0.39,98  149  70,4  2  2,/  14  5  9  /,5  3  2,-10  -3  -7,53%  71%  42%,80  116  59,14%  12%  17%,0  0  0,1  0  1,-1  0  -1
5,aspas LOUD,,1.33  1.36  1.25,234  216  260,38  20  18,/  25  14  11  /,9  5  4,+13  +6  +7,79%  71%  89%,147  135  162,27%  22%  37%,6  2  4,2  2  0,+4  0  +4,,,cauanzin LOUD,,1.38  1.54  1.23,264  292  236,22  12  10,/  13  6  7  /,7  3  4,+9  +6  +3,88%  92%  83%,173  197  150,26%  29%  23%,3  1  2,0  0  0,+3  +1  +2,aspas LOUD,,1.44  1.60  1.17,216  233  188,15  10  5,/  8  6  2  /,3  2  1,+7  +4  +3,79%  75%  86%,152  167  126,26%  21%  40%,2  1  1,0  0  0,+2  +1  +1
6,Less LOUD,,1.23  1.05  1.49,223  214  230,34  18  16,/  25  16  9  /,5  5  0,+9  +2  +7,70%  71%  68%,146  135  159,31%  31%  31%,5  3  2,6  4  2,-1  -1  0,,,aspas LOUD,,1.23  1.12  1.34,251  200  302,23  10  13,/  17  8  9  /,6  3  3,+6  +2  +4,79%  67%  92%,143  103  184,29%  24%  35%,4  1  3,2  2  0,+2  -1  +3,Less LOUD,,1.39  1.18  1.75,237  235  243,17  11  6,/  9  7  2  /,1  1  0,+8  +4  +4,74%  75%  71%,156  146  172,42%  35%  54%,1  1  0,2  1  1,-1  0  -1
7,cauanzin LOUD,,1.17  1.17  1.22,220  227  223,35  20  15,/  25  15  10  /,13  5  8,+10  +5  +5,79%  79%  79%,140  143  136,26%  31%  21%,5  2  3,1  1  0,+4  +1  +3,,,Less LOUD,,1.06  0.91  1.22,208  194  223,17  7  10,/  16  9  7  /,4  4  0,+1  -2  +3,67%  67%  67%,138  125  151,25%  28%  22%,4  2  2,4  3  1,0  -1  +1,tuyz LOUD,,1.03  0.78  1.46,159  121  225,10  5  5,/  10  8  2  /,14  8  6,0  -3  +3,79%  67%  100%,109  66  183,30%  25%  33%,2  1  1,3  2  1,-1  -1  0
8,tuyz LOUD,,0.96  0.88  1.13,136  129  139,20  11  9,/  24  15  9  /,26  14  12,-4  -4  0,74%  67%  84%,94  86  103,31%  29%  32%,2  1  1,5  3  2,-3  -2  -1,,,tuyz LOUD,,0.90  0.98  0.81,112  137  89,10  6  4,/  14  7  7  /,12  6  6,-4  -1  -3,71%  67%  75%,81  107  56,31%  32%  30%,0  0  0,2  1  1,-2  -1  -1,cauanzin LOUD,,0.95  0.81  1.21,175  162  200,13  8  5,/  12  9  3  /,6  2  4,+1  -1  +2,68%  67%  71%,97  89  112,27%  35%  15%,2  1  1,1  1  0,+1  0  +1
9,saadhak LOUD,,0.81  0.55  1.11,166  141  201,22  10  12,/  32  20  12  /,20  6  14,-10  -10  0,65%  54%  79%,110  88  138,14%  11%  15%,3  2  1,8  4  4,-5  -2  -3,,,saadhak LOUD,,0.83  0.48  1.19,178  117  239,12  4  8,/  20  10  10  /,18  5  13,-8  -6  -2,63%  42%  83%,109  68  150,12%  8%  14%,1  0  1,4  2  2,-3  -2  -1,saadhak LOUD,,0.78  0.63  1.04,154  165  137,10  6  4,/  12  10  2  /,2  1  1,-2  -4  +2,68%  67%  71%,111  108  117,18%  16%  20%,2  2  0,4  2  2,-2  0  -2
