,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Life ASE,,,201.0,29.0,/  35  /,4.0,-6.0,,,,,,,0.0,2.0,monk ASE,,,143.0,7.0,/  14  /,4.0,-7.0,,,,,,,Life ASE,,,285.0,23.0,/  20  /,2.0,3.0,,,,,,,,,,,,,,,,,,,,
1,bunt ASE,,,161.0,23.0,/  32  /,23.0,-9.0,,,,,,,3.0,13.0,Zero1 ASE,,,128.0,6.0,/  14  /,4.0,-8.0,,,,,,,bunt ASE,,,206.0,17.0,/  19  /,13.0,-2.0,,,,,,,,,,,,,,,,,,,,
2,hfmi0dzjc9z7 ASE,,,154.0,22.0,/  30  /,8.0,-8.0,,,,,,,10.0,13.0,hfmi0dzjc9z7 ASE,,,119.0,5.0,/  15  /,2.0,-10.0,,,,,,,hfmi0dzjc9z7 ASE,,,188.0,17.0,/  15  /,6.0,2.0,,,,,,,,,,,,,,,,,,,,
3,monk ASE,,,150.0,18.0,/  34  /,15.0,-16.0,,,,,,,,,Life ASE,,,117.0,6.0,/  15  /,2.0,-9.0,,,,,,,monk ASE,,,157.0,11.0,/  20  /,11.0,-9.0,,,,,,,,,,,,,,,,,,,,
4,Zero1 ASE,,,128.0,18.0,/  31  /,8.0,-13.0,,,,,,,,,bunt ASE,,,115.0,6.0,/  13  /,10.0,-7.0,,,,,,,Zero1 ASE,,,128.0,12.0,/  17  /,4.0,-5.0,,,,,,,,,,,,,,,,,,,,
5,stew RA,,,304.0,44.0,/  25  /,8.0,19.0,,,,,,,,,stew RA,,,361.0,22.0,/  6  /,3.0,16.0,,,,,,,YiHao RA,,,252.0,24.0,/  14  /,6.0,10.0,,,,,,,,,,,,,,,,,,,,
6,YiHao RA,,,224.0,35.0,/  21  /,14.0,14.0,,,,,,,,,Viva RA,,,208.0,13.0,/  6  /,4.0,7.0,,,,,,,stew RA,,,247.0,22.0,/  19  /,5.0,3.0,,,,,,,,,,,,,,,,,,,,
7,yoman RA,,,220.0,35.0,/  19  /,10.0,16.0,,,,,,,,,yoman RA,,,204.0,14.0,/  4  /,6.0,10.0,,,,,,,yoman RA,,,235.0,21.0,/  15  /,4.0,6.0,,,,,,,,,,,,,,,,,,,,
8,MarT1n RA,,,196.0,24.0,/  25  /,22.0,-1.0,,,,,,,,,MarT1n RA,,,204.0,11.0,/  7  /,11.0,4.0,,,,,,,MarT1n RA,,,187.0,13.0,/  18  /,11.0,-5.0,,,,,,,,,,,,,,,,,,,,
9,Viva RA,,,187.0,24.0,/  21  /,15.0,3.0,,,,,,,,,YiHao RA,,,195.0,11.0,/  7  /,8.0,4.0,,,,,,,Viva RA,,,166.0,11.0,/  15  /,11.0,-4.0,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Knight BLG,,,222.0,31.0,/  30  /,19.0,1.0,,,,,,,0.0,2.0,Knight BLG,,,281.0,22.0,/  16  /,8.0,6.0,,,,,,,Biank BLG,,,203.0,12.0,/  17  /,3.0,-5.0,,,,,,,,,,,,,,,,,,,,
12,whzy BLG,,,216.0,32.0,/  31  /,7.0,1.0,,,,,,,10.0,13.0,whzy BLG,,,271.0,21.0,/  17  /,6.0,4.0,,,,,,,rin BLG,,,163.0,9.0,/  14  /,13.0,-5.0,,,,,,,,,,,,,,,,,,,,
13,Biank BLG,,,182.0,26.0,/  33  /,11.0,-7.0,,,,,,,5.0,13.0,rin BLG,,,170.0,13.0,/  20  /,6.0,-7.0,,,,,,,Knight BLG,,,163.0,9.0,/  14  /,11.0,-5.0,,,,,,,,,,,,,,,,,,,,
14,rin BLG,,,167.0,22.0,/  34  /,19.0,-12.0,,,,,,,,,Biank BLG,,,160.0,14.0,/  16  /,8.0,-2.0,,,,,,,whzy BLG,,,160.0,11.0,/  14  /,1.0,-3.0,,,,,,,,,,,,,,,,,,,,
15,Levius BLG,,,144.0,18.0,/  32  /,11.0,-14.0,,,,,,,,,Levius BLG,,,134.0,10.0,/  18  /,9.0,-8.0,,,,,,,Levius BLG,,,154.0,8.0,/  14  /,2.0,-6.0,,,,,,,,,,,,,,,,,,,,
16,Kai TE,,,271.0,40.0,/  30  /,6.0,10.0,,,,,,,,,FengF TE,,,255.0,20.0,/  17  /,6.0,3.0,,,,,,,Kai TE,,,328.0,21.0,/  12  /,4.0,9.0,,,,,,,,,,,,,,,,,,,,
17,FengF TE,,,241.0,33.0,/  29  /,14.0,4.0,,,,,,,,,HeiB TE,,,215.0,17.0,/  13  /,7.0,4.0,,,,,,,YOU TE,,,294.0,22.0,/  8  /,3.0,14.0,,,,,,,,,,,,,,,,,,,,
18,YOU TE,,,240.0,37.0,/  25  /,12.0,12.0,,,,,,,,,Kai TE,,,214.0,19.0,/  18  /,2.0,1.0,,,,,,,FengF TE,,,227.0,13.0,/  12  /,8.0,1.0,,,,,,,,,,,,,,,,,,,,
19,HeiB TE,,,177.0,27.0,/  21  /,19.0,6.0,,,,,,,,,Flex1n TE,,,189.0,16.0,/  15  /,14.0,1.0,,,,,,,HeiB TE,,,139.0,10.0,/  8  /,12.0,2.0,,,,,,,,,,,,,,,,,,,,
20,Flex1n TE,,,153.0,23.0,/  24  /,24.0,-1.0,,,,,,,,,YOU TE,,,186.0,15.0,/  17  /,9.0,-2.0,,,,,,,Flex1n TE,,,116.0,7.0,/  9  /,10.0,-2.0,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kohliii ASTR,,1.30  1.14  1.42,242  225  252,58  25  33,/  46  25  21  /,40  17  23,+12  0  +12,79%  74%  84%,164  154  173,25%  30%  22%,7  4  3,2  1  1,+5  +3  +2,2.0,1.0,Kohliii ASTR,,1.38  1.14  1.62,274  260  289,25  11  14,/  20  12  8  /,18  8  10,+5  -1  +6,81%  85%  77%,183  176  191,33%  34%  32%,3  2  1,0  0  0,+3  +2  +1,Kishi ASTR,,1.28  1.81  0.75,261  366  156,24  18  6,/  17  7  10  /,4  0  4,+7  +11  -4,62%  69%  54%,175  246  104,22%  23%  20%,4  4  0,5  2  3,-1  +2  -3,LeVi ASTR,,1.56  1.18  1.82,299  280  312,22  8  14,/  10  5  5  /,6  2  4,+12  +3  +9,75%  63%  83%,201  191  208,30%  29%  31%,3  0  3,2  2  0,+1  -2  +3
23,LeVi ASTR,,1.19  1.13  1.21,229  209  237,55  24  31,/  48  21  27  /,37  21  16,+7  +3  +4,74%  65%  82%,149  140  157,26%  27%  26%,9  2  7,9  6  3,0  -4  +4,12.0,14.0,Kishi ASTR,,0.99  0.96  1.01,250  239  262,24  11  13,/  20  11  9  /,2  1  1,+4  0  +4,65%  54%  77%,149  140  157,39%  36%  42%,6  3  3,7  3  4,-1  0  -1,LeVi ASTR,,1.16  1.51  0.81,236  273  201,19  11  8,/  19  7  12  /,20  14  6,0  +4  -4,69%  77%  62%,150  167  134,19%  24%  14%,4  1  3,4  2  2,0  -1  +1,Kohliii ASTR,,1.42  1.13  1.61,277  244  300,20  7  13,/  12  7  5  /,7  3  4,+8  0  +8,85%  63%  100%,187  157  206,21%  33%  17%,2  1  1,0  0  0,+2  +1  +1
24,Kishi ASTR,,1.07  1.10  1.00,228  262  207,59  32  27,/  51  25  26  /,12  3  9,+8  +7  +1,67%  62%  71%,150  168  133,28%  28%  28%,14  8  6,14  6  8,0  +2  -2,14.0,12.0,Rio ASTR,,0.92  1.13  0.70,172  199  147,18  10  8,/  18  9  9  /,4  3  1,0  +1  -1,73%  77%  69%,127  155  99,62%  58%  70%,1  1  0,1  0  1,0  +1  -1,Kohliii ASTR,,1.10  1.16  1.04,174  179  170,13  7  6,/  14  6  8  /,15  6  9,-1  +1  -2,73%  69%  77%,128  131  125,21%  24%  20%,2  1  1,2  1  1,0  0  0,DOXZ3R ASTR,,1.20  0.86  1.43,243  212  264,18  6  12,/  13  6  7  /,4  1  3,+5  0  +5,80%  50%  100%,155  138  167,30%  54%  21%,4  1  3,3  2  1,+1  -1  +2
25,Rio ASTR,,1.01  1.00  1.03,169  163  177,45  19  26,/  45  21  24  /,12  7  5,0  -2  +2,75%  76%  74%,116  116  116,32%  38%  28%,3  1  2,1  0  1,+2  +1  +1,13.0,7.0,LeVi ASTR,,0.86  0.70  1.01,153  102  204,14  5  9,/  19  9  10  /,11  5  6,-5  -4  -1,77%  54%  100%,107  81  132,33%  31%  35%,2  1  1,3  2  1,-1  -1  0,Rio ASTR,,1.05  0.74  1.36,178  75  281,16  3  13,/  15  6  9  /,3  1  2,+1  -3  +4,77%  85%  69%,115  52  177,17%  25%  16%,2  0  2,0  0  0,+2  0  +2,Rio ASTR,,1.06  1.12  1.02,157  249  97,11  6  5,/  12  6  6  /,5  3  2,-1  0  -1,75%  63%  83%,103  157  67,31%  25%  44%,0  0  0,0  0  0,0  0  0
26,DOXZ3R ASTR,,0.97  0.84  1.06,206  185  220,53  22  31,/  55  26  29  /,11  4  7,-2  -4  +2,74%  59%  87%,130  126  133,23%  27%  20%,8  3  5,5  3  2,+3  0  +3,,,DOXZ3R ASTR,,0.68  0.63  0.73,141  109  173,11  4  7,/  21  10  11  /,5  2  3,-10  -6  -4,69%  54%  85%,93  84  102,20%  20%  21%,2  0  2,1  1  0,+1  -1  +2,DOXZ3R ASTR,,1.02  1.02  1.02,235  244  227,24  12  12,/  21  10  11  /,2  1  1,+3  +2  +1,73%  69%  77%,147  161  133,20%  23%  18%,2  2  0,1  0  1,+1  +2  -1,Kishi ASTR,,0.94  0.52  1.23,174  132  203,11  3  8,/  14  7  7  /,6  2  4,-3  -4  +1,75%  63%  83%,119  88  139,26%  30%  24%,4  1  3,2  1  1,+2  0  +2
27,blackhawk MDL,,0.96  0.81  1.15,172  153  192,46  23  23,/  51  28  23  /,18  8  10,-5  -5  0,71%  71%  71%,116  108  125,30%  28%  32%,3  1  2,4  3  1,-1  -2  +1,,,Whimp MDL,,1.25  1.11  1.39,249  267  231,22  12  10,/  17  10  7  /,15  6  9,+5  +2  +3,92%  100%  85%,145  168  122,19%  22%  15%,1  0  1,2  1  1,-1  -1  0,blackhawk MDL,,1.02  1.03  1.01,186  176  197,17  8  9,/  19  9  10  /,9  5  4,-2  -1  -1,69%  77%  62%,143  147  139,34%  36%  32%,3  1  2,1  1  0,+2  0  +2,blackhawk MDL,,0.87  0.55  1.35,184  155  228,14  9  5,/  16  10  6  /,5  1  4,-2  -1  -1,65%  58%  75%,110  89  141,20%  19%  22%,0  0  0,2  2  0,-2  -2  0
28,ezzy MDL,,0.93  1.05  0.84,208  217  212,55  31  24,/  53  27  26  /,20  12  8,+2  +4  -2,74%  79%  68%,140  147  132,31%  28%  35%,3  1  2,4  1  3,-1  0  -1,,,ezzy MDL,,1.19  1.37  1.00,273  267  280,26  13  13,/  17  8  9  /,7  4  3,+9  +5  +4,92%  92%  92%,173  186  160,34%  29%  41%,1  0  1,2  0  2,-1  0  -1,ezzy MDL,,1.02  1.28  0.76,210  232  189,20  12  8,/  19  8  11  /,6  2  4,+1  +4  -3,73%  85%  62%,139  157  122,30%  34%  25%,2  1  1,1  0  1,+1  +1  0,1TaPGoD MDL,,0.79  0.43  1.34,174  126  246,12  5  7,/  14  10  4  /,4  2  2,-2  -5  +3,70%  50%  100%,109  86  143,19%  19%  20%,3  0  3,2  2  0,+1  -2  +3
29,Whimp MDL,,0.90  0.84  0.97,206  214  199,53  28  25,/  54  30  24  /,22  10  12,-1  -2  +1,74%  76%  71%,128  141  113,21%  23%  19%,5  3  2,10  6  4,-5  -3  -2,,,1TaPGoD MDL,,1.00  1.19  0.80,223  280  167,20  12  8,/  22  12  10  /,6  3  3,-2  0  -2,69%  62%  77%,157  190  123,35%  48%  19%,8  6  2,5  3  2,+3  +3  0,Paradox MDL,,0.96  0.99  0.93,206  232  180,16  10  6,/  20  10  10  /,14  5  9,-4  0  -4,73%  69%  77%,143  145  141,23%  20%  27%,3  2  1,5  3  2,-2  -1  -1,Paradox MDL,,0.76  0.67  0.89,177  147  223,12  6  6,/  17  10  7  /,6  5  1,-5  -4  -1,60%  58%  63%,114  84  160,19%  17%  20%,3  1  2,4  2  2,-1  -1  0
