,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Alfajer FNC,,1.62  1.40  2.06,303  270  356,45  23  22,/  19  13  6  /,2  2  0,+26  +10  +16,83%  79%  88%,202  185  227,30%  26%  36%,9  5  4,5  4  1,+4  +1  +3,2.0,0.0,Alfajer FNC,,1.67  1.25  2.53,291  188  498,19  8  11,/  9  6  3  /,2  2  0,+10  +2  +8,83%  75%  100%,194  141  299,29%  32%  27%,5  2  3,2  2  0,+3  0  +3,Alfajer FNC,,1.57  1.56  1.59,314  352  271,26  15  11,/  10  7  3  /,0  0  0,+16  +8  +8,82%  83%  80%,208  229  184,30%  23%  42%,4  3  1,3  2  1,+1  +1  0,,,,,,,,,,,,,,
1,Chronicle FNC,,1.31  1.21  1.34,207  201  222,30  17  13,/  17  10  7  /,16  8  8,+13  +7  +6,80%  75%  88%,136  136  136,26%  28%  23%,5  2  3,0  0  0,+5  +2  +3,13.0,5.0,Derke FNC,,1.23  1.36  0.98,275  318  191,17  12  5,/  13  8  5  /,4  3  1,+4  +4  0,67%  75%  50%,181  211  121,30%  32%  23%,6  5  1,3  3  0,+3  +2  +1,Chronicle FNC,,1.40  0.95  1.94,222  190  263,17  7  10,/  9  7  2  /,11  4  7,+8  0  +8,86%  75%  100%,141  135  147,22%  19%  24%,4  2  2,0  0  0,+4  +2  +2,,,,,,,,,,,,,,
2,Leo FNC,,1.19  1.02  1.32,188  166  233,26  14  12,/  18  14  4  /,21  12  9,+8  0  +8,83%  79%  88%,121  100  152,28%  29%  26%,2  0  2,0  0  0,+2  0  +2,13.0,9.0,Chronicle FNC,,1.22  1.46  0.73,192  212  153,13  10  3,/  8  3  5  /,5  4  1,+5  +7  -2,72%  75%  67%,130  137  117,31%  38%  22%,1  0  1,0  0  0,+1  0  +1,Leo FNC,,1.36  0.84  1.99,228  154  318,17  6  11,/  10  8  2  /,9  4  5,+7  -2  +9,77%  67%  90%,150  101  209,39%  50%  33%,2  0  2,0  0  0,+2  0  +2,,,,,,,,,,,,,,
3,Derke FNC,,1.09  1.10  1.03,226  257  167,31  20  11,/  26  17  9  /,5  3  2,+5  +3  +2,68%  67%  69%,147  173  108,28%  30%  25%,9  8  1,5  4  1,+4  +4  0,,,Leo FNC,,1.01  1.20  0.65,148  178  90,9  8  1,/  8  6  2  /,12  8  4,+1  +2  -1,89%  92%  83%,85  99  57,15%  17%  10%,0  0  0,0  0  0,0  0  0,Derke FNC,,0.96  0.85  1.09,176  195  153,14  8  6,/  13  9  4  /,1  0  1,+1  -1  +2,68%  58%  80%,119  135  100,26%  26%  29%,3  3  0,2  1  1,+1  +2  -1,,,,,,,,,,,,,,
4,Boaster FNC,,0.96  0.97  0.84,146  138  157,20  11  9,/  24  13  11  /,14  7  7,-4  -2  -2,73%  75%  69%,85  84  86,31%  35%  24%,4  0  4,1  1  0,+3  -1  +4,,,Boaster FNC,,1.00  1.25  0.49,147  170  103,9  7  2,/  11  5  6  /,7  4  3,-2  +2  -4,72%  83%  50%,84  99  54,24%  29%  13%,1  0  1,0  0  0,+1  0  +1,Boaster FNC,,0.92  0.69  1.20,144  106  189,11  4  7,/  13  8  5  /,7  3  4,-2  -4  +2,73%  67%  80%,85  68  105,37%  46%  29%,3  0  3,1  1  0,+2  -1  +3,,,,,,,,,,,,,,
5,AtaKaptan FUT,,0.96  0.95  1.01,194  213  176,24  11  13,/  29  14  15  /,18  6  12,-5  -3  -2,63%  63%  63%,120  140  107,33%  38%  29%,1  0  1,4  2  2,-3  -2  -1,,,AtaKaptan FUT,,1.08  1.40  0.92,226  301  189,13  6  7,/  12  5  7  /,9  5  4,+1  +1  0,67%  83%  58%,145  200  117,43%  56%  33%,1  0  1,2  1  1,-1  -1  0,AtaKaptan FUT,,0.83  0.50  1.11,161  160  163,11  5  6,/  17  9  8  /,9  1  8,-6  -4  -2,59%  50%  67%,99  103  96,23%  22%  24%,0  0  0,2  1  1,-2  -1  -1,,,,,,,,,,,,,,
6,MrFaliN FUT,,0.87  0.90  0.91,184  144  206,25  9  16,/  31  14  17  /,12  2  10,-6  -5  -1,60%  50%  67%,119  85  141,27%  27%  26%,1  1  0,3  0  3,-2  +1  -3,,,MrFaliN FUT,,0.99  1.38  0.80,218  274  191,14  7  7,/  13  5  8  /,7  2  5,+1  +2  -1,78%  100%  67%,142  151  138,20%  22%  18%,0  0  0,2  0  2,-2  0  -2,qRaxs FUT,,0.80  0.27  1.24,169  73  249,12  2  10,/  16  9  7  /,1  0  1,-4  -7  +3,59%  30%  83%,116  57  166,38%  30%  42%,3  0  3,3  2  1,0  -2  +2,,,,,,,,,,,,,,
7,qRaxs FUT,,0.76  0.42  1.02,154  87  201,21  5  16,/  29  13  16  /,1  0  1,-8  -8  0,53%  38%  63%,108  68  135,40%  40%  40%,4  0  4,3  2  1,+1  -2  +3,,,qRaxs FUT,,0.72  0.57  0.79,138  110  153,9  3  6,/  13  4  9  /,0  0  0,-4  -1  -3,44%  50%  42%,98  85  105,43%  60%  38%,1  0  1,0  0  0,+1  0  +1,MrFaliN FUT,,0.76  0.43  1.03,149  65  220,11  2  9,/  18  9  9  /,5  0  5,-7  -7  0,45%  20%  67%,99  45  145,38%  38%  38%,1  1  0,1  0  1,0  +1  -1,,,,,,,,,,,,,,
8,MOJJ FUT,,0.72  0.33  1.00,124  78  156,16  3  13,/  29  14  15  /,6  4  2,-13  -11  -2,58%  38%  71%,83  66  94,28%  18%  32%,5  1  4,8  5  3,-3  -4  +1,,,MOJJ FUT,,0.67  0.41  0.80,118  100  128,7  2  5,/  14  5  9  /,1  0  1,-7  -3  -4,50%  33%  58%,75  83  71,24%  33%  20%,3  0  3,3  2  1,0  -2  +2,MOJJ FUT,,0.76  0.25  1.19,129  64  184,9  1  8,/  15  9  6  /,5  4  1,-6  -8  +2,64%  40%  83%,90  56  118,30%  9%  38%,2  1  1,5  3  2,-3  -2  -1,,,,,,,,,,,,,,
9,qw1 FUT,,0.50  0.60  0.43,121  169  93,18  10  8,/  34  14  20  /,0  0  0,-16  -4  -12,33%  31%  33%,87  115  69,42%  48%  35%,0  0  0,11  5  6,-11  -5  -6,,,qw1 FUT,,0.37  0.51  0.29,94  180  51,6  4  2,/  15  5  10  /,0  0  0,-9  -1  -8,33%  33%  33%,58  99  38,38%  57%  17%,0  0  0,6  3  3,-6  -3  -3,qw1 FUT,,0.63  0.69  0.57,147  162  135,12  6  6,/  19  9  10  /,0  0  0,-7  -3  -4,32%  30%  33%,111  125  100,44%  43%  45%,0  0  0,5  2  3,-5  -2  -3,,,,,,,,,,,,,,
