,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,deminatiX DP,,1.43  1.41  1.48,316  330  287,43  24  19,/  27  16  11  /,7  5  2,+16  +8  +8,90%  91%  88%,192  202  179,32%  32%  32%,12  7  5,5  4  1,+7  +3  +4,2.0,0.0,baha DP,,1.32  1.23  1.40,233  190  270,17  7  10,/  11  4  7  /,9  2  7,+6  +3  +3,86%  80%  92%,156  102  200,33%  54%  25%,1  1  0,3  3  0,-2  -2  0,deminatiX DP,,1.66  1.61  1.78,353  368  320,21  15  6,/  10  8  2  /,4  4  0,+11  +7  +4,100%  100%  100%,217  231  185,31%  28%  42%,7  4  3,2  2  0,+5  +2  +3
1,sh1va DP,,1.35  1.46  1.06,249  305  171,39  27  12,/  21  11  10  /,3  1  2,+18  +16  +2,77%  77%  76%,171  199  135,27%  27%  26%,3  2  1,3  1  2,0  +1  -1,13.0,9.0,deminatiX DP,,1.20  1.21  1.18,278  285  274,22  9  13,/  17  8  9  /,3  1  2,+5  +1  +4,82%  80%  83%,173  169  176,34%  42%  28%,5  3  2,3  2  1,+2  +1  +1,sh1va DP,,1.56  1.81  0.97,272  345  98,20  17  3,/  7  4  3  /,1  1  0,+13  +13  0,76%  75%  80%,184  237  56,23%  23%  25%,3  2  1,0  0  0,+3  +2  +1
2,MERZ DP,,1.15  1.01  1.38,201  135  287,29  11  18,/  24  13  11  /,23  13  10,+5  -2  +7,95%  91%  100%,115  81  161,23%  24%  22%,4  0  4,2  1  1,+2  -1  +3,13.0,4.0,MERZ DP,,1.18  1.07  1.28,201  78  305,16  2  14,/  13  4  9  /,11  6  5,+3  -2  +5,95%  90%  100%,108  51  156,22%  23%  21%,4  0  4,0  0  0,+4  0  +4,dRKY DP,,1.17  1.10  1.33,147  169  96,10  8  2,/  7  6  1  /,2  1  1,+3  +2  +1,94%  92%  100%,87  97  63,38%  38%  40%,1  1  0,0  0  0,+1  +1  0
3,baha DP,,1.14  1.06  1.26,212  168  277,29  13  16,/  22  11  11  /,14  7  7,+7  +2  +5,82%  77%  88%,143  98  200,35%  48%  28%,1  1  0,5  5  0,-4  -4  0,,,sh1va DP,,1.13  1.11  1.15,226  256  202,19  10  9,/  14  7  7  /,2  0  2,+5  +3  +2,77%  80%  75%,161  152  168,30%  37%  26%,0  0  0,3  1  2,-3  -1  -2,MERZ DP,,1.11  0.95  1.48,200  182  244,13  9  4,/  11  9  2  /,12  7  5,+2  0  +2,94%  92%  100%,125  106  172,25%  25%  25%,0  0  0,2  1  1,-2  -1  -1
4,dRKY DP,,1.03  1.15  0.98,146  160  128,21  14  7,/  22  11  11  /,9  4  5,-1  +3  -4,90%  91%  88%,96  100  90,35%  37%  33%,3  1  2,1  0  1,+2  +1  +1,,,dRKY DP,,0.88  1.20  0.62,145  150  142,11  6  5,/  15  5  10  /,7  3  4,-4  +1  -5,86%  90%  83%,103  104  101,33%  36%  32%,2  0  2,1  0  1,+1  0  +1,baha DP,,0.96  0.90  1.13,191  149  294,12  6  6,/  11  7  4  /,5  5  0,+1  -1  +2,76%  75%  80%,126  95  200,40%  43%  36%,0  0  0,2  2  0,-2  -2  0
5,Death TAE,,1.01  0.95  1.09,222  192  246,32  13  19,/  30  14  16  /,5  2  3,+2  -1  +3,72%  65%  77%,141  114  162,36%  31%  39%,4  1  3,5  3  2,-1  -2  +1,,,Death TAE,,1.15  1.03  1.29,223  191  263,18  9  9,/  15  10  5  /,4  2  2,+3  -1  +4,68%  58%  80%,147  112  188,40%  32%  50%,3  1  2,4  3  1,-1  -2  +1,Death TAE,,0.87  0.86  0.88,220  194  232,14  4  10,/  15  4  11  /,1  0  1,-1  0  -1,76%  80%  75%,134  121  140,29%  30%  29%,1  0  1,1  0  1,0  0  0
6,sMan TAE,,0.75  0.68  0.82,152  118  167,19  7  12,/  31  14  17  /,14  7  7,-12  -7  -5,74%  65%  82%,100  70  123,45%  50%  44%,1  0  1,3  1  2,-2  -1  -1,,,Ness TAE,,0.97  1.01  0.92,274  258  294,21  10  11,/  21  11  10  /,4  3  1,0  -1  +1,64%  67%  60%,173  172  174,29%  22%  40%,6  3  3,6  3  3,0  0  0,sMan TAE,,0.73  0.66  0.76,199  178  208,11  3  8,/  15  4  11  /,3  0  3,-4  -1  -3,65%  40%  75%,152  125  164,43%  43%  43%,0  0  0,3  1  2,-3  -1  -2
7,Ness TAE,,0.70  0.87  0.62,223  266  202,29  14  15,/  37  15  22  /,7  4  3,-8  -1  -7,56%  71%  45%,147  171  129,25%  18%  33%,9  4  5,11  5  6,-2  -1  -1,,,Yagami TAE,,0.81  1.05  0.51,168  262  57,11  10  1,/  16  10  6  /,8  6  2,-5  0  -5,50%  50%  50%,120  173  56,32%  30%  38%,0  0  0,1  1  0,-1  -1  0,cag1nex TAE,,0.67  0.22  0.85,132  85  153,8  1  7,/  16  5  11  /,2  1  1,-8  -4  -4,47%  40%  50%,98  82  104,47%  14%  67%,1  0  1,1  1  0,0  -1  +1
8,cag1nex TAE,,0.68  0.49  0.74,143  165  129,20  10  10,/  33  15  18  /,10  5  5,-13  -5  -8,56%  65%  50%,100  120  85,27%  16%  43%,1  0  1,2  2  0,-1  -2  +1,,,sMan TAE,,0.78  0.69  0.89,104  93  118,8  4  4,/  16  10  6  /,11  7  4,-8  -6  -2,82%  75%  90%,60  47  75,50%  60%  44%,1  0  1,0  0  0,+1  0  +1,Yagami TAE,,0.51  0.40  0.56,83  6  116,5  0  5,/  14  4  10  /,1  0  1,-9  -4  -5,41%  60%  33%,58  6  80,31%  0%  33%,1  0  1,1  0  1,0  0  0
9,Yagami TAE,,0.66  0.73  0.54,126  187  89,16  10  6,/  30  14  16  /,9  6  3,-14  -4  -10,46%  53%  41%,93  124  69,31%  29%  35%,1  0  1,2  1  1,-1  -1  0,,,cag1nex TAE,,0.69  0.75  0.62,153  198  101,12  9  3,/  17  10  7  /,8  4  4,-5  -1  -4,64%  75%  50%,102  136  62,17%  17%  18%,0  0  0,1  1  0,-1  -1  0,Ness TAE,,0.44  0.72  0.32,172  284  126,8  4  4,/  16  4  12  /,3  1  2,-8  0  -8,47%  80%  33%,113  167  90,18%  12%  25%,3  1  2,5  2  3,-2  -1  -1
