,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Delend THA,,1.20  1.56  0.84,245  298  193,45  28  17,/  39  16  23  /,22  13  9,+6  +12  -6,72%  78%  67%,168  205  130,35%  32%  41%,3  1  2,3  1  2,0  0  0,0.0,2.0,Delend THA,,1.19  1.42  0.96,261  299  224,25  15  10,/  21  9  12  /,9  2  7,+4  +6  -2,75%  71%  79%,184  216  151,30%  26%  36%,2  0  2,1  0  1,+1  0  +1,Delend THA,,1.21  1.70  0.72,228  297  161,20  13  7,/  18  7  11  /,13  11  2,+2  +6  -4,69%  85%  54%,150  194  106,44%  40%  54%,1  1  0,2  1  1,-1  0  -1
12,Aowha THA,,0.92  1.08  0.76,226  235  214,38  21  17,/  43  19  24  /,19  12  7,-5  +2  -7,70%  70%  70%,143  141  145,22%  27%  17%,4  2  2,10  4  6,-6  -2  -4,13.0,15.0,LoRangeZ THA,,0.95  0.71  1.19,232  199  267,24  9  15,/  24  13  11  /,6  4  2,0  -4  +4,75%  71%  79%,159  139  179,25%  30%  21%,4  4  0,5  4  1,-1  0  -1,Aowha THA,,1.11  1.15  1.08,269  236  303,24  11  13,/  20  9  11  /,8  7  1,+4  +2  +2,73%  77%  69%,159  122  195,20%  24%  17%,0  0  0,2  0  2,-2  0  -2
13,umaruchans THA,,0.89  1.08  0.70,184  183  185,35  18  17,/  40  18  22  /,5  4  1,-5  0  -5,74%  74%  74%,120  125  115,30%  25%  39%,2  0  2,0  0  0,+2  0  +2,12.0,14.0,umaruchans THA,,0.83  1.00  0.67,179  141  219,18  7  11,/  22  10  12  /,1  1  0,-4  -3  -1,79%  71%  86%,114  102  126,30%  17%  50%,2  0  2,0  0  0,+2  0  +2,ALLR1GHTT THA,,1.04  1.12  0.96,161  169  155,14  9  5,/  17  8  9  /,16  9  7,-3  +1  -4,69%  92%  46%,105  107  103,20%  16%  26%,1  0  1,0  0  0,+1  0  +1
14,ALLR1GHTT THA,,0.84  1.06  0.62,136  158  113,26  17  9,/  38  17  21  /,23  14  9,-12  0  -12,61%  81%  41%,90  106  74,22%  20%  25%,1  0  1,2  0  2,-1  0  -1,,,Aowha THA,,0.73  1.02  0.45,182  233  132,14  10  4,/  23  10  13  /,11  5  6,-9  0  -9,68%  64%  71%,128  158  98,25%  31%  18%,4  2  2,8  4  4,-4  -2  -2,umaruchans THA,,0.95  1.16  0.73,188  229  149,17  11  6,/  18  8  10  /,4  3  1,-1  +3  -4,69%  77%  62%,126  148  103,31%  32%  28%,0  0  0,0  0  0,0  0  0
15,LoRangeZ THA,,0.80  0.59  1.01,205  174  237,41  16  25,/  45  24  21  /,7  4  3,-4  -8  +4,67%  63%  70%,133  111  154,25%  28%  23%,13  9  4,16  10  6,-3  -1  -2,,,ALLR1GHTT THA,,0.63  0.99  0.27,111  149  74,12  8  4,/  21  9  12  /,7  5  2,-9  -1  -8,54%  71%  36%,76  106  46,24%  25%  23%,0  0  0,2  0  2,-2  0  -2,LoRangeZ THA,,0.65  0.47  0.83,177  148  206,17  7  10,/  21  11  10  /,1  0  1,-4  -4  0,58%  54%  62%,105  82  127,26%  25%  26%,9  5  4,11  6  5,-2  -1  -1
16,5 M SDob,,1.23  1.12  1.33,209  178  240,42  17  25,/  33  16  17  /,26  16  10,+9  +1  +8,76%  70%  81%,140  132  149,29%  33%  26%,5  3  2,3  3  0,+2  0  +2,,,jaycon SDob,,1.50  1.91  1.09,315  308  323,33  17  16,/  18  6  12  /,2  2  0,+15  +11  +4,86%  93%  79%,198  197  200,32%  37%  28%,5  2  3,0  0  0,+5  +2  +3,5 M SDob,,1.15  0.93  1.36,217  179  256,22  9  13,/  18  9  9  /,8  5  3,+4  0  +4,65%  54%  77%,135  128  142,23%  24%  23%,3  2  1,3  3  0,0  -1  +1
17,jaycon SDob,,1.22  1.54  0.91,245  265  231,49  27  22,/  35  13  22  /,11  8  3,+14  +14  0,81%  93%  70%,157  167  148,30%  30%  29%,5  2  3,0  0  0,+5  +2  +3,,,5 M SDob,,1.30  1.30  1.31,201  177  226,20  8  12,/  15  7  8  /,18  11  7,+5  +1  +4,86%  86%  86%,145  135  156,36%  41%  31%,2  1  1,0  0  0,+2  +1  +1,IkaRIS SDob,,1.10  1.19  1.01,240  248  233,23  12  11,/  21  10  11  /,4  3  1,+2  +2  0,81%  92%  69%,137  153  122,19%  29%  11%,7  3  4,3  1  2,+4  +2  +2
18,drus9 SDob,,1.11  1.25  0.96,229  269  191,42  27  15,/  37  18  19  /,13  5  8,+5  +9  -4,70%  78%  63%,166  173  160,25%  27%  22%,3  2  1,3  0  3,0  +2  -2,,,drus9 SDob,,1.21  1.37  1.04,256  306  207,24  16  8,/  20  10  10  /,8  3  5,+4  +6  -2,79%  79%  79%,190  201  178,24%  28%  19%,2  1  1,2  0  2,0  +1  -1,drus9 SDob,,1.01  1.14  0.88,201  229  173,18  11  7,/  17  8  9  /,5  2  3,+1  +3  -2,62%  77%  46%,141  142  140,26%  24%  29%,1  1  0,1  0  1,0  +1  -1
19,Pr SDob,,1.07  1.36  0.79,216  212  222,37  20  17,/  40  17  23  /,39  23  16,-3  +3  -6,78%  85%  70%,145  145  146,26%  28%  24%,7  2  5,9  4  5,-2  -2  0,,,Pr SDob,,1.15  1.23  1.07,234  205  264,22  11  11,/  21  10  11  /,17  7  10,+1  +1  0,79%  79%  79%,163  158  168,30%  33%  27%,3  0  3,5  3  2,-2  -3  +1,Pr SDob,,1.00  1.48  0.52,198  220  177,15  9  6,/  19  7  12  /,22  16  6,-4  +2  -6,77%  92%  62%,126  131  122,21%  23%  20%,4  2  2,4  1  3,0  +1  -1
20,IkaRIS SDob,,0.91  1.00  0.82,178  205  147,35  20  15,/  40  21  19  /,9  6  3,-5  -1  -4,74%  85%  63%,110  137  83,23%  32%  13%,11  7  4,8  4  4,+3  +3  0,,,IkaRIS SDob,,0.72  0.81  0.63,115  164  67,12  8  4,/  19  11  8  /,5  3  2,-7  -3  -4,68%  79%  57%,84  122  46,33%  36%  25%,4  4  0,5  3  2,-1  +1  -2,jaycon SDob,,0.95  1.16  0.73,174  218  131,16  10  6,/  17  7  10  /,9  6  3,-1  +3  -4,77%  92%  62%,114  134  93,24%  20%  33%,0  0  0,0  0  0,0  0  0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
